",,,,,
Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Postes Approuvés"
Québec,"     Haut salaire","Tenco Inc.","ST-VALÉRIEN-DE-MILTON, QC J0H 2B0","7237-Soudeurs et opérateurs de machines à souder et à braser",1
Québec,"     Haut salaire","Terragon Technologies de l'environnement inc.","Montréal, QC H3K  2C","6221-Spécialistes des ventes techniques - commerce de gros",1
Québec,"     Haut salaire","The Life House Group Inc.","Montreal, QC H3Z 1C3","5241-Designers graphiques et illustrateurs",1
Québec,"     Haut salaire","The Wales Home / Foyer Wales","Richmond, QC J0B 2H0","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"     Haut salaire","Thérapeutique Knight Inc.","Montréal, QC H3Z 3B8","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Québec,"     Haut salaire","Thibault Chevrolet Cadillac Buick GMC de Rouyn-Noranda Ltée","Rouyn-Noranda, QC J9X 5Y7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,"     Haut salaire","Tole-Inox Inc","Princeville, QC G6L 4B7",7333-Électromécaniciens,1
Québec,"     Haut salaire","Trampoline Technology Inc.","Montréal, QC H2Z 1P4","2175-Concepteurs et développeurs Web",1
Québec,"     Haut salaire","Transdiff Inc.","Québec, QC G1X 3W1","7312-Mécaniciens d'équipement lourd",2
Québec,"     Haut salaire","Transport Alfred Boivin Inc.","SAGUENAY, QC G7H 8B9","7312-Mécaniciens d'équipement lourd",3
Québec,"     Haut salaire","Transport Alfred Boivin Inc.","SAGUENAY, QC G7H 8B9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,"     Haut salaire","TRANSPORT ANDRE DUFRESNE INC","Québec, QC G1C 2H9","7511-Conducteurs de camions de transport",1
Québec,"     Haut salaire","TRANSPORT BOURASSA INC.","St-Jean-sur-Richelieu, QC J3B 8G3","7511-Conducteurs de camions de transport",3
Québec,"     Haut salaire","Transport Bourret Inc.","Drummondville, QC J2B 8G8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",4
Québec,"     Haut salaire","Transport Explorer Inc","Laval, QC H7P 5P6","7511-Conducteurs de camions de transport",6
Québec,"     Haut salaire","Transport Jacques Auger inc.","LÉVIS, QC G6V 7M5","7511-Conducteurs de camions de transport",1
Québec,"     Haut salaire","Transport Levasse Inc.","Lévis, QC G6W 0R5","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,"     Haut salaire","Triotech Amusement inc.","Joliette, QC J6E  8S","5241-Designers graphiques et illustrateurs",1
Québec,"     Haut salaire","Ubisoft Divertissements Inc.","Montréal, QC H2T 1S6","5241-Designers graphiques et illustrateurs",2
Québec,"     Haut salaire","UCB Inc.","La Guadeloupe, QC G0M 1G0","7231-Machinistes et vérificateurs d'usinage et d'outillage",1
Québec,"     Haut salaire","Uni-Telecom Inc.","Montréal, QC H1M 1A9","2282-Agents de soutien aux utilisateurs",1
Québec,"     Haut salaire","Université Concordia","Montréal, QC H3G 1M8","0212-Directeurs des services d'architecture et de sciences",1
Québec,"     Haut salaire","Université Concordia","Montréal, QC H3G 1M8","4011-Professeurs et chargés de cours au niveau universitaire",3
Québec,"     Haut salaire","Université de Montréal","Montréal, QC H3C 3J7",3114-Vétérinaires,1
Québec,"     Haut salaire","Université de Montréal","Montréal, QC H3C 3J7","4011-Professeurs et chargés de cours au niveau universitaire",4
Québec,"     Haut salaire","Université de Sherbrooke","Sherbrooke, QC J1K 2R1","4011-Professeurs et chargés de cours au niveau universitaire",2
Québec,"     Haut salaire","Université de Sherbrooke","Sherbrooke, QC J1K 2R1","4012-Assistants d'enseignement et de recherche au niveau postsecondaire",2
Québec,"     Haut salaire","Université du Québec à Montréal","MONTRÉAL, QC H3C 3P8","4011-Professeurs et chargés de cours au niveau universitaire",4
Québec,"     Haut salaire","Université Laval(Pavillon J-C-Bonenfant","QUÉBEC, QC G1V 0A6","4011-Professeurs et chargés de cours au niveau universitaire",4
Québec,"     Haut salaire","Univesta Assurances et Services Financiers Inc.","Montréal, QC H1X 3G8","1221-Agents d'administration",1
Québec,"     Haut salaire","Univesta Assurances et Services Financiers Inc.","Montréal, QC H1X 3G8","1222-Adjoints de direction",1
Québec,"     Haut salaire","Usimax Inc.","ST-GEORGES, QC G5Y 8J5","7231-Machinistes et vérificateurs d'usinage et d'outillage",6
Québec,"     Haut salaire","Usinage J.M. Blanchette inc","Drummondville, QC J2C 5Z4","7231-Machinistes et vérificateurs d'usinage et d'outillage",1
Québec,"     Haut salaire","Usingage L'Islet Inc.","L'Islet, QC G0R  2C","7231-Machinistes et vérificateurs d'usinage et d'outillage",1
Québec,"     Haut salaire","V. Martin & Fils Auto Inc. (1985)","Témiscouata-sur-le-Lac, QC G0L 1X0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Québec,"     Haut salaire","Valléé Automobile Inc.","Saint-Georges, QC G5Y 2N7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,"     Haut salaire","VICROC INC","VICTORIAVILLE, QC G6T 1T8","7231-Machinistes et vérificateurs d'usinage et d'outillage",1
Québec,"     Haut salaire","VTT QUADPRO INC.","MIRABEL, QC J7J 2C8","7334-Mécaniciens de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",2
Québec,"     Haut salaire","Waites Sensor Technologies Inc.","Montreal, QC H3K  0A","2242-Électroniciens d'entretien (biens domestiques et commerciaux)",4
Québec,"     Haut salaire","Warner Bros Games Montreal Inc.","Montreal, QC H2L 4S8","2174-Programmeurs et développeurs en médias interactifs",1
Québec,"     Haut salaire","WAVO.me Inc","Montréal, QC H2R 2Y9","1121-Professionnels en ressources humaines",1
Québec,"     Haut salaire","WAVO.me Inc","Montréal, QC H2R 2Y9","1123-Professionnels en publicité, en marketing et en relations publiques",1
Québec,"     Haut salaire","WESTLEY ARTISANS RESTAURATEURS INC","Sherbrooke, QC J1L 1C9",6322-Cuisiniers,1
Québec,"     Haut salaire","WR Transformateurs Inc.","Saint-Alphonse de Granby, QC J0E 2A0",7333-Électromécaniciens,4
Québec,"     Haut salaire","YULPAY inc.","Saint-Hyacinthe, QC J2S 4L2","2173-Ingénieurs et concepteurs en logiciel",1
Québec,"     Haut salaire","ZZA INC.","Mont Royal, QC H4N 2R1","2251-Technologues et techniciens en architecture",1
Québec,"   Bas salaire","10653926 canada inc","Gatineau, QC J8R 4C1","6562-Esthéticiens, électrolystes et personnel assimilé",1
Québec,"   Bas salaire","12056909 Canada Inc","Montreal, QC H2G 1Z3","6221-Spécialistes des ventes techniques - commerce de gros",1
Québec,"   Bas salaire","2633-8467 Québec inc","QUÉBEC, QC G2K 1M1","7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles",1
Québec,"   Bas salaire","2639-1862 Québec INC","WICKHAM, QC J0C 1S0","9533-Monteurs et contrôleurs d'autres produits en bois",2
Québec,"   Bas salaire","2730-8303 QUEBEC INC.","SAINT-PHILIPPE-DE-NÉRI, QC G0L 4A0","9437-Opérateurs de machines à travailler le bois",4
Québec,"   Bas salaire","3101-7650 Québec inc","St-Hubert, QC J3Y 7N1","8612-Manoeuvres en aménagement paysager et en entretien des terrains",6
Québec,"   Bas salaire","3165086 Canada Inc.","Saint-Léonard, QC H1P 2B3","6222-Acheteurs des commerces de détail et de gros",1
Québec,"   Bas salaire","3523462 Canada Inc.","Varennes, QC J3X 1P7",7452-Manutentionnaires,1
Québec,"   Bas salaire","4303679 CANADA INC","MONTREAL-NORD, QC H1G 1E3","7335-Autres réparateurs de petits moteurs et de petits équipements",1
Québec,"   Bas salaire","6144527 CANADA INC.","VAUDREUIL-DORION, QC J7V 9H5","7511-Conducteurs de camions de transport",1
Québec,"   Bas salaire","7687567 Canada Inc.","Lévis, QC G6W 5M6","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",2
Québec,"   Bas salaire","8528853 Canada inc.","Saint-Joseph-de-Beauce, QC G0S 2V0","9537-Monteurs, finisseurs et contrôleurs de produits divers",5
Québec,"   Bas salaire","9030-5814 Qc inc","Trois-Rivières, QC G9A 2W6","9416-Opérateurs de machines à travailler les métaux légers et lourds, et de machines de formage",2
Québec,"   Bas salaire","9030-5814 Qc inc","Trois-Rivières, QC G9A 2W6","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",1
Québec,"   Bas salaire","9055-7588 Québec inc. (Bio Spectra)","Montréal, QC H2T 2A4","2211-Technologues et techniciens en chimie",1
Québec,"   Bas salaire","9113-0476 Québec inc","LaBaie, QC G7B 3P3","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
Québec,"   Bas salaire","91152389 quebec inc","yamaska, QC J0G 1W0","7612-Autres manoeuvres et aides de soutien de métiers",6
Québec,"   Bas salaire","9146-6573 Québec inc.","Sherbrooke, QC J1G 2K2","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",2
Québec,"   Bas salaire","9147-6044 Quebec Inc","Lachine, QC H8T 2K1",7452-Manutentionnaires,1
Québec,"   Bas salaire","9156-2041 Québec inc.","Lorraine, QC J6Z 4W2","7511-Conducteurs de camions de transport",5
Québec,"   Bas salaire","9172-7636 Québec inc","Trois-Rivières, QC G8Z 4J4","8612-Manoeuvres en aménagement paysager et en entretien des terrains",4
Québec,"   Bas salaire","9175-3772 Québec Inc.","Blainville, QC J7B 1H6","6732-Nettoyeurs spécialisés",2
Québec,"   Bas salaire","9179-0337 Québec inc.","St-Gédéon, QC G0W 2P0",6322-Cuisiniers,1
Québec,"   Bas salaire","9189-0954 Quebec inc.","Maria, QC G0C 1Y0","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",3
Québec,"   Bas salaire","9213-9856 Québec inc","Gatineau, QC J8T 8G9","8612-Manoeuvres en aménagement paysager et en entretien des terrains",7
Québec,"   Bas salaire","9215-8419 quebec inc","Rivière-du-loup, QC G5R 5C6","1522-Magasiniers et commis aux pièces",2
Québec,"   Bas salaire","9216-7725 Québec inc.","Magog, QC J1X 2J7","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"   Bas salaire","9259-4209 Quebec Inc","Montreal, QC H4A 3J1",6322-Cuisiniers,1
Québec,"   Bas salaire","9263-1217 Québec inc","East-Broughton, QC G0N 1G0","8612-Manoeuvres en aménagement paysager et en entretien des terrains",1
Québec,"   Bas salaire","9269-0270 Québec inc","Québec, QC G2K 1R2","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",2
Québec,"   Bas salaire","9275-3987 Quebec Inc","Chambord, QC G0W 1G0","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"   Bas salaire","9285-9370 Québec inc.","Lamarche, QC G0W 1X0","6311-Superviseurs des services alimentaires",1
Québec,"   Bas salaire","9311-2837 QUEBEC INC.","Montreal, QC H3C 1T2",6321-Chefs,1
Québec,"   Bas salaire","9311-4759 Québec inc.","Joliette, QC J6E 5Y1","7611-Aides de soutien des métiers et manoeuvres en construction",4
Québec,"   Bas salaire","9314-6132 Qc inc.","Chambly, QC J3L 4C4","8612-Manoeuvres en aménagement paysager et en entretien des terrains",5
Québec,"   Bas salaire","9338-4774 Québec inc.","Québec, QC G1W 1R4","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",1
Québec,"   Bas salaire","9345-9816 Québec Inc. (Restaurant 3 Amigos)","Brossard, QC J4Z  1A",6322-Cuisiniers,1
Québec,"   Bas salaire","9367-8134 Québec Inc.","Terrebonne, QC J7M 1M2","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",3
Québec,"   Bas salaire","9376-0544 Québec inc (Résidence Kennedy)","Lévis, QC G6C 1A8","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",2
Québec,"   Bas salaire","9378-5871 Québec Inc.","Ascot Corner, QC J0B 1A0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",3
Québec,"   Bas salaire","9383-2293 Québec inc.","saint-jerome, QC J7Z 1X9",6322-Cuisiniers,1
Québec,"   Bas salaire","9396-3478 Québec Inc.","Montréal, QC H2S 1L6","4214-Éducateurs et aides-éducateurs de la petite enfance",1
Québec,"   Bas salaire","ABATTOIR ST-GERMAIN INC.","Saint-Germain-de-Grantham, QC J0C 1K0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",4
Québec,"   Bas salaire","Acier d'Armatures Ferneuf inc.","Laval, QC H7S 1N5","9612-Manoeuvres en métallurgie",3
Québec,"   Bas salaire","Acier Victoria ltée","Victoriaville, QC G6T 1V1",7452-Manutentionnaires,4
Québec,"   Bas salaire","Agrimetal Inc","Wicham, QC J0C 1S0","9612-Manoeuvres en métallurgie",1
Québec,"   Bas salaire","Aide et support aux aînés","Victoriaville, QC G6P 8X3","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",2
Québec,"   Bas salaire","Albert-Perron Inc.","St-Prime, QC G8J 1L4","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",2
Québec,"   Bas salaire","Aliments Asta inc.","St-Alexandre, QC G0L 2G0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",5
Québec,"   Bas salaire","AM PINARD ET FILS INC.","St-Célestin, QC J0C 1G0","9423-Opérateurs de machines de transformation du caoutchouc et personnel assimilé",1
Québec,"   Bas salaire","Aménagement Paysager Uni-vert Inc.","Montréal, QC H4E 4P1","8612-Manoeuvres en aménagement paysager et en entretien des terrains",6
Québec,"   Bas salaire","Armature Nationale Inc.","Rouyn-Noranda, QC J9X 7A4","9612-Manoeuvres en métallurgie",2
Québec,"   Bas salaire","Atelier de réparation Laforge inc.","Sept-Îles, QC G4S 1S1","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",1
Québec,"   Bas salaire","Beauce Caoutchouc Inc.","La Guadeloupe, QC G0M 1G0","9423-Opérateurs de machines de transformation du caoutchouc et personnel assimilé",2
Québec,"   Bas salaire","Beauregard Inc","St-Pie, QC J0H 1W0","9612-Manoeuvres en métallurgie",2
Québec,"   Bas salaire","BÉTON DÉCORUM INC.","Magog, QC J1X 5B6","8612-Manoeuvres en aménagement paysager et en entretien des terrains",4
Québec,"   Bas salaire","Biocancour (9743065 Canada inc.)","Bécancour, QC G9H 3S2","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",2
Québec,"   Bas salaire","Biscuits Leclerc Ltée","Saint-Augustin-De-Desmaures, QC G3A 1T1","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",6
Québec,"   Bas salaire","Biscuits Leclerc Ltée","Saint-Augustin-De-Desmaures, QC G3A 1T1","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",10
Québec,"   Bas salaire","Bleuets Mistassini ltée","Dolbeau-Mistassini, QC G8L 5M3","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",31
Québec,"   Bas salaire","Bonduelle Canada Inc.","St-Denis-sur-Richelieu, QC J0H 1K0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",170
Québec,"   Bas salaire","Bonduelle Inc.","Bedford, QC J0J 1A0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",7
Québec,"   Bas salaire","Boucherie Richard Morin inc","St-François-de-la-Rivière-du-Sud, QC G0R 3A0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
Québec,"   Bas salaire","BOULANGERIE PATISSERIE OBEISSANCE INC.","Montréal, QC H1Z 3T9",6332-Boulangers-pâtissiers,2
Québec,"   Bas salaire","Canards des monts inc.","Saint-Jude, QC J0H 1P0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
Québec,"   Bas salaire","Canards du Lac Brome Ltee","Knowlton, QC J0E 1V0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
Québec,"   Bas salaire","CARGOMAX INTERNATIONAL INC.","LA PRAIRIE, QC J5R 6A9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Québec,"   Bas salaire","Centre Intégré universitaire de santé et service sociaux de la Capitale-Nationale","Québec, QC G1J 2G3","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"   Bas salaire","charros restaurant enregistre","montreal, QC H2S 2M9",6322-Cuisiniers,4
Québec,"   Bas salaire","Clermond Hamel Ltée","Saint-Ephrem, QC G0M 1R0",7452-Manutentionnaires,1
Québec,"   Bas salaire","Clermond Hamel Ltée","Saint-Ephrem, QC G0M 1R0","9431-Opérateurs de machines à scier dans les scieries",3
Québec,"   Bas salaire","Clinique Dentaire Aird & Des Roches Inc","Laval, QC H7L 5R7","3411-Assistants dentaires",1
Québec,"   Bas salaire","Clyvanor ltée","St-Georges, QC G5Y 8J1","9533-Monteurs et contrôleurs d'autres produits en bois",8
Québec,"   Bas salaire","COFFRAGES L.D. INC.","Lévis, QC G6X 2M2","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",3
Québec,"   Bas salaire","Comptoir Agricole Ste-Anne Inc.","Repentigny, QC J5Z 4X5","7612-Autres manoeuvres et aides de soutien de métiers",46
Québec,"   Bas salaire","Construction Léandre Demers inc","St-Flavien, QC G0S 2M0","7611-Aides de soutien des métiers et manoeuvres en construction",1
Québec,"   Bas salaire","Damabois inc.","Saint-Damase-de-Matapédia, QC G0J 2J0","9437-Opérateurs de machines à travailler le bois",2
Québec,"   Bas salaire","Damabois inc.","Saint-Damase-de-Matapédia, QC G0J 2J0","9614-Manoeuvres dans le traitement des pâtes et papiers et la transformation du bois",4
Québec,"   Bas salaire","David Veilleux Déneigement et Entretien Paysager inc.","Ascot Corner, QC J0B 1A0","8612-Manoeuvres en aménagement paysager et en entretien des terrains",4
Québec,"   Bas salaire","Développement Pro Expert Inc.","Repentigny, QC J6A 4R7","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",1
Québec,"   Bas salaire","Distribution D. J. F. inc","St-Sylvestre, QC G0S 3C0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
Québec,"   Bas salaire","Dmb Distribution Alimentaire Inc.","St-Augustin, QC G3A 2V5","7511-Conducteurs de camions de transport",2
Québec,"   Bas salaire","Drainage EPL Lazure","St-Célestin, QC J0C 1G0","8431-Ouvriers agricoles",4
Québec,"   Bas salaire","Drainotech inc.","Sainte-Julie, QC J3E 3N4","7611-Aides de soutien des métiers et manoeuvres en construction",2
Québec,"   Bas salaire","Drouin et Fils entretien de pelouse senc","Boischatel, QC G0A 1H0","8612-Manoeuvres en aménagement paysager et en entretien des terrains",2
Québec,"   Bas salaire","Émile Bilodeau et fils inc","Saint-Bernard, QC G0S 2G0",7452-Manutentionnaires,2
Québec,"   Bas salaire","Entreprise Luc Lussier Inc.","Drummondville, QC J2B 3S2","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",1
Québec,"   Bas salaire","Entretien Mo inc","Québec, QC G3E 0G5","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",1
Québec,"   Bas salaire","Équipement Gatineau Inc.","Gatineau, QC J8R 3X3","9612-Manoeuvres en métallurgie",1
Québec,"   Bas salaire","Ferme du domaine 2000 Inc.","SHAWINIGAN, QC G9P 5G6","7514-Chauffeurs-livreurs - services de livraison et de messagerie",1
Québec,"   Bas salaire","Ferme Olofée inc.","St-Félicien, QC G8K 2N8","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
Québec,"   Bas salaire","Fonderie Lemoltech Inc.","Princeville, QC G6L 4M4","7311-Mécaniciens de chantier et mécaniciens industriels",1
Québec,"   Bas salaire","Forimpex Inc.","Saint-Joseph-de-Beauce, QC G0S 2V0","7611-Aides de soutien des métiers et manoeuvres en construction",1
Québec,"   Bas salaire","Fornirama inc.","Montreal, QC H1E 7C2",6345-Tapissiers-garnisseurs,1
Québec,"   Bas salaire","Fourgons Leclair inc","Terrebonne, QC J6Y 0J8","7231-Machinistes et vérificateurs d'usinage et d'outillage",2
Québec,"   Bas salaire","Fromagerie Bergeron Inc.","SAINT-ANTOINE-DE-TILLY, QC G0S 2C0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",9
Québec,"   Bas salaire","G.T.L. PAYSAGISTE INC.","St-Philippe, QC J0L 2K0","8612-Manoeuvres en aménagement paysager et en entretien des terrains",5
Québec,"   Bas salaire","Gazon Mercier inc","St-Georges, QC G5Z 1W7","8612-Manoeuvres en aménagement paysager et en entretien des terrains",2
Québec,"   Bas salaire","Gestion DVCC Inc.","Québec, QC G1W 3Z7","6525-Réceptionnistes d'hôtel",1
Québec,"   Bas salaire","Gestion Par-Audet inc.","SAINT-ISIDORE, QC G0S 2S0","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"   Bas salaire","Giga Aménagement inc","St-Joseph-de-Beauce, QC G0S 2V0","8612-Manoeuvres en aménagement paysager et en entretien des terrains",1
Québec,"   Bas salaire","Granite DRC INC","Riviere-a-Pierre, QC G0A 3A0","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
Québec,"   Bas salaire","Groupe DSD Inc","Thetford Mines, QC G6G 5R7","9422-Opérateurs de machines de traitement des matières plastiques",3
Québec,"   Bas salaire","Groupe Gibo Inc.","Saint-Pascal, QC G0L 3Y0","6342-Tailleurs, couturiers, fourreurs et modistes",1
Québec,"   Bas salaire","Groupe Isolofoam inc.","Ste-Marie, QC G6E 1N4","9615-Manoeuvres dans la fabrication des produits en caoutchouc et en plastique",8
Québec,"   Bas salaire","Groupe Legault 2017 inc","ST-JOSEPH DU LAC, QC J0N 1M0","7612-Autres manoeuvres et aides de soutien de métiers",1
Québec,"   Bas salaire","Groupe sacs Frontenac inc","Trois-Rivières, QC G8T 5M3","9435-Opérateurs de machines à façonner le papier",1
Québec,"   Bas salaire","Industries Canatal inc.","Thetford Mines, QC G6G 6P6",7452-Manutentionnaires,1
Québec,"   Bas salaire","Industries Canatal inc.","Thetford Mines, QC G6G 6P6","9611-Manoeuvres dans le traitement des métaux et des minerais",1
Québec,"   Bas salaire","Industries Fabkor inc.","St-Gabriel-de-Brandon, QC J0K 2N0","9536-Peintres, enduiseurs et opérateurs de postes de contrôle dans le finissage du métal - secteur industriel",1
Québec,"   Bas salaire","Institut universitaire de cardiologie et de pneumologie de Québec","Québec, QC G1V 4G5","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"   Bas salaire","IPL North America Inc.","Saint-Damien-de-Buckland, QC G0R 2Y0","9422-Opérateurs de machines de traitement des matières plastiques",51
Québec,"   Bas salaire","J. M. Clément Ltée","Québec, QC G2J 1B7",7452-Manutentionnaires,4
Québec,"   Bas salaire","Jardins Daniel Vaes inc. (Les)","Lavaltrie, QC J5T 3P9","7514-Chauffeurs-livreurs - services de livraison et de messagerie",1
Québec,"   Bas salaire","JPF Formation Professionnelle 2000 inc","St-Eustache, QC J7P 2A9","4216-Autres instructeurs",1
Québec,"   Bas salaire","Julien Beaudoin Ltee","Daveluyville, QC G0Z 1C0",6345-Tapissiers-garnisseurs,2
Québec,"   Bas salaire","Julien Beaudoin Ltee","Daveluyville, QC G0Z 1C0","9416-Opérateurs de machines à travailler les métaux légers et lourds, et de machines de formage",1
Québec,"   Bas salaire","La Citière Inc.","Brossard, QC J4Y 0J5","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",2
Québec,"   Bas salaire","Laboratoire Du-Var inc.","Boucherville, QC J4B 6H5","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",2
Québec,"   Bas salaire","LAURIER ARCHITECTURAL INC.","Laurier-Station, QC G0S 1N0","9413-Opérateurs de machines à former et à finir le verre et coupeurs de verre",3
Québec,"   Bas salaire","LAURIER ARCHITECTURAL INC.","Laurier-Station, QC G0S 1N0","9611-Manoeuvres dans le traitement des métaux et des minerais",2
Québec,"   Bas salaire","Le Canard Goulu Inc.","Saint-Apollinaire, QC G0S 2E0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
Québec,"   Bas salaire","Le Terroir de Dunham inc.","Dunham, QC J0E 1M0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",2
Québec,"   Bas salaire","Le Théâtre du Trident inc.","Québec, QC G1R 2B3","1241-Adjoints administratifs",1
Québec,"   Bas salaire","Leo Mailhot Inc","ST-ALEXIS, QC J0K 1T0","9533-Monteurs et contrôleurs d'autres produits en bois",12
Québec,"   Bas salaire","Les Aliments Serval Canada Ltée","Louiseville,, QC J5V 2G2",7452-Manutentionnaires,1
Québec,"   Bas salaire","Les Aliments Whyte's Inc.","Laval, QC H7L 2N6","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",13
Québec,"   Bas salaire","Les Bois G.L.A. inc.","Barraute, QC J0Y 1A0","9437-Opérateurs de machines à travailler le bois",1
Québec,"   Bas salaire","Les Grues N'Rik inc.","Varennes, QC J3X 1P7",7452-Manutentionnaires,1
Québec,"   Bas salaire","Les Industries P.F. Inc.","Saint-Martin, QC G0M 1B0","9614-Manoeuvres dans le traitement des pâtes et papiers et la transformation du bois",2
Québec,"   Bas salaire","Les Industries Pro-Tac Inc.","St-Célestin, QC J0C 1G0","9535-Assembleurs, finisseurs et contrôleurs de produits en plastique",6
Québec,"   Bas salaire","Les industries Technopaint inc.","Ste-Clotilde, QC G0N 1C0","9612-Manoeuvres en métallurgie",2
Québec,"   Bas salaire","Les Jardins d'Évangéline inc","Québec, QC G1J 0B4","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"   Bas salaire","Les Motels de l'Énergie inc.","Baie-Comeau, QC G5C 2W8","6513-Serveurs d'aliments et de boissons",2
Québec,"   Bas salaire","Les Pêcheries Marinard Ltée","Rivière-au-Renard, QC G4X 5L3","9618-Manoeuvres dans la transformation du poisson et des fruits de mer",10
Québec,"   Bas salaire","Les Produits Alimaison (2014) inc.","Québec, QC G2B 1B3","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",3
Québec,"   Bas salaire","Les résidences Roy et Fils Inc.","Saint-Émile-de-Suffolk, QC J0V 1Y0","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",3
Québec,"   Bas salaire","Les Toits Vertiges inc","Montreal, QC H2T 2J2","8612-Manoeuvres en aménagement paysager et en entretien des terrains",2
Québec,"   Bas salaire","Les Viandes Rheintal","Béancour, QC G9H 1Y2","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
Québec,"   Bas salaire","Lignes Rive Sud Inc.","St-Michel, QC J0L 2J0","7611-Aides de soutien des métiers et manoeuvres en construction",4
Québec,"   Bas salaire","Livraison Vélo Montréal","Montréal, QC H2T 1X3","7445-Autres réparateurs et préposés à l'entretien",1
Québec,"   Bas salaire","Louis Lafrance et Fils Ltée","Shawinigan, QC G9T 5K5","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",1
Québec,"   Bas salaire","M.C.T. Pneus Inc.","Normandin, QC G8M 4C6","7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles",6
Québec,"   Bas salaire","Maisons de répit Angelique Inc.","Longueuil, QC J4N 1N4","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",3
Québec,"   Bas salaire","MANAC INC","St-Georges de Beauce, QC G5Y 8G6","9526-Monteurs et contrôleurs de matériel mécanique",1
Québec,"   Bas salaire","MANAC INC","St-Georges de Beauce, QC G5Y 8G6","9536-Peintres, enduiseurs et opérateurs de postes de contrôle dans le finissage du métal - secteur industriel",1
