",,,,,,,
Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Colombie-Britannique,"     Haut salaire","BluVec Technologies INC","Surrey, BC V4N 4Y1","0213-Gestionnaires des systèmes informatiques",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Candiz Food Group Ltd.","Burnaby, BC V5A 2H4","5241-Designers graphiques et illustrateurs",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Central Commercial and Residential Services Ltd","BURNABY, BC V5J 4V9","7313-Mécaniciens en réfrigération et en climatisation",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","DMG Blockchain Solutions Inc.","Vancouver, BC V6B 2W9","2281-Techniciens de réseau informatique",Inconnu,1,6
Colombie-Britannique,"     Haut salaire","Dr. G Aulakh Inc","victoria, BC V8N 3E2","1221-Agents d'administration",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Dr. James Cadigan Inc.","RICHMOND, BC V7E 1T6","3222-Hygiénistes et thérapeutes dentaires",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Euro Food Plus Enterprises Inc","vancouver, BC V6G 1C7","1123-Professionnels en publicité, en marketing et en relations publiques",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","In & Out Express Ltd.","Maple Ridge, BC V2X 4Z5","1241-Adjoints administratifs",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","INAYAT CONSTRUCTION LTD.","Surrey, BC V3X 2Z5","7237-Soudeurs et opérateurs de machines à souder et à braser",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Manna International Trading Ltd.","Port Coquitlam, BC V3C 6N3","6411-Représentants des ventes et des comptes - commerce de gros (non-technique)",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Maple Appliances Ltd","Delta, BC V4C 7M5","7612-Autres manoeuvres et aides de soutien de métiers",Inconnu,1,2
Colombie-Britannique,"     Haut salaire","Nueltin Construction","Vancouver, BC V5N 5J2",7271-Charpentiers-menuisiers,Inconnu,1,1
Colombie-Britannique,"     Haut salaire","RM 200 Holding Ltd","BARRIERE, BC V0E 1E0","1241-Adjoints administratifs",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","RM 200 Holding Ltd","BARRIERE, BC V0E 1E0","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Robertson Construction Ltd.","Surrey, BC V3S 7X1",7271-Charpentiers-menuisiers,Coopérative,1,1
Colombie-Britannique,"     Haut salaire","SEA STAR EDUCATION LTD.","New Westminster, BC V3L 3C8","1221-Agents d'administration",Inconnu,1,2
Colombie-Britannique,"     Haut salaire","Shaan's Hair Studio Ltd","Abbotsford, BC V2T 1T3","6341-Coiffeurs et barbiers",Inconnu,1,2
Colombie-Britannique,"     Haut salaire","Simple Solutions Immigration Consultancy Services Inc.","Surrey, BC V3W 3N5","1221-Agents d'administration",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Snow Peaks Cleaning Services Ltd.","Squamish, BC V8B 0P8","6315-Surveillants des services de nettoyage",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Sparks Academy","Vancouver, BC V6M 3V7","1123-Professionnels en publicité, en marketing et en relations publiques",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","TRIPLE S TRUCK TIRES & TRAILER REPAIR LTD.","DELTA, BC V4G 1E4","1221-Agents d'administration",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Truwest Mortgage Incorporated","Surrey, BC V3W 3J7","1114-Autres agents financiers",Inconnu,1,1
Colombie-Britannique,"     Haut salaire","Yeni Education (Richmond) Limited","Richmond, BC V6X 3Y2","4032-Enseignants aux niveaux primaire et préscolaire",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","0803327 B.C. LTD.","Abbotsford, BC V2T 3S5","6513-Serveurs d'aliments et de boissons",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","0885611 BC LTD","Merritt, BC V1K 1C4","6311-Superviseurs des services alimentaires",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","0926546 BC Ltd","Surrey, BC V3T 2W1","6311-Superviseurs des services alimentaires",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","0968113 BC Ltd.","Dawson Creek, BC V1G 1P4","6315-Surveillants des services de nettoyage",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","1020215 B.C. LTD.","North Vancouver, BC V7M 2E8",6322-Cuisiniers,Inconnu,1,1
Colombie-Britannique,"   Bas salaire","1120230 B.C. Ltd.","Surrey, BC V3W 3A6","6315-Surveillants des services de nettoyage",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","648039 BC Ltd","Vancouver, BC V6Z 1L2",6322-Cuisiniers,Inconnu,1,2
Colombie-Britannique,"   Bas salaire","A1 TavlinFoodz9 Enterprises Ltd","Victoria, BC V8T 4N4","6311-Superviseurs des services alimentaires",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","AAA Field Services Ltd","Fort St John, BC V1J 1A9",1525-Répartiteurs,Corporation,1,1
Colombie-Britannique,"   Bas salaire","Abbey Cedar Products Ltd","Chilliwack, BC V2R 5E9","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",Inconnu,1,2
Colombie-Britannique,"   Bas salaire","Aquilini Restaurants Limited Partnership","Whistler, BC V8E 1H6","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Attar Contracting Ltd.","Surrey, BC V3V 3P3","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","B.C. Strata Employee Management Ltd.","North Vancouver, BC V7M 2J5","1241-Adjoints administratifs",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Canada's Log People Inc.","100 Mile House, BC V0K 2E1","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Century Twenty-One Gas & Heating Co. Ltd.","Surrey, BC V3W 9Y7","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,4
Colombie-Britannique,"   Bas salaire","Danish Construction Inc.","Lake Country, BC V4V 2B8","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Dcat Partners Ltd","Fort St John, BC V1J 0R4","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Dr. Pavandeep Kooner Inc.","SURREY, BC V3W 0E6",1414-Réceptionnistes,Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Emerald Culinary Club and Catering Ltd","New Westminster, BC V3L 3W9",6322-Cuisiniers,Inconnu,1,2
Colombie-Britannique,"   Bas salaire","Gill Landscaping Ltd","Surrey, BC V3W 5Z5","8612-Manoeuvres en aménagement paysager et en entretien des terrains",Inconnu,1,2
Colombie-Britannique,"   Bas salaire","LAPIS INVESTMENT LTD.","Fort St. John, BC V1J 7G4","6315-Surveillants des services de nettoyage",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","LUKU GLOBAL TRUCKING LTD","DELTA, BC V4C 3A1","7511-Conducteurs de camions de transport",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Lulu Island Winery Ltd.","Richmond, BC V6V 1A8","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","MAXBIK NEW ENERGY LTD.","SURREY, BC V3Z 9P9","7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","My Little School Daycare(1991)Inc.","North Vancouver, BC V7G 1S6","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Nicola Inn Ltd.","Merritt, BC V1K 1K1",6322-Cuisiniers,Inconnu,1,1
Colombie-Britannique,"   Bas salaire","SBG Enterprises Canada Inc.","North Vancouver, BC V7N 3X4",6332-Boulangers-pâtissiers,Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Selectwood Cabinets Ltd","Richmond, BC V6W 1H7","1241-Adjoints administratifs",Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Snow Peaks Cleaning Services Ltd.","Squamish, BC V8B 0P8","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",Inconnu,1,3
Colombie-Britannique,"   Bas salaire","Sumi Korean Restaurant Ltd.","Vancouver, BC V5P 3W4",6322-Cuisiniers,Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Tai Phu Restaurant Corp.","Port Coquitlam, BC V3C 3H1",6322-Cuisiniers,Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Technic Roofing Ltd","Surrey, BC V3V 5E3","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,2
Colombie-Britannique,"   Bas salaire","Topstar Painting Ltd.","Abbotsford, BC V2T 4W9","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,2
Colombie-Britannique,"   Bas salaire","Trilussa Pizza & Pane","Vancouver, BC V5V 3R1",6322-Cuisiniers,Inconnu,1,1
Colombie-Britannique,"   Bas salaire","Weihaojia Restaurant Ltd.","Nanaimo, BC V9R 1P1","6513-Serveurs d'aliments et de boissons",Inconnu,1,2
Colombie-Britannique,"   Bas salaire","WEST SUNSHINE CONSTRUCTION LTD.","Surrey, BC V3V 5E9","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,2
Colombie-Britannique,"   Bas salaire","Westwood Landscapes Inc","Burnaby, BC V5C 4Z6","2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture",Inconnu,1,1
Colombie-Britannique,"  Agriculture primaire","ACS Benipal Ltd.","Deroche, BC V0M 1G0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",Inconnu,1,1
Colombie-Britannique,"  Agriculture primaire","JHL Contractors Ltd","Surrey, BC V3Z 0L2","8431-Ouvriers agricoles",Inconnu,1,6
Colombie-Britannique,"  Agriculture primaire","Mahapreet Blueberry Farm Ltd","SURREY, BC V3X 3M8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",Corporation,1,1
Colombie-Britannique,"  Agriculture primaire","MERITAGE VITICULTURE SERVICES LTD","PENTICTON, BC V2A 0E2","8431-Ouvriers agricoles",Inconnu,1,6
Colombie-Britannique,"  Talent mondial","Argus Control Systems Ltd.","surrey, BC V3S 7A4","2173-Ingénieurs et concepteurs en logiciel",Inconnu,1,1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Carl Geringhoff GmbH & Co. KG","Ahlen, D-59227","6221-Spécialistes des ventes techniques - commerce de gros",Corporation,1,1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Fancy Content","Los Angeles, 90048","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,2,2
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Frozen Man Inc.","New York, 10011","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,1,1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire",Gravy,"West Hollywood, CA, 90046","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,1,1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Green Vista Contracting Inc",,7271-Charpentiers-menuisiers,Inconnu,1,1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Hobnob, LLC","Burbank, California, 91505","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,2,2
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire",Loveboat,"Santa Monica, 90401","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,1,1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Moxie Picture Inc.","Beverly Hills, CA, 90211","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé","Entreprise à propriétaire unique",1,1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Park Pictures, LLC","New York, 10010","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,2,2
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Psyop Productions, LLC","NEW YORK, 10013","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,1,1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Pulse Films","Los Angeles, 90291","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Incorporé,1,1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Reverie Content Inc.","Sherman Oaks, 91403","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,2,2
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","     Haut salaire","Somesuch Inc.","Venice, CA, 90291","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Corporation,1,1
Notes:,,,,,,,
"1. Tous les renseignements utilisés dans la présente publication proviennent du Système d'étude d'impact sur le marché du travail (SEIMT) d'Emploi et Développement social Canada.",,,,,,,
"2. Cette liste exclut tous les informations personnelles, tels que le nom des employeurs des fournisseurs de soins à domicile ou les noms d'entreprises qui incluent des noms personnels. Pour cette raison, cette liste est incomplète et ne contient pas tous les employeurs qui ont soumis ou obtenu une EIMT. Si un employeur souhaite communiquer avec EDSC concernant l'exactitude de leur information, prière de communiquer au NA-TFWP-PTET@hrsdc-rhdcc.gc.ca.  ",,,,,,,
"3. Les noms des employeurs sont entrés manuellement dans le Système et peuvent faire l’objet d’erreurs dans la saisie de donnée.           ",,,,,,,
" 4. Le système de Classification nationale des professions (CNP) 2011, est utilisé depuis novembre 2016. Avant novembre 2016, les professions classifiées sous le CNP 2006 étaient converti selon les professions correspondantes sous le CNP 2011. Une concordance empirique développée par Statistique Canada a été utilisée pour identifier la classification équivalente.                                                                              ",,,,,,,
"5. En vigueur à partir de février 2018, toutes les EIMT en appui à la résidence permanente (RP) sont exclues des rapports statistiques du PTET, sauf lorsque distinguées séparément. Ceci pourrait affecter les statistiques rapportées au fil du temps.",,,,,,,
"6. Les données issues du SEIMT concernent le nombre de postes de TÉTs visés, et non le nombre de permis de travail délivrés. Pour obtenir des renseignements sur le nombre de permis de travail délivrés, consultez le document: Faits et chiffres d'Immigration, Réfugiés et Citoyenneté Canada (IRCC) : www.cic.gc.ca/francais/ressources/statistiques/menu-faits.asp",,,,,,,
"7. Les chiffres indiqués dans la présente publication peuvent différer légèrement de ceux contenus dans les versions précédentes des statistiques des EIMT, en raison des mises à jour des données qui ont eu lieu entre temps.",,,,,,,
