Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Ontario,   Bas salaire,M & A PIZZA INC.,"North York, ON M2N 3A8",6322-Cuisiniers,1
Ontario,   Bas salaire,Marben Holdings Inc.,"Oakville, ON L6L 0B7",6322-Cuisiniers,1
Ontario,   Bas salaire,Marcheleo's INC.,"Toronto, ON M4P 1J4",6322-Cuisiniers,1
Ontario,   Bas salaire,Maric Kitchen Distributors Inc.,"Windsor, ON N8T 2W8",1311-Techniciens en comptabilité et teneurs de livres,1
Ontario,   Bas salaire,Mar-Tec Woodworking LTD,"Mississauga, ON L5T 2G9",7272-Ébénistes,4
Ontario,   Bas salaire,Masterstire & Rim Inc.,"Brampton, ON L6T 1A7",6211-Superviseurs des ventes - commerce de détail,1
Ontario,   Bas salaire,Mifi Inc.,"Markham, ON L3R 0Y5",1241-Adjoints administratifs,1
Ontario,   Bas salaire,NAPA VALLEY KITCHENS INC,"woodbridge, ON L4L 4Y3",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
Ontario,   Bas salaire,One Society Security Inc.,"RICHMOND HILL, ON L4B 3B2",6316-Surveillants des autres services,1
Ontario,   Bas salaire,Onsite Utility Services Canada Ltd,"Mississauga, ON L5N 5M1",7522-Conducteurs de machinerie d'entretien public et personnel assimilé,1
Ontario,   Bas salaire,ONTARIO BAKERY SUPPLIES LIMITED,"NORTH YORK, ON M3N 1V9",6332-Boulangers-pâtissiers,1
Ontario,   Bas salaire,Ontario Potato Dist. (Alliston) Inc. 1991,"Alliston, ON L9R 1W1",2222-Inspecteurs des produits agricoles et de la pêche,2
Ontario,   Bas salaire,Ottawa Classic Stairs & Bannisters Inc.,"Ottawa, ON K1B 3W4",7271-Charpentiers-menuisiers,1
Ontario,   Bas salaire,Pebbles Play Based Learning Centre,"Toronto, ON M4L 1H9",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Ontario,   Bas salaire,Prayosha Threading and Wax Bar,"Toronto, ON M4N 2H7",1221-Agents d'administration,1
Ontario,   Bas salaire,R.T. FLOORING LTD.,"MISSISSAUGA, ON L4T 1B8",7295-Poseurs de revêtements d'intérieur,1
Ontario,   Bas salaire,Schutten Bros. Holdings Ltd,"ANCASTER, ON L9G 3K9",7611-Aides de soutien des métiers et manoeuvres en construction,2
Ontario,   Bas salaire,SCIENTIFIC UTILITY BRANDS INTERNATIONAL INC.,"London, ON N6B 1P5",1523-Coordonnateurs de la logistique de la production,1
Ontario,   Bas salaire,Sofari Collections Limited,"MISSISSAUGA, ON L4Z 2E5",6316-Surveillants des autres services,1
Ontario,   Bas salaire,South Simcoe Dental Laboratory Inc.,"Alliston, ON L9R 1E8",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,1
Ontario,   Bas salaire,Spaw Boutique Inc.,"Toronto, ON M5V 1P1",6211-Superviseurs des ventes - commerce de détail,1
Ontario,   Bas salaire,Summit SKS Limited,"Oakville, ON L6L 6L7",5223-Techniciens en graphisme,1
Ontario,   Bas salaire,Transport Minimax Express Inc.,"Cornwall, ON K6H 6C7",1241-Adjoints administratifs,1
Ontario,   Bas salaire,Urban Machinery Corporation,"Cambridge, ON N1T 1N7",2232-Technologues et techniciens en génie mécanique,1
Ontario,   Bas salaire,Vieira & Associates Insurance Brokers Ltd,"Toronto, ON M6J 1X8",6231-Agents et courtiers d'assurance,1
Ontario,   Bas salaire,WINDWARD CONTRACTING INC,"AURORA, ON L4G 3E5",7611-Aides de soutien des métiers et manoeuvres en construction,1
Ontario,   Bas salaire,YOU'RE NEXT! Inc.,"Waterloo, ON N2L 3E9",6311-Superviseurs des services alimentaires,1
Ontario,  Agriculture primaire,Natural MedCo Ltd.,"Strathroy, ON N7G 3H8",8432-Ouvriers de pépinières et de serres,20
Ontario,  Talent mondial,Alaya Care Inc.,"TORONTO, ON M5H 2S8",2171-Analystes et consultants en informatique,1
Ontario,  Talent mondial,Best Doctors Canada Inc,"Toronto, ON M5H 1J8",0213-Gestionnaires des systèmes informatiques,1
Manitoba,     Haut salaire,Canadian Mental Health Association Thompson Inc.,"Thompson, MB R8N 1E9",2281-Techniciens de réseau informatique,1
Manitoba,     Haut salaire,Design A Cut Hairstyling,"Winnipeg, MB R3B 3H6","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Manitoba,     Haut salaire,Fateh S Ltd,"St Andrew, MB R1A 3Y4",1525-Répartiteurs,1
Manitoba,     Haut salaire,RANJEET TRANSPORT LTD.,"WINNIPEG, MB R3Y 0K6",7511-Conducteurs de camions de transport,3
Manitoba,     Haut salaire,The University of Manitoba,"Winnipeg, MB R3T 2N2",2112-Chimistes,1
Manitoba,   Bas salaire,6130054 Manitoba Ltd.,"Winnipeg, MB R3L 0J9",6311-Superviseurs des services alimentaires,1
Manitoba,   Bas salaire,6762981 Manitoba Ltd Janitorial Services,"winnipeg, MB R3E 0W7",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,1
Manitoba,   Bas salaire,MNP LLP,"Winnipeg, MB R3B 3K6",1311-Techniciens en comptabilité et teneurs de livres,1
Manitoba,   Bas salaire,THR Management Systems Inc.,"Steinbach, MB R5G 1N7",1311-Techniciens en comptabilité et teneurs de livres,1
Saskatchewan,     Haut salaire,Candid Trucking Incorporated,"Saskatoon, SK S7K 5Z9",7511-Conducteurs de camions de transport,3
Saskatchewan,     Haut salaire,Gravelbourg Dental Clinic,"Gravelbourg, SK S0H 1X0",3113-Dentistes,1
Saskatchewan,     Haut salaire,Irving Machine Inc,"Tisdale, SK S0E 1T0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Saskatchewan,     Haut salaire,Trans Continental Motor Freight Inc.,"Saskatoon, SK S7L 5X5",7511-Conducteurs de camions de transport,4
Saskatchewan,   Bas salaire,102067002 Saskatchewan Ltd.,"Regina, SK S4N 0P7",6311-Superviseurs des services alimentaires,1
Alberta,     Haut salaire,1984463 Alberta Ltd,"Calgary, AB T2E 8C3","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Alberta,     Haut salaire,Central Protection Services Inc.,"Edmonton, AB T6E 6A4",1311-Techniciens en comptabilité et teneurs de livres,1
Alberta,   Bas salaire,Long for Cleaning Ltd.,"Edmonton, AB T6W 0C8",6315-Surveillants des services de nettoyage,1
Alberta,   Bas salaire,Maple Fun Tours Ltd.,"Banff, AB T1L 1C5","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
Alberta,   Bas salaire,R&J Dance Productions Inc.,"Calgary, AB T2E 1J8",5134-Danseurs,1
Colombie-Britannique,     Haut salaire,1000550 B.C. Ltd,"Surrey, BC V3S 1Y9",1221-Agents d'administration,1
Colombie-Britannique,     Haut salaire,1106591 B.C. LTD.,"Richmond, BC V6X 3Z8","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Colombie-Britannique,     Haut salaire,1194773 BC Ltd,"100 Mile House, BC V0K  2E","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Colombie-Britannique,     Haut salaire,1201756 BC Ltd,"Surrey, BC V3T  5L","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Colombie-Britannique,     Haut salaire,1202955 B.C. LTD.,"Burnaby, BC V5C  6C","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Colombie-Britannique,     Haut salaire,1211488 BC Ltd,"New Westminster, BC V3M 5J8",7511-Conducteurs de camions de transport,2
Colombie-Britannique,     Haut salaire,4U Jewelry Corp.,"Vancouver, BC V6E  3X","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Colombie-Britannique,     Haut salaire,A & I Enterprises Ltd.,"Surrey, BC V3S 3E8",7611-Aides de soutien des métiers et manoeuvres en construction,3
Colombie-Britannique,     Haut salaire,A2Z JANITORIAL SERVICES LTD,"DELTA, BC V4E 1V7",1311-Techniciens en comptabilité et teneurs de livres,1
Colombie-Britannique,     Haut salaire,Accurate Glass Ltd,"Coquitlam, BC V3K 7B2",1221-Agents d'administration,1
Colombie-Britannique,     Haut salaire,Altran Canada Solutions Corp,"Vancouver, BC V6C 3E8",2173-Ingénieurs et concepteurs en logiciel,4
Colombie-Britannique,     Haut salaire,Arora Canadian Immigration Consultancy Inc.,"Surrey, BC V3W 3A8","1123-Professionnels en publicité, en marketing et en relations publiques",1
Colombie-Britannique,     Haut salaire,AVOS CONSTRUCTION LTD,"VANCOUVER, BC V5X 2H5",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
Colombie-Britannique,     Haut salaire,Baba Nand Singh Transport Ltd,"Surrey, BC V3W 1M8",7511-Conducteurs de camions de transport,1
Colombie-Britannique,     Haut salaire,Big Bad Boo Studio's Inc,"Vancouver, BC V6B 2T5",5241-Designers graphiques et illustrateurs,1
Colombie-Britannique,     Haut salaire,Big White Mountain Fitness Ltd.,"Kelowna, BC V1Y  9W","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Colombie-Britannique,     Haut salaire,BORDER CARRIER LTD.,"SURREY, BC V3V 7A5",7511-Conducteurs de camions de transport,4
Colombie-Britannique,     Haut salaire,Brar Motors Ltd.,"Abbotsford, BC V2T 6C7",1221-Agents d'administration,1
Colombie-Britannique,     Haut salaire,BridgeNexus Technologies Inc.,"Vancouver, BC V7Y 1C6","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Colombie-Britannique,     Haut salaire,BSB GLASS & SHOWER DOOR LTD.,"SURREY, BC V3W 3B1",0114-Directeurs d'autres services administratifs,1
Colombie-Britannique,     Haut salaire,BV Grace Holdings Inc.,"Vancouver, BC V5K 2B2","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Colombie-Britannique,     Haut salaire,Cambria College Ltd,"VANCOUVER, BC V6C 2C2","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Colombie-Britannique,     Haut salaire,Canaan College Ltd.,"Burnaby, BC V5J 1C2",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
Colombie-Britannique,     Haut salaire,Canada Top Education Group Inc,"Nanaimo, BC V9R 3A9",4032-Enseignants aux niveaux primaire et préscolaire,1
Colombie-Britannique,     Haut salaire,Cazba Restaurant Ltd.,"North Vancouver, BC V7M 1T4",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,     Haut salaire,CITY FURNITURE & APPLIANCES (KAMLOOPS) LTD,"KAMLOOPS, BC V2E 2N1",6211-Superviseurs des ventes - commerce de détail,1
Colombie-Britannique,     Haut salaire,Claymore Clothes Ltd.,"Vancouver, BC V6A 1W7",0911-Directeurs de la fabrication,1
Colombie-Britannique,     Haut salaire,Colorful Meteor Music Ltd.,"Richmond, BC V7A  1B","0512-Directeurs - édition, cinéma, radiotélédiffusion et arts de la scène",1
Colombie-Britannique,     Haut salaire,CONCORDE MECHANICAL SOLUTION LTD,"SURREY, BC V3W 5J8",7251-Plombiers,3
Colombie-Britannique,     Haut salaire,Cypress Security (2013) Inc.,"Surrey, BC V3W 3M8",0125-Directeurs d'autres services aux entreprises,1
Colombie-Britannique,     Haut salaire,D.J Masonary ltd.,"Surrey, BC V3V 7H1",7281-Briqueteurs-maçons,1
Colombie-Britannique,     Haut salaire,DILAWARI IMMIGRATION SERVICES INC,"Surrey, BC V3W 1R1",1241-Adjoints administratifs,1
Colombie-Britannique,     Haut salaire,Drs. Baird & Shivji Inc.,"Vancouver, BC V6E 4E6",3411-Assistants dentaires,1
Colombie-Britannique,     Haut salaire,East West Gardening Services Ltd.,"SURREY, BC V3Z 9X4","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
Colombie-Britannique,     Haut salaire,Ecological Park Agriculture Inc.,"Richmond, BC V7A 4T7","5122-Réviseurs, rédacteurs-réviseurs et chefs du service des nouvelles",1
Colombie-Britannique,     Haut salaire,Elize Food & Bread Processing & Manufacturing Ltd,"NORTH VANCOUVER, BC V7P 1V7",0911-Directeurs de la fabrication,1
Colombie-Britannique,     Haut salaire,Emcon Trucking Ltd.,"Surrey, BC V4N 6P3",7511-Conducteurs de camions de transport,2
Colombie-Britannique,     Haut salaire,Enersolv Design & Build Ltd,"Burnaby, BC V5J 5J2",7313-Mécaniciens en réfrigération et en climatisation,1
Colombie-Britannique,     Haut salaire,Evilnut Creative Technology Ltd.,"Vancouver, BC V6E 2Y3",5241-Designers graphiques et illustrateurs,1
Colombie-Britannique,     Haut salaire,Faithful Maintenance Ltd.,"Surrey, BC V3W 3M2",6315-Surveillants des services de nettoyage,1
Colombie-Britannique,     Haut salaire,Fascino Imports Ltd,"Surrey, BC V3W 3B2","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Colombie-Britannique,     Haut salaire,Flying Fish Trading Inc.,"Surrey, BC V3S 8N4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Colombie-Britannique,     Haut salaire,FOCUS MEDIA INC,"Richmond, BC V6X 2C3","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Colombie-Britannique,     Haut salaire,Fort Langley Air Ltd,"White Rock, BC V4B 4H5",0731-Directeurs des transports,1
Colombie-Britannique,     Haut salaire,Freya Logging Incorporated,"Prince George, BC V2N 6E6",8241-Conducteurs de machines d'abattage d'arbres,1
Colombie-Britannique,     Haut salaire,Full Force Enterprises INC,"Chilliwack, BC V2R 4E5",0113-Directeurs des achats,1
Colombie-Britannique,     Haut salaire,G.K. Drywall Ltd,"Surrey, BC V3X 0H7",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
Colombie-Britannique,     Haut salaire,Gentleman Jacks Barbershop Inc.,"West Vancouver, BC V7S 2L5","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",2
Colombie-Britannique,     Haut salaire,GENUINE LEARNING ACADEMY FOUNDATION,"Langley, BC V2Z 1B9","1123-Professionnels en publicité, en marketing et en relations publiques",1
Colombie-Britannique,     Haut salaire,Giva Construction Inc.,"West Vancouver, BC V7T 2A3",0711-Directeurs de la construction,1
Colombie-Britannique,     Haut salaire,Grand Performance Auto Inc,"Richmond, BC V6V 1J7",0111-Directeurs financiers,1
Colombie-Britannique,     Haut salaire,Hemkund Remedies Inc,"Surrey, BC V3W 4G1",1241-Adjoints administratifs,1
Colombie-Britannique,     Haut salaire,Herald Language College Coquiltam Ltd.,"Coquitlam, BC V3K 3P5",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
Colombie-Britannique,     Haut salaire,Home Craft Siding & Soffits Ltd.,"Surrey, BC V3S 2L7",1221-Agents d'administration,1
Colombie-Britannique,     Haut salaire,JAGGED EDGE ENTERPRISES LTD,"ABBOTSFORD, BC V2T 5S4",7511-Conducteurs de camions de transport,4
Colombie-Britannique,     Haut salaire,JP Song Holdings Ltd,"Prince Rupert, BC V8J 1M9",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,     Haut salaire,KCH Consulting Services Inc.,"Coquitlam, BC V3B 2P5",0125-Directeurs d'autres services aux entreprises,1
Colombie-Britannique,     Haut salaire,Krishna's Dosa Grill Ltd.,"Surrey, BC V3V 4B4",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,     Haut salaire,Krishna's Dosa Grill Ltd.,"Surrey, BC V3V 4B4",6311-Superviseurs des services alimentaires,1
Colombie-Britannique,     Haut salaire,Little Thai Place Inc.,"Victoria, BC V8T 3P5",0113-Directeurs des achats,1
Colombie-Britannique,     Haut salaire,Long Arm Enterprise Corporation Pvt. Ltd,"Victoria, BC V8W 1H2",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,     Haut salaire,Maan Farms Ltd.,"Abbotsford, BC V2S 7N4","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Colombie-Britannique,     Haut salaire,Maceo Solutions Inc.,"Coquitlam, BC V3B 2P5","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Colombie-Britannique,     Haut salaire,Maple Leaf Auto Service Ltd,"Richmond, BC V6V 1J4",1225-Agents aux achats,1
Colombie-Britannique,     Haut salaire,Marathon Homes Ltd,"Surrey, BC V3Z 0Z5",0621-Directeurs - commerce de détail et de gros,1
Colombie-Britannique,     Haut salaire,Marathon Homes Ltd,"Surrey, BC V3Z 0Z5",1311-Techniciens en comptabilité et teneurs de livres,1
Colombie-Britannique,     Haut salaire,Masita Korean Cuisine Ltd.,"Burnaby, BC V5E 1C5",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,     Haut salaire,Nag and Usha Marble Renewal Contracting Limited,"Abbotsford, BC V3G 0C6","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Colombie-Britannique,     Haut salaire,Natural Coast Pack Manufacturing Company Ltd.,"North Vancouver, BC V7M 2H9",9214-Surveillants dans la fabrication de produits en caoutchouc et en plastique,1
Colombie-Britannique,     Haut salaire,Naushad Ahmed Law Corporation,"Vancouver, BC V5V 4E8",1242-Adjoints administratifs juridiques,1
Colombie-Britannique,     Haut salaire,NEWTOP SHEET METAL LTD.,"Richmond, BC V6X 0B9",0213-Gestionnaires des systèmes informatiques,1
Colombie-Britannique,     Haut salaire,North Delta Transport Ltd,"Chilliwack, BC V2R 5L1",7511-Conducteurs de camions de transport,2
Colombie-Britannique,     Haut salaire,NOVASTONE INC,"Burnaby, BC V5A 1T4",1241-Adjoints administratifs,1
Colombie-Britannique,     Haut salaire,O Canada Drywall Ltd,"Surrey, BC V3W 5N2",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),2
Colombie-Britannique,     Haut salaire,Optimus Commodities Inc,"North Vancouver, BC V7N 4N7",0621-Directeurs - commerce de détail et de gros,1
Colombie-Britannique,     Haut salaire,Pacific Salmon Industries Inc,"Surrey, BC V3W 4G1","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
Colombie-Britannique,     Haut salaire,Pavitter Transport Ltd.,"Surrey, BC V4N 5N9",7511-Conducteurs de camions de transport,2
Colombie-Britannique,     Haut salaire,Prime Hut Pizza & Indian Cuisine Inc.,"Delta, BC V4C 6S2",1311-Techniciens en comptabilité et teneurs de livres,1
Colombie-Britannique,     Haut salaire,PROJECT X SLAB INC.,"North Vancouver, BC V7P 0B7",2232-Technologues et techniciens en génie mécanique,1
Colombie-Britannique,     Haut salaire,Richmond Plywood Corporation Limited,"Richmond, BC V6V 1K7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Colombie-Britannique,     Haut salaire,Safetech Scaffold Ltd,"Surrey, BC V3V 4K8",7204-Entrepreneurs et contremaîtres en charpenterie,2
Colombie-Britannique,     Haut salaire,SHB HOLDINGS LTD.,"Vancouver, BC V5X 4V9",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,     Haut salaire,SHL Construction Ltd.,"Vancouver, BC V5X 2C8",7271-Charpentiers-menuisiers,2
Colombie-Britannique,     Haut salaire,Slate Upper Mainland Inc.,"Prince Rupert, BC V8J 1L6",1223-Agents des ressources humaines et de recrutement,1
Colombie-Britannique,     Haut salaire,SLICC Professional Services Ltd.,"Vancouver, BC V5M 1A4",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,2
Colombie-Britannique,     Haut salaire,Square One Insurance Services Inc.,"VANCOUVER, BC V6B 4N8",6231-Agents et courtiers d'assurance,1
Colombie-Britannique,     Haut salaire,Stitches Creation Inc.,"Burnaby, BC V5J 5K4",5241-Designers graphiques et illustrateurs,1
Colombie-Britannique,     Haut salaire,Supertech Automotive Service Centre Inc,"North Vancouver, BC V7P 1R9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Colombie-Britannique,     Haut salaire,Supreme Sprinklers Inc,"Richmond, BC V6V 3B6","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
Colombie-Britannique,     Haut salaire,Teja Trucking Ltd,"Abbotsford, BC V2T 3S5",7511-Conducteurs de camions de transport,6
Colombie-Britannique,     Haut salaire,The Cao Law Corporation,"Vancouver, BC V6S 2E7",1242-Adjoints administratifs juridiques,1
Colombie-Britannique,     Haut salaire,The Wheats Parent-Child Workshop Limited,"Vancouver, BC V1Y 1K4","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Colombie-Britannique,     Haut salaire,Top Consulting Group Inc.,"Vancouver, BC V6M 2A3",2281-Techniciens de réseau informatique,1
Colombie-Britannique,     Haut salaire,Trans Empire Logistics Inc,"Surrey, BC V2W 3E9",1311-Techniciens en comptabilité et teneurs de livres,1
Colombie-Britannique,     Haut salaire,UBA Home Inc.,"Vancouver, BC V6B 2Z4",0621-Directeurs - commerce de détail et de gros,1
Colombie-Britannique,     Haut salaire,Unihealth Therapeutic Centre Ltd,"Vancouver, BC V6Z 2P5",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
Colombie-Britannique,     Haut salaire,Unique Telecommunications Inc.,"Burnaby, BC V5J 3J1","1123-Professionnels en publicité, en marketing et en relations publiques",1
Colombie-Britannique,     Haut salaire,Unity Transport Ltd,"ABBOTSFORD, BC V2T 6S9",7511-Conducteurs de camions de transport,2
Colombie-Britannique,     Haut salaire,VANGUARD PAINTING LTD.,"VANCOUVER, BC V5L 1K5",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
Colombie-Britannique,     Haut salaire,VEDAWIN Wellness Co. Ltd.,"Surrey, BC V4A 9E7",0621-Directeurs - commerce de détail et de gros,1
Colombie-Britannique,     Haut salaire,Vert Chanel Services Corp.,"North Vancouver, BC V7M  3K","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Colombie-Britannique,     Haut salaire,Virsa Video & Computers Ltd.,"Surrey, BC V3W 1R1",6221-Spécialistes des ventes techniques - commerce de gros,1
Colombie-Britannique,     Haut salaire,West Pacific Consulting Group Managed Services Inc.,"Vancouver, BC V6E 4M3",1311-Techniciens en comptabilité et teneurs de livres,1
Colombie-Britannique,     Haut salaire,Westberry Farms Ltd,"Abbotsford, BC V2S 7Y8","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
Colombie-Britannique,     Haut salaire,WM Fashion Universal Ltd,"Vancouver, BC V5Z 1S7",0911-Directeurs de la fabrication,1
Colombie-Britannique,   Bas salaire, Geeta's Beauty Salon & Spa Ltd.,"Richmond, BC V6Y 1V1","6562-Esthéticiens, électrolystes et personnel assimilé",1
Colombie-Britannique,   Bas salaire,0785182 B.C. LTD,"Surrey, BC V3V 4C1",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,0808204 BC Ltd dba Apex Liquor Market,"Vancouver, BC V5P 3X9",6211-Superviseurs des ventes - commerce de détail,1
Colombie-Britannique,   Bas salaire,0847939 B.C Ltd.,"Vancouver, BC V6A 1N4",6512-Barmans/barmaids,1
Colombie-Britannique,   Bas salaire,0903995 BC LTD.,"Burnaby, BC V5H 2E6",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,1088136 B.C. LTD,"Surrey, BC V3W 2N8",6322-Cuisiniers,2
Colombie-Britannique,   Bas salaire,1196547 BC LTD,"West Vancouver, BC V7V 1J6",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,1204605 B.C. LTD,"Coquitlam, BC V3K 4X8",7272-Ébénistes,1
Colombie-Britannique,   Bas salaire,A Taste of Punjab Restaurant Ltd.,"Surrey, BC V3T 4G1",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Air Hair Salon & Esthetics Ltd.,"Vancouver, BC V6B 3A4",6341-Coiffeurs et barbiers,1
Colombie-Britannique,   Bas salaire,Akram I & N Services LTD,"Bear Lake, BC V0J 3G0",6311-Superviseurs des services alimentaires,1
Colombie-Britannique,   Bas salaire,Ale Petty Food Services Ltd.,"Vancouver, BC V6M 4K9",6311-Superviseurs des services alimentaires,1
Colombie-Britannique,   Bas salaire,An Elegant Touch Home Staging & Design Inc.,"Richmond, BC V6X 1N6",1221-Agents d'administration,1
Colombie-Britannique,   Bas salaire,Artistic Drywall Ltd.,"Surrey, BC V3W 3L7",7611-Aides de soutien des métiers et manoeuvres en construction,1
Colombie-Britannique,   Bas salaire,Axl Amazing Xpress Ltd.,"Abbotsford, BC V2T 6Z8",1241-Adjoints administratifs,1
Colombie-Britannique,   Bas salaire,BC NEW STYLE PAINTING LTD.,"Surrey, BC V3W 1L4",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),2
Colombie-Britannique,   Bas salaire,Bhullar Enterprises Inc dba Atlas Animal Hospital,"Vancouver, BC V5W 2Z4",1243-Adjoints administratifs médicaux,1
Colombie-Britannique,   Bas salaire,Bright Jenny Coffee Inc,"Kelowna, BC V1Y 7G5",6311-Superviseurs des services alimentaires,1
Colombie-Britannique,   Bas salaire,Cafe Crepe Inc.,"Vancouver, BC V6E 1A7",0621-Directeurs - commerce de détail et de gros,1
Colombie-Britannique,   Bas salaire,Cambridge Immigration Solutions Inc,"Surrey, BC V3W 1R1",1241-Adjoints administratifs,1
Colombie-Britannique,   Bas salaire,CITY FURNITURE & APPLIANCES (KAMLOOPS) LTD,"KAMLOOPS, BC V2E 2N1",7452-Manutentionnaires,1
Colombie-Britannique,   Bas salaire,Cleantouch Management Services Ltd.,"Langley, BC V3A 3X2",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,2
Colombie-Britannique,   Bas salaire,Cypress Security (2013) Inc.,"Surrey, BC V3W 3M8",6541-Agents de sécurité et personnel assimilé des services de sécurité,2
Colombie-Britannique,   Bas salaire,Dae-Ji Food Group Inc.,"Burnaby, BC V5H 4T6",0631-Directeurs de la restauration et des services alimentaires,1
Colombie-Britannique,   Bas salaire,DEGA Holdings Ltd o/a Tim Hortons,"SQUAMISH, BC V8B 0K5",6311-Superviseurs des services alimentaires,7
Colombie-Britannique,   Bas salaire,Dinestcorp Holding Ltd,"RICHMOND, BC V7C 0B8",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Dinestcorp Holding Ltd,"RICHMOND, BC V7C 0B8",6513-Serveurs d'aliments et de boissons,1
Colombie-Britannique,   Bas salaire,DUMONDE SERVICES MANAGEMENT INC.,"VANCOUVER, BC V6H 3X8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Colombie-Britannique,   Bas salaire,"EK CONSULTING CO., LTD.","Richmond, BC V6X 0J8",1241-Adjoints administratifs,1
Colombie-Britannique,   Bas salaire,Euro Food Plus Enterprises Inc,"vancouver, BC V6G 1C7",6211-Superviseurs des ventes - commerce de détail,1
Colombie-Britannique,   Bas salaire,FAITH FELLOWSHIP BAPTIST CHURCH,"Burnaby, BC V5S 1J6",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Colombie-Britannique,   Bas salaire,Fire-Tech Sprinklers Ltd.,"richmond, BC V7A 3S5","7252-Tuyauteurs, monteurs d'appareils de chauffage et poseurs de gicleurs",1
Colombie-Britannique,   Bas salaire,FLEETWOOD PIZZA LTD,"SURREY, BC V4N 0X8",6322-Cuisiniers,1
Colombie-Britannique,   Bas salaire,Global Class Group Immigration and Education Consulting Services Inc,"Port Coquitlam, BC V3C 5N1",0601-Directeurs des ventes corporatives,1
Colombie-Britannique,   Bas salaire,Goodrich Terminal 2012 Ltd,"Surrey, BC V3V 3V7",1241-Adjoints administratifs,1
Colombie-Britannique,   Bas salaire,Hican International Consulting Ltd.,"Richmond, BC V6X 3M1",1241-Adjoints administratifs,1
Colombie-Britannique,   Bas salaire,Hillcrest Resort Hotel,"Revelstoke, BC V0E 2S0","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
