Province/Territoire,"Volet du programme",Employeur,Adresse,Profession,"Postes demandes"
Colombie-Britannique,"Haut salaire","Career Ladder Education and Technology Inc.","Vancouver, BC V6E 3V6","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Colombie-Britannique,"Haut salaire","Columbia St. Liquor Store Inc.","New Westminster, BC V3L 1A6","0621-Directeurs - commerce de détail et de gros",1
Colombie-Britannique,"Haut salaire","Dreamwork Masonry Ltd","Chilliwack, BC V2R 0C8",7281-Briqueteurs-maçons,1
Colombie-Britannique,"Haut salaire","EMPIRE MASONRY LTD.","LANGLEY, BC V3A 3X8","7611-Aides de soutien des métiers et manoeuvres en construction",1
Colombie-Britannique,"Haut salaire","Gira Restaurants Ltd.","North Vancouver, BC V7P 1T8","0631-Directeurs de la restauration et des services alimentaires",1
Colombie-Britannique,"Haut salaire","Grandvilla Construction Ltd.","surrey, BC V3W 4E8",7271-Charpentiers-menuisiers,4
Colombie-Britannique,"Haut salaire","HighAngle Contracting Inc.","Coquitlam, BC V3K 6W5","7245-Monteurs de lignes et de câbles de télécommunications",1
Colombie-Britannique,"Haut salaire","Josan Trucking Ltd.","Surrey, BC V3V 1E4","7511-Conducteurs de camions de transport",5
Colombie-Britannique,"Haut salaire","Jujhar Painting Ltd","Surrey, BC V3W 2X1","7294-Peintres et décorateurs (sauf décorateurs d'intérieur)",2
Colombie-Britannique,"Haut salaire","K Williams Developments Ltd","Cumberland, BC V0R 1S0",7271-Charpentiers-menuisiers,1
Colombie-Britannique,"Haut salaire","Milo European Cars Specialists Ltd.","Vancouver, BC V5V 3C2","1241-Adjoints administratifs",1
Colombie-Britannique,"Haut salaire","Pizza Knight Ltd.","Surrey, BC V3S 7H2","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Colombie-Britannique,"Haut salaire","STANDOUT EDUCATION CENTRE LTD.","Richmond, BC V6X 3R8","1123-Professionnels en publicité, en marketing et en relations publiques",1
Colombie-Britannique,"Haut salaire","Stellar Wall & Ceiling System Ltd.","Surrey, BC V3S 3A4","1411-Employés de soutien de bureau généraux",1
Colombie-Britannique,"Haut salaire","Tophay Agri-Industries Inc.","Vanderhoof, BC V0J 3A1","0911-Directeurs de la fabrication",1
Colombie-Britannique,"Haut salaire","Treetop Marketing and Promotion Inc","Vancouver, BC V6A 4C9","1241-Adjoints administratifs",1
Colombie-Britannique,"Haut salaire","Vege Garden Pizza & Coffee Shop","Surrey, BC V3W 4G1","0631-Directeurs de la restauration et des services alimentaires",1
Colombie-Britannique,"Haut salaire","Walltopia Canada Inc.","North Vancouver, BC V7M 2T5","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",3
Colombie-Britannique,"Haut salaire","Your Movement Matters Inc.","Vancouver, BC V5Z 1K1","3237-Autre personnel technique en thérapie et en diagnostic",1
Yukon,"Bas salaire","Options for Independence Society","Whitehorse, YT Y1A 1G9","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",1
Yukon,"Bas salaire","Ruby Range Outfitters 2009 Ltd.","Whitehorse, YT Y1A 7A2","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
Yukon,"Haut salaire","Spectrum Security-Sound Ltd.","Whitehorse, YT Y1A 2V2","7445-Autres réparateurs et préposés à l'entretien",1
Nunavut,"Haut salaire","EPLS PROPERTIES LTD","ARVIAT, NU X0C 0E0","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",2
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Art Class Content","New York, 10013","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Caviar LA, LLC","Los Angeles, 90028","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Community Films Inc. dba Community Films","Los Angeles, 90010","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Fancy Content","Los Angeles, 90048","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Morton Jankel Zander, Inc","Los Angeles, 90064","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Park Pictures, LLC","New York, 10010","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Pulse Films","Los Angeles, 90291","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Rattling Stick","El Segundo, 90245","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Reverie Content Inc.","Sherman Oaks, 91403","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire","Sanctuary Content, Inc.","Culver City, 90034","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
"Les employeurs exerçant leurs activités au Canada avec un siège social à l'extérieur du Canada","Haut salaire",Untitled,"Santa Clarita, 91354","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Notes:,,,,,
"1. Tous les renseignements utilisés dans la présente publication proviennent du Système d'étude d'impact sur le marché du travail (SEIMT) d'Emploi et Développement social Canada.",,,,,
"2. Cette liste exclut tous les informations personnelles, tels que le nom des employeurs des fournisseurs de soins à domicile ou les noms d'entreprises qui incluent des noms personnels. Pour cette raison, cette liste est incomplète et ne contient pas tous les employeurs qui ont soumis ou obtenu une EIMT. Si un employeur souhaite communiquer avec EDSC concernant l'exactitude de leur information, prière de communiquer au NA-TFWP-PTET@hrsdc-rhdcc.gc.ca.  ",,,,,
"3. Les noms des employeurs sont entrés manuellement dans le Système et peuvent faire l’objet d’erreurs dans la saisie de donnée.           ",,,,,
" 4. Le système de Classification nationale des professions (CNP) 2011, est utilisé depuis novembre 2016. Avant novembre 2016, les professions classifiées sous le CNP 2006 étaient converti selon les professions correspondantes sous le CNP 2011. Une concordance empirique développée par Statistique Canada a été utilisée pour identifier la classification équivalente.                                                                              ",,,,,
"5. En vigueur à partir de février 2018, toutes les EIMT en appui à la résidence permanente (RP) sont exclues des rapports statistiques du PTET, sauf lorsque distinguées séparément. Ceci pourrait affecter les statistiques rapportées au fil du temps.",,,,,
"6. Les données issues du SEIMT concernent le nombre de postes de TÉTs visés, et non le nombre de permis de travail délivrés. Pour obtenir des renseignements sur le nombre de permis de travail délivrés, consultez le document: Faits et chiffres d'Immigration, Réfugiés et Citoyenneté Canada (IRCC) : www.cic.gc.ca/francais/ressources/statistiques/menu-faits.asp",,,,,
"7. Les chiffres indiqués dans la présente publication peuvent différer légèrement de ceux contenus dans les versions précédentes des statistiques des EIMT, en raison des mises à jour des données qui ont eu lieu entre temps.",,,,,
