Newfoundland and Labrador,, 
Little Italy Bakery,"306 Preston Street, Ottawa, ON  K1R 7R6",1
Live Better Sprouting Innovation,"438 West Front Street, PO Box 843, Stirling, ON  K0K 3E0",1
LiveQoS,"535 Legget Drive, Suite 500, Kanata, ON  K2K 3B8",2
Lizak Farms,"104-155 Main Street East, Suite 310, Grimsby, ON  L3M 1P2",4
LJA Farms Inc,"1281 Road 3 East, Kingsville, ON  N9Y 2E5",20
Lloyd's Register North America Inc.,"5420 North Service Road, Burlington, ON  L7L 6C7",2
Load Solutions Inc.,"7294 Mason Road, Cambridge (Puslinch), ON  N3C 2V4",1
Loblaws Inc.,"1 President's Choice Circle, Brampton, ON  L6Y 5S5",2
Lockhem Productions Inc.,"755 Queensway East, Suite 302, Mississauga, ON  L4Y 4C5",4
Loewen Prosthetic Services Ltd.,"1505 Prince Road, Windsor, ON  N9C 3B1",1
Loffredo Fruit Farms,"1629 3rd Avenue Louth, RR 3, St. Catharines, ON  L2R 6P9",5
Lohmann Tierzucht Canada Ltd,"180 Garden Avenue, Brantford, ON  N3S 7W4",5
London Health Sciences Centre,"800 Commissioners Road East, London, ON  N6A 5W9",5
London Health Sciences Foundation,"747 Base Line Road East, London, ON  N6C 2R6",1
London Squash Racquets Club,"76 Albert Street, London, ON  N6A 1L8",1
Long View Systems Corporation,"36 Lombard Street, 6th Floor, Toronto, ON  M5C 2X3",1
Longyuan Canada Renewables Ltd.,"161 Bay Street, Suite 4550, Toronto, ON  M5J 2S1",1
Lopes Farms Inc,"273 Concession Eight Road, Harley, ON  N0E 1E0",31
Lorne Park Nurseries Ltd,"149 Peters Road, RR 4, Colborne, ON  K0K 1S0",2
Lovely Imports and Retails Ltd.,"2205 Jane Street, North York, ON  M3M 1A5",1
Lower Bay Films Inc.,"730 Hickory Ridge Common, London, ON  N6G 5B3",3
Lucvaa Kitchens,"5 Racine Road, Etobicoke, ON  M9W 2Z2",1
Luminato,"180 Shaw Street, Suite 301, Toronto, ON  M6J 2W5",2
Lunarch Studios Inc.,"180 King Street South, Unit 260, Waterloo, ON  N2J 1P8",1
Lundy Potato Farms Ltd,"4620 7th Concession, Box 635, Alliston, ON  L9R 1V8",13
Lusight Research,"55 Bloor Street West, Toronto, ON  M4W 3T9",1
Luso Canadian Masonry Ltd,"312 Westmorland Avenue, Toronto, ON  M6H 3A5",1
Lutesville Farms Ltd,"61 Lutesville Road, RR 1, Waterford, ON  N0E 1Y0",26
M & J McElhone Farming Inc,"312 Windham Road 6, RR 1, La Salette, ON  N0E 1H0",17
M & M Farms Ltd,"331 Talbot Street West, Leamington, ON  N8H 4H3",12
M P Slegers Ltd,"7480 Calvert Drive, Strathroy, ON  N7G 3H5",8
M Putzer Hornby Nursery Ltd,"7314 Sixth Line, Hornby, ON  L0P 1E0",14
M Squared Contracting Inc.,"47 Scarlett Road, Toronto, ON  M6N 4J8",2
M Squared Tile and Stone Inc,"2961 Dufferin Street, Unit 407, Toronto, ON  M6B 3T2",1
M.S.S. Machining Industries Ltd.,"153 Rutherford Road South, Unit A, Brampton, ON  L6W 3N5",2
Mac1 Industries Ltd.,"1200 Aerowood Drive, Unit 10, Mississauga, ON  L4W 2S7",1
MacBury Farm Inc,"245 Golf Links Road, Burford, ON  N0E 1A0",15
Macedo Farms,"1117 Line 7 Road RR 6, Niagara-on-the-Lake, ON  L0S 1J0",3
Mackenzie Health,"10 Trench Street, Richmond Hill, ON  L4C 4Z3",1
Mac's Sushi,"550 King Street North, Unit K6, Waterloo, ON  N2L 5W6",1
MacSween Farms Ltd,"1171 McNab Road, Niagara-on-the-Lake, ON  L0S 1J0",33
Macuto Nurseries,"Box 284, Keswick, ON  L4P 3E2",5
MAD Farms Inc,"19060 Harwich Road, Blenheim, ON  N0P 1A0",7
Maelstrom aka Pacific Rim II,"225 Commissioners Street, Suite 402, Toronto, ON  M4M 0A1",1
Mae-Mart Farms Ltd,"1816 Concession 8, Waterford, ON  N0E 1Y0",4
Magalas Farms Ltd,"228 McMichael Road, RR 4, Waterford, ON  N0E 1Y0",2
Magalas Produce Ltd,"315 Concession 6 Townsend Road, Waterford, ON  N0E 1Y0",133
Magri Greenhouses Inc,"312 Mersea Road 3, RR 2, Leamington, ON  N8H 3V5",9
Maintenance Assistant Inc.,"35 Golden Avenue, Suite A-201, Toronto, ON  M6R 2J5",2
"Make it Pop, Season 2","220 Bartley Drive, Toronto, ON  M4A 1G1",5
MAKS Farms Inc,"Box 24, Tillsonburg, ON  N4G 4H3",10
Malado Restaurant,"2437 Finch Avenue West, Unit 2, Toronto, ON  M9M 2E7",1
Malecki Farms Ltd,"436 Pleasant Ridge Road, RR 2, Brantford, ON  N3T 5L5",10
Malo Bros Farms Ltd,"100 Ryerse Road, Simcoe, ON  N3Y 4K2",4
Malpack Ltd,"510 Finley Avenue, Ajax, ON  L1S 2E3",1
Maluuba Inc.,"140 Columbia Street West, 1st Floor, Waterloo, ON  N2L 3K8",8
Mandarin Restaurant,"366 Bunting Road, St. Catharines, ON  L2M 3Y6",1
Manderley Turf Products Inc,"17269 Lafleche Road, Moose Creek, ON  K0C 1W0",5
Manitree Fruit Farms,"8445 Talbot Trail, RR 1, Blenheim, ON  N0P 1A0",36
Mann Machines and Hydraulic Ltd,"245 Advance Boulevard, Brampton, ON  L6T 4J2",1
Manpasand Indian Cuisine Inc.,"735 Middlefield Road, Unit 1 & Unit 2, Scarborough, ON  M1V 5H5",1
Mansteel Rebar Limited,"105 Industrial Road, Richmond Hill, ON  L4C 2Y4",1
Manulife Financial Corporation,"200 Bloor Street East, NT6-A22, Toronto, ON  M4W 1E5",1
Maple Crest Farms a Div of VanHoffen Farms (1999) Ltd,"316 Mud Street, Grassie, ON  L0R 1M0",5
Maple Dell Farms Ltd,"265794 Maple Dell Road, RR 1, Norwich, ON  N0J 1P0",4
Maple Diversity Communications Inc.,"4291 Village Centre Court, Suite 100, Mississauga, ON  L4Z 1S2",1
Maple Home Farms,"356819 Townline Road, Clarksburg, ON  N0H 1J0",5
Maple Lake Limited,"60 Columbia Way, Suite 502, Markham, ON  L3R 0C9",1
Maple Leaf Foods Inc,"6985 Financial Drive, Mississauga, ON  L5N 0A1",1
Maple Leaf Nurseries Ltd,"3197 Culp Road, Jordan, ON  L0R 1S0",57
Maple Leaf Sports & Entertainment Ltd.,"50 Bay Street, Suite 500, Toronto, ON  M5J 2L2",1
Maple Reinders Constructors Ltd.,"2660 Argentia Road, Mississauga, ON  L5N 5V4",2
Maple Reinders Inc.,"2660 Argentia Road, Mississauga, ON  L5N 5V4",1
Maple Terrazzo Marble & Tile Inc.,"16 Nixon Road, Bolton, ON  L7E 1K3",7
Marcel Bourdon Ltd,"18408 Concession 15, Maxville, ON  K0C 1T0",5
Mari Holdings Canada Ltd.,"337 Queen Street West, Toronto, ON  M5V 2A4",1
Marini Foods Ltd.,"184 Toryork Drive, Toronto, ON  M9L 1X6",1
Marinuk Farms (1994) Ltd,"177 Oakland Road, Scotland, ON  N0E 1R0",2
Mar-John's Nursery Ltd,"1060 Lobsinger Line, RR 1, Waterloo, ON  N2J 4G8",11
Mark Media,"344 Consumers Road, Toronto, ON  M2J 1P8",1
Market IQ Inc.,"111 Richmond Street West, 5th Floor, Toronto, ON  M5H 3K6",1
Marques Gardens Ltd,"274 Miller Park Avenue, Box 1134, Bradford, ON  L3Z 2B4",3
Marquis Entertainment Inc.,"73 Richmond Street West, Suite 312, Toronto, ON  M5H 4E8",1
Marshland Gardens Ltd,"1587 Canal Road, Bradford, ON  L3Z 2A6",6
Marston Produce Co Inc,"116 10th Concession Road, RR 2, Langton, ON  N0E 1G0",54
Martin Farms Ltd,"4925 Martin Road, Vineland Station, ON  L0R 2E0",12
Martin Gerkes Orchards,"186 Kingsview Boulevard, Apt. 304, Toronto, ON  M9R 1V6",6
Masfrankc Garden Centre,"2188 West Corner Drive, RR 3, Parkhill, ON  N0M 2K0",3
Massey's Fine Indian Cuisine,"344 Plane Tree Drive, London, ON  N6G 5J2",1
Master Kim's OMAC Taekwondo World,"3450 Dundas Street, Burlington, ON  L7M 4B8",1
Mastr Grow Farms Inc,"453 Seacliff Drive West, Leamington, ON  N8H 4C9",10
Mastr Veggies Farms Inc,"453 Seacliff Drive West, Leamington, ON  N8H 4C9",16
Mastro T Farms/1078329 Ont Ltd,"325 Talbot Street West, Leamington, ON  N8H 4H3",18
Mastron Enterprises Ltd,"2100 Road 4 East, Kingsville, ON  N9Y 2E5",75
Mathematics,"33 Britain Street, 2nd Floor, Toronto, ON  M5A 1R7",2
Matsu Manufacturing Inc.,"7297 East Banbro Crescent, Mississauga, ON  L5N 6P8",1
Matsuda Japanese Cuisine,"5651 Steeles Avenue East, Suites 13A-13B, Toronto, ON  M1V 5P6",1
Matthew Sobczyk,"283 5th Concession Road, RR 3, Burford, ON  N0E 1A0",7
Matthews Equipment Ltd. o/a Hertz Equipment Rental,"2 Convair Drive East, Etobicoke, ON  M9W 7A1",1
Maverick Studio for Men,"75 Lower Simcoe Street, Toronto, ON  M5J 3A6",2
Maw's Lakeview Orchard,"1712 Caminiti Crescent, Ottawa, ON  K4A 1M1",6
Max & Shred 2 Productions Inc.,"35 Britain Street, Toronto, ON  M5A 1R7",1
Maxwell Apple Orchards,"Box 251, Clarksburg, ON  N0H 1J0",32
Mayar International Inc.,"101 Amber Street, Units 11-13, Markham, ON  L3R 3B2",1
MCC Asset Management Inc.,"15 Wertheim Court, Suite 611, Richmond Hill, ON  L4B 3H7",1
MCC III Productions Inc.,"772 Dovercourt Road, Toronto, ON  M6H 0A2",2
McCain Foods Limited,"439 King Street West, Toronto, ON  M5V 1K4",1
McCloskey International Limited,"1 McCloskey Road, Keene, ON  K9J 0G6",38
McCreary Farm,"7651 McCreary Line, RR 4, Wallaceburg, ON  N8A 4L1",10
McDonald International Academy,"920 Yonge Street, 2nd Floor, Toronto, ON  M4W 3C7",1
McElhone Farms Limited,"100 Windham Road 6, RR 1, La Salette, ON  N0E 1H0",52
McGeachy Farms 1997 Ltd,"361 Indian Creek Road East, RR 3, Chatham, ON  N7M 5J3",6
McGregor's Produce,"351 Lochwinnoch Road, Braeside, ON  K0A 1G0",40
MCI Medical Clinics Inc.,"1 Yorkdale Road, Suite 320, Toronto, ON  M6A 3A1",1
McKeil Marine Limited,"208 Hillyard Street, Hamilton, ON  L8L 6B6",1
McKinsey & Company Canada,"110 Charles Street West, Toronto, ON  M5S 1K9",1
McLean Berry Farm Ltd,"2191 16th Line, Lakefield, ON  K0L 2H0",14
MCM Acres Ltd,"279 Talbot Street West, Leamington, ON  N8H 4H3",51
McMaster University,"1280 Main Street West, Hamilton, ON  L8S 4K1",9
McMurchy Farms,"496476 Grey Road 2, RR 2, Clarksburg, ON  N0H 1J0",6
Me to We Style Inc.,"233 Carlton Street, Toronto, ON  M5A 2L2",1
Meadow Lynn Farms,"144 Decou Road, Simcoe, ON  N3Y 4K2",3
Meaford Knights,"32 Sykes Street North, PO Box 3296, Meaford, ON  N4L 1A5",1
Meating at the Bottom Line,"22 Front Street, Toronto, ON  M5J 1C4",1
Med Flavour Incorporated,"20 Eglinton Avenue West, Suite 2202, PO Box 2023, Toronto, ON  M4R 1K8",1
Meditiligence Inc.,"2951 Walkers Line, Burlington, ON  L7M 4Y1",1
Mega City Tiling,"390 Edgeley Boulevard, Unit 8, Concord, ON  L4K 3Z6",9
Meister's Sweets,"255 Derby Road, Crystal Beach, ON  L0S 1B0",1
Meleg's Lakeview Orchard,"158 Arner Townline, Kingsville, ON  N9Y 2E6",6
Mellohawk Logistics Inc.,"2740 Matheson Boulevard East, Suite 5, Mississauga, ON  L4W 4X3",1
Mels Farms Ltd,"1055 Regional Road 9, RR 1, Windham Centre, ON  N0E 2A0",24
Mendonca Holdings Inc.,"145288 Potters Road, RR 2, Tillsonburg, ON  N4G 4G7",4
Mendrek Farms Produce,"Box 1435, Bradford, ON  L3Z 2B7",2
Menhaven Farms Inc,"3992 Teeterville Road, RR 2, Vanessa, ON  N0E 1V0",2
Mennie Canada Limited,"5145 Steeles Avenue West, Unit 3, Toronto, ON  M9L 1R5",1
Mentor Tech Source Inc.,"100 All State Parkway, Suite 803, Markham, ON  L3R 6H3",1
Mercer (Canada) Limited,"120 Bremner Boulevard, Suite 800, Toronto, ON  M5J 0A8",3
Mercer (Canada) Limited,"Brookfield Place, 161 Bay Street, Toronto, ON  M5J 2S5",3
Mercury Filmworks,"53 Aurgia Drive, Ottawa, ON  K2E 8C3",1
Mersea Farms,"511 Road 6, RR 5, Leamington, ON  N8H 3V8",2
Merzon Company Ltd,"300 Taylor Road, St. Catharines, ON  L0S 1J0",1
Metro Supply Chain Group Inc.,"1401 Creditstone Road, Concord, ON  L4K 4N7",1
Metrolinx,"20 Bay Street, Suite 600, Toronto, ON  M5J 2W3",1
Meulemeester Farms Ltd,"925 McDowell Road West, RR 1, Langton, ON  N0E 1G0",12
Meyers Can Films Inc.,"2450 Victoria Park Avenue, Toronto, ON  M2J 4A2",3
Meyers Fruit Farms,"1444 Irvine Road, RR 5, Niagara-on-the-Lake, ON  L0S 1J0",29
Mezenberg Greenhouses,"30499 Jane Road, Thamesville, ON  N0P 2K0",2
Mi Ne Japanese Restaurant,"10815 Yonge Street, Suites 1 & 2, Richmond Hill, ON  L4C 3E3",1
Michael Klosler Farms Ltd,"1274 Windham Road 10, RR 1, Windham Centre, ON  N0E 2A0",4
Michael Page International Canada Ltd,"130 Adelaide Street West, Suite 1900, Toronto, ON  M5H 3P5",1
Micronutrient Initiative,"180 Elgin Street, Suite 1000, Ottawa, ON  K2P 2K3",1
Midearth Travel Inc,"738 Bronson Avenue, Ottawa, ON  K1S 4G3",1
Miden Farm Products Co,"PO Box 577, Waterford, ON  N0E 1Y0",16
Mid-Ontario Diesel Limited,"400 Dunlop Street West, Barrie, ON  L4N 1C2",5
Midori Sushi,"526 Grand Avenue East, Unit 1, Chatham, ON  N7L 4Y4",2
Miedema Produce Ltd,"240 Wilhelmena Avenue, Newmarket, ON  L3Y 4V9",5
Milagro Uptown Inc,"3187 Yonge Street, Toronto, ON  M4N 2K9",1
Miles Produce Ltd,"1701 Old Highway 24, RR 1, Waterford, ON  N0E 1Y0",51
Mill Creek Farm,"44 County Road 11, RR 1, Picton, ON  K0K 2T0",4
Millenium Printing Inc.,"139 Balsaltic Road, Concord, ON  L4K 1G4",2
Millennium Research Group,"175 Bloor Street East, South Tower, Suite 400, Toronto, ON  M4W 3R8",1
Miller's Bay Farm,"65 Rideau Ferry Road, Lombardy, ON  K0G 1L0",4
Millers Farm Market & Garden Centre,"6158 Rideau Valley Drive North, Manotick, ON  K4M 1B3",1
Millworks Custom Manufacturing 2001 Inc.,"25 Bertal Road, Unit 9, Toronto, ON  M6M 4M7",2
Milton Equine Hospital,"10207 Guelph Line, RR 1, Campbellville, ON  L0P 1B0",3
Milton's Secret Productions Inc.,"56 The Esplanade, Toronto, ON  M5E 1A7",2
Mirror Interiors Inc,"2504 Bristol Circle, Oakville, ON  L6H 5S1",1
Mirvish Productions,"284 King Street West, Suite 400, Toronto, ON  M5V 1J2",18
Mississauga Metals & Alloys Inc.,"71 Middleton Street, Brantford, ON  N3S 7X1",2
MixPro,"22 Melanie Drive, Suite 10, Brampton, ON  L6T 4K9",1
Mk-Art Stone Construction Inc.,"60 Hanson Road, Suite 18, Mississauga, ON  L5B 2P6",1
ML Ready Mix Concrete Inc.,"29 Judson Street, Toronto, ON  M8Z 1A4",1
MLB Farms Inc,"2418 Front Road, RR 1, Vittoria, ON  N0E 1H0",8
MMC INTERNATIONAL ARCHITECTS Ltd,"819 Yonge Street, Toronto, ON  M4W 2G9",1
MMM Group Limited,"100 Commerce Valley Drive West, Thornhill, ON  L3T 0A1",2
Moauro Farms Ltd,"377 Talbot Street West, Leamington, ON  N8H 4H3",1
Moksha Indian Bistro,"5993 Stanley Avenue, Niagara Falls, ON  L2G 3Y2",2
Moloney Electric Inc.,"35 Leading Road, Toronto, ON  M9V 4B7",1
Molson Coors Canada,"33 Carlingview Drive, Toronto, ON  M9W 5E4",1
Monaghan Mushrooms Ltd,"Box 58, Campbellville, ON  L0P 1B0",205
MoneyKey,"69 Yonge Street, Suite 600, Toronto, ON  M5E 1K3",1
Montecassino Inc.,"3710 Chesswood Drive, Suite 201, Toronto, ON  M3J 2W4",1
Montessori Academy of London Inc.,"711 Waterloo Street, London, ON  N6A 3W1",1
Moonfleet Poultry,"106 Colborne Street North, Suite 11, Walkerton, ON  N0G 2V0",123
Moore Orchards,"1497 Moore Orchard Road, RR 5, Cobourg, ON  K9A 4J8",4
Mooreglen Farms Limited,"911 Moore Line, RR 1, Mooretown, ON  N0N 1M0",1
Mor Gro Farms Inc,"PO Box 577, Leamington, ON  N8H 3X4",36
Moretto Ingratta Farms Inc,"341 Morse Road, Leamington, ON  N8H 3V5",29
Mori Essex Nurseries Ltd,"4150 Jordan Road, PO Box 249, Jordan Station, ON  L0R 1S0",84
Morneau Shepell Ltd.,"895 Don Mills Road Suite 700, Toronto, ON  M3C 1W3",1
MOS Enterprises Ltd,"1475 County Road 34, Ruthven, ON  N0P 2G0",99
Mosaic Sales Solutions,"2700 Matheson Boulevard East, West Tower, Mississauga, ON  L4W 4V9",1
Motek,"1 Atlantic Avenue, Unit 210, Toronto, ON  M6K 3E7",1
Motel 6,"16 Southcrest Court, Brampton, ON  L6P 1T6",1
Mother's Dumplings Ltd.,"421 Spadina Avenue, Toronto, ON  M5T 2G6",1
Mount Sinai Hospital,"600 University Avenue, Toronto, ON  M5G 1X5",1
Mount Sinai Hospital/Samuel Lunenfeld Research Institute,"600 University Avenue, Toronto, ON  M5G 1X5",1
Mountainview Orchards,"3985 Mountainview Road, Beamsville, ON  L0R 1B2",5
Mountsberg Hills Nursery Inc,"374 Mountsberg Road, RR 2, Campbellville, ON  L0P 1B0",1
Movati Athletic,"33 University Avenue West, Suite 400, Windsor, ON  N9A 5N8",1
Movin' Freight Ltd,"5404 Dicocco Court, Oldcastle, ON  N0R 1L0",1
Mozy's Shawarma Inc.,"247 King Street North, Suite 2, Waterloo, ON  N2J 4V2",1
Mr. Paint,"209 Valleyview Court, Oakville, ON  L6L 5H9",1
Mr. Sub,"233 St. Paul Street West, St. Catharines, ON  L2S 2E3",1
Mr. X Inc.,"35 McCaul Street, Suite 100, Toronto, ON  M5T 1V7",13
MSW Television Productions Inc.,"30 Booth Avenue, Suite 300, Toronto, ON  M4M 2M2",16
MTM Automation & Aerospace Inc. Mfg,"375 Michener Road, Guelph, ON  N1K 1E8",4
Mucci Farms Ltd,"1876 Seacliff Drive, Kingsville, ON  N9Y 2N1",99
Mucci Pac Ltd,"1876 Seacliffe Drive, Kingsville, ON  N9Y 2N1",75
MUFG Fund Services (Canada) Limited,"725 Bridge Street West, Suite 101, Waterloo, ON  N2V 2H1",2
Mukut Restaurant,"610 Rideau Street, Ottawa, ON  K1N 6A2",1
Muller Farms Ltd,"69644 Corbett Line, Dashwood, ON  N0M 1N0",2
Multani Masonry Inc,"19 Beaver Crescent, Brantford, ON  N3P 1T3",1
Multitech Contracting 2000 Inc,"91 Pippin Road, Concord, ON  L4K 4J9",3
Munro Honey,"3115 River Street, Box 428, Alvinston, ON  N0N 1A0",8
Murdoch Mysteries Season 9,"66 Hymus Road, Toronto, ON  M1L 2C7",3
Murdock Farms,"1298 Line 6, RR 6, Niagara-on-the-Lake, ON  L0S 1J0",6
Mxi Technologies Ltd,"1430 Blair Place, Suite 800, Ottawa, ON  K1J 9N2",1
My Table Tennis Club,"80E Centurian Drive, Units 6 to 9, Markham, ON  L3R 8C1",3
My-Thai Waterloo,"51 King Street North, Waterloo, ON  N2J 2W9",1
N Sawatzky Farms Inc,"923 Talbot Road East, RR 3, Wheatley, ON  N0P 2P0",23
Nanticoke Greenhouses Ltd,"2492 Highway 24 North, RR 4, Simcoe, ON  N3Y 4K3",8
Narulas Restaurant,"1162 Barton Street East, Hamilton, ON  L8H 2V6",1
Natalex Tobacco Inc,"475 Norfolk County Road 28, Langton, ON  N0E 1G0",4
Nation Wide Canning Ltd,"Box 227, Cottam, ON  N0R 1B0",3
National Aboriginal Achievement Association Ltd o/a National Aboriginal Achievement Foun,"555 Richmond Street West, Suite 1002, Toronto, ON  M5V 3B1",1
National Bait Incorporated,"946 Lakeshore Road East, Mississauga, ON  L5E 1E4",110
National Energy Equipment Inc,"1850 Derry Road East, Mississauga, ON  L5S 1Y6",2
National Pharmacy,"2881 Eglinton Avenue East, Scarborough, ON  M1J 3P4",1
National Restaurant & Banquet Hall,"1000 Finch Avenue West, Unit 120, Toronto, ON  M3J 2V5",1
Nature Fresh Farms Inc,"634 Mersea Road 7, RR 5, Leamington, ON  N8H 3V8",181
Nature Fresh Farms Sales Inc.,"4 Seneca Drive, Leamington, ON  N8H 5H7",6
Nature's Bounty Farm,"651 Scugog Line 2, Port Perry, ON  L9L 1B3",6
Nature's Emporium Bulk and Health Foods Ltd.,"16655 Yonge Street, Unit 27, Newmarket, ON  L3X 1V6",1
Nature's Way Organics,"15 Concession 4, Walsingham, ON  N0E 1X0",2
NB Thrilling Films 2 Inc.,"800 Industrial Avenue, Suite 12, Ottawa, ON  K1G 4B8",1
NB Thrilling Films 6 Inc.,"800 Industrial Avenue, Suite 12, Ottawa, ON  K1G 4B8",2
NB Thrilling Films 7 Inc.,"800 Industrial Avenue, Suite 12, Ottawa, ON  K1G 4B8",3
Neil Wammes Farms Ltd,"19624 Erieau Road, RR 3, Blenheim, ON  N0P 1A0",13
Nelson Medicine Professional Corp.,"301 Victoria Avenue, Fort Frances, ON  P9A 2C1",1
NetCracker Technology Corporation,"30 Fulton Way, Richmond Hill, ON  L4B 1E6",1
Netherend Acres Inc,"275261 27th Line, Thamesford, ON  N0M 2M0",1
Netivot Hatorah Day School,"18 Atkinson Avenue, Thornhill, ON  L4J 8C8",3
Neven Produce Inc,"2928 Governors Road, Lynden, ON  L0R 1T0",10
New Castle Farm Ltd,"414 Mersea Road 3, RR 2, Leamington, ON  N8H 3V5",51
New City Pizza and Indian Cuisine,"10095 Bramalea Road, Unit 104, Brampton, ON  L6R 0K1",2
New Concept Quality Doors Ltd.,"205 Arthur Street, Wingham, ON  N0G 2W0",1
New Generation Woodworking Inc.,"305 Bering Avenue, Etobicoke, ON  M8Z 3A5",1
New Gold Incorporated,"200 Bay Street, Royal Bank Plaza, South Tower, Suite 3120, Toronto, ON  M5J 2J4",2
New India Sweets and Tandoori Restaurant,"1201 Britannia Road West, Suite 17A, Mississauga, ON  L5V 1N2",1
New Legacy Masonry,"1238 Dundas Street West, Toronto, ON  M6J 1X5",1
New Road Farms,"164694 New Road, RR 2, Tillsonburg, ON  N4G 4G7",33
New World Travel,"6126 Yonge Street, Suite 202, North York, ON  M2M 3W7",1
Newbrabant Farms Ltd,"20675 Concession 4 Road, Lancaster, ON  K0C 1N0",3
NewFab Ltd.,"4704 John Street, Beamsville, ON  L0R 1B1",1
Newmarket Medical Centre Inc.,"17725 Younge Street, Suite 2, Newmarket, ON  L3Y 7C1",1
Next Canada,"777 Richmond Street West, Suite 2029, Toronto, ON  M6J 0C2",1
Next Productions,"885 Progress Avenue, Suite 110, Toronto, ON  M1H 3G3",2
Nexxera Innovations Inc.,"6760 Davand Drive, Mississauga, ON  L5T 2K9",2
Niagara Flower Growers,"1167 Line 6, RR 6, Niagara-on-the-Lake, ON  L0S 1J0",2
Niagara Skydive Center Inc.,"435 River Road, Suite 1, Pelham, ON  L3B 5N6",2
Niagara Vintage Harvesters Ltd.,"696 Line 4, Box 370, Virgil, ON  L0S 1T0",2
Nickels Orchards Ltd,"1498 County Road 34, Ruthven, ON  N0P 2G0",10
Nighthawk Orchards,"086124 7 Sideroad, RR 2, Meaford, ON  N4L 1W6",7
Nightingale Farms Limited,"1492 Windham Road 19, La Salette, ON  N0E 1H0",205
Nightwood Theatre,"15 Case Goods Lane, Studio 306, Toronto, ON  M5A 3C4",1
Nijabat Contracting Inc.,"211 Advance Boulevard, Suite 7, Brampton, ON  L6T 4S8",1
Nimble Content,"322 King Street West, Ground Floor, Toronto, ON  M5V 1J2",1
Nirvana - The Flavour Of India,"35 Brunel Road, Suite 5, Mississauga, ON  L4Z 3E8",2
Nokara Limited,"1090 Lakeshore Road West, St. Catharines, ON  L2R 6P9",10
Nokia Solutions and Networks Canada Inc.,"5580 Explorer Drive, Suite 400, Mississauga, ON  L4W 4Y1",1
Noranco Inc.,"55 West Creek Drive, Vaughan, ON  L4L 9N6",1
Norfolk Fields Ltd,"1295 Windham Road 11, RR 1, Windham Centre, ON  N0E 2A0",31
Norfolk Select Commodities Inc,"271 East Quarter Townline Road, RR 2, Burford, ON  N0E 1A0",1
North 42  Farms,"130 County Road 50 East, Harrow, ON  N0R 1G0",2
North American General Contractor Ltd.,"42 Cawthra Avenue, Toronto, ON  M6N 5B3",1
North American Midway Entertainment-Canada Co.,"17 Corporate Place, Unit C, Brantford, ON  N3R 8A6",208
North Bay Regional Health Centre,"50 College Drive, North Bay, ON  P1B 5A4",2
North Canal Produce Inc,"1863 Sideroad 10, Bradford, ON  L3Z 2A4",5
North York General Hospital,"4001 Leslie Street, Toronto, ON  M2K 1E1",1
Northend Gardens 1991 Inc,"4030 15th Street, Box 280, Jordan Station, ON  L0R 1S0",16
Northern Tropix Greenhouses Ltd,"42430 Highway 3, Wainfleet, ON  L0S 1V0",5
Northland Garlic Inc,"211629 Baseline Road, RR 4, Mount Forest, ON  N0G 2L0",4
Northstar Stucco Inc,"1370 Silver Spear Road, Suite 48, Mississauga, ON  L4Y 2X2",3
Northstar Wall Systems Ltd.,"160 Applewood Crescent, Unit 24, Concord, ON  L4K 4H2",1
Northumberland Hills Hospital,"1000 DePalma Drive, Cobourg, ON  K9A 5W6",1
Norwesters Alpine Club,"Box 29063, McIntyre Centre, Thunder Bay, ON  P7B 6P9",1
Not A Real Company 2 Productions Inc.,"225 Commissioners Street, Toronto, ON  M4M 0A1",1
Notable Media Holding Inc.,"416 Richmond Street West, Toronto, ON  M5V 1Y2",1
Notesolution Inc- OneClass,"365 Bloor Street East, Suite 1902, Toronto, ON  M4W 3L4",3
Nougat Bakery & Delicatessen,"348 Lakeshore Road East, Suite 202, Mississauga, ON  N2G 1X1",1
NPC Painting & Contracting Inc,"877 Alness Street, Unit 9, Toronto, ON  M3J 2X4",1
NS Pictures Inc.,"777 Kipling Avenue, Suite 105, Toronto, ON  M8Z 5Z4",39
Nutbrown Farms Ltd,"1855 Old Highway 24, RR 1, Wilsonville, ON  N0E 1Z0",1
Nuvia Canada Inc.,"2 Bloor Street West, Suite 2120, Toronto, ON  M4W 3E2",23
Nuway Auto,"7089 Torbram Road, Suite 8, Mississauga, ON  L4T 1G7",2
Nuyean International Inc.,"151 Amber Street, Unit 11, Markham, ON  L3R 3B3",1
Oak Systems International Inc,"Eaton Centre, 1 Dundas Street West, Suite 2500, Toronto, ON  M5G 1Z3",1
Oaklane Orchards Ltd,"496445 Grey Road, RR 2, Clarksburg, ON  N0H 1J0",12
Oakville Galleries,"1306 Lakeshore Road East, Oakville, ON  L6J 1L6",1
Oakville Martial arts,"2195 Wyecroft Road, Oakville, ON  L6L 5L9",1
Oasis Greehouses Ltd,"24869 Winter Line Road, Chatham, ON  N7M 5J8",5
Obeid Farms,"3457 Teeterville Road, RR 3, Vanessa, ON  N0E 1V0",41
Obero Inc.,"7560 Airport Road, Unit 12, Mississauga, ON  L4T 4H4",1
Oblate Fathers of Assumption Province,"71 Indian Trail, Toronto, ON  M6R 2A1",1
OCI Vacuum Microengineering,"200 Stronach Crescent, London, ON  N5V 3A1",1
OCS Japanese Bookstore,"PO Box 83043, RPO Avondale, Brampton, ON  L6T 5N3",1
