Province/Territory,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes Approuvés 
Québec,  Agriculture primaire,Verger des Bois-Francs inc.,"PRINCEVILLE, QC G6L 4K6",8431-Ouvriers agricoles,70
Québec,  Agriculture primaire,Verger Gibb S.E.N.C.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-Ouvriers agricoles,6
Québec,  Agriculture primaire,Verger Jodoin et frères inc.,"SAINT-JEAN-BAPTISTE, QC J0L 2B0",8431-Ouvriers agricoles,131
Québec,  Agriculture primaire,Verger R et J Bouchard inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-Ouvriers agricoles,4
Québec,  Agriculture primaire,Verger RC Guertin (2011) inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-Ouvriers agricoles,8
Québec,  Agriculture primaire,Verger Roger Côté inc.,"ROUGEMONT, QC J0L 1M0",8431-Ouvriers agricoles,1
Québec,  Agriculture primaire,Verger Thomson inc.,"ST-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-Ouvriers agricoles,29
Québec,  Agriculture primaire,Verger Yvan Duchesne Inc.,"MONT-SAINT-GRÉGOIRE, QC J0J 1K0",8431-Ouvriers agricoles,4
Québec,  Agriculture primaire,Vergers DM Boileau inc,"Havelock, QC J0S 2C0",8431-Ouvriers agricoles,7
Québec,  Agriculture primaire,Vergers et serres St-Paul senc,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-Ouvriers agricoles,1
Québec,  Agriculture primaire,Vergers Rochon Inc.,"Mirabel, QC J7N 2R9",8431-Ouvriers agricoles,6
Québec,  Agriculture primaire,Vert Nature inc,"Sherrington, QC J0L 2N0",8431-Ouvriers agricoles,3
Québec,  Agriculture primaire,vieux saule holstein inc.,"SAINT-ESPRIT, QC J0K 2L0",8431-Ouvriers agricoles,1
Québec,  Agriculture primaire,Vignoble de l'Orpailleur Inc.,"DUNHAM, QC J0E 1M0",8431-Ouvriers agricoles,10
Québec,  Agriculture primaire,Vivaces Marie Michel Inc.,"SAINT- CONSTANT, QC J5A  2E",8432-Ouvriers de pépinières et de serres,11
Québec,  Agriculture primaire,Vivaco Groupe Coopératif,"Victoriaville, QC G6P 4R8",8431-Ouvriers agricoles,1
Québec,  Agriculture primaire,Volailles Labbé-Lavallée et Filles Inc.,"Saint-Hyacinthe, QC J2R 1Z3",8431-Ouvriers agricoles,3
Québec,  Talent mondial,6362222 Canada Inc,"Montréal, QC H3E 3B3",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,8493049 Canada Ltd,"Chateauguay, QC J6J 4Z2",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,9178-8877 Québec Inc.,"Montréal, QC H1M 2S5",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,9208-3401 Québec inc.,"Québec, QC G2J 0C4",2174-Programmeurs et développeurs en médias interactifs,2
Québec,  Talent mondial,9297-8261 Québec inc,"Mascouche, QC J7K 2L5",2175-Concepteurs et développeurs Web,1
Québec,  Talent mondial,Agence du revenu du Québec,"Québec, QC G1X 4A5",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Agence du revenu du Québec,"Québec, QC G1X 4A5",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Agile Managed et Consulting Services Inc.,"Montreal, QC H3L 2C8",0213-Gestionnaires des systèmes informatiques,1
Québec,  Talent mondial,AI Redefined Inc.,"Montreal, QC H2Y 2G1",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Algolux Inc.,"Montreal, QC H3K 1G6",2173-Ingénieurs et concepteurs en logiciel,2
Québec,  Talent mondial,Alithya Canada Inc.,"Montréal, QC H3B 5M2",2171-Analystes et consultants en informatique,5
Québec,  Talent mondial,Alithya Canada Inc.,"Montréal, QC H3B 5M2",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Banque Du Développement du Canada,"Montréal, QC H3B 5E7",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Beenox inc.,"Quebec, QC G1K 3H3",2174-Programmeurs et développeurs en médias interactifs,2
Québec,  Talent mondial,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1",2172-Analystes de bases de données et administrateurs de données,1
Québec,  Talent mondial,Behavox Software (Canada) Inc.,"Montreal, QC H3A 3G4",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Behavox Software (Canada) Inc.,"Montreal, QC H3A 3G4",2174-Programmeurs et développeurs en médias interactifs,2
Québec,  Talent mondial,Billetterie et Solutions RFID Emisys Inc.,"Mont Saint-Hilaire, QC J3H 4K6",0213-Gestionnaires des systèmes informatiques,1
Québec,  Talent mondial,Book Oven Inc.,"Montréal, QC H2T 1X3",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Buspatrol Inc,"Rosemere, QC J7A 2H3",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Canadian Royalties Inc.,"Montreal, QC H3B 1X9","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Québec,  Talent mondial,CGI Information Systems & Management Consultants Inc.,"Montreal, QC H3G 1T4",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,CGI Information Systems & Management Consultants Inc.,"Montreal, QC H3G 1T4",2175-Concepteurs et développeurs Web,1
Québec,  Talent mondial,Ciao Technologies Inc,"QUÉBEC, QC G1W 2R2",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
Québec,  Talent mondial,COFOMO DÉVELOPPEMENT INC.,"Montréal, QC H3B 4W5",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,COFOMO DÉVELOPPEMENT INC.,"Montréal, QC H3B 4W5",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,COFOMO DÉVELOPPEMENT INC.,"Montréal, QC H3B 4W5",2174-Programmeurs et développeurs en médias interactifs,2
Québec,  Talent mondial,Collective (i) Canada Inc,"Montrèal, QC H3B  0G",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Conseillers en gestion et informatique CGI Inc.,"Montreal, QC H3G 1T4",0213-Gestionnaires des systèmes informatiques,2
Québec,  Talent mondial,Conseillers en gestion et informatique CGI Inc.,"Montreal, QC H3G 1T4",2171-Analystes et consultants en informatique,4
Québec,  Talent mondial,Conseillers en gestion et informatique CGI Inc.,"Montreal, QC H3G 1T4",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Conseillers en gestion et informatique CGI Inc.,"Montreal, QC H3G 1T4",2174-Programmeurs et développeurs en médias interactifs,5
Québec,  Talent mondial,Corporation Interactive Eidos,"Montréal, QC H3A 1L4",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Coveo Solutions Inc.,"Québec, QC G1W 2K7",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,CS Communications et systèmes Canada inc.,"Saint-Laurent,, QC H4R 2N1",2173-Ingénieurs et concepteurs en logiciel,2
Québec,  Talent mondial,Deeplite Inc.,"Montreal, QC H4C 2K1",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Digital Domain Productions Québec Ltd.,"MONTRÉAL, QC H2T 1A8",5241-Designers graphiques et illustrateurs,5
Québec,  Talent mondial,District M Inc,"Montréal, QC H2T  3B",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Divertissement Interactif MegaZebra inc.,"Montréal, QC H3A 2G4",2172-Analystes de bases de données et administrateurs de données,1
Québec,  Talent mondial,Divertissements Gameloft inc,"Montreal, QC H2R 2Z5",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Divertissements Yellow Brick inc.,"Boischatel, QC G0A 1H0","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Québec,  Talent mondial,Effenti inc.,"Québec, QC G1W 2K7",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,En Toute Confiance Inc.,"MONTRÉAL, QC H2Z 2B9",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Entreprise Nexmoov Inc.,"Montreal, QC H2T 2A4",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,GFT Technologies Canada Inc.,"Québec, QC G1W 0E8",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Giro Inc.,"MONTRÉAL, QC H3L 3T1",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Groupe Conseil FXInnovation Inc.,"Montreal, QC H3A 1L4",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,GROUPE CYBERSWAT INC,"Québec, QC G1E 0A7",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Groupe In-RGY Consultation Inc,"Montréal, QC H2Y 1Y3",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Groupe Nexio Inc.,"MONTRÉAL, QC H3A 2J5",2175-Concepteurs et développeurs Web,1
Québec,  Talent mondial,Groupe Technologies Desjardins inc.,"Montréal, QC H5B 1B2",2171-Analystes et consultants en informatique,8
Québec,  Talent mondial,Groupe Technologies Desjardins inc.,"Montréal, QC H5B 1B2",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Hitachi Systems Security inc,"Blainville, QC J7C  5J","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Québec,  Talent mondial,Hybride Technologies Inc.,"PIEDMONT, QC J0R 1K0",5241-Designers graphiques et illustrateurs,2
Québec,  Talent mondial,Idénergie inc,"Montréal, QC H4P 2E7",2133-Ingénieurs électriciens et électroniciens,1
Québec,  Talent mondial,Imagia Cybernetics Inc.,"Montreal, QC H2S 3G9",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Immersive Design Studios Inc.,"MONTRÉAL, QC H2Z 1N4",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Informatique Dynamaze Inc.,"Montréal, QC H2S 2Y4",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Inossem Canada Inc.,"Montréal, QC H3A 2L1",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Komutel Inc.,"Saint-Georges, QC G5Y 0R4",2174-Programmeurs et développeurs en médias interactifs,2
Québec,  Talent mondial,Laboratoire MarketMuse Canada Inc.,"Montreal, QC H3B 2E3",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Lallemand Inc,"Montreal, QC H1W 2N8",0601-Directeurs des ventes corporatives,1
Québec,  Talent mondial,Lallemand Inc,"Montreal, QC H1W 2N8",2175-Concepteurs et développeurs Web,1
Québec,  Talent mondial,Les Recettes Cook it inc.,"Montreal, QC H2X 1Y2",2172-Analystes de bases de données et administrateurs de données,1
Québec,  Talent mondial,Les services conseils ABNA inc,"Québec, QC G1V 2M2",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Les Solutions Quatric Inc.,"Montrèal, QC H2R  2G",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Levio Conseils Inc.,"QUÉBEC, QC G1W 0C4",2171-Analystes et consultants en informatique,6
Québec,  Talent mondial,Levio Conseils Inc.,"QUÉBEC, QC G1W 0C4",2174-Programmeurs et développeurs en médias interactifs,4
Québec,  Talent mondial,Maltem Canada inc.,"Montreal, QC H3B 2E3",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,O2Web Solutions inc.,"Québec, QC G1V 4H2",2175-Concepteurs et développeurs Web,1
Québec,  Talent mondial,ODS Medical Inc.,"Montréal, QC H2N 1A4","2148-Autres ingénieurs, n.c.a.",1
Québec,  Talent mondial,OnePoint Canada Inc.,"MONTRÉAL, QC H3B 1K9",0213-Gestionnaires des systèmes informatiques,1
Québec,  Talent mondial,Planbox Inc.,"Laval, QC H7L 4S4",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Plurilogic Inc.,"LAVAL, QC H7P 1T6",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Productions Double Negative Montreal Ltee,"Montreal, QC H3B 2V6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Québec,  Talent mondial,ReDefine FX Ltd.,"MONTRÉAL, QC H2Y 1A6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Québec,  Talent mondial,Reel FX Creative Studios Inc.,"MONTRÉAL, QC H3K 1G6",5241-Designers graphiques et illustrateurs,1
Québec,  Talent mondial,Rodéo FX Inc.,"MONTRÉAL, QC H3C 2M7",5241-Designers graphiques et illustrateurs,1
Québec,  Talent mondial,Scanline VFX Montreal Inc.,"MONTRÉAL, QC H3B 2S2",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Scanline VFX Montreal Inc.,"MONTRÉAL, QC H3B 2S2",5241-Designers graphiques et illustrateurs,8
Québec,  Talent mondial,Shake Labs Inc.,"Montreal, QC H2Y 0A8",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Société Conseil Groupe LGS,"Québec, QC G1V 4K5",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Solutions Conteneur Canada Inc,"Montréal, QC H2T 3B3",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Solutions Munvo Inc,"Montréal, QC H3A 1X2",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,Spiria Digital inc.,"Montréal, QC H2R 2X1",0213-Gestionnaires des systèmes informatiques,1
Québec,  Talent mondial,Studios Creatifs Reel FX Inc,"Montreal, QC H3K 1G6",5241-Designers graphiques et illustrateurs,1
Québec,  Talent mondial,TandemLaunch Inc.,"Montreal, QC H4C 2K1",2174-Programmeurs et développeurs en médias interactifs,2
Québec,  Talent mondial,Technologie VuWall Inc.,"Pointe-Claire, QC H9R 5P4",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Technologies des données de vol Inc.,"Dorval, QC H9P 2S9",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,TECHNOLOGIES InfinityQ INC.,"DOLLARD-DES-ORMEAUX, QC H9G  1J","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Québec,  Talent mondial,Technologies Wingo Inc.,"Montréal, QC H2Z 1G6",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Technology Evaluation Centers Inc.,"LONGUEUIL, QC J4K 5B1",2174-Programmeurs et développeurs en médias interactifs,2
Québec,  Talent mondial,TrackTik Software Inc,"Montréal, QC H2W 2R2",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Tribal Nova Inc.,"Montréal, QC H2W 2R2",2173-Ingénieurs et concepteurs en logiciel,1
Québec,  Talent mondial,Turbulent Média inc.,"Montréal, QC H2W 1Y5",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,Ubisoft Entertainment Inc.,"Montréal, QC H2T 1S6",0213-Gestionnaires des systèmes informatiques,1
Québec,  Talent mondial,Ubisoft Entertainment Inc.,"Montréal, QC H2T 1S6",2172-Analystes de bases de données et administrateurs de données,1
Québec,  Talent mondial,Ubisoft Entertainment Inc.,"Montréal, QC H2T 1S6",2283-Évaluateurs de systèmes informatiques,1
Québec,  Talent mondial,Ubisoft Entertainment Inc.,"Montréal, QC H2T 1S6",5241-Designers graphiques et illustrateurs,1
Québec,  Talent mondial,Unity Technologies Canada Company,"MONTREAL, QC H4Z 1E9",2174-Programmeurs et développeurs en médias interactifs,1
Québec,  Talent mondial,VICKOHM INC.,"Saint-Laurent, QC H4R 1W4",2171-Analystes et consultants en informatique,1
Québec,  Talent mondial,"Zenapptic AI,Inc.","Ville de Mont Royal, QC H3R 1R6",2174-Programmeurs et développeurs en médias interactifs,1
Ontario,     Haut salaire, 10919900 CANADA INC,"Mississauga, ON L4T 1A8",6311-Superviseurs des services alimentaires,1
Ontario,     Haut salaire, ROYAL YORK ROOFING LTD.,"ETOBICOKE, ON M8Z 5J2","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
Ontario,     Haut salaire,2737437,"North York, ON M2N  2W",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,1 FOR 1 PIZZA LIMITED,"Ottawa, ON K1B 5M1",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,1011142 Ontario Ltd.,"Coniston, ON P0M 1M0",7271-Charpentiers-menuisiers,3
Ontario,     Haut salaire,1011142 Ontario Ltd.,"Coniston, ON P0M 1M0",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),2
Ontario,     Haut salaire,10164941 CANADA INC.,"OSHAWA, ON L1K 2L6",2173-Ingénieurs et concepteurs en logiciel,1
Ontario,     Haut salaire,10164941 CANADA INC.,"OSHAWA, ON L1K 2L6","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Ontario,     Haut salaire,10176729 Canada Inc,"Ottawa, ON K1S 2J8",6321-Chefs,1
Ontario,     Haut salaire,10176729 Canada Inc,"Ottawa, ON K1S 2J8",6322-Cuisiniers,1
Ontario,     Haut salaire,10194948 Canada Ltd,"Waterloo, ON N2L 3E9",6322-Cuisiniers,1
Ontario,     Haut salaire,10221163 Canada Inc.,"Mississauga, ON L4T 0A6",1221-Agents d'administration,1
Ontario,     Haut salaire,10358690 CANADA LTD.,"Mississauga, ON L5C 1W4",1221-Agents d'administration,1
Ontario,     Haut salaire,10358690 CANADA LTD.,"Mississauga, ON L5C 1W4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,     Haut salaire,10405205 CANADA INC.,"Toronto, ON M1E 4Y6",6314-Superviseurs des services d'information et des services à la clientèle,1
Ontario,     Haut salaire,1045761 Ontario Ltd (Canadian Phoenix Steel Products),"Toronto, ON M8Z 4Y4","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Ontario,     Haut salaire,10546364 Canada Inc.,"Barrie, ON L4M 0E7",0125-Directeurs d'autres services aux entreprises,1
Ontario,     Haut salaire,108 ideaspace inc.,"Toronto, ON M4W 3E2",2171-Analystes et consultants en informatique,1
Ontario,     Haut salaire,10967548 Canada Ltd.,"Brampton, ON L6R 3P8",7511-Conducteurs de camions de transport,1
Ontario,     Haut salaire,1132816 ONTARIO INC.,"CALEDON, ON L7C 0Z8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,     Haut salaire,1138205 Ontario Inc,"Pickering, ON L1W 3M9",7272-Ébénistes,1
Ontario,     Haut salaire,1153102 B.C. LTD.,"Maple, ON L6A 4H4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Ontario,     Haut salaire,11533983 Canada Ltd,"NEWMARKET, ON L3Y 8T7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,11555219 Canada Ltd.,"Mississauga, ON L4W 3B9","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,11678922 Canada Inc.,"Pickering, ON L1X 1Z2",0712-Gestionnaires et rénovateurs en construction domiciliaire,1
Ontario,     Haut salaire,11697862 Canada Inc.,"Brampton, ON L6Y 3S8","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Ontario,     Haut salaire,11707493 CANADA INC.,"BRAMPTON, ON L6Y 4Z9",0125-Directeurs d'autres services aux entreprises,1
Ontario,     Haut salaire,11882805 Canada Inc.,"Markham, ON L3R 6W7",7271-Charpentiers-menuisiers,1
Ontario,     Haut salaire,11882805 Canada Inc.,"Markham, ON L3R 6W7",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
Ontario,     Haut salaire,1199893 Ontario Limited,"Etobicoke, ON M9W 6J9",7313-Mécaniciens en réfrigération et en climatisation,1
Ontario,     Haut salaire,1203937 Ontario Limited,"Toronto, ON M6A 2C1",2175-Concepteurs et développeurs Web,1
Ontario,     Haut salaire,1252376 B.C.Ltd,"Toronto, ON M4W 1A9",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,1256975 ONTARIO LTD,"Toronto, ON M6N 1X8",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
Ontario,     Haut salaire,1352866 Ontario Inc,"toronto, ON M9W 4Y5","1123-Professionnels en publicité, en marketing et en relations publiques",1
Ontario,     Haut salaire,1365089 Ontario Inc.,"Mississauga, ON L4T 4J3",7511-Conducteurs de camions de transport,3
Ontario,     Haut salaire,1378981 Ontario Ltd.,"Toronto, ON M9C 5H5",7282-Finisseurs de béton,1
Ontario,     Haut salaire,1381603 ONTARIO LTD.,"Brampton, ON L6T 1G8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,1397665 Ontario Inc o/a Amecan Canada,"Mississauga, ON L4W 0C2",2171-Analystes et consultants en informatique,1
Ontario,     Haut salaire,1441998 Ontario Inc.,"WOODBRIDGE, ON L4H 2G4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,1441998 Ontario Inc.,"WOODBRIDGE, ON L4H 2G4",7511-Conducteurs de camions de transport,2
Ontario,     Haut salaire,1449444 ONTARIO INC.,"BRAMPTON, ON L6S 5T3",7511-Conducteurs de camions de transport,5
Ontario,     Haut salaire,1514342 ONTARIO LTD.,"Mississauga, ON L4W 1A1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,1514342 ONTARIO LTD.,"Mississauga, ON L4W 1A1",2172-Analystes de bases de données et administrateurs de données,1
Ontario,     Haut salaire,1515214 Ontario Ltd,"Woodbridge, ON L4L 4Z1","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Ontario,     Haut salaire,1515529 Ontario Ltd.,"Vaughan, ON L4K 3R3",2172-Analystes de bases de données et administrateurs de données,1
Ontario,     Haut salaire,1519950 Ontario Inc,"Brampton, ON L6W 1X4",9214-Surveillants dans la fabrication de produits en caoutchouc et en plastique,1
Ontario,     Haut salaire,1522854 ONTARIO INCORPORATED,"Concord, ON L4K 1A5",2134-Ingénieurs chimistes,1
Ontario,     Haut salaire,1541335 ONTARIO INC.,"MISSISSAUGA, ON L4W 1J2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,     Haut salaire,1542300 Ontario Inc,"Mississauga, ON L4W 1P9",1241-Adjoints administratifs,1
Ontario,     Haut salaire,1555267 ontario inc,"missisauga, ON L5S 1T8",6322-Cuisiniers,2
Ontario,     Haut salaire,1561180 ONTARIO INC,"mississauga, ON L5W 0E6",0631-Directeurs de la restauration et des services alimentaires,1
Ontario,     Haut salaire,1564768 Ontario Inc.,"Brampton, ON L6T 1A7",1221-Agents d'administration,1
Ontario,     Haut salaire,1604380 ONTARIO LTD.,"TORONTO, ON M2R 2A5",1411-Employés de soutien de bureau généraux,1
Ontario,     Haut salaire,1612094 Ontario Inc.,"Bolton, ON L7E 3B4",1241-Adjoints administratifs,1
Ontario,     Haut salaire,1623546 ONTARIO INC,"TORONTO, ON M1K 1B8","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,     Haut salaire,1628760 Ontario Inc.,"Hillier, ON K0K 2J0",2112-Chimistes,1
Ontario,     Haut salaire,1628939 ONTARIO LTD.,"MISSISSAUGA, ON L4Y 4B8",7305-Surveillants du transport routier et du transport en commun,1
Ontario,     Haut salaire,1651708 Ontario Inc.,"Toronto, ON M6L 3C9","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Ontario,     Haut salaire,1654723 Ontario Inc.,"Odessa, ON K0H 2H0",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,1659656 Ontario Inc.,"Mississauga, ON L4X 1B1",7281-Briqueteurs-maçons,1
Ontario,     Haut salaire,1661771 Ontario Inc.,"Toronto, ON M4C 1M1",6211-Superviseurs des ventes - commerce de détail,1
Ontario,     Haut salaire,1680920 Ontario Inc,"Mississauga, ON L5L 1J3",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,1680920 Ontario Inc,"Mississauga, ON L5L 1J3",1241-Adjoints administratifs,1
Ontario,     Haut salaire,1680920 Ontario Inc,"Mississauga, ON L5L 1J3","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Ontario,     Haut salaire,1716718 ONTARIO INC.,"Thornhill, ON L3T 0C7",3231-Opticiens d'ordonnances,1
Ontario,     Haut salaire,1735757 Ontario Ltd.,"Mississauga, ON L5T 1Y1",0621-Directeurs - commerce de détail et de gros,1
Ontario,     Haut salaire,1759515 Ontario Ltd.,"Oakville, ON L6K 3C7",7246-Installateurs et réparateurs de matériel de télécommunications,1
Ontario,     Haut salaire,1762581 Ontario Inc,"Woodbridge, ON L4L 5X3",6315-Surveillants des services de nettoyage,1
Ontario,     Haut salaire,1766234 Ontario Inc .,"mississauga, ON L5L 5R4",0601-Directeurs des ventes corporatives,1
Ontario,     Haut salaire,1766464 Ontario Ltd.,"Concord, ON L4K 1Z8",7253-Monteurs d'installations au gaz,1
Ontario,     Haut salaire,1769071 Ontario Inc.,"Orangeville, ON L9W 2E8",6211-Superviseurs des ventes - commerce de détail,1
Ontario,     Haut salaire,1785634 Ontario Inc.,"Markham, ON L3R 1H5",7511-Conducteurs de camions de transport,2
Ontario,     Haut salaire,1789257 Ontario Ltd.,"Markham, ON L3R 0L5",6222-Acheteurs des commerces de détail et de gros,1
Ontario,     Haut salaire,1807979 Ontario Inc.,"London, ON N5Y 2N1",2282-Agents de soutien aux utilisateurs,1
Ontario,     Haut salaire,1822805 Ontario Inc.,"Bolton, ON L7E 5B3",7282-Finisseurs de béton,1
Ontario,     Haut salaire,1826891 ONTARIO LTD.,"Toronto, ON M8Y 1K6",6341-Coiffeurs et barbiers,1
Ontario,     Haut salaire,1865787 Ontario Ltd.,"Markham, ON L3R 9Y7","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Ontario,     Haut salaire,1865787 Ontario Ltd.,"Markham, ON L3R 9Y7","1123-Professionnels en publicité, en marketing et en relations publiques",1
Ontario,     Haut salaire,1865787 Ontario Ltd.,"Markham, ON L3R 9Y7",1221-Agents d'administration,1
Ontario,     Haut salaire,1891111 Ontario Inc.,"Niagara Falls, ON L2G 1W3","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Ontario,     Haut salaire,1909935 Ontario Inc,"Etobicoke, ON M8V 1Y7",2222-Inspecteurs des produits agricoles et de la pêche,1
Ontario,     Haut salaire,1934128 Ontario Inc.,"Richmond Hill, ON L4B 3A9",1221-Agents d'administration,1
Ontario,     Haut salaire,1936072 Ontario Limited,"Kitchener, ON N2G 1B1",6332-Boulangers-pâtissiers,1
Ontario,     Haut salaire,1948711 Ontario Inc.,"Mississauga, ON L4Z 1T2",2175-Concepteurs et développeurs Web,2
Ontario,     Haut salaire,1956375 Ontario Inc.,"Mississauga, ON L4W 3Y2",2252-Designers industriels,1
Ontario,     Haut salaire,1989493 Ontario Inc.,"Woodbridge, ON L4L 4K9",6322-Cuisiniers,1
Ontario,     Haut salaire,2000007 Ontario Inc.,"Toronto, ON M9L 1V7",7322-Débosseleurs et réparateurs de carrosserie,1
Ontario,     Haut salaire,2010129 Ontario Inc.,"Mississauga, ON L5L 5C4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
