Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
,,Rosi Educational Services Inc.,"RICHMOND HILL, ON L4S 2A2",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Shoetopia Footware Inc.,"FERGUS, ON N1M 3N7",6421-Vendeurs - commerce de détail,1
,,Skyventure Ontario Ltd. o/a iFLY Toronto,"Oakville, ON L6H 6P5","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",2
,,Soul Restaurants Canada Inc. o/a KFC,"TORONTO, ON M2N 6K1",6311-Superviseurs des services alimentaires,1
,,SSRP Telecom Inc.,"BRAMPTON, ON L6P 2K9",6211-Superviseurs des ventes - commerce de détail,1
,,Tabule Inc,"Toronto, ON M4S 1Z8",6321-Chefs,1
,,"Triple  ""A"" Cheese Co. Ltd.","Mississauga, ON L4T 3L7","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",1
,,VERICO The Financial Forum Ltd.,"VAUGHN, ON L4L 8S9",1241-Adjoints administratifs,1
,  Agriculture primaire,Brian's Poultry Services Ltd,"MILDMAY, ON N0G 2J0",8431-Ouvriers agricoles,28
,,Canadian Poultry Services,"MILDMAY, ON N0G 2J0",8431-Ouvriers agricoles,12
,,Chin Tai Ginseng Co. Ltd,"RICHMOND HILL, ON L4B 1C8",8611-Manoeuvres à la récolte,4
,,Closson Chase Vineyards Inc,"Hillier, ON K0K 2J0",8431-Ouvriers agricoles,7
,,Hendriks Greenhouses,"Beamsville, ON L0R 1B3","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",4
,,Henry J. Peters Farms Ltd,"THEDFORD, ON N0M 2N0",8431-Ouvriers agricoles,1
,,J & L Walker Farms Ltd,"Aylmer, ON N5H 2R1","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,LEL Farms Inc,"GUELPH, ON N1L 1G3",8431-Ouvriers agricoles,1
,,Meyers Fruit Farms Ltd,"Niagara on the lake, ON L0S 1J0",8432-Ouvriers de pépinières et de serres,1
,,Scotlynn Sweetpac Growers Inc,"Vittoria, ON N0E 1W0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",2
,,The Hop Farm Inc.,"GORMLEY, ON L0H 1G0",8431-Ouvriers agricoles,4
Manitoba,    Haut salaire,6081283 Manitoba Ltd. o/a Star Motel - Morden,"MORDEN, MB R6M 1P4",0632-Directeurs des services d'hébergement,1
,,Allmar Inc.,"Winnipeg, MB R2L 0N2","2263-Inspecteurs de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail",1
,,Bev's Repair Inc,"MANITOU, MB R0G 1G0",7322-Débosseleurs et réparateurs de carrosserie,1
,,Canada Tiger Mountain Ltd.,"TREHERNE, MB R0G 2V0",0621-Directeurs - commerce de détail et de gros,1
,,Ishar Automobiles Inc.,"WINNIPEG, MB R2P 1M2",1311-Techniciens en comptabilité et teneurs de livres,1
,,Mountain City Aviation Inc.,"MORDEN, MB R6M 1J1",0421-Administrateurs - enseignement postsecondaire et formation professionnelle,1
,,NEO MART INC.,"BRANDON, MB R7A 5C2",0621-Directeurs - commerce de détail et de gros,1
,,OPD Canada Development Corporation,"WINNIPEG, MB R3C 3H3",0714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
,,Orbit Motor Carriers Inc.,"STEINBACH, MB R5G 0X1",1311-Techniciens en comptabilité et teneurs de livres,1
,,,,1525-Répartiteurs,1
,,The North West Company LP,"WINNIPEG, MB R3C 1A3",7271-Charpentiers-menuisiers,1
,,Zeghers Canada,"HOLLAND, MB R0G 0X0","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",1
,   Bas salaire,6251137 Manitoba Ltd.,"SHILO, MB R0K 2A0",6322-Cuisiniers,2
,,6482610 Manitoba Ltd,"WINNIPEG, MB R3Y 1N6","6561-Conseillers imagistes, conseillers mondains et autres conseillers en soins personnalisés",1
,,6947795 Manitoba Ltd.,"ASHERN, MB R0C 0E0",6311-Superviseurs des services alimentaires,2
,,Liyan Enterprises Inc.,"DAUPHIN, MB R7N 1K6",6211-Superviseurs des ventes - commerce de détail,1
,,Medsafe Pharmacy Ltd,"BRANDON, MB R7B 4G9",3414-Autre personnel de soutien des services de santé,1
,,Tokyo Zone,"Brandon, MB R7A 7L9",6322-Cuisiniers,2
,  Agriculture primaire,Canmark Family Farming Ltd.,"Roblin, MB R0L 1P0",8431-Ouvriers agricoles,5
Saskatchewan,    Haut salaire,Sky Ag Services Limited,"Lafleche, SK S0H 2K0","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",1
,   Bas salaire,101216694 Sask. Ltd.,"Southey, SK S0G 4P0",6322-Cuisiniers,1
,,Hashtag International Inc,"SASKATOON, SK S7K 8C1",6211-Superviseurs des ventes - commerce de détail,1
,  Agriculture primaire,Michaelsen Farms,"Lampman, SK S0C 1N0",8431-Ouvriers agricoles,3
,,Shamrock Ranch Ltd,"SHAMROCK, SK S0H 3W0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,    Haut salaire,1318914 Alberta Ltd o/a Lovely Sweets & Restaurant,"Calgary, AB T3J 3Z5",0631-Directeurs de la restauration et des services alimentaires,1
,,1392635 Alberta Ltd. o/a Riteway Moving,"Rocky View, AB T4A 0E2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,1725503 Alberta Ltd,"Edmonton, AB T5T 5W8",6311-Superviseurs des services alimentaires,1
,,1735093 Alberta LTD,"ST. ALBERT, AB T8N 6A9",1311-Techniciens en comptabilité et teneurs de livres,1
,,1926679 Alberta Ltd. o/a Circle K,"Sylvan Lake, AB T4S 2M2",6211-Superviseurs des ventes - commerce de détail,1
,,,,6311-Superviseurs des services alimentaires,1
,,1994076 Alberta Inc.,"DRUMHELLER, AB T0J 0Y6",6211-Superviseurs des ventes - commerce de détail,1
,,2009313 Alberta Ltd. o/a BIG FISH SEAFOOD and OYSTER BAR RESTAURANT,"Calgary, AB T2E 3K4",6322-Cuisiniers,3
,,2039398 Alberta Ltd. o/a India Flame,"RED DEER, AB T4R 0P3",6322-Cuisiniers,1
,,AJ Exteriors & Interiors Ltd,"CALGARY, AB T2M 4L5","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",5
,,AJ Flooring & More Inc.,"EDMONTON, AB T6E 6B6","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",2
,,Amazon Springs Water Co. Ltd.,"St. Albert, AB T8N 5E1",7452-Manutentionnaires,1
,,Anchal Holding Ltd,"EDMONTON, AB T6L 6J6",7511-Conducteurs de camions de transport,2
,,Atlas Growers Ltd.,"EDMONTON, AB T5J 3H1",0212-Directeurs des services d'architecture et de sciences,1
,,,,"4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,Bhatti Entreprises Inc,"Edmonton, AB T6S 1E9",7511-Conducteurs de camions de transport,4
,,Bulltrans Express Inc.,"CALGARY, AB T3H 3K7",0731-Directeurs des transports,1
,,Canadian Consulting Engineers Inc,"Drayton Valley, AB T7A 1R7","2161-Mathématiciens, statisticiens et actuaires",1
,,Colt's Construction Alberta Ltd.,"Edmonton, AB T5X 5W5",7282-Finisseurs de béton,4
,,CTX Logistics Inc.,"CALGARY, AB T2C  2T",0111-Directeurs financiers,1
,,Exclusive Drywall Ltd.,"EDMONTON, AB T6X 0P2","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",3
,,Fancy Doors & Mouldings Ltd,"Edmonton, AB T6B 3S5",2243-Techniciens et mécaniciens d'instruments industriels,1
,,GLC Vet Services Ltd. o/a City Centre Animal Hospital,"AIRDRIE, AB T4B 3M2",1221-Agents d'administration,1
,,Gordion Construction Ltd.,"Edmonton, AB T6E 6T7","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",6
,,In Can Commissioning Services Ltd,"FORT MCMURRAY, AB T9K 0R8",0711-Directeurs de la construction,2
,,,,2282-Agents de soutien aux utilisateurs,1
,,J&A Cleaning Services Inc,"Calgary, AB T3H 5C8",6315-Surveillants des services de nettoyage,1
,,JBS Food Canada ULC,"Brooks, AB T1R 1C6","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",7
,,Kings Way Transportation Inc.,"CALGARY, AB T2C 4X5",7511-Conducteurs de camions de transport,5
,,MC Concrete Ltd.,"CALGARY, AB T2Y 0E8",7282-Finisseurs de béton,1
,,Microbakes Services Inc.  o/a Flavours Restaurant Calgary,"CALGARY, AB T2K 1A3",6322-Cuisiniers,1
,,Moonlight_2G Ltd.,"CALGARY, AB T2P 3Y6",6311-Superviseurs des services alimentaires,1
,,Multiple Business,"Cochrane, AB T4C 1Z6",6211-Superviseurs des ventes - commerce de détail,1
,,Nabil Carpet Inc,"Edmonton, AB T6V 0H3",6315-Surveillants des services de nettoyage,1
,,Nick's Woodcraft Industries Ltd.,"Calgary, AB T2K 5X7",7272-Ébénistes,1
,,North 67 Transport Inc.,"EDMONTON, AB T6X 0Y2",0731-Directeurs des transports,1
,,Quality Property Development Inc.,"EDMONTON, AB T5J 1W8",1311-Techniciens en comptabilité et teneurs de livres,1
,,R & PS Trucking Ltd,"CALGARY, AB T3J 4P5",1221-Agents d'administration,1
,,Rockeast Energy Corp.,"CALGARY, AB T2P 3T7","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,Rocky Mountain Sherpas Inc,"CANMORE, AB T1W 1E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Sidhu Truck Repairs Ltd,"EDMONTON, AB T5Y 3H7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,,Sun Meats Ltd,"CALGARY, AB T3J 3J8",0621-Directeurs - commerce de détail et de gros,1
,,Sunstar Concrete Ltd,"Edmonton, AB T6W 2W9",7282-Finisseurs de béton,1
,,Top Star Hitech Ltd,"Calgary, AB T1Y 6Z8",6211-Superviseurs des ventes - commerce de détail,1
,,TRANSREP AUTOMOTIVES LTD. o/a DYNAMIC AUTOMOTIVE,"EDMONTON, AB T5L 3C9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Trideck Transport Ltd.,"EDMONTON, AB T6X 2A6",1241-Adjoints administratifs,1
,,WesTower Communications Ltd.,"Thorsby, AB T0C 2P0",7245-Monteurs de lignes et de câbles de télécommunications,1
,,Wholistic Health Training & Research Center,"EDMONTON, AB T5K 2J1","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,Yadi Gun Ltd,"Edmonton, AB T6T 0L5",0631-Directeurs de la restauration et des services alimentaires,1
,   Bas salaire,1129630 Alberta Ltd.  o/a Circle K,"EDMONTON, AB T6T 0K9",6211-Superviseurs des ventes - commerce de détail,2
,,1166820 Alberta Ltd,"Devon, AB T9G 2J4",6322-Cuisiniers,1
,,1179216 Alberta Ltd. o/a The Keg Steakhouse and Bar,"Fort McMurray, AB T9H 1S8",6322-Cuisiniers,1
,,1287180 Alberta Ltd. o/a Downstream Restaurant & Lounge,"JASPER, AB T0E 1E0",6322-Cuisiniers,2
,,1332624 Alberta Ltd.,"EDMONTON, AB T6R 3P2",6311-Superviseurs des services alimentaires,1
,,1362424 Alberta Ltd. o/a JTG Trucking,"CALGARY, AB T3J 4W6",1221-Agents d'administration,1
,,1384169 Alberta Ltd. o/a Nisku Esso,"Leduc, AB T9E 7G2",6211-Superviseurs des ventes - commerce de détail,1
,,1503974 Alberta Ltd. o/a Campbell Park Bottle Depot,"St. Albert, AB T8N 5A3",6316-Surveillants des autres services,1
,,1544650 Alberta Ltd.,"Grande Prairie, AB T8V 0T8","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,1637200 Alberta Ltd,"EDMONTON, AB T6L 3M4",6322-Cuisiniers,1
,,1673585 Alberta Ltd. o/a Lube Town,"Calgary, AB T3J 4J8",6421-Vendeurs - commerce de détail,1
,,1751227 Alberta Ltd.,"Wandering River, AB T0A 3M0",6311-Superviseurs des services alimentaires,1
,,1882644 Alberta Ltd. o/a East Side Mario's,"St. Albert, AB T8N 3L3",6322-Cuisiniers,1
,,1938404 Alberta Inc.,"COCHRANE, AB T4C 2H2",6311-Superviseurs des services alimentaires,1
,,1940981 Alberta Ltd,"GRANDE PRAIRIE, AB T8V 0N2",6311-Superviseurs des services alimentaires,2
,,1956772 AB Ltd.,"Calgary, AB T3J 3K9",6322-Cuisiniers,1
,,1978913 Alberta Ltd. o/a Via Cibo Deerfoot Meadows,"Calgary, AB T2H 0B8",6511-Maîtres d'hôtel et hôtes,1
,,2012934 Alberta Ltd. o/a Dairy Queen,"Bonnyville, AB T9N 1A4",6311-Superviseurs des services alimentaires,1
,,2093667 Alberta Ltd,"EDMONTON, AB T5J 2X5",6311-Superviseurs des services alimentaires,1
,,,,6322-Cuisiniers,1
,,396725 Alberta Ltd o/a Lewis Estates Car Wash,"EDMONTON, AB T5Z 3E2",6732-Nettoyeurs spécialisés,2
,,612645 Alberta Ltd.  o/a CTC Golf and Turf,"SPRUCE GROVE, AB T7Y 1C7",8612-Manoeuvres en aménagement paysager et en entretien des terrains,2
,,905753 Alberta Ltd o/a Holiday Inn Calgary Airport,"Calgary, AB T2E 7T7",6322-Cuisiniers,1
,,A&V Enterprise Ltd. o/a Opa Souvlaki of Greece,"CALGARY, AB T2N 1N4",6311-Superviseurs des services alimentaires,1
,,Accuratus Steel Stud & Framing Inc.,"CALGARY, AB T3P 0B1","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",2
,,Aktas Floors & Interiors Ltd,"Edmonton, AB T5N 3S5",7295-Poseurs de revêtements d'intérieur,1
,,ALSE Tire Sales Ltd.,"EDMONTON, AB T5N 2X3",7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles,3
,,Apna Desi Meat Masala Ltd,"Calgary, AB T3J 3K9","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",2
,,Aspen Home Healthcare Products Ltd o/a Homecare & Surgical on Whyte,"Edmonton, AB T5G 0X3",6211-Superviseurs des ventes - commerce de détail,1
,,Black Diamond Bakery & Cafe Ltd.,"BLACK DIAMOND, AB T0L 0H0",6322-Cuisiniers,1
,,Certified Industrial Hygiene Consulting Ltd.,"CALGARY, AB T2M 0Z5",2211-Technologues et techniciens en chimie,1
,,Chandigarh Fashion,"Edmonton, AB T6E 5P2",6211-Superviseurs des ventes - commerce de détail,1
,,,,"6342-Tailleurs, couturiers, fourreurs et modistes",1
,,Dhanju Group Inc.,"EDMONTON, AB T6B 0A5",6513-Serveurs d'aliments et de boissons,2
,,Drayton Valley Bottle Depot Ltd.,"DRAYTON VALLEY, AB T7A 1B5",9227-Surveillants dans la fabrication et le montage de produits divers,1
,,DSI Food Corporation,"Calgary, AB T1Y 5E2","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
,,Emirate Homes Ltd.,"LANGDON, AB T0J 1X1","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",3
,,Fergus & Bix Restaurant McKenzie Towne Inc,"CALGARY, AB T2Z 0N2",6322-Cuisiniers,1
,,FHR Jasper Operations Corporation,"JASPER, AB T0E 1E0",6322-Cuisiniers,4
,,Flight Express Travel Inc.,"Calgary, AB T2A 7V8","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,Fusion Cup,"Grande Prairie, AB T8W 0C7",6311-Superviseurs des services alimentaires,1
,,GDI Integrated Facility Services,"Calgary, AB T2G 1W5",6315-Surveillants des services de nettoyage,3
,,Goldeye Foundation Society,"Nordegg, AB T0M 2H0","0513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,,Graham & Lane Florists Ltd,"Edmonton, AB T5J 2Y9",6211-Superviseurs des ventes - commerce de détail,1
,,Grain of Rice Inc.,"EDMONTON, AB T5T 7C5",6311-Superviseurs des services alimentaires,1
,,GS Cargo Ltd.,"CALGARY, AB T3J 4K5",7514-Chauffeurs-livreurs - services de livraison et de messagerie,2
,,K&J Services Inc.,"Sherwood Park, AB T8B 1L3",6211-Superviseurs des ventes - commerce de détail,2
,,Kosei International Ltd o/a Mikado Restaurant,"Edmonton, AB T6N 1L5",6311-Superviseurs des services alimentaires,1
,,Minit Lube Limited,"Calgary, AB T3C 2G3",6211-Superviseurs des ventes - commerce de détail,1
,,Namaste Wellness and Day Spa Inc.,"SHERWOOD PARK, AB T8A 3X3",6211-Superviseurs des ventes - commerce de détail,1
,,Natasha Holdings Ltd,"Edmonton, AB T5E 0Y2",6332-Boulangers-pâtissiers,1
,,Norenda Group Ltd o/a Chief Mountain Husky,"Cardston, AB T0K 0K0",6211-Superviseurs des ventes - commerce de détail,1
,,Oh My Dog Spa and Grooming Corp,"EDMONTON, AB T6W 2Z8",6563-Soigneurs d'animaux et travailleurs en soins des animaux,2
,,Petro Canada,"Drayton Valley, AB T7A 1R8",6311-Superviseurs des services alimentaires,1
,,Pizza Hut,"Red Earth Creek, AB T0G 1X0",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,1
,,Provost Packers Ltd,"Provost, AB T0B 3S0","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
,,Southwest Chinooks Soccer Association,"CALGARY, AB T2T 3W2",5252-Entraîneurs,1
,,Stone Creek Golf Courses Limited Partnership o/a Silvertip Resort,"Canmore, AB T1W 3J4",6321-Chefs,1
,,Strathmore Drug Store Inc.,"STRATHMORE, AB T1P 1B9",6421-Vendeurs - commerce de détail,1
,,Suha Consulting Services Ltd,"Banff, AB T1L 1C7",6611-Caissiers,2
,,Sundance Lodges Ltd,"KANANASKIS, AB T0L 2H0",6316-Surveillants des autres services,1
,,Sunview Custom Homes Ltd.,"CALGARY, AB T3K 5G9",1241-Adjoints administratifs,1
,,The Mat's Diner Inc.,"CALGARY, AB T2N 3P3",1241-Adjoints administratifs,1
,,Themis Universal Ltd.,"CALGARY, AB T2H 2H9",1241-Adjoints administratifs,1
,,Total Maintenance Services Inc.,"EDMONTON, AB T6R 1V5",8612-Manoeuvres en aménagement paysager et en entretien des terrains,2
,,Ulimate Cleaning Services,"Calgary, AB T3M 1C3",6315-Surveillants des services de nettoyage,1
,,Unit C Three 73 Inc o/a Pizza 73,"CALGARY, AB T3H 2Z3",6311-Superviseurs des services alimentaires,1
,,Vicky's Bistro/Wine Bar Ltd,"Sherwood Park, AB T8A 4X3",6311-Superviseurs des services alimentaires,1
,,Webb's Machinery (Vermilion) Ltd,"Vermilion, AB T9X 1Z6",9526-Monteurs et contrôleurs de matériel mécanique,1
,,Where the Buffalo Roam Saloon Ltd.,"CANMORE, AB T1W 0C1",6322-Cuisiniers,1
,  Agriculture primaire,Canola Farms Ltd,"Vermillion, AB T9X 1X8",8431-Ouvriers agricoles,1
,,Lallier Apiaries Inc,"Sturgeon County, AB T8R 0L1",8431-Ouvriers agricoles,4
,,MCF Holdings Ltd.,"ST. ALBERT, AB T8N 3X4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,Tower Farms Ltd.,"SMOKEY LAKE, AB T0A 3C0",8431-Ouvriers agricoles,1
Colombie-Britannique,    Haut salaire,01186 Trading Inc,"RICHMOND, BC V6X 1T2",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,0714576 B.C. Ltd. o/a Ashley Homestore,"COURTENAY, BC V9N 8P1",1241-Adjoints administratifs,1
,,0740457 BC Ltd,"KAMLOOPS, BC V2C 4A9",6315-Surveillants des services de nettoyage,1
,,0758219 BC Ltd.,"KAMLOOPS, BC V2C 3Z6",0632-Directeurs des services d'hébergement,1
,,0987393 BC Ltd.,"RICHMOND, BC V6X 0M5","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
,,1075233 BC Ltd.,"Burnaby, BC V5G 3H5",6311-Superviseurs des services alimentaires,1
,,1119390 BC Ltd o/a Kojan Sushi Restaurant,"ABBOTSFORD, BC V2S 2B9",6322-Cuisiniers,1
,,1123114 BC Ltd.,"ABBOTSFORD, BC V4X 2E6",7271-Charpentiers-menuisiers,3
,,52 Clean Ltd.,"SURREY, BC V3R 8T4","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,,681288 B.C. Ltd.,"DELTA, BC V4G 1E2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,A & B Holdings Inc. o/a A&S Meat and Poultry Ltd.,"Surrey, BC V3W 2V3","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",2
,,A1 Tech Electric Ltd,"SURREY, BC V3V 7W5",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,,All West Facility Services Ltd,"BURNABY, BC V5J 5G6","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",2
,,Allstar Holdings Inc.,"Vancouver, BC V5L 1T5","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",1
,,Aqua-Lung Canada Ltd.,"Saanichton, BC V8M 1Z9","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",1
,,AQUAMIST CARPET CARE LTD.,"VICTORIA, BC V8Z 3B8",7271-Charpentiers-menuisiers,1
,,AS Transport Company Ltd,"ABBOTSFORD, BC V2T 5J8",1221-Agents d'administration,1
,,ATJ Food Limited o/a Domino's Pizza #10029,"RICHMOND, BC V6X 3T3","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
,,Beatnik & Sons Leather Goods Inc,"KELOWNA, BC V1Y 0B5","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,BFJ Design Ltd.,"VANCOUVER, BC V6E 4S9",0621-Directeurs - commerce de détail et de gros,1
,,Big Ben Construction,"Vancouver, BC V5R 5K6",7271-Charpentiers-menuisiers,3
,,Brickworks Hospitality Group Limited,"Whistler, BC V0N 1B4",6322-Cuisiniers,2
,,Burnaby Blacktop Ltd.,"BURNABY, BC V5J 3H6",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,Canadian Phytopharmaceuticals Corp.,"Richmond, BC V6W 1K8","9212-Surveillants dans le raffinage du pétrole, dans le traitement du gaz et des produits chimiques et dans les services d'utilité publique",1
,,Casa Realty Investments Inc,"COQUITLAM, BC V3J 6N7",0711-Directeurs de la construction,1
,,Cementech Industry Inc.,"VANCOUVER, BC V6E 3C9","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,,Central Villa Sand & Gravel Ltd,"SURREY, BC V3S 0S3",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,2
,,Challenger Athletic Apparel Inc,"VANCOUVER, BC V6A 2J1","9217-Surveillants dans la transformation et la fabrication de produits textiles, de tissus, de fourrure et de cuir",2
,,Charlie and Cooper Store Ltd.,"Burnaby, BC V5A 4V7",0621-Directeurs - commerce de détail et de gros,1
,,Columbus Meat Market Ltd.,"Vancouver, BC V5L 4T6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Convenience Building Maintenance Ltd.,"Richmond, BC V6Y 2T3",0213-Gestionnaires des systèmes informatiques,1
,,Corona Gas Ltd.,"SURREY, BC V3S 6K8",7251-Plombiers,6
,,Dhesi Electric Ltd.,"Surrey, BC V3W 1R1",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),2
,,Dr. Savita Dhingra Inc.,"SURREY, BC V3V 0C8",1311-Techniciens en comptabilité et teneurs de livres,1
,,Drs. A Dumalo And C.A. Dumalo Optometric Corp,"NORTH VANCOUVER, BC V7P 3H6",0621-Directeurs - commerce de détail et de gros,1
,,Dynamite Concrete Pumping Ltd.,"VANCOUVER, BC V5S 1P8",7611-Aides de soutien des métiers et manoeuvres en construction,2
,,Ecoasis Resort and Golf LLP,"Victoria, BC V9B 6R3",6731-Préposés à l'entretien ménager et au nettoyage - travaux légers,5
,,Ekam Aarav Electric Ltd,"ABBOTSFORD, BC V2T 6V2",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),2
,,Elite Paving Ltd.,"SURREY, BC V3W 0M6","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Euro Asia Transload Inc.,"Richmond, BC V6W 0A2",1221-Agents d'administration,1
,,,,"4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,,,7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Fine Drywall Ltd.,"Surrey, BC V3S 3C3",7271-Charpentiers-menuisiers,3
,,Fitplan Technologies Inc,"VANCOUVER, BC V6B 2W9",5241-Designers graphiques et illustrateurs,1
,,G S Framing Ltd.,"SURREY, BC V3V 1K9",7271-Charpentiers-menuisiers,1
,,Gold Star Electrical Ltd,"Surrey, BC V3W 4J7",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,,Goldline Exteriors Ltd,"Burnaby, BC V5H 1T2",7281-Briqueteurs-maçons,4
,,Guangson Immigration Group Ltd.,"BURNABY, BC V5H 0G3",5241-Designers graphiques et illustrateurs,1
,,Guru Truck Lines Ltd,"SURREY, BC V3X 2S1",7511-Conducteurs de camions de transport,4
,,H&S Insulation Ltd,"SURREY, BC V3W 6X5",1221-Agents d'administration,1
,,Ham Building Supplies Ltd,"RICHMOND, BC V6V 2Y6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Hans Demolition & Excavating Ltd.,"SURREY, BC V3X 3V5","7252-Tuyauteurs, monteurs d'appareils de chauffage et poseurs de gicleurs",1
,,Harni Cleaning Services Ltd.,"BURNABY, BC V5H 2J3",1221-Agents d'administration,1
,,Heart Connection Inc o/a Ramen Danbo,"VANCOUVER, BC V6J 1S4",1241-Adjoints administratifs,1
,,HGE Management Limited Partnership,"VANCOUVER, BC V6B 4P7",1241-Adjoints administratifs,1
,,High Level Painting & Floors Inc.,"SURREY, BC V4A 2J2","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,Hisar Plumbing and Heating Ltd.,"SURREY, BC V3W 0H1",7611-Aides de soutien des métiers et manoeuvres en construction,2
,,HMTax & Accounting Inc.,"Vancouver, BC V5R 5K6",2282-Agents de soutien aux utilisateurs,1
,,HoneyBun Foods Ltd.,"VICTORIA, BC V8T 1P5",0113-Directeurs des achats,2
,,Hosic Canada Enterprises Ltd.,"SURREY, BC V3W 5Y1",7271-Charpentiers-menuisiers,1
,,I Love Martial Arts Inc,"ABBOTSFORD, BC V2S 6S2","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,"Indochina Accounting Services Co., Ltd.","Burnaby, BC V5A 4V7","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Isidore Landscapes,"Richmond, BC V6V 1M3",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,3
,,J.M.T Auto Solutions,"Surrey, BC V3W 4E7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,,J.T. Construction Ltd,"SURREY, BC V3S 2Y5",7611-Aides de soutien des métiers et manoeuvres en construction,2
,,Jajja Trucking Incorporation,"SURREY, BC V3W  1K",7305-Surveillants du transport routier et du transport en commun,1
,,Jessie Food & Pizza Inc.,"Surrey, BC V3W 1B3",6222-Acheteurs des commerces de détail et de gros,1
,,Jetline Contracting Ltd,"Vancouver, BC V5Y 1P1",7611-Aides de soutien des métiers et manoeuvres en construction,3
,,Jettysoft Ltd.,"Vancouver, BC V5X 1S9",2283-Évaluateurs de systèmes informatiques,1
,,Jie Xing Garment Ltd,"Richmond, BC V6V 2R5",0911-Directeurs de la fabrication,1
