Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandés
,,Yusuf's Home Daycare,"Regina, SK S4T 2M2",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,  Agriculture primaire,Cairnside Farms Ltd.,"Harris, SK S0L 1K0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Alberta,    Haut salaire,1262473 Alberta Ltd,"Calgary, AB T2T 0C4",6322-Cuisiniers,1
,,4 Wheel Collision - Frame Ltd.,"Edmonton, AB T6B 2H8",1522-Magasiniers et commis aux pièces,2
,,694219 Alberta Ltd.,"Sherwood Park, AB T8B 1C9",7305-Surveillants du transport routier et du transport en commun,1
,,A&T Talents LTD,"Calgary, AB T2K 3T2","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Alberta College of Acupuncture & Traditional Chinese Medicine,"Calgary, AB T3A 2N1",6314-Superviseurs des services d'information et des services à la clientèle,1
,,Alberta Geomatics Inc.,"Edmonton, AB T6E 5K8",2254-Technologues et techniciens en arpentage,1
,,Aurora Industries Ltd,"Edmonton, AB T6E 5R6","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",2
,,Be. Do. Well Inc.,"Calgary, AB T2G 1H5",2282-Agents de soutien aux utilisateurs,1
,,Canadian Cribbing (EDM) Ltd.,"Edmonton, AB T6N 1A8",7204-Entrepreneurs et contremaîtres en charpenterie,1
,,Conqur Industries Inc.,"Two Hills, AB T0B 4K0",0621-Directeurs - commerce de détail et de gros,1
,,Cox Contractors Ltd.,"High Prairie, AB T0G 1E0","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Cynkon Inc,"Edmonton, AB T6W 0H8",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,Eau Claire Distillery Ltd,"Turner Valley, AB T0L 2A0","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",1
,,Gongfu International Ltd.,"Red Deer, AB T4N 6B9",3236-Massothérapeutes,1
,,Graham Management Services LP,"Calgary, AB T2Z 3R6",0711-Directeurs de la construction,1
,,Green Around Construction Ltd,"Edmonton, AB T6V 1W8",7521-Conducteurs d'équipement lourd (sauf les grues),1
,,Hi-Tech Business Systems Ltd.,"Grande Prairie, AB T8V 0V4",6221-Spécialistes des ventes techniques - commerce de gros,1
,,I.T. Quality Inc,"Fort McMurray, AB T9K 0P8",2281-Techniciens de réseau informatique,1
,,Independent Baptist Christian Education Society,"Spruce Grove, AB T7X 3H5",0714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
,,Math and Tutor Ltd.,"Calgary, AB T2Z 0X3",4216-Autres instructeurs,1
,,Maxxam Analytics International Corporation,"Edmonton, AB T6B 3M9",0212-Directeurs des services d'architecture et de sciences,1
,,MediDirect Inc.,"Calgary, AB T3B 4Z1",0125-Directeurs d'autres services aux entreprises,1
,,Minit Lube Limited,"Calgary, AB T3C 2G3",0621-Directeurs - commerce de détail et de gros,1
,,Noresask Pumping Inc.,"Edmonton, AB T6B 3M3",7282-Finisseurs de béton,3
,,Northern Concrete Services Ltd,"St. Albert, AB T8N 5A3",7611-Aides de soutien des métiers et manoeuvres en construction,8
,,Reel Camping Ltd.,"Devon, AB T9G 1H5","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,SP Painting Company Ltd.,"Edmonton, AB T6M 0K5",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),2
,,The S.H.A.R.P. Foundation,"Calgary, AB T2H 0A1","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,Unic Roofing Ltd,"Calgary, AB T2M 2P3",7291-Couvreurs et poseurs de bardeaux,2
,   Bas salaire,1062080 Alberta Ltd. o/a Bigstone ESSO,"Wabasca, AB T0G 2K0",6311-Superviseurs des services alimentaires,1
,,1093855 BC Ltd.,"Calgary, AB T2G 5M2","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,,1151178 Alberta Ltd o/a Western Valley Inn,"Valleyview, AB T0H 3N0",6322-Cuisiniers,1
,,1193482 Alberta Ltd,"Calgary, AB T3K 4L2",6311-Superviseurs des services alimentaires,1
,,1262473 Alberta Ltd,"Calgary, AB T2T 0C4",6322-Cuisiniers,2
,,1336648 Alberta Ltd,"Beaverlodge, AB T0H 0C0",6311-Superviseurs des services alimentaires,1
,,1371487 Alberta Ltd,"Cochrane, AB T4C 0E6",6316-Surveillants des autres services,1
,,1403013 Alberta Ltd,"Edmonton, AB T5C 2A7",6211-Superviseurs des ventes - commerce de détail,1
,,1408778 Alberta Ltd,"High River, AB T1V 2A6",9423-Opérateurs de machines de transformation du caoutchouc et personnel assimilé,1
,,1476257 Alberta Ltd.o/a Taiwan Express,"Edmonton, AB T6E 4E3",6311-Superviseurs des services alimentaires,1
,,1482465 Alberta Ltd.,"Leduc, AB T9E 8N4",6311-Superviseurs des services alimentaires,1
,,,,6322-Cuisiniers,1
,,149 St. Burgers Ltd.,"Edmonton, AB T6H 4R7",6311-Superviseurs des services alimentaires,1
,,1630576 Alberta Inc,"Calgary, AB T2Z 4C9",6316-Surveillants des autres services,1
,,1637200 Alberta Ltd,"Edmonton, AB T6X 0P2",6311-Superviseurs des services alimentaires,1
,,,,6322-Cuisiniers,1
,,1666251 Alberta Ltd,"High Level, AB T0H 1Z0",6211-Superviseurs des ventes - commerce de détail,1
,,1677016 Alberta Ltd,"Edmonton, AB T6E 0T2",6322-Cuisiniers,1
,,1688707 Alberta Corp,"Calgary, AB T2Y 5G7",0631-Directeurs de la restauration et des services alimentaires,1
,,1795409 Alberta Ltd.,"Hinton, AB T7V 2G2",6311-Superviseurs des services alimentaires,1
,,1800519 Alberta Ltd,"St. Albert, AB T8N 5S8",6311-Superviseurs des services alimentaires,1
,,1810402 Alberta Ltd,"Calgary, AB T2G 0P5",6322-Cuisiniers,1
,,1840991 Alberta Ltd.,"Calgary, AB T1Y 1R6",6211-Superviseurs des ventes - commerce de détail,1
,,1853132 Alberta Ltd.,"Sherwood Park, AB T8H 0B8",6322-Cuisiniers,1
,,1865549 Alberta Ltd o/a TIM HORTONS,"Edmonton, AB T5Z 3X1",6332-Boulangers-pâtissiers,4
,,1876156 Alberta Ltd,"Airdrie, AB T4A 0H5",0631-Directeurs de la restauration et des services alimentaires,1
,,1879959 Alberta Ltd,"Edmonton, AB T5E 6E5","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,1899003 Alberta Ltd,"Sherwood Park, AB T8A 0C9",6311-Superviseurs des services alimentaires,1
,,1913808 Alberta Ltd,"Edmonton, AB T5A 5A1",6322-Cuisiniers,1
,,1917020 Alberta LTD,"Edmonton, AB T5J 2B8",6311-Superviseurs des services alimentaires,1
,,1963350 AB Ltd /The Boot,"Cochrane, AB T4C 1X6",6311-Superviseurs des services alimentaires,1
,,1971679 Alberta Inc.,"Edmonton, AB T6M 0M8",6341-Coiffeurs et barbiers,1
,,2004384 Alberta Ltd.,"Leduc, AB T9E 0J6",6311-Superviseurs des services alimentaires,2
,,2017373 Alberta Ltd o/a Jimmy's Gas Bar,"Driftpile, AB T0G 0V0",6211-Superviseurs des ventes - commerce de détail,1
,,592467 Alberta Ltd.o/a Escada Hair International,"Edmonton, AB T6K 4B4",6316-Surveillants des autres services,1
,,640988 Alberta Ltd o/a Aspen Motor Inn & DV Food Store,"Drayton Valley, AB T7A 1M4",6211-Superviseurs des ventes - commerce de détail,1
,,914703 Alberta Ltd,"Red Deer County, AB T4E 0A5",6322-Cuisiniers,2
,,A1 Triple X Ltd.,"Calgary, AB T3J 0J5",1221-Agents d'administration,1
,,ABS Truckwash and Lube Ltd,"Edmonton, AB T5W 5J6",6315-Surveillants des services de nettoyage,1
,,Areo Homes Pvt Ltd,"Edmonton, AB T6N 1B7",7611-Aides de soutien des métiers et manoeuvres en construction,2
,,Aztec Renovations & Refit Inc,"Calgary, AB T2E 6L5",9224-Surveillants dans la fabrication de meubles et d'accessoires,2
,,Bam-Bam Pizza Inc.,"Calgary, AB T2Z 0G4",6311-Superviseurs des services alimentaires,1
,,Bice & Son's Drywall Service Ltd.,"Medicine Hat, AB T1B 4C7","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,,Black Sheep Holdings,"Jasper, AB T0E 1E0",6322-Cuisiniers,2
,,Borealis Diamonds Ltd,"Fort McMurray, AB T9H 5P8",6211-Superviseurs des ventes - commerce de détail,1
,,Canada North Camps Inc,"Edmonton, AB T5L 5V8",6321-Chefs,1
,,Chandigarh Styles & Trendz Ltd.,"Edmonton, AB T6E 5P2","6342-Tailleurs, couturiers, fourreurs et modistes",1
,,Creek Side Pub Holdings Ltd,"Calgary, AB T3J 0A3",6322-Cuisiniers,2
,,Crowbar Lounge Inc,"Coleman, AB T0K 0M0",6322-Cuisiniers,1
,,D & R Construction Ltd.,"Edmonton, AB T6W 2M9",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,,D.S. Waldie Holdings Inc,"Edmonton, AB T5A 1C2",6211-Superviseurs des ventes - commerce de détail,2
,,Denny's Restaurant,"Calgary, AB T2H 0B8",6322-Cuisiniers,3
,,Dezi's Plastering Inc,"Calgary, AB T3Z 0A1","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",2
,,DK Total Home Solutions Ltd,"Foothills, AB T1S 3W5",7272-Ébénistes,1
,,Elements Retail Group Inc,"Calgary, AB T2E 6W5","6562-Esthéticiens, électrolystes et personnel assimilé",3
,,Emkay H Associates Ltd. a/o Papa John's Pizza,"Fort Saskatchewan, AB T8L 4P7",6311-Superviseurs des services alimentaires,2
,,Fashion Hair Centre,"Edmonton, AB T6C 0Y4",6341-Coiffeurs et barbiers,1
,,FX Inc.,"Edmonton, AB T5T 3J7","6562-Esthéticiens, électrolystes et personnel assimilé",2
,,Galaxy Granite Ltd,"Calgary, AB T2E 6N2","9414-Opérateurs de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",1
,,Geo Auto Sale Ltd.,"Calgary, AB T3J 3W2",6211-Superviseurs des ventes - commerce de détail,1
,,GN Building Ltd.,"Calgary, AB T2S 1H8","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,,Gold Line Paint Ltd,"Calgary, AB T3K 5R8",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),2
,,Golden MS Ltd,"Fox Creek, AB T0H 1P0",6322-Cuisiniers,1
,,Gymtastics Inc.,"Calgary, AB T2H 2S5",5252-Entraîneurs,1
,,Hong Fah Thai Restaurant Ltd.,"Grande Prairie, AB T8V 8L1",6322-Cuisiniers,1
,,Hot Million Indian Cuisine Inc,"Calgary, AB T1Y 5S3",6322-Cuisiniers,1
,,IBN Group Ltd.,"Valleyview, AB T0H 3N0",6211-Superviseurs des ventes - commerce de détail,1
,,Interiors on Main Inc,"Camrose, AB T4V 1P9",6211-Superviseurs des ventes - commerce de détail,1
,,J & M Auto Detailing Ltd.,"Calgary, AB T2A 2P3",6315-Surveillants des services de nettoyage,1
,,Jerusalem Shawarma Inc,"Calgary, AB T2M 0H9",6322-Cuisiniers,2
,,Just Bishmillah Inc,"Edmonton, AB T6X 0K6",6311-Superviseurs des services alimentaires,1
,,Jutt Management Inc.,"Edmonton, AB T5Y 3J4",6211-Superviseurs des ventes - commerce de détail,4
,,KNSS Auto Ltd.,"Calgary, AB T2E 7C8",6732-Nettoyeurs spécialisés,1
,,Las Canarias Services Corp,"Calgary, AB T2T 0B6",0631-Directeurs de la restauration et des services alimentaires,1
,,Lube City Corp,"Edmonton, AB T6E 5X7",7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles,1
,,Lynx Brand Fence Products Alta. Ltd,"Calgary, AB T2C 2J2",1521-Expéditeurs et réceptionnaires,1
,,Mel's U Drives (1978) Ltd,"Grande Prairie, AB T8V 4J1",6315-Surveillants des services de nettoyage,1
,,MRD Transport Ltd,"Edmonton, AB T5Y 0L6",6732-Nettoyeurs spécialisés,1
,,Nanak Driving School Ltd.,"Edmonton, AB T6T 0P3",1221-Agents d'administration,1
,,Northen Lights Granite Ltd.,"St. Albert, AB T8N 5L2",7283-Carreleurs,1
,,ProBond Systems Inc.,"Edmonton, AB T5S 1X2",7291-Couvreurs et poseurs de bardeaux,3
,,RedPath Inns Ltd,"Lethbridge, AB T1K 2P8",6315-Surveillants des services de nettoyage,1
,,Restaurex Partners Inc.,"Sherwood Park, AB T8H 0B8",6322-Cuisiniers,1
,,Rimar Holdings Ltd.,"High Level, AB T0H 1Z0",6315-Surveillants des services de nettoyage,1
,,Rockwood Management Ltd,"Edmonton, AB T5K 0E7",6315-Surveillants des services de nettoyage,1
,,Roof Runner Roofing Ltd.,"Red Deer Country, AB T4S 2A4",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,Rose Country Inn,"Wetaskiwin, AB T9A 1J7",6513-Serveurs d'aliments et de boissons,1
,,Saj Traders Inc.,"Lethbridge, AB T1J 5J1",6211-Superviseurs des ventes - commerce de détail,1
,,Smithco Enterprises Ltd,"Grande Prairie, AB T8X 0K7","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",2
,,Specon Construction Inc.,"Chestermere, AB T1X 0M7",7272-Ébénistes,1
,,Stigg Security Inc,"Fort McMurray, AB T9K 0P8",6316-Surveillants des autres services,2
,,Syphay Restaurant Ltd,"Edmonton, AB T6H 1G9",6311-Superviseurs des services alimentaires,1
,,Three North Clean Inc,"Calgary, AB T3M 1P3",6315-Surveillants des services de nettoyage,1
,,Triple C's Foods Group Inc,"Cold Lake, AB T9M 0G1",6311-Superviseurs des services alimentaires,2
,,Two Hills Auto & Industrial Supply Ltd.,"Two Hills, AB T0B 4K0",1522-Magasiniers et commis aux pièces,1
,,Ultimate Fixx Ltd.,"Calgary, AB T2C 2P5",6732-Nettoyeurs spécialisés,1
,,Vine Vera Resveratrol Skin Care,"Edmonton, AB T6M 2N1",6211-Superviseurs des ventes - commerce de détail,2
,  Agriculture primaire,821778 Alberta Ltd.,"Sturgeon County, AB T8T 0B2","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,,Blue Grass Sod Farms Ltd,"Red Deer County, AB T4S 2A9","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,,Elk-A-Rosa Ranch Ltd,"Beaverlodge, AB T0H 0C0",8431-Ouvriers agricoles,1
,,Scandia Honey Corporation,"Scandia, AB T0J 2Z0",8431-Ouvriers agricoles,4
,,Shipwheel Cattle Feeders Ltd,"Taber, AB T1G 2C9","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,,Total Maintenance Services Inc.,"Edmonton, AB T6R 1V5","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
Colombie-Britannique,    Haut salaire,0890371 B.C. Ltd.,"Mission, BC V2V 1A9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,1101154 BC Ltd,"Vancouver, BC V5X 2A7",6322-Cuisiniers,2
,,Aarc-West Mechanical Insulation (2013) Inc,"Surrey, BC V3S 3M3",7293-Calorifugeurs,1
,,Active Fire & Safety Services Ltd.,"Surrey, BC V3W 3H7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
,,Aedis Games Inc.,"Vancouver, BC V6J 1X2",2173-Ingénieurs et concepteurs en logiciel,1
,,Al Stober Construction Ltd,"Kelowna, BC V1Y 0B5",1224-Agents de gestion immobilière,1
,,AS2 Framing Ltd.,"Surrey, BC V3W 0K2",7271-Charpentiers-menuisiers,1
,,Ashton Mechanical Ltd,"Richmond, BC V6X 3M4",7313-Mécaniciens en réfrigération et en climatisation,1
,,Auto Den Repair Ltd.,"Surrey, BC V3W 1B3","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Baran Steel Placing Rebar Inc,"Vancouver, BC V5S 4R6",7236-Monteurs de charpentes métalliques,6
,,Bardel (CAT) Productions Services Inc.,"Vancouver, BC V6J 1J8",5241-Designers graphiques et illustrateurs,2
,,Bardel (DP) Production Services Inc.,"Vancouver, BC V6J 1J8",5241-Designers graphiques et illustrateurs,1
,,Bardel (DRR) Production Services Inc,"Vancouver, BC V6J 1J8",5241-Designers graphiques et illustrateurs,1
,,BCP Installations Ltd.,"Coquitlam, BC V3K 6W9",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,,,"7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,,Beach Grove Motel Ltd,"Delta, BC V4L 5X9",0632-Directeurs des services d'hébergement,1
,,Belle & Wingi Innovative Company Ltd.,"Kelowna, BC V1Y 2A7",0114-Directeurs d'autres services administratifs,1
,,BMS Plumbing & Mechanical Systems Ltd,"Vancouver, BC V5L 3K6",7251-Plombiers,1
,,Bright Transport Ltd.,"Surrey, BC V3W 1K6",7511-Conducteurs de camions de transport,4
,,Canadian In Home Care Assistance Inc.,"West Vancouver, BC V7T 1A2","1213-Superviseurs de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",2
,,Canadian Phytopharmaceuticals Corp.,"Richmond, BC V6W 1K8","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Charlien Trucking Ltd,"Surrey, BC V3S 9G9",7511-Conducteurs de camions de transport,2
,,CSK Concrete Group Ltd.,"Vancouver, BC V6E 4S1",7282-Finisseurs de béton,2
,,DCS Fitness & Martial Arts Ltd.,"Vancouver, BC V6A 2Z9","0513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,,Delta Pizza Ltd.,"Surrey, BC V3W 1B3","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Devson Freightways Ltd,"Surrey, BC V3W 3E9",7305-Surveillants du transport routier et du transport en commun,1
,,Dhillon Truck Repair Ltd.,"Surrey, BC V3R 2V8",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Division 9 Contractors Ltd,"Surrey, BC V3S 8Z8",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,Dumondes Service Management INC.,"Vancouver, BC V5R 0A7",7305-Surveillants du transport routier et du transport en commun,1
,,Elk Valley Painting & Decorating,"Fernie, BC V0B 1M0",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,,ESK Enterprises Ltd,"Richmond, BC V6X 3R9",6315-Surveillants des services de nettoyage,1
,,Euro Painting Ltd.,"Langley, BC V2Y 2Y5",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),5
,,F R C Transport Ltd.,"Surrey, BC V3V 1B9",1221-Agents d'administration,1
,,Fang Design Studio Inc.,"Vancouver, BC V5Y 1N5",2253-Technologues et techniciens en dessin,1
,,First Choice Stucco Ltd.,"Surrey, BC V3T 2H1","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",2
,,Foot Prints of the Teddy Bear Salon Ltd.,"Vancouver, BC V6Z 2A8",3232-Praticiens des médecines douces,1
,,Ginger Garlic Cuisine of India Ltd.,"Vancouver, BC V6G 1W2",6322-Cuisiniers,1
,,GPS Galaxy Pacific Services Ltd,"Surrey, BC V5V 3H2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Grandvilla Construction Ltd.,"Surrey, BC V3T 1S9",1311-Techniciens en comptabilité et teneurs de livres,1
,,Hans Demolition & Excavating Ltd.,"Surrey, BC V3X 3S9",7511-Conducteurs de camions de transport,3
,,Harman Drywall Ltd.,"Surrey, BC V3X 3M6",1241-Adjoints administratifs,1
,,Henriquez Production Ltd.,"Vancouver, BC V6B 2A3",2251-Technologues et techniciens en architecture,1
,,Hi-Tech Forming Ltd.,"Abbotsford, BC V3G 2Y1",7271-Charpentiers-menuisiers,1
,,Imperial Ceramica Ltd.,"Delta, BC V4C 3L4",7283-Carreleurs,1
,,Inertia Carrier Ltd,"Abbotsford, BC V2T 5K3",7511-Conducteurs de camions de transport,4
,,JVP Transport Ltd,"Abbotsford, BC V2T 4X8",1221-Agents d'administration,1
,,,,1241-Adjoints administratifs,1
,,,,1311-Techniciens en comptabilité et teneurs de livres,1
,,Kerkhoff Construction (2016) Ltd,"Chilliwack, BC V2R 3V1",0711-Directeurs de la construction,1
,,Kraico Mechanical Ltd.,"Port Coquitlam, BC V3C 6N2","7252-Tuyauteurs, monteurs d'appareils de chauffage et poseurs de gicleurs",1
,,Liquid Sound Inc,"Vancouver, BC V6R 2H7","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,lululemon athletica Canada Inc.,"Vancouver, BC V6J 1C7",1122-Professionnels des services-conseils en gestion aux entreprises,1
,,,,2115-Autres professionnels des sciences physiques,1
,,Make Door Pro Your Garage Door Company Ltd.,"Surrey, BC V3W 0A8","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
,,Maki Sushi Ltd.,"Kelowna, BC V1Y 6C7",6322-Cuisiniers,1
,,Mann Construction Group Canada Ltd.,"Surrey, BC V3V 0C9",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,1
,,"Mole Hill Montessori, Ltd.","Vancouver, BC V6X 1W7",4032-Enseignants aux niveaux primaire et préscolaire,1
,,National Truck Centre Inc.,"Langley, BC V1M 4B9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,New City Contracting Ltd.,"Vancouver, BC V6A 2E3",7204-Entrepreneurs et contremaîtres en charpenterie,3
,,OCK Tour Ltd,"Coquitlam, BC V3K 3V8","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,Ornament Tiles and Surface Ltd.,"Surrey, BC V4N 4N2",7283-Carreleurs,1
,,Padda Enterprises Ltd.,"Surrey, BC V3T 1E6",0631-Directeurs de la restauration et des services alimentaires,1
,,Percy John Flooring Ltd.,"Burnaby, BC V5A 3H4",1241-Adjoints administratifs,1
,,Philstar Roofing & Disposal Ltd,"Surrey, BC V3V 0B8",7271-Charpentiers-menuisiers,2
,,,,7291-Couvreurs et poseurs de bardeaux,3
,,Popular Group Investments Ltd,"Surrey, BC V3W 5B4",6315-Surveillants des services de nettoyage,1
,,Prestige Joinery Ltd,"Victoria, BC V9A 3Y9",9227-Surveillants dans la fabrication et le montage de produits divers,1
,,Prime International Van Line Inc,"Coquitlam, BC V3K 6R2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Rakes and Ladders Garden and Property Services,"Vancouver, BC V6K 4P4",2264-Inspecteurs en construction,1
,,Rami's Cut Barber Shop Ltd.,"Maple Ridge, BC V2X 2T3",6211-Superviseurs des ventes - commerce de détail,1
,,Razin Enterprises Ltd,"Harrison Hot Springs, BC V0M 1K0",0621-Directeurs - commerce de détail et de gros,1
,,RC World Ltd,"Vancouver, BC V5N 2H3",0111-Directeurs financiers,1
,,Re:Function Health Group Inc.,"Richmond, BC V7C 5C2",3142-Physiothérapeutes,1
,,Right Link Logistics Ltd.,"Abbotsford, BC V2S 7N2",1241-Adjoints administratifs,1
,,,,1311-Techniciens en comptabilité et teneurs de livres,1
,,,,"7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Sangam Auto Body Ltd.,"Surrey, BC V3W 0A6",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Satkul Developments Ltd.,"Surrey, BC V4N 4S4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Scanline VFX Inc.,"Vancouver, BC V6B 2W2",5241-Designers graphiques et illustrateurs,1
,,SLICC Professional Services Ltd.,"Vancouver, BC V5M 1A4",7282-Finisseurs de béton,1
,,,,8612-Manoeuvres en aménagement paysager et en entretien des terrains,1
,,Softrak Systems Inc,"Vancouver, BC V6J 5B3","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,Sprinkl-Tech Installations Inc.,"Vancouver, BC V6K 0E9",2242-Électroniciens d'entretien (biens domestiques et commerciaux),3
,,Summerland Estate Ltd.,"West Vancouver, BC V7V 3Z9",0911-Directeurs de la fabrication,1
,,Sunny Beach Motel Inc,"Penticton, BC V2A 6H9",0632-Directeurs des services d'hébergement,1
,,SVK Express Ltd.,"Surrey, BC V3V 5S9",1241-Adjoints administratifs,1
,,The Bombay Sweets 2009 Ltd,"Port Coquitlam, BC V3C 3H1",0621-Directeurs - commerce de détail et de gros,1
,,,,6322-Cuisiniers,1
,,Topwin Auto Centre Inc,"Richmond, BC V6X 2B8",6211-Superviseurs des ventes - commerce de détail,1
,,Tramtec Holdings Ltd,"Langley, BC V3A 1N2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Trinity Products Inc.,"Burnaby, BC V5J 4N3",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,,Venture North Holdings Ltd.,"Dawson Creek, BC V1G 0E4",7271-Charpentiers-menuisiers,1
,,Vidao Messenger Inc.,"Vancouver, BC V6E 3L2",2174-Programmeurs et développeurs en médias interactifs,2
,,Virtuous Pie Corp,"Vancouver, BC V6E 2K3",0631-Directeurs de la restauration et des services alimentaires,1
,,West Beach Window Coverings Ltd.,"Vancouver, BC V5Z 1K7","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
,,Will-Be-Done Enterprises Ltd,"Penticton, BC V2A 5G4",1311-Techniciens en comptabilité et teneurs de livres,1
,,Wing Wing Company limited,"Vancouver, BC V6A 1P7",0621-Directeurs - commerce de détail et de gros,1
,,Ya-Hsin Enterprise Ltd.,"Richmond, BC V6X 3K1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Yogabody Lifestyle Shop Ltd,"New Westminster, BC V3M 0G3","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,   Bas salaire,0850180 BC Ltd.,"Burnaby, BC V5H 3Z6",6311-Superviseurs des services alimentaires,1
,,0881124 BC Ltd.,"Coquitlam, BC V3B 0B2",6322-Cuisiniers,1
,,0905666 BC Ltd,"Langley, BC V4W 3Z3","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,0954493 BC Ltd,"Fort St.John, BC V1J 0J3",6322-Cuisiniers,1
,,0974614 BC Ltd,"Westbank, BC V4T 3E6",6311-Superviseurs des services alimentaires,1
,,1004404 BC Ltd. o/a Spicy Fusion,"Fort St John, BC V1J 1W4",0631-Directeurs de la restauration et des services alimentaires,1
,,1014141 Alberta Ltd o/a Citadella Restaurant,"Raduim Hot Springs, BC V0A 1M0",6322-Cuisiniers,1
,,1100 Burrard Holdings Ltd.,"Vancouver, BC V6Z 1Y7",6525-Réceptionnistes d'hôtel,1
,,A-1 Truss (2002) Ltd,"Surrey, BC V3W 4G2","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",5
,,Aguila Food Corporation,"Vancouver, BC V7Y 1C6","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,Air Hair Salon & Esthetics Ltd.,"Vancouver, BC V6B 2B5",6341-Coiffeurs et barbiers,1
,,Alpha Two Hair Innovations Ltd.,"Richmond, BC V6Y 4B2",6341-Coiffeurs et barbiers,1
,,Breka Downtown Bakery & Cafe Inc.,"Vancouver, BC V6E 1Y4",6311-Superviseurs des services alimentaires,1
,,BS4U Japanese Restaurant Ltd,"Vancouver, BC V5N 1W1",6322-Cuisiniers,1
,,Burnaby Lake Greenhouses Ltd,"Surrey, BC V4N 3G4",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,,Cafe Gloucester Ltd,"Vancouver, BC V5Z 2W5",6321-Chefs,1
