Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,Postes demandés 
,Eidolon Systems Ltd.,"Toronto, ON M4P 1G8",5241-Designers graphiques et illustrateurs,1
,Electronic Pipeline Technology Ltd.,"Richmond Hill, ON L4E 0M8","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Elite Email Inc.,"Toronto, ON M9L 1S7",2175-Concepteurs et développeurs Web,1
,Empire Distribution Inc.,"Brampton, ON L6Y 4G2",6222-Acheteurs des commerces de détail et de gros,2
,ES Holdings Inc,"Courtland, ON N0J 1E0",8431-Ouvriers agricoles,18
,Esgo Corp.,"North York, ON M2H 3N3",1311-Techniciens en comptabilité et teneurs de livres,1
,Essex Weld Solutions,"Essex, ON N8M 3G6",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Et Moda Canada Inc.,"Woodbridge, ON L4L 8R3",6222-Acheteurs des commerces de détail et de gros,1
,Euro Tech Roofing Ltd.,"Toronto, ON M8W 2T3",7291-Couvreurs et poseurs de bardeaux,1
,Euroloft Inc.,"Toronto, ON M3J 2P6",7283-Carreleurs,1
,European Poultry & Meats Inc.,"Toronto, ON M1L 4J5","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",2
,Evoke Solutions Incorporated,"Toronto, ON M5V 2K6",213-Gestionnaires des systèmes informatiques,1
,Exacta Tool 2010 ULC,"Brampton, ON L7A 1B1",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,Excel Funds Management Inc.,"Mississauga, ON L4W 4X7","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,"Excelocity, Inc.","Ottawa, ON K2E 7M1",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),1
,eyeReturn Marketing Inc.,"Toronto, ON M4P 2Y1",2173-Ingénieurs et concepteurs en logiciel,1
,F. Borges & Sons Construction Ltd.,"Woodbridge, ON L4H 2B1",7282-Finisseurs de béton,4
,Falco Steel Fabrications Inc.,"Brampton, ON L6T 5K3",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,Faston Logistics Ltd.,"Scarborough, ON M1S 4T6","1213-Superviseurs de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",1
,Fateh Group Inc.,"Mississauga, ON L4Z 3E8",6322-Cuisiniers,1
,FBI Pizza and Wings Ltd,"Toronto, ON M8V 1B6",6322-Cuisiniers,1
,FD Pharmacy Inc.,"Toronto, ON M5M 3X2",3414-Autre personnel de soutien des services de santé,1
,Field Farms Ltd,"Petrolia, ON N0N 1R0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",6
,Financial Decisions Inc.,"Sudbury, ON P3B 3G2",1411-Employés de soutien de bureau généraux,1
,Financial Eastern Star Inc.,"Ottawa, ON K1H 7X3",5241-Designers graphiques et illustrateurs,1
,FIrm Corp,"North York, ON N3J 2W8","9217-Surveillants dans la transformation et la fabrication de produits textiles, de tissus, de fourrure et de cuir",1
,Firmi Food Inc.,"Kitchener, ON N2H 5A6",433-Officiers de direction des Forces canadiennes,1
,First Chemical Limited,"Toronto, ON M3L 1G5",1311-Techniciens en comptabilité et teneurs de livres,1
,First Financial Underwriting Services (Canada),"Toronto, ON M1H 3E9",1312-Experts en sinistres et rédacteurs sinistres,1
,First Frontier Logistics Inc.,"Toronto, ON M9W 4Y9",1452-Correspondanciers et commis aux publications et aux règlements,1
,FirstChoice Financial Inc.,"Richmond Hill, ON L4B 1G5","1123-Professionnels en publicité, en marketing et en relations publiques",1
,Flavorcan International Inc.,"Scarborough, ON M1V 5L8",2112-Chimistes,1
,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Tôliers,1
,Focus Softnet Inc,"Mississauga, ON L5B 2N5",213-Gestionnaires des systèmes informatiques,1
,Fountium Inc.,"Toronto, ON M5X 1C7",2255-Personnel technique en géomatique et en météorologie,1
,Free Reformed Church of Hamilton,"Lyden, ON L0R 1T0",4154-Personnel professionnel relié à la religion,1
,Fresh Harvest Fine Foods Inc,"Toronto, ON M5N 1B4",6211-Superviseurs des ventes - commerce de détail,1
,Frontier Dental Supply Inc.,"North York, ON M2N 3H6","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Frontop Engineering Ltd,"Markham, ON L3R 3B2",2231-Technologues et techniciens en génie civil,1
,Fulland Logistics Ltd.,"Maple, ON L6A 0M6",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,Fulton Waters Canada Inc.,"Toronto, ON M5J 2T9",1122-Professionnels des services-conseils en gestion aux entreprises,1
,FunctionAbility Rehabilitation Services,"Vaughan, ON L4J 3M4",3143-Ergothérapeutes,1
,G H Fine Therapy Corp,"Thornhill, ON L4J 0G8","124-Directeurs de la publicité, du marketing et des relations publiques",1
,G.C. LOH Merchandising Ltd,"Toronto, ON M2M 3X4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,G.E. Forwarders (Warehouse) Ltd,"Mississauga, ON L4T 1G5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
,Gallus (Glowbies) Productions Inc.,"Sudbury, ON P3E 1B7",5241-Designers graphiques et illustrateurs,3
,Gammaco Inc.,"Mississauga, ON L5N 5Z5",5242-Designers d'intérieur et décorateurs d'intérieur,1
,Gandy Digital Ltd.,"Mississauga, ON L4W 1A9",211-Directeurs des services de génie,1
,Gem Dental Studio/Laboratory,"Sarnia, ON N7T 5W3",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,1
,Geneseeq Technology Inc.,"Toronto, ON M5G 1L7",2121-Biologistes et personnel scientifique assimilé,1
,Genesis Gardens Inc,"Limoges, ON K0A 2M0",3233-Infirmiers auxiliaires,1
,Genesis Mold Inc,"Tecumseh, ON N8N 4W2",2232-Technologues et techniciens en génie mécanique,2
,Genieall Corporation,"Mississauga, ON L5S 1V6",2147-Ingénieurs informaticiens (sauf ingénieurs et concepteurs en logiciel),1
,Geoscape Exterior Design Limited,"Markham, ON L6C 1M4",8612-Manoeuvres en aménagement paysager et en entretien des terrains,4
,Ghazale On College,"Toronto, ON M6P 4B8",6321-Chefs,1
,Giannone Petricone Associates Inc. Architects,"Toronto, ON M5V 1E3",2151-Architectes,1
,Giffin Farming Corp,"Blenheim, ON N0P 1A0",8431-Ouvriers agricoles,4
,Gigataur Corporation,"Kanata, ON K2K 0G7",2174-Programmeurs et développeurs en médias interactifs,1
,Gigg Express Inc.,"Mississauga, ON L4W 5L5",1311-Techniciens en comptabilité et teneurs de livres,1
,Gillbrothers Associates Inc.,"St. Catherines, ON L2M 3W2",6332-Boulangers-pâtissiers,2
,Ginkgo Sustainability Inc.,"Kitchener, ON N2K 1J7",711-Directeurs de la construction,1
,GIOVANNI'S RESTAURANT,"Ottawa, ON K1S 4M7",6322-Cuisiniers,1
,Global Dynamix Inc.,"Toronto, ON M4L 3Z2",1226-Planificateurs de congrès et d'événements,1
,Global Fruits Commodities Inc.,"Oakville, ON L6M 3E5",113-Directeurs des achats,1
,Glogowski Euro Food Ltd.,"Kitchener, ON N2M 3C6","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
,Grand Valley Fortifiers Limited,"Cambridge, ON N1R 5W6","2123-Agronomes, conseillers et spécialistes en agriculture",1
,Grandview Construction Inc,"Ottawa, ON K2P 1P9",7295-Poseurs de revêtements d'intérieur,1
,Granit Corporation,"Mississauga, ON L5B 4J5",7283-Carreleurs,2
,Grapesoft Canada Inc,"Toronto, ON M5X 1C7",2172-Analystes de bases de données et administrateurs de données,5
,Great Lakes Brewing Co. Inc,"Etobicoke, ON M8Z 1L8",621-Directeurs - commerce de détail et de gros,1
,Greek Oasis Take Out Ltd.,"Belleville, ON K8P 4A8",6322-Cuisiniers,1
,Greek Orthodox Metropolis of Toronto (Canada),"Toronto, ON M1T 3T4",4154-Personnel professionnel relié à la religion,2
,Green Tractors Inc.,"Nobleton, ON L0G 1N0",7312-Mécaniciens d'équipement lourd,2
,Greenspace Landscaping & Property Services Inc,"Toronto, ON M4J 4N5","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,Gridpath Solutions Inc.,"Stoney Creek, ON L8E 5M3",2243-Techniciens et mécaniciens d'instruments industriels,1
,Grosnor Industries Inc.,"Toronto, ON M9W 1R9",7303-Surveillants de l'imprimerie et du personnel assimilé,1
,GrowthEngine Media Inc.,"Mississauga, ON L4T 0A7",2174-Programmeurs et développeurs en médias interactifs,1
,GS Consulting Group Ltd.,"Toronto, ON M2M 3V3",1241-Adjoints administratifs,1
,Gurbaz Punjabi Media Inc.,"Mississauga, ON L4T 4E5",5123-Journalistes,1
,Gusto Pizza Inc.,"Brampton, ON L6X 1M9",6322-Cuisiniers,1
,Gutter Force Ltd.,"Toronto, ON M8X 2X3",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,Gym Magic Gymnastic Club Inc.,"Burlington, ON L7L 5R2",5252-Entraîneurs,1
,H & Z All Custom Woodworking Corp.,"Mississauga, ON L4W 1A2",7271-Charpentiers-menuisiers,1
,H.S. Knill Company Limited,"Paris, ON N3L 0A1",7511-Conducteurs de camions de transport,1
,Hailink Dent Removal Inc.,"Burlington, ON L7N 3J5",7301-Entrepreneurs et contremaîtres en mécanique,15
,Haliburton Forest & Wild Life Reserve,"Haliburton, ON K0M 1S0",6532-Guides d'activités récréatives et sportives de plein air,1
,Harsan Petrol Inc.,"Listowel, ON N4W 1J5",621-Directeurs - commerce de détail et de gros,1
,Harster Greenhouse Inc,"Dundas, ON L9H 6Y6",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,1
,Hawaiian Arctic Inc.,"Vaughan, ON L4L 3V7",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,Hawk Mechanical Engineering Services Inc.,"Scarborough, ON M1X 1M9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Headwaters Health Care Centre,"Orangeville, ON L9W 4X9",311-Directeurs des soins de santé,1
,Healthcare Impact Associates,"Thunder Bay, ON P7B 1A6",2282-Agents de soutien aux utilisateurs,1
,Heaven Tree Caskets Ltd,"Mississauga, ON L4W 2A1","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Henry J Peters Farms Ltd,"Thedford, ON N0M 2N0",8431-Ouvriers agricoles,2
,Hezaveh Inc,"Thornhill, ON L3T 1L6",1225-Agents aux achats,1
,Highfield Holdings Inc.,"Woodbridge, ON L4L 8C2","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Hillel Of Greater Toronto,"Toronto, ON M5S 1G2","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Hira Custom Homes Inc.,"Guelph, ON N1H 6J4",7281-Briqueteurs-maçons,1
,Hitech Structures Inc.,"Vaughan, ON L4K 1A3",7271-Charpentiers-menuisiers,2
,HK United Trucks Ltd.,"Mississauga, ON L5T 1N7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,HL Engineering Ltd.,"Stouffville, ON L4A 2G7",2232-Technologues et techniciens en génie mécanique,1
,Hodori Exoress Canada Inc.,"North York, ON M9L 1X6",7452-Manutentionnaires,1
,Hoffer Farms Ltd,"Drumbo, ON N0J 1G0",8431-Ouvriers agricoles,1
,Holiday Films Inc,"Toronto, ON M5V 1J2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Home Depot Subway Ltd.,"Burlington, ON L7M 4M9",631-Directeurs de la restauration et des services alimentaires,1
,HOMESTARTS INCORPORATED,"Mississauga, ON L5N 1A6",1224-Agents de gestion immobilière,1
,Hôpital Notre Dame Hospital (Hearst),"Hearst, ON P0L 1N0",3233-Infirmiers auxiliaires,5
,Hospitality Fallsview Holding Inc.,"Niagara Falls, ON L2G 3V9",601-Directeurs des ventes corporatives,1
,Host Hospitality Inc. o/a Hampton Inn,"Mississauga, ON L5S 1Z1",6316-Surveillants des autres services,1
,Howard Johnson Express Inn,"Niagara Falls, ON L2H 1H1",6321-Chefs,1
,Howick Orthodox Mennonite Church,"Clifford, ON N0G 1M0",4217-Autre personnel relié à la religion,1
,Huna Logistics Inc,"Mississauga, ON L5T 2T9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Hupup Corp.,"Mississauga, ON L4W 1C2",631-Directeurs de la restauration et des services alimentaires,1
,Hupup Inc,"Mississauga, ON L5V 3B7",631-Directeurs de la restauration et des services alimentaires,1
,HVAC For Life Inc.,"Mississauga, ON L4W 2Z4","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
,Hylan Group Inc.,"North York, ON M2H 2E1",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,Idea Couture Inc,"Toronto, ON M5T 2E2",1311-Techniciens en comptabilité et teneurs de livres,2
,Ideal Team Inc.(Ideal Accounting),"Toronto, ON L3T 0C7",1311-Techniciens en comptabilité et teneurs de livres,1
,IGO CYBER HOUSE INC,"Ottawa, ON K2P 1W9",113-Directeurs des achats,1
,Imago Management Services Inc,"Toronto, ON M5G 1S5",631-Directeurs de la restauration et des services alimentaires,1
,India Village Grill Restaurant,"Dundas, ON L9H 1T9",6321-Chefs,3
,Industrial Filter Manufacturing Limited,"Penetanlvishene, ON L9M 1G9","9447-Contrôleurs et trieurs dans la fabrication de produits textiles, de tissus, de fourrure et de cuir",1
,Industrialite Electric Co Ltd,"Richmond Hill, ON L4B 1H4",7242-Électriciens industriels,1
,Influitive Corporation,"Toronto, ON M5V 2G9",2173-Ingénieurs et concepteurs en logiciel,1
,Infowise Solutions Ltd,"Richmond Hill, ON L4E 3W2",213-Gestionnaires des systèmes informatiques,1
,Inkas Safe Manufacturing Ltd,"Toronto, ON M9L 2Y4",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,Inspired Cabinetry & Granite Inc.,"Thunder Bay, ON P7B 5M4",7272-Ébénistes,1
,Integral Seal Manufacturing Inc.,"Concord, ON L4K 2T3",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,Intelligent Mechatronic Systems,"Waterloo, ON N2J 2Z5",2174-Programmeurs et développeurs en médias interactifs,1
,International Fence & Railing Inc.,"Toronto, ON M6M 2P5","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",2
,Interspan Canada Inc.,"Vaughan, ON L4K 3W7","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Intervolt Electric Ltd.,"Toronto, ON M1R 3C3",7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,Invoice Payment system corporation,"Mississauga, ON L5T 1M9",1221-Agents d'administration,1
,Ionada Incorporated,"Concord, ON L4K 4B1",2132-Ingénieurs mécaniciens,1
,Iovate Health Sciences International Inc.,"Oakville, ON L6M 0H4","124-Directeurs de la publicité, du marketing et des relations publiques",1
,"IPC Information Systems Canada, Inc","Toronto, ON M5J 1T1",2282-Agents de soutien aux utilisateurs,1
,ITPS (Canada) Ltd.,"London, ON N5V 3Z9","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",1
,iVedha Inc.,"Toronto, ON M3C 3S2",2171-Analystes et consultants en informatique,2
,Izart Architectural Design Inc.,"Toronto, ON M8Y 1B1",5244-Artisans,1
,J & C Muller Farms Inc,"Dashwood, ON N0M 1N0",8431-Ouvriers agricoles,4
,J DeBruyn Farms Ltd,"Salford, ON N0J 1W0",8431-Ouvriers agricoles,1
,J. Lipani & Son Sod Farms Ltd.,"Queensville, ON L0G 1R0",7312-Mécaniciens d'équipement lourd,1
,Jack-Line Roofing & Sheet Metal Ltd.,"Mississauga, ON L4W 1C8",7291-Couvreurs et poseurs de bardeaux,1
,Jacob Arthur Holdings Inc,"Scotland, ON N0E 1R0",8432-Ouvriers de pépinières et de serres,2
,Jade Displays International Corp.,"Richmond Hill, ON L4B 1C7",1226-Planificateurs de congrès et d'événements,1
,Jaliyan Inc.,"Niagara Falls, ON L2E 4B9",631-Directeurs de la restauration et des services alimentaires,1
,J-A-P Trailer Services Inc.,"Mississauga, ON L4T 1H3",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,Jay Neelkanth Enterprises Inc.,"Brampton, ON L6P 3B7",6311-Superviseurs des services alimentaires,1
,JBNB Inc.,"Markham,, ON L3R 3A5",6341-Coiffeurs et barbiers,1
,JCM Solar Capital Ltd,"Toronto, ON M4T 1L9",1221-Agents d'administration,1
,JD McNicoll Interiors Ltd.,"Toronto, ON M6B 3Z4",9224-Surveillants dans la fabrication de meubles et d'accessoires,1
,Jeffery's Greenhouses Plant II Ltd,"St Catharines, ON L2R 6P9",8432-Ouvriers de pépinières et de serres,2
,JFAZ Corporation,"Mississauga, ON L5C 2T1","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Jimricks Property Services,"Scarborough, ON M1R 4Y7","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,JMCC Ltd.,"Toronto, ON M6E 4X3",7271-Charpentiers-menuisiers,1
,JMS Forming Ltd.,"North York, ON M9L 1Y3",7271-Charpentiers-menuisiers,1
,Joe Badali's Piazza on Front Inc.,"Toronto, ON M5J 2L6",6321-Chefs,1
,Johnson Audio Video Ltd,"Etobicoke, ON M9P 2C3",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,Jonjo Transport Refrigeration,"Mississauga, ON L5T 1G5",7313-Mécaniciens en réfrigération et en climatisation,1
,Joseph Haulage Canada Corp.,"Stoney Creek, ON L8E 2W1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Just J Beauty Salon,"Brampton, ON L6T 3Z4",6341-Coiffeurs et barbiers,1
,K & K Bouw Inc,"Delhi, ON N4B 2W8",8431-Ouvriers agricoles,15
,K&J's Auto Ltd.,"Toronto, ON M1P 2N7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,K.B. Enterprises (2014) Inc,"Brampton, ON L6Y 5X6",631-Directeurs de la restauration et des services alimentaires,1
,K.O.S Design Inc.,"Toronto, ON M6R 2B2",2251-Technologues et techniciens en architecture,1
,Kallisto Greek Restaurant,"Ottawa, ON K1T 1N8",6321-Chefs,1
,Kanetix Ltd.,"Toronto, ON M5V 1R7","1123-Professionnels en publicité, en marketing et en relations publiques",1
,Karpaty Fine Foods Inc.,"Brampton, ON L6Y 0K9",6332-Boulangers-pâtissiers,1
,KC Tours Ltd.,"Toronto, ON M6G 1L5","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,Keentec Na Inc,"Oldcastle, ON N0R 1L0","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,Khushveer Transport Inc.,"Stoney Creek, ON L8E 5W1","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Kids Sphere / Bounce 'N' Play,"Oakville, ON L6J 5T3",714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
,Kingdom Hotels (Toronto) LTD.,"Toronto, ON M4W 0A4",631-Directeurs de la restauration et des services alimentaires,1
,Kingsville Stamping Ltd.,"Kingsville, ON N9Y 2E5",7232-Outilleurs-ajusteurs,2
,Kinton Ramen 5 INC.,"Toronto, ON M5T 1R9",6321-Chefs,2
,Kitchenforkitchen.com Inc.,"Toronto, ON M3N 1V7",9224-Surveillants dans la fabrication de meubles et d'accessoires,1
,KMARC Roofing Inc,"Toronto, ON M6N 2Z9",7291-Couvreurs et poseurs de bardeaux,2
,KMG Inc.,"Mississauga, ON L4X 2S3",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,Knotek Brothers Inc.,"Chatham, ON N7M 5J3",8432-Ouvriers de pépinières et de serres,7
,Kochu (Inc) Restaurant,"Ottawa, ON K2P 1M7",6322-Cuisiniers,1
,Kognitive Marketing Partnership,"Toronto, ON M5V 1S2",6211-Superviseurs des ventes - commerce de détail,1
,KPT Precision Inc.,"Rexdale, ON M9W 6Z7",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,Krystal Apiaries Ltd,"Millgrove, ON L0R 1V0",8431-Ouvriers agricoles,1
,Kumar & Sons Enterprise Limited,"Kingston, ON K7M 8T8",7305-Surveillants du transport routier et du transport en commun,1
,K-W Drywall Services Ltd.,"Kitchener, ON N2R 1Y8",7271-Charpentiers-menuisiers,6
,Kyrill Alyoshin Consulting Inc.,"Maple, ON L6A 0H4",2173-Ingénieurs et concepteurs en logiciel,1
,L&L Painting and Decorating,"Vaughan, ON L4K 0A8",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
,La Milano Inc.,"Markham, ON L3R 2Z5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Lais Hotel Properties Limited,"Niagara-On-The-Lake, ON L0S 1J0",6321-Chefs,1
,Lakeside Catering Services,"Huntsville, ON P1H 1R8",6332-Boulangers-pâtissiers,1
,Lana Home Renovation Inc.,"Vaughan, ON L4J 5A7","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",2
,Larry and Heather Laidlaw,"Brampton, ON L6X 0A2",8431-Ouvriers agricoles,1
,Launchfire Interactive Inc.,"Ottawa, ON K1Y 1B6",2174-Programmeurs et développeurs en médias interactifs,1
,LCK Roofing Ltd.,"Totonto, ON M6N 3Y6",7291-Couvreurs et poseurs de bardeaux,1
,Leather Living Furniture,"Brampton, ON L6T 5E7",6221-Spécialistes des ventes techniques - commerce de gros,1
,LEGACY MASONRY INC,"MISSISSAUGA, ON L4W 1R4",7271-Charpentiers-menuisiers,2
,Leo Burnett Company Ltd.,"Toronto, ON M4W 3R9",1122-Professionnels des services-conseils en gestion aux entreprises,1
,LEVEL ONE ROBOTICS AND CONTROLS INC.,"Windsor, ON N8X 3W1",7534-Agents de piste dans le transport aérien,1
,LHM Technologies Inc.,"Woodbridge, ON L4L 8H2",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,Linamar Corporation,"Guelph, ON N1H 1C5",2232-Technologues et techniciens en génie mécanique,2
,Lindsay Physiotherapy Services,"Lindsay, ON K9V 2M1",3142-Physiothérapeutes,1
,Line to Line Inc.,"Mississauga, ON L4W 4L6",5242-Designers d'intérieur et décorateurs d'intérieur,1
,Ling & Ling Enterprise Ltd,"St. Catharines, ON L2S 4B3","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",2
,Listowel Technology Inc.,"Listowel, ON N4W 3H4",2232-Technologues et techniciens en génie mécanique,1
,LJP Corporation,"Mono, ON L9W 5X7",6321-Chefs,1
,Load Solutions Inc.,"Guelph, ON N1L 0C1",9226-Surveillants dans la fabrication d'autres produits métalliques et de pièces mécaniques,1
,L'Occitane Canada Corporation,"Toronto, ON M6B 4J3",621-Directeurs - commerce de détail et de gros,1
,Logos Romanian Pentecostal Church,"Toronto, ON M6A 1Z6",4154-Personnel professionnel relié à la religion,1
,Lohmann Tierzucht Canada Ltd,"Brantford, ON N3S 7W4",714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
,Lomco Ltd.,"Newmarket, ON L3Y 4W3",2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture,2
,London Bait Wholesale Inc,"Denfield, ON N0M 1P0",8611-Manoeuvres à la récolte,60
,London Pharmacare Inc.,"London, ON N6A 5R9","13-Cadres supérieurs - services financiers, communications et autres services aux entreprises",2
,London Squash Racquets Club,"London, ON N6A 1L8","513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,Long Teng Farm Inc,"Toronto, ON M1W 3W6",8431-Ouvriers agricoles,10
,Longterm Technology Services Inc.,"London, ON N6A 5R8",2232-Technologues et techniciens en génie mécanique,1
,Lucecore International Inc.,"Campbellville, ON L0P 1B0",7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles,1
,M & J McElhone Farming Inc,"La Salette, ON N0E 1H0",8431-Ouvriers agricoles,1
,Mac1 Industries Ltd.,"Mississauga, ON L4W 2S7",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,Magmic Inc.,"Ottawa, ON K1N 5T5",601-Directeurs des ventes corporatives,1
,Main Freight Canada Inc.,"Burlington, ON L7N 3N1",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,Majestic Marble Import Ltd.,"Concord, ON L4K 4J3",7283-Carreleurs,1
,Malakand Associates Inc.,"Mississauga, ON L5R 3L7",1221-Agents d'administration,2
,Maluuba Inc.,"Waterloo, ON N2L 3K8",2173-Ingénieurs et concepteurs en logiciel,1
,Mammoth Entertainment Incorporated,"Toronto, ON M2M 3W6",6322-Cuisiniers,1
,Manahree Inc,"Toronto, ON M6G 1A4",3131-Pharmaciens,1
,Mandarin Badminton Inc.,"Markham, ON L3R 1H5",5252-Entraîneurs,2
,Mango Chutney Inc.,"Cambridge, ON N3C 4N6",6322-Cuisiniers,1
,Mannarich Food Inc.,"Markham, ON L3P 1W7","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Maple Leaf Sports & Entertainment Partnership,"Toronto, ON M5J 2L2",5251-Athlètes,1
,Marcel Bourdon Ltd,"Maxville, ON K0C 1T0",8431-Ouvriers agricoles,3
,Mariposa School of Skating Limited,"Barrie, ON L4M 4T7",5252-Entraîneurs,1
,Mark Media Corp.,"Toronto, ON M2J 1P8",5241-Designers graphiques et illustrateurs,1
,Maroli Inc,"Toronto, ON M6G 1K7",6322-Cuisiniers,2
,Marquis Gardens Limited,"Concord, ON L4K 1W2",1225-Agents aux achats,1
,Marshall Ventilated Mattress Company,"North York, ON M3J 1Z4",9418-Opérateurs de machines d'autres produits métalliques,1
,Marshland Gardens Ltd,"Bradford, ON L3Z 2A6",8431-Ouvriers agricoles,2
,Martec Precision Inc,"Brampton, ON L6T 5L7",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
,Marwood Bookworks Inc.,"Etobicoke, ON M9W 6L9","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Master Seo's Taekwondo Inc.,"Mississauga, ON M9L 1R2","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,Mathura P.Ravindran Medicine Professional Corp,"St. Catherines, ON L2R 4L4",1243-Adjoints administratifs médicaux,1
,Matt McCallum Denturist Professional Corporation,"London, ON N5W 3B2",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,2
,Mavron Transport Inc,"Mississauga, ON L4W 1E7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Maxim Group General Contracting,"Gormley, ON L0H 1G0",7291-Couvreurs et poseurs de bardeaux,1
,MC Commercial Inc.,"Burlington, ON L7R 5B6",731-Directeurs des transports,1
,MC Kitchen Industrial Ltd.,"Markham, ON L3R 3L4",5242-Designers d'intérieur et décorateurs d'intérieur,1
,McGuiness Coatings Ltd.,"Port Perry, ON L9L 1T2",7611-Aides de soutien des métiers et manoeuvres en construction,2
,McKevitt Trucking Limited,"Thunder Bay, ON P7B 5P9",7511-Conducteurs de camions de transport,5
,MediResource Inc.,"Toronto, ON M3C 1T5",2171-Analystes et consultants en informatique,1
,Menalo Aluminum Inc.,"Brampton, ON L6W 3K6",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,Mercury Tax,"Mississauga, ON L5T 2G5","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Merrill Lynch Canada Inc.,"Toronto, ON M5J 2V8",631-Directeurs de la restauration et des services alimentaires,1
,Meyer Service & Supply Ltd.,"Long Sault, ON K0C 1P0",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,Mezenberg Greenhouses,"Thamesville, ON N0P 2K0",8432-Ouvriers de pépinières et de serres,2
