Province/Territoire,Volet du programme,Employeur,Adresse,Profession ,Postes Approuvés 
Québec,     Haut salaire,LE CENTRE DE MAINTENANCE ANDY INC.,"Salaberry-de-Valleyfield, J6S6J2",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,LE CENTRE DE MAINTENANCE ANDY INC.,"Salaberry-de-Valleyfield, J6S6J3","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",6
Québec,     Haut salaire,Le groupe restos plaisirs inc.,"Québec, G1R4W6",6322-Cuisiniers,2
Québec,     Haut salaire,Le Journel Inc.,"Saint-Joseph-de-Beauce, G0S2V0",6322-Cuisiniers,1
Québec,     Haut salaire,Le Rimouskais (2014) Inc,"QUÉBEC, G2B1B3",6322-Cuisiniers,1
Québec,     Haut salaire,Le Shack du Mont-Tremblant inc.,"Mont-Tremblant, J8E1B1",6322-Cuisiniers,4
Québec,     Haut salaire,Le STMA (2014) Inc,"QUÉBEC, G2B1B3",6322-Cuisiniers,1
Québec,     Haut salaire,Les Applications Mobiles Agyl Inc.,"QUÉBEC, G1K3J3",2174-Programmeurs et développeurs en médias interactifs,1
Québec,     Haut salaire,Les Ateliers Beauchemin Inc,"Danville, J0A1A0",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,Les Ateliers Bolduc & Frères Inc,"Ste-Clotilde, G0N1C0",7237-Soudeurs et opérateurs de machines à souder et à braser,2
Québec,     Haut salaire,LES ATTENUATEURS DE SON ET VIBRATION VIBRA-SIL INC.,"Longueuil, J4G1T3",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,Les Automobiles L. G. Carrosserie Inc.,"Varennes, J3X1P7",7322-Débosseleurs et réparateurs de carrosserie,2
Québec,     Haut salaire,Les Distributions Carl Beaulac inc.,"Levis, G6W6Y7",7511-Conducteurs de camions de transport,6
Québec,     Haut salaire,Les emballages Façotek inc.,"Scotstown, J0B3B0",7333-Électromécaniciens,1
Québec,     Haut salaire,LES ENGRENAGES SHERBROOKE INC.,"SHERBROOKE, J1G1Y5",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Les Entreprises Berthier Inc.,"Berthierville, J0K1A0",7312-Mécaniciens d'équipement lourd,1
Québec,     Haut salaire,Les Entreprises Marvais Inc,"Boucherville, J4B5E4",6311-Superviseurs des services alimentaires,2
Québec,     Haut salaire,Les Entreprises MRA Paysagistes inc.,"Quebec, G1N3Y6",7312-Mécaniciens d'équipement lourd,3
Québec,     Haut salaire,Les Entreprises MRA Paysagistes inc.,"Quebec, G1N3Y6","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
Québec,     Haut salaire,Les Entreprises S.D. Descôteaux Inc.,"Châteauguay, J6K1C6",6311-Superviseurs des services alimentaires,1
Québec,     Haut salaire,Les Équipements Adrien Phaneuf Inc.,"UPTON, J0H2E0",7312-Mécaniciens d'équipement lourd,1
Québec,     Haut salaire,Les Équipements Lapierre inc.,"SAINT-LUDGER, G0M1W0",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
Québec,     Haut salaire,Les Glissières Desbiens inc.,"Trois-Rivières, G9B7J5",7611-Aides de soutien des métiers et manoeuvres en construction,5
Québec,     Haut salaire,Les Hôtels St-Martin Inc.,"Montreal, H3B3H4",6322-Cuisiniers,1
Québec,     Haut salaire,Les Industries Spectra Premium Inc.,"Boucherville, J4B5Z5",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Les Jardins Paul Cousineau & Fils Inc.,"St-Constant, J5A0R2",7312-Mécaniciens d'équipement lourd,2
Québec,     Haut salaire,Les Maisonnettes sur le Cap s.e.n.c.,"Saint-Joachim, G0A3X0",0632-Directeurs des services d'hébergement,1
Québec,     Haut salaire,les produits de fenetres sol-r (2000) inc.,"montreal, H4N1H8",2175-Concepteurs et développeurs Web,1
Québec,     Haut salaire,Les Produits Métalliques Roy Inc.,"Saint-François-de-la-Rivière-du-Sud, G0R3A0",7237-Soudeurs et opérateurs de machines à souder et à braser,4
Québec,     Haut salaire,Les Restaurants Mata inc,"Québec, G1C0H8",6311-Superviseurs des services alimentaires,81
Québec,     Haut salaire,Les Services Conseils Systematix,"QUÉBEC, G1V4W2",2171-Analystes et consultants en informatique,1
Québec,     Haut salaire,Les Services Conseils Systematix,"QUÉBEC, G1V4W2",2173-Ingénieurs et concepteurs en logiciel,1
Québec,     Haut salaire,Les Services Conseils Systematix,"QUÉBEC, G1V4W2",2174-Programmeurs et développeurs en médias interactifs,2
Québec,     Haut salaire,Les Structures C.D.L. inc.,"Lévis, G6W5M6",7237-Soudeurs et opérateurs de machines à souder et à braser,3
Québec,     Haut salaire,Les Studios Moment Factory Inc,"MONTRÉAL, H2V4H8",5241-Designers graphiques et illustrateurs,1
Québec,     Haut salaire,Les Studios Moment Factory Inc.,"MONTRÉAL, H2V4H8",5241-Designers graphiques et illustrateurs,2
Québec,     Haut salaire,Les Surfaces Sécuritaires Carpell inc.,"Granby, J2J1H8",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,1
Québec,     Haut salaire,Les Usinages Mallette Inc.,"SAINT-RÉMI, J0L2L0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Load Force Logistics Inc.,"MONTRÉAL, H4S1G3",1222-Adjoints de direction,1
Québec,     Haut salaire,Logistiques G & H inc.,"Saint-Augustin-dde-Desmaures, G3A1S6",7511-Conducteurs de camions de transport,5
Québec,     Haut salaire,LOGIX ITS Inc.,"Montréal, H8R2T9",2171-Analystes et consultants en informatique,1
Québec,     Haut salaire,Luxury Retreats International ULC,"Montréal, H4E1A8","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Québec,     Haut salaire,Mack Ste-Foy Inc.,"Québec, G1P3T4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,MadRadish Inc,"Montreal, H4A2K6",1122-Professionnels des services-conseils en gestion aux entreprises,1
Québec,     Haut salaire,Maison Etiket Inc.,"Montreal, H4E1A2","6562-Esthéticiens, électrolystes et personnel assimilé",1
Québec,     Haut salaire,MANAC INC,"St-Georges de Beauce, G5Y8G6",7237-Soudeurs et opérateurs de machines à souder et à braser,28
Québec,     Haut salaire,MANAC INC,"St-Georges de Beauce, G5Y8G6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",5
Québec,     Haut salaire,Manac Inc.,"St-Georges de Beauce, G5Y8G6","9522-Assembleurs, contrôleurs et vérificateurs de véhicules automobiles",1
Québec,     Haut salaire,Manufacture Frameco Ltée,"Saint-Joseph-de-Beauce, G0S2V0",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,Manzana Traiteur Inc.,"Saint-Nicolas, G7A2P6",6321-Chefs,1
Québec,     Haut salaire,Marc Bergeron Inc,"shawinigan, G9N4L4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,Marmen Énergie inc.,"Matane, G4W3N1",7237-Soudeurs et opérateurs de machines à souder et à braser,3
Québec,     Haut salaire,MARMEN INC.,"Trois-Rivieres, G8T8Y8",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Mecachrome Canada Inc.,"Mirabel, J7N3L3",7231-Machinistes et vérificateurs d'usinage et d'outillage,4
Québec,     Haut salaire,Métal 7 Inc.,"Sept-Îles, G4R4X9",7231-Machinistes et vérificateurs d'usinage et d'outillage,3
Québec,     Haut salaire,Métal Marquis Inc,"La Sarre, J9Z2L1",7237-Soudeurs et opérateurs de machines à souder et à braser,2
Québec,     Haut salaire,Métal Mgmf Inc.,"St-Honoré de Shenley, G0M1V0",7237-Soudeurs et opérateurs de machines à souder et à braser,3
Québec,     Haut salaire,MÉTAL SIGMA INC,"Saint-Jean-sur-Richelieu, J2X5M3",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
Québec,     Haut salaire,MÉTAL SIGMA INC,"Saint-Jean-sur-Richelieu, J2X5M3",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,MÉTAL SIGMA INC,"Saint-Jean-sur-Richelieu, J2X5M3","9416-Opérateurs de machines à travailler les métaux légers et lourds, et de machines de formage",1
Québec,     Haut salaire,Metallitech Inc.,"Acton Vale, J0H1A0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Metallitech Inc.,"Acton Vale, J0H1A0",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,Métalus inc.,"Drummondville, J2C6L8",7233-Tôliers,1
Québec,     Haut salaire,Métalus inc.,"Drummondville, J2C6L8",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,METOSAK INC.,"Sherbrooke, J1C0W2",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,Micro Logic Sainte-Foy Ltée,"QUÉBEC, G1V1V8",2281-Techniciens de réseau informatique,6
Québec,     Haut salaire,Micro-Brasserie Le Grimoire,"Granby, J2G2V7",6321-Chefs,1
Québec,     Haut salaire,"Microbrasserie Les Grands Bois, coopérative de","SAINT-CASIMIR, G0A3L0",2211-Technologues et techniciens en chimie,1
Québec,     Haut salaire,Minéraux Mart Inc,"St-Joseph-de-Sorel, J3R1B9",7311-Mécaniciens de chantier et mécaniciens industriels,6
Québec,     Haut salaire,Modes Moose Inc.,"MONTRÉAL, H3K0A8","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Québec,     Haut salaire,Modes Moose Inc.,"MONTRÉAL, H3K0A8",0911-Directeurs de la fabrication,1
Québec,     Haut salaire,Momentum Technologies inc.,"Québec, G2J0B9",2171-Analystes et consultants en informatique,2
Québec,     Haut salaire,Morgan Stanley Services Canada Corp,"Montreal, H3C3S4",2171-Analystes et consultants en informatique,2
Québec,     Haut salaire,Morgan Stanley Services Canada Corp,"Montreal, H3C3S4",2174-Programmeurs et développeurs en médias interactifs,1
Québec,     Haut salaire,MW Auto Collision inc.,"Montréal, H4N1M4",7322-Débosseleurs et réparateurs de carrosserie,1
Québec,     Haut salaire,Nicky Sushi Inc.,"Québec, G2B1E5",1222-Adjoints de direction,1
Québec,     Haut salaire,NM Québec Inc.,"Westmount, H3Z2P9","0512-Directeurs - édition, cinéma, radiotélédiffusion et arts de la scène",1
Québec,     Haut salaire,NMP Golf Construction Inc.,"Sainte-Madeleine, J0H1S0",7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles,3
Québec,     Haut salaire,Nomade Communication inc.,"Montréal, H3B4W5","1123-Professionnels en publicité, en marketing et en relations publiques",1
Québec,     Haut salaire,Novik,"St-Augustin-de-Desmaures, G3A2K1",7232-Outilleurs-ajusteurs,2
Québec,     Haut salaire,Nucleom Inc.,"Québec, G1P0B3",2232-Technologues et techniciens en génie mécanique,1
Québec,     Haut salaire,Olivier Sept-Îles Chrisler Dodge Jeep Ram Inc.,"Sept-Îles, G4R3G7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,Optimacell Inc,"St. Laurent, H4R1V8",7246-Installateurs et réparateurs de matériel de télécommunications,1
Québec,     Haut salaire,Orlando Mule Le Roi du Sous-Marin Ltée,"BOUCHERVILLE, J4B1B7",6321-Chefs,1
Québec,     Haut salaire,ORSAINVILLE AUTOS LTÉE,"Québec, G1G6S1",7322-Débosseleurs et réparateurs de carrosserie,2
Québec,     Haut salaire,Ossiaco Inc,"Montreal, H3C2G9",2175-Concepteurs et développeurs Web,1
Québec,     Haut salaire,OVERSEAS EXPRESS (CANADA) INC.,"Saint-Laurent, H4T1P5",2174-Programmeurs et développeurs en médias interactifs,1
Québec,     Haut salaire,P. Baillargeon Ltée,"Saint-Jean-sur-Richelieu, J3B2P2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Québec,     Haut salaire,P.L. Diesel inc.,"Anjou, H1J1K9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",5
Québec,     Haut salaire,Paradigme3 inc.,"SAINTE-MARIE, G6E3S5",2171-Analystes et consultants en informatique,1
Québec,     Haut salaire,Parfum de Corée Inc.,"Rimouski, G5S4B6",6322-Cuisiniers,1
Québec,     Haut salaire,Pharmacie Cam Uyen Mai Ba inc.,"Montréal, H2G1S9",1222-Adjoints de direction,1
Québec,     Haut salaire,Phoenix Packaging International Corp,"Montreal, H8N2W9",6221-Spécialistes des ventes techniques - commerce de gros,1
Québec,     Haut salaire,pièces d'auto usagées sophie inc.,"Saint-Laurent, H4M0A3",2172-Analystes de bases de données et administrateurs de données,1
Québec,     Haut salaire,Plate 2000 inc.,"SAINT-ANSELME, G0R2N0",7231-Machinistes et vérificateurs d'usinage et d'outillage,3
Québec,     Haut salaire,Plate 2000 inc.,"SAINT-ANSELME, G0R2N0",7237-Soudeurs et opérateurs de machines à souder et à braser,4
Québec,     Haut salaire,PNR RailWorks Quebec Inc.,"SAINT-LAURENT, H4S1E3",0711-Directeurs de la construction,1
Québec,     Haut salaire,Produits American Biltrite Ltée,"Sherbrooke, J1H4K3",2243-Techniciens et mécaniciens d'instruments industriels,1
Québec,     Haut salaire,Produits de Construction Derby Inc,"St-Augustin-de-Desmaure, G3A2K1",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Produits Matra inc,"Saint-Martin, G0M1B0",7333-Électromécaniciens,3
Québec,     Haut salaire,Progi.com Inc.,"Trois-Rivières, G9A2K8",2174-Programmeurs et développeurs en médias interactifs,2
Québec,     Haut salaire,Pro-Impact Collision inc.,"Laval, H7S1P7",7322-Débosseleurs et réparateurs de carrosserie,1
Québec,     Haut salaire,Propeinture.ca inc.,"Québec, G1X4T5",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),1
Québec,     Haut salaire,Purkinje Inc.,"Montréal, H3C3X6",2171-Analystes et consultants en informatique,1
Québec,     Haut salaire,R.Robitaille et fils inc.,"Farnham, J2N2N4",7511-Conducteurs de camions de transport,1
Québec,     Haut salaire,Radiateur J.M.T. Ltée,"Macamic, G5V3R7",2232-Technologues et techniciens en génie mécanique,1
Québec,     Haut salaire,Rasakti Inc,"Saint-Germain-de-Grantham, J0C1K0",7231-Machinistes et vérificateurs d'usinage et d'outillage,4
Québec,     Haut salaire,REFRI-OZONE INC,"GRANBY, J2J1A4",7313-Mécaniciens en réfrigération et en climatisation,1
Québec,     Haut salaire,Reitmans Canada Limited,"Montreal, H3L1Z2","5232-Autres artistes de spectacle, n.c.a.",17
Québec,     Haut salaire,Ressorts Montréal-Nord Ltée,"Anjou, H1J1T1","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",5
Québec,     Haut salaire,RESTAURANT COCO PAZZO,"Mont-Tremblant, J8E1E2",6322-Cuisiniers,2
Québec,     Haut salaire,Restaurant Le Continental inc,"Québec, G1R3Y9",6322-Cuisiniers,1
Québec,     Haut salaire,Restaurant Parfum d'Asie 2002 inc.,"Sherbrooke, J1H1J9",6321-Chefs,1
Québec,     Haut salaire,Restaurant R & D Inc.,"VICTORIAVILLE, G6P4S8",6322-Cuisiniers,1
Québec,     Haut salaire,RESTAURANT SHOGUN INC,"QUÉBEC, G1S3T6",6322-Cuisiniers,2
Québec,     Haut salaire,RESTONORD Inc.,"Saguenay, G7H2A2",6322-Cuisiniers,1
Québec,     Haut salaire,Roger Maheux Ltée,"Rouyn-Noranda, J9Y0E2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Québec,     Haut salaire,Rotobec inc.,"Sainte-Justine, G0R1Y0",7231-Machinistes et vérificateurs d'usinage et d'outillage,13
Québec,     Haut salaire,Rotobec inc.,"Sainte-Justine, G0R1Y0",7237-Soudeurs et opérateurs de machines à souder et à braser,15
Québec,     Haut salaire,Rotobec inc.,"Sainte-Justine, G0R1Y0",7333-Électromécaniciens,1
Québec,     Haut salaire,Royal Institute for the Advancement of Learning,"Montreal, H3A0G4",4011-Professeurs et chargés de cours au niveau universitaire,11
Québec,     Haut salaire,S. Huot Inc,"QUÉBEC, G1N4N3",7231-Machinistes et vérificateurs d'usinage et d'outillage,4
Québec,     Haut salaire,Salon Idéal Nature I.N. INC,"Montreal, H3H2M4","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Québec,     Haut salaire,Scanline VFX Montreal Inc.,"MONTRÉAL, H3B2S2","5226-Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",1
Québec,     Haut salaire,Secur-Alert inc.,"Amos, J9T2N9",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
Québec,     Haut salaire,Sécur-Icare Inc.,"Brossard, J4Y2R2",2281-Techniciens de réseau informatique,5
Québec,     Haut salaire,SEMS inc,"salaberry de valleyfield, J6T6G3","7252-Tuyauteurs, monteurs d'appareils de chauffage et poseurs de gicleurs",1
Québec,     Haut salaire,SEMS inc,"salaberry de valleyfield, J6T6G3",7311-Mécaniciens de chantier et mécaniciens industriels,1
Québec,     Haut salaire,Service Alimentaire le Gourmet inc,"Québec, G1X4H4",6322-Cuisiniers,1
Québec,     Haut salaire,Service Trans-West inc,"Lachine, H8T2X9",7511-Conducteurs de camions de transport,5
Québec,     Haut salaire,Service Trans-West inc.,"Lachine, H8T2X9",7511-Conducteurs de camions de transport,1
Québec,     Haut salaire,Services de Transformation Bécancour Inc.,"Bécancour, G9H2V9",7311-Mécaniciens de chantier et mécaniciens industriels,3
Québec,     Haut salaire,Services d'évaluation Denis Barriault Inc.,"Montréal, H9S2A9",1312-Experts en sinistres et rédacteurs sinistres,3
Québec,     Haut salaire,Services et Solutions TWM Canada Inc.,"Montréal, H2Y1T4",2171-Analystes et consultants en informatique,1
Québec,     Haut salaire,Services Sanitaires DF de Beauce inc.,"Saint-georges de Beauce, G5Y2J8",7312-Mécaniciens d'équipement lourd,1
Québec,     Haut salaire,SERVICES SANITAIRES MAJ INC COMPO RECYCLE,"Rawdon, J0K1S0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",3
Québec,     Haut salaire,Simard Suspensions inc,"Baie-St-Paul, G3Z2W9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",12
Québec,     Haut salaire,Simpson Automobiles Inc.,"Gaspé, G4X1A9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,Société Conseil Groupe LGS,"Québec, G1V4K5",2174-Programmeurs et développeurs en médias interactifs,1
Québec,     Haut salaire,Société Conseil Groupe LGS,"Québec, G1V4K5",2281-Techniciens de réseau informatique,1
Québec,     Haut salaire,Société en Commandite Beau Mont,"Montréal, H3N1V5",6322-Cuisiniers,1
Québec,     Haut salaire,Société pour l'Informatique Industrielle SII Inc.,"MONTRÉAL, H3G1Z7",2174-Programmeurs et développeurs en médias interactifs,1
Québec,     Haut salaire,Solisco Inc.,"Scott, G0S3G0",7381-Opérateurs de presses à imprimer,3
Québec,     Haut salaire,Sollertia Inc.,"Montréal, H2R2Y5",5241-Designers graphiques et illustrateurs,1
Québec,     Haut salaire,Solution Recrutement International Inc.,"Magog, J1X0J4",1241-Adjoints administratifs,1
Québec,     Haut salaire,Soucy International inc.,"Drummondville, J2B6W4",7333-Électromécaniciens,3
Québec,     Haut salaire,SOUDURE D.G. TECH INC.,"CAP-SANTÉ, G0A1L0",7237-Soudeurs et opérateurs de machines à souder et à braser,2
Québec,     Haut salaire,Soudure F.L.F. Inc.,"Saint-Roch-de-l'Achigan, J0K3H0",7237-Soudeurs et opérateurs de machines à souder et à braser,4
Québec,     Haut salaire,Sporthèque de Hull Inc,"Gatineau, J8Z1W1",1311-Techniciens en comptabilité et teneurs de livres,1
Québec,     Haut salaire,Studios Creatifs Reel FX Inc,"Montreal, H3K1G6",5241-Designers graphiques et illustrateurs,1
Québec,     Haut salaire,Summa Architectural & Structural Metal Inc.,"Terrebonne, J6X4J8",2253-Technologues et techniciens en dessin,1
Québec,     Haut salaire,Supermétal Sherbrooke inc.,"Sherbrooke, J1H3X4",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,Suspensions et Ressorts Michel Jeffrey inc.,"Québec, G1P3X3","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",3
Québec,     Haut salaire,Système de Contrôle Actif Soft dB inc.,"Québec, G1S3G3",2132-Ingénieurs mécaniciens,1
Québec,     Haut salaire,Système de réchapage RTS inc,"La Salle, H8R2E8",7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles,1
Québec,     Haut salaire,Systèmes Danfreight Inc.,"Joliette, J6E0L8",7511-Conducteurs de camions de transport,8
Québec,     Haut salaire,Taverne Grande Allée Inc.,"Québec, G1R1P9",6322-Cuisiniers,1
Québec,     Haut salaire,Technologies Automat Inc,"MONTRÉAL, H2X2T7",2173-Ingénieurs et concepteurs en logiciel,1
Québec,     Haut salaire,Télé-Université,"Québec, G1K9H6",4011-Professeurs et chargés de cours au niveau universitaire,1
Québec,     Haut salaire,Tenco Inc.,"ST-VALÉRIEN-DE-MILTON, J0H2B0",7322-Débosseleurs et réparateurs de carrosserie,2
Québec,     Haut salaire,Textiles Monterey (1996) inc.,"Drummondville, J2B7V4",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
Québec,     Haut salaire,Toits Métalliques des Cantons Inc. (TMC),"EAST FARNHAM, J2K4T8",7233-Tôliers,1
Québec,     Haut salaire,TRANSPORT ANDRE DUFRESNE INC,"Québec, G1C2H9",7511-Conducteurs de camions de transport,1
Québec,     Haut salaire,Transport Bernières inc.,"QUÉBEC, G1N3Z7",7511-Conducteurs de camions de transport,1
Québec,     Haut salaire,Transport Bourret Inc.,"Drummondville, J2B8G8",7452-Manutentionnaires,3
Québec,     Haut salaire,Transport Bourret Inc.,"Drummondville, J2B8G8",7511-Conducteurs de camions de transport,10
Québec,     Haut salaire,Transport Explorer Inc,"Laval, H7P5P6",7511-Conducteurs de camions de transport,1
Québec,     Haut salaire,Transport Explorer Inc.,"Laval, H7P5P6",7511-Conducteurs de camions de transport,1
Québec,     Haut salaire,Transport Gaston Nadeau Inc.,"Sainte-Mélanie, J0K3A0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",4
Québec,     Haut salaire,Transport Gaston Nadeau Inc.,"Sainte-Mélanie, J0K3A0",7511-Conducteurs de camions de transport,6
Québec,     Haut salaire,Transport Giannone-Garceau INC.,"St Cuthbert, J0K2C0",7511-Conducteurs de camions de transport,10
Québec,     Haut salaire,Transport Guilbault inc.,"Québec, G1N4G6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Québec,     Haut salaire,Transport Kepa Inc.,"VAL-D'OR, J9P0K9",7511-Conducteurs de camions de transport,2
Québec,     Haut salaire,Transport Lavoie Ltée,"Québec, G1C2H9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
Québec,     Haut salaire,Transport PGR Inc,"Saint-Simon-les-Mines, G0M1K0",7511-Conducteurs de camions de transport,1
Québec,     Haut salaire,Transport SAF inc,"St-Célestin, J0C1G0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,     Haut salaire,Transport SAF inc,"St-Célestin, J0C1G0",7511-Conducteurs de camions de transport,1
Québec,     Haut salaire,Tundra Technical Solutions Inc.,"MONTRÉAL, H3B1A7",6221-Spécialistes des ventes techniques - commerce de gros,1
Québec,     Haut salaire,Ubisoft Entertainment Inc.,"Montréal, H2T1S6",2174-Programmeurs et développeurs en médias interactifs,1
Québec,     Haut salaire,Umano Medical inc.,"L'ISLET, G0R2C0",2141-Ingénieurs d'industrie et de fabrication,1
Québec,     Haut salaire,Umano Medical inc.,"L'ISLET, G0R2C0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Umano Medical inc.,"L'ISLET, G0R2C0",7237-Soudeurs et opérateurs de machines à souder et à braser,1
Québec,     Haut salaire,Université de Montréal (Faculté des sciences de l'éducation),"Montréal, H3C3J7",4011-Professeurs et chargés de cours au niveau universitaire,2
Québec,     Haut salaire,Université de Sherbrooke,"Sherbrooke, J1K2R1",3111-Médecins spécialistes,1
Québec,     Haut salaire,Université Laval,"QUÉBEC, G1V0A6",4011-Professeurs et chargés de cours au niveau universitaire,1
Québec,     Haut salaire,Université Laval(Pavillon J-C-Bonenfant,"QUÉBEC, G1V0A6",2111-Physiciens et astronomes,1
Québec,     Haut salaire,Université Laval(Pavillon J-C-Bonenfant,"QUÉBEC, G1V0A6",4011-Professeurs et chargés de cours au niveau universitaire,3
Québec,     Haut salaire,Usinage Berthold inc,"Saint-Consatnt, J5A2E7",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
Québec,     Haut salaire,Usinage J.M. Blanchette inc,"Drummondville, J2C5Z4",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Usinage St-Laurent inc.,"Sorel-Tracy, J3R1V2",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Usitech 2000 Inc.,"SAINT-ANSELME, G0R2N0",7231-Machinistes et vérificateurs d'usinage et d'outillage,5
Québec,     Haut salaire,Verbom Inc,"Valcourt, J0E2L0",7231-Machinistes et vérificateurs d'usinage et d'outillage,1
Québec,     Haut salaire,Verbom Inc,"Valcourt, J0E2L0",7333-Électromécaniciens,1
Québec,     Haut salaire,VICROC INC,"VICTORIAVILLE, G6T1T8",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
Québec,     Haut salaire,Victoriaville & co. Inc.,"VICTORIAVILLE, G6P6T3",7333-Électromécaniciens,2
Québec,     Haut salaire,Warner Bros Games Montreal Inc.,"Montreal, H2L4S8",5241-Designers graphiques et illustrateurs,4
Québec,     Haut salaire,Wasabi Dan inc,"Boisbriand, J7H0A7",6322-Cuisiniers,2
Québec,     Haut salaire,WR Transformateurs Inc.,"Saint-Alphonse de Granby, J0E2A0",7333-Électromécaniciens,4
Québec,     Haut salaire,Zef Scientific Inc.,"Dorval, H9P1J8",2241-Technologues et techniciens en génie électronique et électrique,1
Québec,     Haut salaire,Zenika Conseil Inc,"Montréal, H2J2L1",2173-Ingénieurs et concepteurs en logiciel,1
Québec,     Haut salaire,Zyara restaurant,"brossard, J4N0L2",6321-Chefs,1
Québec,   Bas salaire,10671347 Canada Inc.,"Terrebonne, J6W3A3",6211-Superviseurs des ventes - commerce de détail,1
Québec,   Bas salaire,160676 Canada Inc,"Montreal, H1H3P4",8612-Manoeuvres en aménagement paysager et en entretien des terrains,3
Québec,   Bas salaire,2332-3983 QUÉBEC INC.,"Contrecoeur, J0L1C0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Québec,   Bas salaire,2539-2903 Québec inc,"Val-Alain, G0S3H0","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",6
Québec,   Bas salaire,2552-1972 Québec inc,"Chicoutimi, G7G2S4",8612-Manoeuvres en aménagement paysager et en entretien des terrains,4
Québec,   Bas salaire,2639-1862 Québec INC,"Wickham, J0C1S0",9533-Monteurs et contrôleurs d'autres produits en bois,2
Québec,   Bas salaire,2646-2937 Quebec Inc,"Mont-Tremblant, J8E2Z9","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",4
Québec,   Bas salaire,2853-5185 Québec Inc,"Amos, J9T4L6",7322-Débosseleurs et réparateurs de carrosserie,1
Québec,   Bas salaire,2953-1282 Québec Inc.,"Lévis, G6V4Z6",6732-Nettoyeurs spécialisés,1
