Province/Territoire,"Volet du programme",Employeur,Adresse,Profession,"Postes demandes"
Ontario,"   Bas salaire","DEKLAN CONTRACTING LTD.","Maple, ON L6A 0P3","7611-Aides de soutien des métiers et manoeuvres en construction",1
Ontario,"   Bas salaire","Dodds Garage Door Systems Inc","North York, ON M3J 2V4","7441-Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",1
Ontario,"   Bas salaire","E.A. Office Cleaning & Maintenance Inc.","Scarborough, ON M1K 3S5","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
Ontario,"   Bas salaire","EDEN PARK INC.","ETOBICOKE, ON M8X 2W4","6235-Représentants des ventes financières",1
Ontario,"   Bas salaire","FIVE STAR TRANSPORT INC","MISSISSAUGA, ON L4W 1B7","7511-Conducteurs de camions de transport",1
Ontario,"   Bas salaire","GLOBAL PARKING SYSTEMS INC.","MISSISSAUGA, ON L5S 1V2","7237-Soudeurs et opérateurs de machines à souder et à braser",1
Ontario,"   Bas salaire","Harward International Inc","Toronto, ON M3J 1Y6","1242-Adjoints administratifs juridiques",1
Ontario,"   Bas salaire","I D LOVE INCORPORATED","YORK, ON M6N 3R4",6322-Cuisiniers,3
Ontario,"   Bas salaire","Images 2000 Inc.","Toronto, ON M8V 1Y7","9533-Monteurs et contrôleurs d'autres produits en bois",2
Ontario,"   Bas salaire","J Orsini Inc","London, ON N6B 1N5","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"   Bas salaire","JATI Construction Inc.","Leamington, ON N8H 3H3","7611-Aides de soutien des métiers et manoeuvres en construction",4
Ontario,"   Bas salaire","JRL Lombardi Holdings Inc.","Ridgeway, ON L0S 1N0","6311-Superviseurs des services alimentaires",1
Ontario,"   Bas salaire","Kingsview Renovation, Flooring & Staircase Inc.","Brampton, ON L6T 5A2",7272-Ébénistes,1
Ontario,"   Bas salaire","KM DINNER INC.","CAMBRIDGE, ON N1R 1V7",6321-Chefs,1
Ontario,"   Bas salaire","Kulpreet Enterprises Ltd.","Brampton, ON L6P 3V8","1241-Adjoints administratifs",1
Ontario,"   Bas salaire","LCG New Generation Inc","North York, ON M3J 2A2","7511-Conducteurs de camions de transport",1
Ontario,"   Bas salaire","LOVELY PAO INC.","GUELPH, ON N1K 1S5","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"   Bas salaire","Lubecore International Inc","Campbellville, ON L0P 1B0","7535-Autres préposés à la pose et à l'entretien des pièces mécaniques d'automobiles",1
Ontario,"   Bas salaire","MASTERMIND MONTESSORI SCHOOLS INC.","Markham, ON L6C 0G6","4214-Éducateurs et aides-éducateurs de la petite enfance",1
Ontario,"   Bas salaire","Mega Furniture Imports Ltd","Toronto, ON M9W 4X3",6345-Tapissiers-garnisseurs,1
Ontario,"   Bas salaire","Moffatt Bros. Roofing Ltd","Cobourg, ON K9A 4J7","7291-Couvreurs et poseurs de bardeaux",1
Ontario,"   Bas salaire","MS Financial Services and Foreign Exchange Inc","Toronto, ON M4A 2J9","6551-Représentants au service à la clientèle - institutions financières",1
Ontario,"   Bas salaire","Nahanni Steel Products Inc.","Brampton, ON L6T 5R8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Ontario,"   Bas salaire","Oakridge Group Inc.","Hamilton, ON L0R 1P0","8612-Manoeuvres en aménagement paysager et en entretien des terrains",7
Ontario,"   Bas salaire","OXFORD GRILL INC","Woodstock, ON N4S 7V9",6322-Cuisiniers,1
Ontario,"   Bas salaire","Quality Home Care Solutions Inc.","Windsor, ON N8T 1J9","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",6
Ontario,"   Bas salaire","Queen Video Ltd.","Mississauga, ON L5G 1E1",6322-Cuisiniers,1
Ontario,"   Bas salaire","Quick Nick Inc","Oakville, ON L6H 2B6","7511-Conducteurs de camions de transport",2
Ontario,"   Bas salaire","Sadiya Fish Market Inc","Ottawa, ON K2G 5T5",6322-Cuisiniers,1
Ontario,"   Bas salaire","Sarajevo Grill and Meat Inc.","Etobicoke, ON M9B 6J1",6332-Boulangers-pâtissiers,2
Ontario,"   Bas salaire","Siam Dish Thai Cuisine Inc.","Burlington, ON L7R 3N5",6322-Cuisiniers,1
Ontario,"   Bas salaire","SIDH TRUCK TRANSPORTATION INC","Bolton, ON L7E 5R3","7511-Conducteurs de camions de transport",1
Ontario,"   Bas salaire","STEGG LIMITED","belleville, ON K8N 5S6","7231-Machinistes et vérificateurs d'usinage et d'outillage",5
Ontario,"   Bas salaire","sunrise freight systems inc.","woodbridge, ON L4H 0R6","7511-Conducteurs de camions de transport",2
Ontario,"   Bas salaire","THC Group Inc.","Toronto, ON M1S 5A8","7294-Peintres et décorateurs (sauf décorateurs d'intérieur)",1
Ontario,"   Bas salaire","The Chinese Sisters Inc","Brantford, ON N3T 2G6",6322-Cuisiniers,2
Ontario,"   Bas salaire","The Toronto Racquet Club","Toronto, ON M4X 1L9",5252-Entraîneurs,1
Ontario,"   Bas salaire","Tropical Treats Island Grill & Bakery Corporation","Barrie, ON L4M 7H8",6322-Cuisiniers,1
Ontario,"   Bas salaire","VFREIGHT INC.","Mississauga, ON L5R 1P1","7511-Conducteurs de camions de transport",1
Ontario,"   Bas salaire","YM Inc. (Sales)","Toronto, ON M6A 2W1","6211-Superviseurs des ventes - commerce de détail",1
Ontario,"  Agriculture primaire","1596141 Ontario Inc.","Brussels, ON N0G 1H0","8431-Ouvriers agricoles",3
Ontario,"  Agriculture primaire","Albuna Farms Inc.","Leamington, ON N8H 3V5","8431-Ouvriers agricoles",36
Ontario,"  Agriculture primaire","Delton Williams Poultry Services Inc","London, ON N6M 1K4","8431-Ouvriers agricoles",5
Ontario,"  Agriculture primaire","Elite Global Holdings Inc","Leamington, ON N8H 3V8","8431-Ouvriers agricoles",3
Ontario,"  Agriculture primaire","Knight's Appleden Fruit Ltd.","colborne, ON K0K 1S0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
Ontario,"  Agriculture primaire","Medisun Inc.","Grande Pointe, ON N0P 1S0","8432-Ouvriers de pépinières et de serres",18
Ontario,"  Agriculture primaire","Minnema Farms Ltd.","Glencoe, ON N0L 1M0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",4
Ontario,"  Agriculture primaire","Patron Farms Ltd.","St. Pauls, ON N0K 1V0","8431-Ouvriers agricoles",2
Ontario,"  Talent mondial","Smile CDR Incorporated","Toronto, ON M6G 1B4","2175-Concepteurs et développeurs Web",2
Manitoba,"     Haut salaire","7155248 MANITOBA LTD","Steinbach, MB R5G 2B1","1241-Adjoints administratifs",1
Manitoba,"     Haut salaire","7155248 MANITOBA LTD","Steinbach, MB R5G 2B1","7312-Mécaniciens d'équipement lourd",2
Manitoba,"     Haut salaire","Angus Okemow Memorial School","God's River, MB R0B 0N0","4031-Enseignants au niveau secondaire",1
Manitoba,"     Haut salaire","Cadx Group Ltd","Winnipeg, MB R2V 3M5","7511-Conducteurs de camions de transport",4
Manitoba,"     Haut salaire","D.A. Lincoln Pump Service And Supply Inc.","Winnipeg, MB R2X 2W3","7311-Mécaniciens de chantier et mécaniciens industriels",1
Manitoba,"     Haut salaire","ERLPhase Power Technologies Ltd.","Winnipeg, MB R3Y 1G4","0601-Directeurs des ventes corporatives",1
Manitoba,"     Haut salaire","Mehtoj Group Ltd","Rosser, Winnipeg, MB R0H 1E0","2283-Évaluateurs de systèmes informatiques",2
Manitoba,"     Haut salaire","Mintys Moving Ltd","Onanole, MB R0J 1N0","2231-Technologues et techniciens en génie civil",1
Manitoba,"     Haut salaire","Niu Vision Media Ltd.","Winnipeg, MB R3T 2H5","1221-Agents d'administration",1
Manitoba,"   Bas salaire","3511715 Manitoba Ltd.","Winnipeg, MB R2C 3A7","1212-Superviseurs de commis de finance et d'assurance",2
Manitoba,"   Bas salaire","3511715 Manitoba Ltd.","Winnipeg, MB R2C 3A7","6235-Représentants des ventes financières",2
Manitoba,"   Bas salaire","5385394 Manitoba Ltd.","Winnipeg, MB R3C 4J9","6211-Superviseurs des ventes - commerce de détail",1
Manitoba,"   Bas salaire","Batchoy House Inc.","Winnipeg, MB R2P 2N4",6322-Cuisiniers,1
Manitoba,"   Bas salaire","IAS - Independent Agency Services Corp","Winnipeg, MB R3J 0P7","6211-Superviseurs des ventes - commerce de détail",2
Manitoba,"   Bas salaire","JasMan Ventures Inc","winnipeg, MB R3C 0X1","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
Manitoba,"  Agriculture primaire","Topigs Norsvin Canada Inc.","Oak Bluff, MB R4G 0C4","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",10
Saskatchewan,"     Haut salaire","Bazz Truck & Trailer Limited","Saskatoon, SK S7K 6K4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
Saskatchewan,"     Haut salaire","Radiology Associates of Regina Medical PC Inc","Regina, SK S4S 6X5","3111-Médecins spécialistes",1
Saskatchewan,"   Bas salaire","102081340 Saskatchewan Ltd","Elrose, SK S0L 0Z0","6211-Superviseurs des ventes - commerce de détail",1
Saskatchewan,"   Bas salaire","Byun Enterprises Ltd.","Melville, SK S0A 2P0","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
Saskatchewan,"  Agriculture primaire","Golden Birds Farm Ltd.","Saskatoon SK, SK S7L 4Z7","0821-Gestionnaires en agriculture",1
Alberta,"     Haut salaire","1751351 Alberta Ltd.","Valleyview, AB T0H 3N0","1311-Techniciens en comptabilité et teneurs de livres",1
Alberta,"     Haut salaire","2080836 Alberta Ltd","Edmonton, AB T6T 0H2","1223-Agents des ressources humaines et de recrutement",1
Alberta,"     Haut salaire","2095311 Alberta Ltd.","Edmonton, AB T6P 1S8","0712-Gestionnaires et rénovateurs en construction domiciliaire",1
Alberta,"     Haut salaire","AMP AUTOBODY PANELS LTD.","EDMONTON, AB T5L 0N7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Alberta,"     Haut salaire","Canglow Windows and Doors Inc.","Edmonton, AB T5M 3V8","7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation",2
Alberta,"     Haut salaire","Chromtec CBD Purification Inc.","Vegreville, AB T9C 0A3","0911-Directeurs de la fabrication",1
Alberta,"     Haut salaire","COMPLETE CARE RESTORATION SERVICES LTD.","EDMONTON, AB T5M 3E8","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
Alberta,"     Haut salaire","Connectra Technologies Inc","EDMONTON, AB T6X 0W8","2173-Ingénieurs et concepteurs en logiciel",1
Alberta,"     Haut salaire","GoodX Software Ltd.","Calgary, AB T2W 2P2","0213-Gestionnaires des systèmes informatiques",1
Alberta,"     Haut salaire","Jully Wang Group Inc.","CALGARY, AB T2B 0X8","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Alberta,"     Haut salaire","KROSS JANITORIAL LTD.","LEDUC, AB T9E 7A5","6315-Surveillants des services de nettoyage",2
Alberta,"     Haut salaire","MSC BUILDING & CONSTRUCTION LTD.","CALGARY, AB T3J 4Y3","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
Alberta,"     Haut salaire","New-Way Trucking Ltd.","Acheson, AB T7X 6C7","1221-Agents d'administration",1
Alberta,"     Haut salaire","Renaissance Cafe Calgary Inc","Calgary, AB T2R 1M7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Alberta,"     Haut salaire","RTG Digital Inc.","Calgary, AB T3K 6H5","0213-Gestionnaires des systèmes informatiques",1
Alberta,"     Haut salaire","Unique Drywall Ltd","Edmonton, AB T6X 1V8","7204-Entrepreneurs et contremaîtres en charpenterie",1
Alberta,"     Haut salaire","Unique Drywall Ltd","Edmonton, AB T6X 1V8","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",3
Alberta,"     Haut salaire","Universal Explorer Inc","Calgary, AB T2P 2V6","6531-Guides touristiques et guides itinérants",1
Alberta,"     Haut salaire","WARIEKA DEVELOPMENT LTD.","Calgary, AB T2V 1B1","1221-Agents d'administration",2
Alberta,"   Bas salaire","1093806 Alberta Ltd","Edmonton, AB T6L 6R4","1221-Agents d'administration",1
Alberta,"   Bas salaire","1197988 ALBERTA LTD","Calgary, AB T2J 0P5","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
Alberta,"   Bas salaire","1448636 Alberta Ltd.","Olds, AB T4H 1B8","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",3
Alberta,"   Bas salaire","1637200 ALBERTA LTD O/A KURRY KEBAB","Edmonton, AB T6X 0P2","6311-Superviseurs des services alimentaires",1
Alberta,"   Bas salaire","1738962 Alberta LTD","Fort McMurray, AB T9H 4K6",6322-Cuisiniers,1
Alberta,"   Bas salaire","1912485 Alberta Ltd o/a Prime Taekwondo School","Beaumont, AB T4X 1T9","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
Alberta,"   Bas salaire","1914098 Alberta Ltd","Edmonton, AB T6W 3R3",6322-Cuisiniers,1
Alberta,"   Bas salaire","2072599 ALBERTA INC.","GRANDE PRAIRIE, AB T8V 1H2","6211-Superviseurs des ventes - commerce de détail",2
Alberta,"   Bas salaire","381282 BC LTD","Brooks, AB T1R 1C7","1241-Adjoints administratifs",1
Alberta,"   Bas salaire","Ando Contract Services Inc.","Lac La Biche, AB T0A 2C0","7335-Autres réparateurs de petits moteurs et de petits équipements",1
Alberta,"   Bas salaire","Banff Mountain Top Flowers Inc.","Banff, AB T1L 1B8",5244-Artisans,1
Alberta,"   Bas salaire","Bowest Appliances Inc","Calgary, AB T2C 5B6","6211-Superviseurs des ventes - commerce de détail",1
Alberta,"   Bas salaire","Canada West Equipment & Wholessale Supplies Ltd.","Edmonton, AB T6K 2H5","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
Alberta,"   Bas salaire","Canmore Woodcrafters Ltd.","Canmore, AB T1W 1L2",7272-Ébénistes,1
Alberta,"   Bas salaire","KAYBEE FOODS CANADA INC","EDMONTON, AB T6E 5Y6","9462-Bouchers industriels, dépeceurs-découpeurs de viande, préparateurs de volaille et personnel assimilé",4
Alberta,"   Bas salaire","LTR CONSTRUCTION PROJECTS LTD.","EDMONTON, AB T6B 2K2","7294-Peintres et décorateurs (sauf décorateurs d'intérieur)",1
Alberta,"   Bas salaire","M & R ROOFING,SIDING AND RENOVATION LTD","Calgary, AB T1Y 6Z3","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",2
Alberta,"   Bas salaire","Metro Glass Products Ltd.","Calgary, AB T3K 2E4","1523-Coordonnateurs de la logistique de la production",1
Alberta,"   Bas salaire","Park Landscaping Ltd.","Edmonton, AB T5P 3W9","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",4
Alberta,"   Bas salaire","Prairie Woodlands Tree Care Ltd.","Rocky View County, AB T4B 5B7","2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture",1
Alberta,"   Bas salaire","PUNJABI CHULHA RESTAURANT AND SWEET SHOP LTD.","CALGARY, AB T3J 3M7","6311-Superviseurs des services alimentaires",1
Alberta,"   Bas salaire","Royal Craft Ltd.","Calgary, AB T2H 2M4",7272-Ébénistes,1
Alberta,"   Bas salaire","Seniore's pizza ltd","calgary, AB T3K 2M9","6311-Superviseurs des services alimentaires",1
Alberta,"   Bas salaire","SIBSTIRE SERVICES LTD","WABASCA, AB T0G 2K0","6211-Superviseurs des ventes - commerce de détail",1
Alberta,"   Bas salaire","Star Wheel Transport Ltd.","Calgary, AB T3N 0K6","1411-Employés de soutien de bureau généraux",1
Alberta,"   Bas salaire","The Espresso House Inc.","La Crête, AB T0H 2H0","6311-Superviseurs des services alimentaires",1
Alberta,"   Bas salaire","Timeless Upholstery & Interiors Incorporated","Calgary, AB T2H 2J7",6345-Tapissiers-garnisseurs,2
Alberta,"   Bas salaire","TOPS PIZZA & STEAK HOUSE LTD.","CALGARY, AB T2J 0S3",6322-Cuisiniers,1
Alberta,"  Agriculture primaire","Bonnyville Forest Nursery Inc.","Bonnyville, AB T9N 2M9","8432-Ouvriers de pépinières et de serres",1
Colombie-Britannique,"     Haut salaire","0977749 BC Ltd","Surrey, BC V3S 6S4",7271-Charpentiers-menuisiers,2
Colombie-Britannique,"     Haut salaire","1024846 BC Ltd","Richmond, BC V7B 0B7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Colombie-Britannique,"     Haut salaire","1100923 BC LTD","Thornhill, BC V8G 3N5","0632-Directeurs des services d'hébergement",1
Colombie-Britannique,"     Haut salaire","1101664 BC Ltd","SURREY, BC V3S 2X9",7271-Charpentiers-menuisiers,5
Colombie-Britannique,"     Haut salaire","1204581 B.C. Ltd.","Surrey, BC V3R 7S2","1123-Professionnels en publicité, en marketing et en relations publiques",1
Colombie-Britannique,"     Haut salaire","1216509 BC Ltd","Richmond, BC V6X 3P7","4214-Éducateurs et aides-éducateurs de la petite enfance",2
Colombie-Britannique,"     Haut salaire","1238019 BC Ltd. o/a Tiks Computer Solution","North Vancouver, BC V7P 1V7","0213-Gestionnaires des systèmes informatiques",1
Colombie-Britannique,"     Haut salaire","1246562 B.C. LTD.","Coquitlam, BC V3B 0B7","2175-Concepteurs et développeurs Web",2
Colombie-Britannique,"     Haut salaire","1291705 BC Ltd. o/a Sweet Care Services","Coquitlam, BC V3J 4Z2","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Colombie-Britannique,"     Haut salaire","499692 BC Ltd","Prince George, BC V2L 2K5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Colombie-Britannique,"     Haut salaire","A & A Landscaping Ltd.","Port Coquitlam, BC V3B 3V7","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
Colombie-Britannique,"     Haut salaire","A+ Settlement Service (Canada) Inc.","Vancouver, BC V6C 1X8","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
Colombie-Britannique,"     Haut salaire","Akalz Capital Holding Inc","Abbotsford, BC V2T 4T1","1311-Techniciens en comptabilité et teneurs de livres",1
Colombie-Britannique,"     Haut salaire","Anmol Finishing Carpentry Ltd.","Surrey, BC V3T 1E6","1241-Adjoints administratifs",1
Colombie-Britannique,"     Haut salaire","Aspire Business Associate Inc.","Surrey, BC V3W 3A8","1111-Vérificateurs et comptables",1
Colombie-Britannique,"     Haut salaire","AWA-TECH WATERPROOFING & ROOFING LTD","Burnaby, BC V5J 3C8","7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation",2
Colombie-Britannique,"     Haut salaire","Aweronto Events Inc","Abbotsford, BC V2T 3R1","0125-Directeurs d'autres services aux entreprises",1
Colombie-Britannique,"     Haut salaire","AXSTEL SERVICES LTD","Surrey, BC V3Z 0Z5","0131-Directeurs d'entreprises de télécommunications",1
Colombie-Britannique,"     Haut salaire","BEYOND SEAFOOD LTD.","Richmond, BC V6V 1Z9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Colombie-Britannique,"     Haut salaire","Bharanis Imports Ltd.","Burnaby, BC V5J 3J1","0621-Directeurs - commerce de détail et de gros",1
Colombie-Britannique,"     Haut salaire","BHLD Studios Inc.","Vancouver, BC V6E 3X1","5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",1
Colombie-Britannique,"     Haut salaire","Calvin Janitorial Services Inc.","Surrey, BC V3S 0A2","6315-Surveillants des services de nettoyage",1
Colombie-Britannique,"     Haut salaire","Canada CVC Services Ltd.","Surrey, BC V4A 9E3","4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle",1
Colombie-Britannique,"     Haut salaire","Career Ladder Education and Technology Inc.","Vancouver, BC V6E 3V6","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
Colombie-Britannique,"     Haut salaire","CHILCOTIN HOLIDAYS LTD.","GOLD BRIDGE, BC V0K 1P0","5121-Auteurs, rédacteurs et écrivains",1
Colombie-Britannique,"     Haut salaire","Chorefree Living Inc.","vancouver, BC V6B 0J2","6315-Surveillants des services de nettoyage",2
Colombie-Britannique,"     Haut salaire","D Plus 1 Enterprise Ltd","Vancouver, BC V6B 6A7","5242-Designers d'intérieur et décorateurs d'intérieur",1
Colombie-Britannique,"     Haut salaire","Discover Montessori Society","Nanaimo, BC V9S 2B5","4032-Enseignants aux niveaux primaire et préscolaire",1
Colombie-Britannique,"     Haut salaire","Duncan Taxi Ltd.","Duncan, BC V9L 6V3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
Colombie-Britannique,"     Haut salaire","ERC WALLCOVERING INC","PORT COQUITLAM, BC V3B 8G5","7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation",1
Colombie-Britannique,"     Haut salaire","Five K Electric Ltd.","Surrey, BC V3W 4G2","1241-Adjoints administratifs",1
Colombie-Britannique,"     Haut salaire","Fleetwood Village Development Ltd.","Vancouver, BC V6J 1M3","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Colombie-Britannique,"     Haut salaire","Foreshore Technologies Inc.","NORTH VANCOUVER, BC V7P 3H2","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",1
Colombie-Britannique,"     Haut salaire","Gaia Cultural Media Ltd.","Richmond, BC V6X 2A4","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Colombie-Britannique,"     Haut salaire","Galactic Transport Logistics Limited","Surrey, BC V3W 3X6","1221-Agents d'administration",1
Colombie-Britannique,"     Haut salaire","German Bakery LTD.","Maple Ridge, BC V2X 0P1","0631-Directeurs de la restauration et des services alimentaires",1
Colombie-Britannique,"     Haut salaire","Gill and Gill Drywall Ltd.","Surrey, BC V3S 2G2","1241-Adjoints administratifs",1
Colombie-Britannique,"     Haut salaire","Golare Store Incorporated","West Vancouver, BC V7V 1J6","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
Colombie-Britannique,"     Haut salaire","H.A.L.T. HOLDINGS LTD","Nanaimo, BC V9S 3A7","6211-Superviseurs des ventes - commerce de détail",2
Colombie-Britannique,"     Haut salaire","Henceforth Technologies Inc.","Vancouver, BC V6C 2Z7","0114-Directeurs d'autres services administratifs",1
Colombie-Britannique,"     Haut salaire","Inventu Research Inc.","Saanich, BC V8X 1J6","1523-Coordonnateurs de la logistique de la production",1
Colombie-Britannique,"     Haut salaire","Jetline Contracting Ltd.","Vancouver, BC V5Y 1P1",7271-Charpentiers-menuisiers,5
Colombie-Britannique,"     Haut salaire","KiwiCana Stone Works 2017 Ltd.","SURREY, BC V3W 8J9","1123-Professionnels en publicité, en marketing et en relations publiques",1
Colombie-Britannique,"     Haut salaire","Kueis Education Center Inc.","Richmond, BC V6X 3X9","4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle",1
Colombie-Britannique,"     Haut salaire","Langley Christian School Society","Langley, BC V2Z 2T7","4032-Enseignants aux niveaux primaire et préscolaire",1
Colombie-Britannique,"     Haut salaire","Mindright Counselling & consulting Inc.","Richmond, BC V6V 1G3","1241-Adjoints administratifs",1
Colombie-Britannique,"     Haut salaire","Morris and Szucs Physiotherapist Corp","Surrey, BC V3S 9A5",3142-Physiothérapeutes,1
Colombie-Britannique,"     Haut salaire","Mount Cheam Christian School Society","Chilliwack, BC V4Z 0B2","4031-Enseignants au niveau secondaire",1
Colombie-Britannique,"     Haut salaire","MTS Immigration Services Canada Ltd","Surrey, BC V3W 1R1","0124-Directeurs de la publicité, du marketing et des relations publiques",1
Colombie-Britannique,"     Haut salaire","MURRICK INSURANCE SERVICES (NEW WESTMINSTER) LTD.","NEW WESTMINSTER, BC V3L 0E3","1114-Autres agents financiers",1
Colombie-Britannique,"     Haut salaire","New Link College Inc.","Burnaby, BC V5H 3Z2","4166-Recherchistes, experts-conseils et agents de programmes en politiques de l'enseignement",1
Colombie-Britannique,"     Haut salaire","Neximum Outsourcing Inc.","Surrey, BC V3X 3E8","0125-Directeurs d'autres services aux entreprises",1
Colombie-Britannique,"     Haut salaire","Next Level Childcare Valley Fair Inc.","Maple Ridge, BC V2X 2V6","1221-Agents d'administration",1
Colombie-Britannique,"     Haut salaire","P&J solutions Inc","Burnaby, BC V5J 4R9",7271-Charpentiers-menuisiers,1
Colombie-Britannique,"     Haut salaire","PABLA CURRY HOUSE LTD.","CHILLIWACK, BC V2P 2M6",6322-Cuisiniers,1
Colombie-Britannique,"     Haut salaire","Pocklington Building Systems Ltd","Whistler, BC V8E 0K4","7291-Couvreurs et poseurs de bardeaux",1
Colombie-Britannique,"     Haut salaire","Premier Cloud Inc.","Victoria, BC V8T 5C3","0213-Gestionnaires des systèmes informatiques",1
Colombie-Britannique,"     Haut salaire","Rodin Clothing Inc.","Surrey, BC V3S 5K7","0114-Directeurs d'autres services administratifs",1
Colombie-Britannique,"     Haut salaire","Royal Principal Ballet Academy Ltd","New Westminster, BC V3L 1B2",5134-Danseurs,1
Colombie-Britannique,"     Haut salaire","RT Technologies Inc.","Langley, BC V2Y 2Z4","2175-Concepteurs et développeurs Web",1
Colombie-Britannique,"     Haut salaire","Samara Framing Ltd.","Surrey, BC V3S 8S1","7237-Soudeurs et opérateurs de machines à souder et à braser",1
Colombie-Britannique,"     Haut salaire","Samara Framing Ltd.","Surrey, BC V3S 8S1",7271-Charpentiers-menuisiers,1
Colombie-Britannique,"     Haut salaire","Sarak Holdings Ltd.","Valemount, BC V0E 2Z0","1111-Vérificateurs et comptables",1
Colombie-Britannique,"     Haut salaire","Sinopass Capital Limited","Vancouver, BC V5X 0J5","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
Colombie-Britannique,"     Haut salaire","Skeena Glass Ltd.","Terrace, BC V8G 1K7","7322-Débosseleurs et réparateurs de carrosserie",1
Colombie-Britannique,"     Haut salaire","STANDOUT EDUCATION CENTRE LTD.","Richmond, BC V6X 3R8","5136-Peintres, sculpteurs et autres artistes des arts visuels",1
Colombie-Britannique,"     Haut salaire","Stay Fresh Footwear Inc","Richmond, BC V6X 1Z7","0621-Directeurs - commerce de détail et de gros",1
Colombie-Britannique,"     Haut salaire","StepUp Auto Ltd","Delta, BC V3M 6L9","1221-Agents d'administration",1
Colombie-Britannique,"     Haut salaire","Super Starr Cleaning Services Ltd","Panorama, BC V0A 1T0","6315-Surveillants des services de nettoyage",1
Colombie-Britannique,"     Haut salaire","T.M. Builders Inc.","Whistler, BC V8E 0R6",7271-Charpentiers-menuisiers,1
Colombie-Britannique,"     Haut salaire","Tangrace Decoration Construction Ltd.","VANCOUVER, BC V5X 4R6","7204-Entrepreneurs et contremaîtres en charpenterie",1
Colombie-Britannique,"     Haut salaire","Texo Forming Inc.","Surrey, BC V4N 5V4","7236-Monteurs de charpentes métalliques",4
Colombie-Britannique,"     Haut salaire","The Capital Media Company Inc.","Vancouver, BC V5Y 1L4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
Colombie-Britannique,"     Haut salaire","Thunderbird Show Park Ltd.","Langley, BC V1M 3W8","0513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
Colombie-Britannique,"     Haut salaire","Time Education Inc.","Burnaby, BC V5H 4A5","1123-Professionnels en publicité, en marketing et en relations publiques",1
Colombie-Britannique,"     Haut salaire","TNI The Network Inc.","Peachland, BC V0H 1X7","4211-Techniciens juridiques et personnel assimilé",1
