Province/Territory,"Program Stream","Employer ",Address,Occupation,"Approved Positions"
Quebec,"  Primary Agriculture","Ferme KDK Inc.","Saint-Honoré-de-Shenley, QC G0M 1V0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme L. Campbell et fils inc.","Sainte-Sabine, QC J0J 2B0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme L. Roy inc.","Coaticook, QC J1A 2S5","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme La Cueille","St-Étienne-des-Grès, QC G0X  2K","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme La Fougère Inc.","Compton, QC J0B 1L0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme la Giroflée senc","Hemmingford, QC J0L 1H0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme La Ronchonnerie inc","LYSTER, QC G0S 1V0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,"  Primary Agriculture","Ferme La Seigneurie ENR","Saint-Camille, QC J0A 1G0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme La Tremblaie S.E.N.C.","LES ÉBOULEMENTS, QC G0A 2M0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Labbé et Fils Inc.","SAINT-ODILON, QC G0S 3A0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Laganière & Fils 2000 Inc.","Champlain, QC J0X 1C0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Lait Brochu Inc.","Saint-Léon-le-Grand, QC G0J 2W0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Laitière Ambijoie inc.","Mirabel, QC J7N 2R8","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Laitière du Village Inc","SAINTE-AGATHE-de-Lotbinière, QC G0S 2A0","8431-General farm workers",3
Quebec,"  Primary Agriculture","Ferme Laitière Ouellet Inc","St-Alexandre-de-Kamouraska, QC G0L 2G0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Laitière Philie Inc.","SAINT-MATHIEU, QC J0L 2H0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Laitmonde Inc.","SAINT-FRANÇOIS-DE-LA-RIVIÈRE-DU-SUD, QC G0R 3A","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme LaitRoy Inc.","Thetford Mines, QC G6G 5R6","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme L'Ajoulotte","WICKHAM, QC J0C 1S0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Landrynoise Inc.","SAINT-ALBERT, QC J0A 1E0","8431-General farm workers",3
Quebec,"  Primary Agriculture","FERME LAURANNE INC.","Leclercville, QC G0S 2K0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Laurier inc","Saint-Basile, QC G0A 3G0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Laviolette Inc.","St-Étienne-des-Grès, QC G0X 2P0","8431-General farm workers",22
Quebec,"  Primary Agriculture","Ferme Leblond 2007 inc.","Coaticook, QC J1A 2S5","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Legermau 2000 inc.","Saint-Anicet, QC J0S 1M0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Léo Jacobs et Fils Inc","CAP-SANTÉ, QC G0A 1L0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Les 3 Pouces Vert","COOKSHIRE-EATON, QC J0B 1M0","8431-General farm workers",2
Quebec,"  Primary Agriculture","ferme l'espoir inc","Val-Joli, QC J1S 0E1","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Lilo Porc inc.","Saint-Hilarion, QC G0A 3V0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Lilogru Inc.","Isle-aux-Grues, QC G0R 1P0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Lunick inc","SAINT-EUGÈNE-DE-GUIGUES, QC J0Z 3L0","8431-General farm workers",6
Quebec,"  Primary Agriculture","Ferme M.B. inc.","La Malbaie, QC G5A 1Z9","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme M.G. Proulx Inc.","SAINT-PLACIDE, QC J0V 2B0","8431-General farm workers",4
Quebec,"  Primary Agriculture","Ferme M.G.L. Inc.","Saint-Lazare-de-Bellechasse, QC G0R 3J0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme M.J.B. Inc.","Ange-Gardien, QC J0E 1E0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme M.L. Rochefort Inc.","SAINT-VALLIER, QC G0R 4J0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Maghika Inc.","Saint-Roch-de-l'Achigan, QC J0K  3H","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Magi SENC","Hébertville, QC G8N 1E1","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Malic SENC","Lévis, QC G6Y 0W5","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Maraîchère A. Guinois & Fils Inc.","Saint-Jacques-le-Mineur, QC J0J 1Z0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Marcel Blais et Famille Inc.","LA PATRIE, QC J0B 1Y0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Marès SENC","DURHAM-SUD, QC J0H 2C0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Marichon inc.","SAINT-JEAN-PORT-JOLI, QC G0R 3G0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Mariemax SENC","SAINT-BRUNO, QC G0W 2L0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Marinier Inc.","Oka, QC J0N 1E0","8431-General farm workers",8
Quebec,"  Primary Agriculture","Ferme Mario Gagné Enr.","ST-NARCISSE-DE-BEAURIVAGE, QC G0S 1W0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Mario Joyal Inc.","YAMASKA, QC J0G  1W","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Maroch et Fils Inc.","SAINT-ÉPHREM-DE-BEAUCE, QC G0M 1R0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Massi inc.","Shawinigan, QC G9T 5K5","8431-General farm workers",4
Quebec,"  Primary Agriculture","Ferme MC Mercier Inc.","ST-ROCH-OUEST, QC J0K 3H0","8431-General farm workers",10
Quebec,"  Primary Agriculture","Ferme Michel et Mathieu Cloutier Inc.","COATICOOK, QC J1A  2S","8431-General farm workers",5
Quebec,"  Primary Agriculture","Ferme Michel et Nicole Crête inc.","DUNDEE, QC J0S 1L0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Mijabo inc","St-Léonard d'Aston, QC J0C 1M0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Milbross inc.","KINGSEY FALLS, QC J0A 1B0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Milvie enr. Senc.","Saint-Benoit-Labre, QC G0M 1P0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Misyan Inc.","SAINT-ALBERT, QC J0A 1E0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Mondou et Robert Inc","LORRAINVILLE, QC J0Z 2R0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Montremi inc.","Saint-Rémi-de-Tingwick, QC J0A 1K0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Morivan Inc.","ST-BRUNO-LAC-SAINT-JEAN, QC G0W 2L0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme MRJ Mercier Inc.","Saint-Roch-Ouest, QC J0K 3H0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Mystique senc.","Mirabel, QC J7N 2T5","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Nandcel (2012) inc.","Stoke, QC J0B 3G0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Noël Fortin et Fils Inc.","Saint-Bernard-de-Beauce, QC G0S 2G0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Noël Maheux et Fils Inc.","Sainte-Marie, QC G6E 0N1","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Nollard 2012 inc.","SAINTE-BRIGITTE-DES-SAULTS, QC J0C 1E0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Norlou Inc.","Saint-Luc-Vincennes, QC G0X 3K0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme O. Giguère & Fils inc.","Lavaltrie, QC J5T 3J6","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Olistein Inc.","St-Raymond, QC G3L 3H7","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Olympe Inc.","SAINTE-BRIGITTE-DES-SAULTS, QC J0C 1E0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Ombre du Clocher Inc.","Ste-Cécile-de-Lévrard, QC G0X 2M0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme P.C.M. Delisle Inc.","Pont-Rouge, QC G3H 1C5","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Paky Inc.","Hérouxville, QC G0X 1J0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Palerme Senc.","GATINEAU, QC J8Y 5X7","8431-General farm workers",4
Quebec,"  Primary Agriculture","Ferme Parinet Inc.","Sainte-Martine, QC J0S 1V0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Parisbel SENC","PARISVILLE, QC G0S 1X0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Pasqual Inc.","MIRABEL, QC J7N 2P5","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Pasquier enr.","Lévis, QC G7A 4H2","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Patro-De Inc.","Saint-Flavien, QC G0S 2M0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Paul Massicotte et fils inc (Massibec)","CHAMPLAIN, QC G0X 1C0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme PE Toupin et fils inc","Saint-Jean-Richelieu, QC J2Y 1J5","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Pfeuti et Fils Inc","COATICOOK, QC J1A 2S4","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Philippe Hubert Inc.","Nicolet, QC J3T  1T","8431-General farm workers",1
Quebec,"  Primary Agriculture","FERME PIC ROUGE INC","LYSTER, QC G0S 1V0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Pier-Jules Inc.","ST-BERNARD, QC G0S  2G","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Pierre Bolduc ENR.","Compton, QC J0B 1L0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Pierre Marquis Inc.","SAINT-GERVAIS, QC G0R 3C0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Pinardeau Inc.","ROQUEMAURE, QC J0Z 3K0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme PMJ Koolen Inc.","St-Louis-de-Gonzague, QC J0S 1T0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Porcéréale Inc","St-Patrice-Beaurivage, QC G0S 1B0","8431-General farm workers",3
Quebec,"  Primary Agriculture","Ferme Porcine Alco inc.","JOLY, QC G0S 1M0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Porcine Bellevue Inc","AVER'S CLIFF, QC J0B 1C0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Porcine de Beauce Inc.","Sts-Anges, QC G0S 3E0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Porcité Inc.","SAINTE-MARIE, QC G6E 3L7","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Porclair SENC","Saint-Germain-de-Grantham, QC J0C 1K0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Pré-Joanne (2012) inc","ST-LÉON-LE-GRAND, QC J0K 2W0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Prélude SENC","HÉBERTVILLE, QC G8N 1B3","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Prés et Monts inc.","POHÉNÉGAMOOK, QC G0L 1J0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Prudense Inc.","St-Alphonse-de-Granby, QC J0E 2A0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Pumard inc","ST-EUGÈNE, QC J0C 1J0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme R. Bordeleau Inc.","Clerval, QC J0Z 1R0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme R. Kundert Inc.","Bécancour, QC G9H 4E6","8431-General farm workers",1
Quebec,"  Primary Agriculture","FERME R. MAILLOUX ET FILS INC.","SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme R.G.B. Ruel Inc.","Saint-Isidore-de-Clifton, QC J0B 2X0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme R.Mailloux et Fils Inc.","St-Paul-d'Abbotsford, QC J0E  1A","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Rayjo Inc.","SAINT-HENRI, QC G0R 3E0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme RDS inc.","Saint-Flavien, QC G0S 2M0","8431-General farm workers",3
Quebec,"  Primary Agriculture","Ferme Réjean Beauparlant inc.","LANORAIE, QC J0K 1E0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Renidel inc.","Ste-Ursule, QC J0K 3M0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Retoma Inc.","Saint-Blaise-sur-Richelieu, QC J0J 1W0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Rhetaise Inc","Nicolet, QC J3T  1T","8431-General farm workers",4
Quebec,"  Primary Agriculture","Ferme Rivardale Inc.","PRINCEVILLE, QC G6L 4C8","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Riviera Poirier Inc.","Sainte-Élizabeth, QC J0K 2J0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Robec Inc.","MONT-SAINT-GRÉGOIRE, QC J0J 1K0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Robert Séguin et Fils 2005 Inc.","Sainte-Marthe, QC J0P 1W0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Roch Verner et fils Inc.","SAINT-STANISLAS-DE-KOSTKA, QC J0S 1W0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Rochalain Inc","St-Albert, QC J0A 1E0","8431-General farm workers",5
Quebec,"  Primary Agriculture","Ferme Rocheleau inc.","Pont-Rouge, QC G3H 1C5","8431-General farm workers",3
Quebec,"  Primary Agriculture","Ferme Rochon et Frère Inc.","Mirabel, QC J7N 2R9","8431-General farm workers",14
Quebec,"  Primary Agriculture","Ferme Rodi inc.","Saint-Paulin, QC J0K 3G0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Rol-clair Inc","Saint-Martin, QC G0M 1B0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Roua inc.","Saint-Jean-sur-Richelieu, QC J2Y 1H6","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Roulante 1999 Inc.","Tingwick, QC J0A 1L0","8431-General farm workers",3
Quebec,"  Primary Agriculture","FERME ROYALA INC","St-Joseph-de-Beauce, QC G0S 2V0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Royaula enr.SENC","TRING-JONCTION, QC G0N  1X","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Ruckstuhl senc","Sainte-Sabine, QC J0J  2B","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Ruel et Fils","SAINT-GERVAIS, QC G0R 3C0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Sabinoise inc.","Sainte-Sabine, QC J0J 2B0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Samson et fils (1987) S.E.N.C.","FARNHAM, QC J2N 2P9","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Samuel Bérubé Inc.","SAINTE-MÉLANIE, QC J0K 3A0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Saurette Inc.","Saint-Basile-le-Grand, QC J3N 1L1","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme SCH Inc.","SAINT-CHARLES-SUR-RICHELIEU, QC J0H 2G0","8431-General farm workers",3
Quebec,"  Primary Agriculture","Ferme Schmucky inc.","Victoriaville, QC G6T 0K7","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme SDS Inc.","Wickham, QC J0C  1S","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Si-An-Ol 2017 inc.","SAINTE-SOPHIE-DE-LÉVRARD, QC G0X 3C0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Son'y inc.","VAL-JOLI, QC J1S 0G2","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Stéphane Gosselin inc.","L'île d'Orléans, QC G0A 3Z0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Ste-Sophie Inc","STE-SOPHIE-DE-LÉVRARD, QC G0X 3C0","8431-General farm workers",6
Quebec,"  Primary Agriculture","Ferme Stirnimann Ltée","Sainte-Edwige-de-Clifton, QC J0B 2R0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,"  Primary Agriculture","Ferme Stirnimann Ltée","Sainte-Edwige-de-Clifton, QC J0B 2R0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Stoïque (2012) inc","ROXTON FALLS, QC J0H 1E0","8431-General farm workers",3
Quebec,"  Primary Agriculture","Ferme St-Ours Inc.","SAINT-OURS, QC J0G 1P0","8431-General farm workers",7
Quebec,"  Primary Agriculture","Ferme Strebel et Fils Inc.","Saint-Blaise-sur-Richelieu, QC J0J 1W0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Sudri inc.","Rivière-Ouelle, QC G0L 2C0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Swigli inc.","St-Félix-de-Kingsey, QC J0B 2T0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Sylgo SENC","Saint-Raphaël, QC G0R 4C0","8431-General farm workers",1
Quebec,"  Primary Agriculture","FERME SYSLIC ENR.","STE-JUSTINE-DE-NEWTON, QC J0P  1T","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Téléfils inc.","Warwick, QC J0A 1M0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Tenlap porc inc.","SAINTE-SÉRAPHINE, QC J0A 1E0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Théorêt & fils inc.","Saint-Télesphore, QC J0P 1Y0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Thomas-Louis Denis et ses Fils Ltée","Saint-Ubalde, QC G0A 4L0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Ti-Dré Inc.","SAINTE-PIERRE-DE-BROUGTON, QC G0N 1T0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Tournevent Inc.","Hébertville, QC G8N 1L7","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Toutcourt SENC","St-Agapit, QC G0S 1Z0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Tribel inc.","ST-NARCISSE-DE-RIMOUSKI, QC G0K  1S","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Triporc Inc.","Ste Élisabeth, QC J0K 2J0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Turcotte et Fils SENC.","SAINT-BRUNO, QC G0W 2L0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme U. Grégoire et Fils Inc","SAINT-BASILE-SUR-RICHELIEU, QC J0J 1W0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Valleyclan Inc.","Compton, QC J0B 1L0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Valnico inc.","SAINTE-BRIGITTE-DES-SAULTS, QC J0C 1E0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Valupierre Inc","Saint-Laurent-de-l'Ile-d'Orléans, QC G0A 3Z0","8431-General farm workers",5
Quebec,"  Primary Agriculture","Ferme Veillot (9176-8952 Québec inc)","Ste-Rose-de-Watford, QC G0R 4G0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Verhaegen inc.","CLARENCEVILLE, QC J0J 1B0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Viajac et Fils Senc.","MIRABEL, QC J7N 2T4","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Vianney et Marguerite Turcot inc.","Saint-André-Avellin, QC J0V 1W0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Ferme Vianney et Marguerite Turcot inc.","Saint-André-Avellin, QC J0V 1W0","8611-Harvesting labourers",1
Quebec,"  Primary Agriculture","Ferme Vie-Belle Inc.","MATANE, QC G4W 9G8","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Walser et fils Inc.","NOTRE-DAME-DU-BON-CONSEIL, QC J0C 1A0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Ferme Walum 2010 inc.","Laverlochlère-Angliers, QC J0Z 2P0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Fermes André Bérard inc. (Les)","Notre-Dame-de-Lourdes, QC J0K 1K0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Fermes C Grégoire et fils inc. (Les)","SAINT-ESPRIT, QC J0K 2L0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Fermes J.-F. & C. Gagnon inc.","Saint-Roch-de-l'Achigan, QC J0K 3H0","8431-General farm workers",11
Quebec,"  Primary Agriculture","Fermes J.N. Beauchemin & Fils Inc.","SAINT-OURS, QC J0G 1P0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Fermes Rivest, Bourgeois inc. (Les)","Rawdon, QC J0K 1S0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Fermes Roger Gariépy & Fils inc. (Les)","Saint-Roch-de-l'Achigan, QC J0K 3H0","8431-General farm workers",5
Quebec,"  Primary Agriculture","Florian Robert & fils inc.","SAINT-MICHEL, QC J0L 2J0","8431-General farm workers",4
Quebec,"  Primary Agriculture","Fraisière Faucher inc.","Pont-Rouge, QC G3H 1L2","8431-General farm workers",10
Quebec,"  Primary Agriculture","Fraisière LeBel inc.","Saint-Arsène, QC G0L 2K0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Fruits et Légumes RG inc.","L'ISLET, QC G0R 1X0","8431-General farm workers",17
Quebec,"  Primary Agriculture","G.D. Hébert Senc.","SAINT-CONSTANT, QC J5A 2E7","8431-General farm workers",1
Quebec,"  Primary Agriculture","Gérard Asselin et Fils Ltée","N.-D.-de-Lourdes, QC J0K 1K0","8431-General farm workers",8
Quebec,"  Primary Agriculture","Gérard Bergeron et fils inc.","SAINT-LÉON-LE-GRAND, QC J0K 2W0","8431-General farm workers",14
Quebec,"  Primary Agriculture","Gestion G.R.Y.N. Gilbert Inc.","SAINTE-CLOTILDE-DE-BEAUCE, QC G0N 1C0","8432-Nursery and greenhouse workers",12
Quebec,"  Primary Agriculture","Gestion SMZ inc","St-Ubalde, QC G0A 4L0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Gidavin inc.","SAINTE-MÉLANIE, QC J0K 3A0","8432-Nursery and greenhouse workers",4
Quebec,"  Primary Agriculture","Gosselin G2 inc.","SAINT-AUGUSTIN-DE-DESMAURES, QC G3A 1V9","8431-General farm workers",1
Quebec,"  Primary Agriculture","Groupe Fleur de Lys Inc.","Saint-Camille, QC J0A 1G0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Groupe Passeporc S.E.N.C.","Saint-Sébastien, QC J0J 2C0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Hydroserre Inc.","Ste-Clotilde, QC J0L  1W","8431-General farm workers",58
Quebec,"  Primary Agriculture","Inter Agro Inc","SAINT-ISIDORE, QC G0S 2S0","8431-General farm workers",2
Quebec,"  Primary Agriculture","J.P. Vermette et Fils Inc.","SAINT-SIMON, QC J0H 1Y0","8431-General farm workers",2
Quebec,"  Primary Agriculture","J.P.L. Maraîcher Inc.","SAINT-ANSELME, QC G0R 2N0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Jacques Lauzon et Fils Inc.","Laval, QC H7R 6E8","8432-Nursery and greenhouse workers",18
Quebec,"  Primary Agriculture","Jardin Zotic Inc.","SAINT-RÉMI, QC J0L  2L","8431-General farm workers",2
Quebec,"  Primary Agriculture","Jardinier Huard Inc.","Saint-Joseph, QC G0S 2V0","8431-General farm workers",2
Quebec,"  Primary Agriculture","Jardins de Versailles Inc.","Mont-St-Grégoire, QC J0J 1K0","8431-General farm workers",7
Quebec,"  Primary Agriculture","Jardins G & R Ltée (Les)","SAINT-LIN-LAURENTIDES, QC J5M 2N1","8431-General farm workers",4
Quebec,"  Primary Agriculture","Jardins PurDélys Inc.","SAINT-ISIDORE, QC J0L 2A0","8431-General farm workers",7
Quebec,"  Primary Agriculture","Jardins Ricard Inc.","Louiseville, QC J5V 2L4","8431-General farm workers",2
Quebec,"  Primary Agriculture","Jobry Holstein S.E.N.C.","SAINT-ALEXANDRE, QC J0J 1S0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Kildare 1 Inc.","ST-AMBROISE-DE-KILDARE, QC J0K 1C0","8431-General farm workers",1
Quebec,"  Primary Agriculture","La Cité Agricole","Saint-Augustin-de-Desmaures, QC G3A 1W8","8431-General farm workers",2
Quebec,"  Primary Agriculture","La COOP Purdel","RIMOUSKI, QC G0L 1B0","8431-General farm workers",2
Quebec,"  Primary Agriculture","La Coulée d'Élixir Inc","St-Henri, QC G0R 3E0","8431-General farm workers",8
Quebec,"  Primary Agriculture","La Ferme des Quatre-Temps Inc.","Montréal, QC H2Y 2J7","8431-General farm workers",2
Quebec,"  Primary Agriculture","La Ferme du Passeporc inc.","Mirabel, QC J7N 2V2","8431-General farm workers",2
Quebec,"  Primary Agriculture","La Ferme du Platon Inc.","SAINTE-CROIX, QC G0S  2H","8431-General farm workers",1
Quebec,"  Primary Agriculture","La Ferme Gratien et André Gagné Ltée","HÉBERTVILLE-STATION, QC G0W 1T0","8431-General farm workers",1
Quebec,"  Primary Agriculture","La Ferme Pellerat 1997 Inc.","SAINT-ROCH-DES-AULNAIES, QC G0R  4E","8431-General farm workers",1
Quebec,"  Primary Agriculture","La Ferme Pittet inc","Saint-Tite, QC G0X 3H0","8431-General farm workers",1
Quebec,"  Primary Agriculture","La Fruiteraie de la famille Gadbois senc","Rougemont, QC J0L 1M0","8431-General farm workers",5
Quebec,"  Primary Agriculture","La Jardinerie Fernand Fortier Inc.","PRINCEVILLE, QC G6L 4K6","8432-Nursery and greenhouse workers",23
Quebec,"  Primary Agriculture","La vallée de la Framboise inc.","Val-Brillant, QC G0J 3L0","8431-General farm workers",4
Quebec,"  Primary Agriculture","La voie des jardins S.E.N.C","Sainte-Croix, QC G0S 2H0","8611-Harvesting labourers",1
Quebec,"  Primary Agriculture","Laforce Holstein inc.","St-Elphège, QC J0G 1J0","8431-General farm workers",1
Quebec,"  Primary Agriculture","Lait Porc M.C. inc.","SAINT-ELZÉAR, QC G0S 2J1","8431-General farm workers",1
Quebec,"  Primary Agriculture","Le Canard Goulu Inc.","Saint-Apollinaire, QC G0S 2E0","8431-General farm workers",1
