Terre-Neuve-et-Labrador,, 
L'Archevêque & Mercier Inc.,"875, rang de la Rivière Sud, Saint-Roch-de-l'Achigan (QC)  J0K 3H0",13
Larian Québec inc.,"771, rue Saint-Joseph Est, bureau 204, Québec (QC)  G1K 3C7",1
Larochelle Groupe Conseil Inc.,"1010, rue De La Gauchetière Ouest, bureau 650, Montréal (QC)  H3B 2N2",1
Lasertech Industries Inc,"259, rue de Copenhague, Saint-Augustin-de-Desmaures (QC)  G3A 2V1",1
Lasik MD Downtown Montréal,"1180, rue Drummond, bureau 400, Montréal (QC)  H3G 2S1",1
L'association des commerces coréens du Québec,"3285, boulevard Cavendish, bureau 568, Montréal (QC)  H3G 1L5",1
L'Assomption-Les Productions Horticoles Demers Inc.,"796, chemin Saint-Joseph, Saint-Nicolas (QC)  G7A 1H4",1
Latecoere CANADA INC.,"3200, autoroute Laval, Laval (QC)  H7T 2H6",3
L'atelier - Tartares Et Cocktails,"624, Grande Allée Est, Québec (QC)  G1R 2K5",2
L'Atelier Animation (antérieur Digital District Inc.),"5605, avenue De Gaspé, bureau 408, Montréal (QC)  H2T 2A4",8
L'Atelier d'Argentine (Restaurant),"355, rue Marguerite d'Youville, Montréal (QC)  H2Y 2C4",2
L'ATELIER DU TARTARE INC.,"638, chemin de Sainte-Anne-des-Lacs, Sainte-Anne-des-Lacs (QC)  J0R 1B0",1
Laura Canada,"3000, boulevard Le Corbusier, Laval (QC)  H7L 3W2",12
Law Pre inc.,"2644, route 202, Hinchinbrooke (QC)  J0S 1E0",2
Le Bouvier Inc (restaurant Normandin),"2335, boulevard Bastien, Québec (QC)  G2B 1B3",2
"Le Café du Théâtre, Brasserie Française Inc.","7200, boulevard du Quartier, bureau 250, Brossard (QC)  J4Y 0B5",1
Le Carré des Lombes,"2022, rue Sherbrooke Est, bureau 401, Montréal (QC)  H2K 1B9",1
Le Centre De La Moto Vanier Inc.,"2495, boulevard Wilfrid-Hamel, Québec (QC)  G1P 2H9",1
Le Coins Sushi,"5061, route Marie-Victorin, Contrecoeur (QC)  J0L 1C0",1
Le grand Saint-Charles SENC,"995, Grand Rang Saint-Charles, Saint-Paul-d'Abbotsford (QC)  J0E 1A0",1
Le Groupe de Consultation pour le maintien et la création d'emploi du Québec,"39, rue Saint-Charles Ouest, bureau 400, Longueuil (QC)  J4H 1C6",1
Le Jardin d'Augustin inc.,"16601, chemin de la Côte Nord, Mirabel (QC)  J7N 2C8",5
Le Jardin des Chefs Inc.,"53, rang des Éboulements-Centre, Les Éboulements (QC)  G0A 2M0",2
Le jardinier de la Presqu'ile senc,"405, rang de la Presqu'île, Saint-Damase (QC)  J0H 1J0",4
Le Kiosque des Grands Jardins enr.,"2095, route 269, Saint-Gilles (QC)  G0S 2P0",5
le maraicher de batiscan enr,"171, rue Principale, Batiscan (QC)  G0X 1A0",10
Le Masque de Fer,"1100, boulevard Maloney Ouest, CP 82085, Montréal (QC)  J8T 8B6",1
Le Mernois,"330, rue Dalbec, Saint-Paul (QC)  J0K 3E0",7
Le Pain Dans Les Voiles,"250, rue Saint-Georges, Mont-Saint-Hilaire (QC)  J3H 2Y1",1
Le Potager Montréalais Ltée,"1803, chemin de la Rivière, Sainte-Clotilde (QC)  J0L 1W0",21
Le Potager Riendeau Inc.,"1729, rang Saint-Antoine, Saint-Rémi (QC)  J0L 2L0",110
Le Roi De La Fraise,"122, rang Petit-Saint-Charles, Saint-Paul-d'Abbotsford (QC)  J0E 1A0",8
LE SITE Inc.,"55, avenue Mont-Royal Ouest, bureau 730, Montréal (QC)  H2T 2S6",1
Le Studio 4416 inc.,"204, rue Notre-Dame Ouest, bureau 350, Montréal (QC)  H2Y 1T3",1
Le Terroir de Dunham inc.,"3115, rue Principale, Dunham (QC)  J0E 1M0",20
Le Verger du Père de la Fraise,"1740, rue Principale, Saint-Paul-d'Abbotsford (QC)  J0E 1A0",23
Le Verger Josée et Jacques senc,"1720, chemin Principal, Saint-Joseph-du-Lac (QC)  J0N 1M0",2
Ledaan Interieurs,"11815, avenue Adolphe-Caron, Montréal (QC)  H1E 6J8",1
Légumier Marcoux inc.,"2525, route Marie-Victorin, Saint-Nicolas (QC)  G7A 4H6",10
Lemieux Bedard Communications,"2665, rue King Ouest, bureau 315, Sherbrooke (QC)  J1L 2G5",1
L'équipoule Inc.,"2010, avenue Industrielle, Marieville (QC)  J3M 1J5",53
Les  7 doigts de la main (2003) inc.,"225, rue Roy Est, bureau 205, Montréal (QC)  H2W 1M5",2
Les 7 doigts de la main ( 2003) inc.,"225, rue Roy Est, bureau 205, Montréal (QC)  H2W 1M5",2
Les aliments Marina,"1900, rue Moreau, Montréal (QC)  H1W 2L9",1
Les Aliments Trans Gras inc.,"2825, rue Power, Drummondville (QC)  J2C 6Z6",1
Les aliments Whyte's Inc.,"1540, rue des Patriotes, Laval (QC)  H7L 2N6",16
Les Atocas de l'Érable Inc.,"1890, rue Sainte-Calixte, Plessisville (QC)  G6L 1R6",15
Les Atocas du Québec Ltée,"1605, chemin Hemming, Drummondville (QC)  J2B 7T5",4
Les bois Parati Inc.,"300, 6e Rue, Daveluyville (QC)  G0Z 1C0",1
Les Bontés de la Vallée,"7670, boulevard Milan, Brossard (QC)  J4Y 1H5",5
Les Branchés Lunetterie,"505, rue Saint-Georges, Saint-Jérôme (QC)  J7Z 5B6",3
Les Canardises Inc.,"5170, avenue Royale, Saint-Ferréol-les-Neiges (QC)  G0A 3R0",2
Les Canneberges des Deux Rivières SENC,"136, route 165, Sainte-Sophie-d'Halifax (QC)  G0P 1L0",1
Les Canneberges du Roy inc.,"799, boulevard Pierre-Roux Est, Victoriaville (QC)  G6T 1T7",4
Les Cedres De Beauce Inc.,"2013, route du Président-Kennedy, Saint-Isidore (QC)  G0A 2S0",10
Les Construction Gart Inc.,"2080, rue Crescent, 2e étage, Montréal (QC)  H3G 2B8",1
Les Constructions Gaballero Inc.,"92, rue de la Colonelle, Saint-Jean-sur-Richelieu (QC)  J2X 0B7",1
Les Cultures De Chez Nous,"1120, rang 9, Sainte-Brigitte-des-Saults (QC)  J0C 1E0",12
Les Cultures Fortin inc.,"107, rang Saint-Charles, Saint-Patrice-de-Beaurivage (QC)  G0S 1B0",9
Les Delices D'angkor Inc.,"2140, boulevard Guillaume-Couture, Lévis (QC)  G6W 2S6",2
Les deux bouchers inc.,"6530, avenue Darlington, Montréal (QC)  H3S 2J3",1
Les Écuries De La Chaudière,"3338, avenue Saint-Augustin, Lévis (QC)  G6X 8G4",1
Les Écuries North Edge Inc. (North Edge Equine Inc.),"330, chemin Magoon Point, Canton de Stanstead (QC)  J0B 1T0",1
Les éditions Goélette inc.,"1350, rue Marie-Victorin, Saint-Bruno-de-Montarville (QC)  J3V 6B9",1
Les Éditions Greencopper,"1001, rue Lenoir, bureau B-252, Montréal (QC)  H4C 2Z6",1
Les Élevages Charbonneau Inc.,"1498, rang Prescott, Saint-Louis (QC)  J0G 1K0",2
Les Embellissements La Chaudière Inc.,"1050, boulevard Vachon Sud, Sainte-Marie (QC)  G6E 2S5",4
Les Enfants Terribles,"610, avenue Champagneur, bureau 6, Montréal (QC)  H2V 3P6",1
Les entreprises AffinityClick,"153A, promenade du Portage, bureau 200, Gatineau (QC)  J8X 2K4",1
Les Entreprises Agri-Choux Inc,"551, rang Saint-Jean, Brownsburg-Chatham (QC)  J8G 1M2",16
Les Entreprises Agricoles André Desroches Inc.,"47, rue des Églises Ouest, Abercorn (QC)  J0E 1B0",2
Les Entreprises Cloutier & Gagnon (1988) Ltée,"11600, avenue Philippe Panneton, Montréal (QC)  H1E 4G4",1
Les Entreprises DBM Optix Inc.,"4025, boulvevard Industriel, Laval (QC)  H7L 4S3",1
Les Entreprises G.M. Benoit inc.,"445, rang Saint-David, Sainte-Brigitte-des-Saults (QC)  J0C 1E0",2
Les Entreprises Gillivert Inc.,"690, chemin Lavaltrie, Lavaltrie (QC)  J5T 3K8",4
Les entreprises H.M. Métal Inc.,"583, rang Saint-Ovide, Sainte-Sophie-de-Lévrard (QC)  G0X 3C0",5
Les Entreprises Jacques Beloin inc.,"9, chemin Beloin, East Hereford (QC)  J0B 1S0",4
Les Entreprises Normand Tellier inc.,"1000, chemin Joliette, Saint-Félix-de-Valois (QC)  J0K 2M0",6
Les Entreprises Robert Charette Inc,"1003, 3e Rang, CP 1041, Saint-Gabriel-de-Brandon (QC)  J0K 2N0",41
Les entreprises SAPimep Canada inc,"1260, rue Crescent, Montréal (QC)  H3G 2A9",1
Les Entreprises Sébastien Grégoire inc.,"5255, chemin Sainte-Béatrix, Saint-Ambroise-de-Kildare (QC)  J0K 1C0",3
Les Entreprises Serge St-Onge & fils Inc.,"89, rang Bellevue, Saint-Robert (QC)  J0G 1S0",45
Les Entreprises Sifec Nord Inc.,"20010, rue Victor, Mirabel (QC)  J7J 1P4",1
Les établissements Dubois Ltée,"9, rang Saint-André, CP 490, Napierville (QC)  J0J 1L0",1
LES ÉVADÉS INC.,"4446, boulevard Saint-Laurent, bureau 908, Montréal (QC)  H2W 1Z5",1
Les Fermes  Hotte & Van Winden Inc.,"316, rang Saint-André, Napierville (QC)  J0J 1L0",61
Les Fermes  M V G   Inc.,"161, rang Saint-Charles, Saint-Thomas Joliette (QC)  J0K 3L0",5
Les Fermes Alcaro Inc.,"333, rue Notre-Dame, Saint-Rémi (QC)  J0L 2L0",17
"Les Fermes Bourdeau Et Fils,senc","3222, route 209, Franklin (QC)  J0S 1N0",2
Les Fermes David et Richard Blais inc,"966, chemin Royal, Saint-Laurent-de-l'Île-d'Orléans (QC)  G0A 3Z0",5
Les Fermes Du Soleil Inc.,"800, rang 2, Sainte-Clotilde (QC)  J0L 1W0",170
Les Fermes Élio Notaro & fils inc.,"307, rang Saint-Francois, Sherrington (QC)  J0L 2N0",73
Les Fermes Froment & Fils inc.,"18, chemin Froment, Saint-Paul-de-Joliette (QC)  J0K 3E0",3
Les Fermes G.N.C. inc.,"48, rang de la Rivière Nord, Saint-Lin–Laurentides (QC)  J5M 1Y6",18
Les Fermes G.Nadon Inc.,"5940, avenue des Perrons, Laval (QC)  H7J 1G6",5
Les Fermes Gilles Roy & Fils Ltée,"434, boulevard Sainte-Marguerite, Mercier (QC)  J6R 2L1",28
Les Fermes Guilbault Enr.,"425, rang du Ruisseau Saint-Jean, Saint-Lin–Laurentides (QC)  J5M 1Y5",8
Les Fermes Guylain Gariepy enr.,"1159, rang du Ruisseau-des-Anges Nord, Saint-Roch-de-l'Achigan (QC)  J0K 3H0",6
Les Fermes Horticoles LMR inc.,"1095, rang Lépine, Saint-Liguori (QC)  J0K 2X0",30
Les Fermes Ignazio Notaro Et Fils Inc.,"335, rang Saint-Joseph, Sherrington (QC)  J0L 2N0",10
Les Fermes Jacques Coulombe et Fils Ltée.,"816, chemin Royal, Saint-Laurent-de-l'Île-d'Orléans (QC)  G0A 3Z0",23
Les Fermes JF & C. Gagnon inc.,"804, rang du Ruisseau-des-Anges Sud, Saint-Roch-de-l'Achigan (QC)  J0K 3H0",10
Les Fermes Le Duchay enr.,"34, route 202 Est, Stanbridge East (QC)  J0J 2H0",2
Les Fermes Leclair & Frères Ltee,"157, rang Saint-Pierre Ouest, Sherrington (QC)  J0L 2N0",52
Les Fermes Majalyn Inc,"167, rang du Ruisseau Saint-Jean, Saint-Lin–Laurentides (QC)  J5M 1Y5",4
Les Fermes Rivest Bourgeois Inc,"4511, rue du Pont-Briand, Rawdon (QC)  J0K 1S0",1
Les Fermes Roger Gariépy et fils inc,"1636, rang du Ruisseau-des-Anges Sud, Saint-Roch-de-l'Achigan (QC)  J0K 3H0",7
Les Fermes Roland Pigeon & Fils Inc.,"1495, rang Notre-Dame, Saint-Rémi (QC)  J0L 2L0",18
Les Fermes Saint-Vincent inc.,"1171, rang Nord de la Rivière Chicot, Saint-Cuthbert (QC)  J0K 2C0",1
Les Fermes Serbi Inc.,"841, 25e Avenue, Saint-Eustache (QC)  J7R 4K3",22
Les Fermes V. Forino & Fils Inc,"298, rang Sainte-Mélanie, Sherrington (QC)  J0L 2N0",40
Les Fermes W Cyr & fils enr.,"314, rang Saint-François, Saint-Patrice-de-Sherrington (QC)  J0L 2N0",4
Les Filles Auclair SENC,"58, rue du Domaine, Lavaltrie (QC)  J5T 3M9",22
Les fines herbes de Chez-Nous inc.,"116, chemin Trudeau, Saint-Mathieu-de-Beloeil (QC)  J3G 0E3",105
Les Fraises De L'Ile D'orléans Inc.,"199, côte Gosselin, Saint-Laurent-de-l'Île-d'Orléans (QC)  G0A 3Z0",142
Les Frères Riopel,"196, Petite Ligne, Saint-Alexis (QC)  J0K 1T0",12
Les Fruits Bleus inc.,"698, rue Mélançon, Saint-Bruno (QC)  G0W 2L0",16
Les Gazons Mainguy Inc.,"2261, avenue Notre-Dame, Québec (QC)  G2E 3G4",5
Les Gazons Rouville (1988) inc.,"2605, rang Sud, Saint-Jean-Baptiste (QC)  J0L 2B0",4
Les Gazons Ste-Julie Ltée,"41, rue Delisle, Les Coteaux (QC)  J7X 1G4",29
Les générateurs de brouillard MDG,"10301, avenue Pelletier, Montréal (QC)  H1H 3R2",1
Les Gorets Inc.,"280, rue Sainte-Thérèse, Roxton-Falls (QC)  J0H 1E0",4
Les Gourmandises De L'Arlequin,"2359, boulevard De Maisonneuve Est, Montréal (QC)  H2K 2E6",3
Les Gourmets d'Amérique inc,"145, rang des Dix-Terres, Rougemont (QC)  J0L 1M0",5
Les Grands Ballets Canadiens de Montréal,"4816, rue Rivard, Montréal (QC)  H2J 2N6",26
Les Industries de la Rive Sud Ltée,"6168, rue Principale, Sainte-Croix (QC)  G0S 2H0",1
Les industries Dorel inc.,"1255, avenue Greene, bureau 300, Montréal (QC)  H3Z 2A4",1
Les industries et équipements Laliberté Ltée,"550, route Bégin, Sainte-Claire (QC)  G0R 2V0",1
Les industries Fibrobec,"218, rue Saint-Georges, Beloeil (QC)  J3G 4N4",1
Les industries G.E. Gilbert inc.,"4050, rue Brodeur, Québec (QC)  H1L 1V9",3
Les Industries Rocand Inc. (9184-2518 Québec Inc.),"2511, boulevard du Parc-Technologique, Québec (QC)  G1P 4S5",3
Les Jardiniers Idéal Ltée,"2476, rue Principale, Saint-Michel (QC)  J0L 2J0",29
Les Jardins A. Guérin & Fils Inc.,"129, rang Sainte-Mélanie, Sherrington (QC)  J0L 2N0",24
Les Jardins Agripo Inc,"987, boulevard Arthur-Sauvé, Saint-Eustache (QC)  J7R 4K3",5
Les Jardins Barry Inc.,"1435, boulevard Lanaudière, Sainte-Anne-de-la-Pérade (QC)  G0X 2J0",14
Les Jardins Bio-Forestiers,"2015, rang du Rapide, Girardville (QC)  G0W 1R0",5
Les Jardins C. Lauzon et Fils Inc.,"374, rang Saint-Jean, Oka (QC)  J0N 1E0",12
Les Jardins Cérès (9142-8854 Qc Inc.),"201, rue Lacerte, CP 324, Yamachiche (QC)  G0X 3L0",18
Les Jardins Claude & Maryse,"2620, rang Argenteuil, Sainte-Madeleine (QC)  J0H 1S0",4
Les Jardins d'Adam et Eve inc.,"707, chemin Val-des-Lacs, Sainte-Sophie (QC)  J5J 2S7",1
Les Jardins Daniel Vaes Inc.,"201, rang Saint-Henri, Lavaltrie (QC)  J5T 3P9",22
Les Jardins d'Arlington,"39, chemin North, Stanbridge Est (QC)  J0J 2H0",2
Les Jardins d'Oka Inc.,"89, rang Sainte-Sophie, OKa (QC)  J0N 1E0",8
LES JARDINS DU GRAND-CÔTEAU enr.,"620, rue Principale, Sainte-Julie (QC)  J3E 0C1",1
Les Jardins du Petit Tremble Enr.,"1830, rue du Rivage, Saint-Antoine-sur-Richelieu (QC)  J0L 1R0",7
Les Jardins Ducharme inc,"351, 1er Rang, Sainte-Mélanie (QC)  J0K 3A0",5
Les jardins Dulude inc.,"1370, chemin de la Petite-Côte, Saint-Michel (QC)  J0L 2J0",3
Les jardins G & R Ltée,"1043, rue Gariépy, Saint-Lin–Laurentides (QC)  J5M 2N1",34
Les Jardins Glenorra SENC.,"2048, chemin de la Rivière Châteauguay Nord, Ormstown (QC)  J0S 1K0",4
Les Jardins Hamelin Inc.,"2145, rue Principale, Saint-Michel (QC)  J0L 2J0",2
Les Jardins Hubert & Frères inc.,"791, rang de la Presqu'île, L'Assomption (QC)  J5W 3P4",14
Les Jardins IEC Dubuc Inc.,"435, rang de l'Église, Saint-Édouard (QC)  J0L 1Y0",11
Les Jardins J&M Hamelin Inc.,"347, rue Laforest, Saint-Michel (QC)  J0L 2J0",2
Les Jardins Lefort Inc.,"797, rang 3, Sainte-Clotilde (QC)  J0L 1W0",3
Les Jardins Legault Fournel,"4789, rang Haut-Saint-François, Laval (QC)  H7E 4P2",2
Les Jardins M.G. enr.,"985, rang Saint-Simon, Sainte-Madeleine (QC)  J0H 1S0",18
Les Jardins Martin Lemire,"118, rang Sainte-Sophie, Oka (QC)  J0N 1E0",6
Les Jardins Michel Corbeil Inc.,"807, boulevard Arthur-Sauvé, Saint-Eustache (QC)  J7K 4K3",5
Les Jardins Ormstown Ltée,"3110, chemin Greig, Ormstown (QC)  J0L 1K0",2
Les Jardins Sorel Inc.,"1180, chemin de la Petite-Côte, Saint-Michel (QC)  J0L 2J0",26
Les Jardins Ste-Clotilde enr,"1516, montée Pion, Sainte-Clothilde (QC)  J0L 1W0",36
Les Jardins Vegibec inc.,"171, rang Sainte-Sophie, Oka (QC)  J0N 1E0",183
Les Légumes R & M Inc.,"26, rang Contant, Sherrington (QC)  J0L 2N0",12
Les Maisons Funéraires Blais inc.,"582, avenue Centrale, Val-d'Or (QC)  J9P 1P8",1
Les Maraichères F & L Dubuc Enr.,"1221, rue Saint-Régis, Saint-Isidore (QC)  J0L 2A0",4
Les Maraîchers Bombardier Inc.,"555, rang des Sloan, Saint-Édouard (QC)  J0L 1Y0",10
Les Maraîchers L & L inc.,"1982, rue Principale, Saint-Michel (QC)  J0L 2J0",4
Les Maraichers MG inc.,"1181, rang Rivière Sud, Saint-Lin–Laurentides (QC)  J5M 2A2",12
Les Maraichers P.A. Cousineau & fils inc.,"1065, Grand Rang, Sainte-Clothilde (QC)  J0L 1W0",29
Les Maraichers P.Y. Cousineau senc,"395, chemin du Chicot Sud, Saint-Eustache (QC)  J7R 4K3",6
Les Miels Raphael,"3961, chemin Saint-François, Alma (QC)  G8E 1A1",1
Les Patates Turcot Inc.,"657, rang de la Rivière Sud, Saint-Lin–Laurentides (QC)  J5M 2A1",3
Les Pépinières Jasmin ltée.,"6305, boulevard Henri-Bourassa Ouest, Montréal (QC)  H4R 1C7",8
Les Plantations H. Cotnoir,"100, chemin Sage, Compton (QC)  J0B 1L0",2
Les Plantations Ideales Enr.,"360, rang des Chutes, Ham Nord (QC)  G0P 1A0",8
Les Plantations Robert Inc,"809, rue Principale, Lac-Drolet (QC)  G0Y 1C0",20
Les Pommes Enderle inc,"514, chemin James Fisher, Hemmingford (QC)  J0L 1H0",6
LES PRODUCTIONS CRAKMEDIA (boul. Charest),"410, boulevard Charest Est, bureau 500, Québec (QC)  G1K 8G3",4
Les Productions Haut-Vol Inc,"3555, montée du 4e Rang, Sainte-Marie-Madeleine (QC)  J0H 1S0",4
Les Productions Horticoles Demers Inc,"796, chemin Vire-Crêpes, Lévis (QC)  G7A 1Z6",83
Les Productions Maraicheres Bourget et Frères inc.,"410, rang Sainte-Marguerite, Saint-Isidore (QC)  J6R 2L1",63
Les Produits Forino Inc.,"2535, chemin de l'Église, Sainte-Clotilde (QC)  J0L 1W0",9
Les Produits Métalliques Roy,"52, boulevard Morigeau, Saint-François-de-la-Rivière-du-Sud (QC)  G0R 3A0",6
Les Produits Ricard Inc.,"460, Grande Ligne, Saint-Alexis (QC)  J0K 1T0",2
Les Récoltes Hervieux inc,"85, rang du Bas-de-L'Assomption Sud, L'Assomption (QC)  J5W 1Z8",6
Les Ruchers Chaudière-Appalaches Inc.,"287, rang Beaurivage, Saint-Sylvestre (QC)  G0S 3C0",4
Les Sapins Downey inc.,"CP 117, SUCC Lennoxville, Sherbrooke (QC)  J1M 1Z3",53
Les Serres A Giguère 90 inc,"1152, route 138, Neuville (QC)  G0A 2R0",2
Les Serres Belles Saisons inc.,"1073, route Marie-Victorin, Saint-Nicolas (QC)  G7A 4W6",4
Les Serres Biologico Inc.,"2743, boulevard Sainte-Sophie, Sainte-Sophie (QC)  J5J 2V3",4
Les Serres Caron inc,"392, chemin des Pionniers Est, L'Islet (QC)  G0R 2B0",8
Les Serres Chlorophylle Inc,"825, chemin du Fleuve, Les Cèdres (QC)  J7T 1B1",5
Les Serres Dalton enr.,"251, Petite ligne, Saint-Alexis (QC)  J0K 1T0",1
Les Serres Demers Inc.,"796, chemin Vire-Crêpes, Lévis (QC)  G7A 1Z6",27
Les Serres Denis Lavoie & Fils Inc.,"3241, rang Nord, L'Assomption (QC)  J5W 4X9",6
Les Serres Fortier,"1703, route Marie-Victorin, Saint-Nicolas (QC)  G7A 4H4",3
Les Serres Gaucher Inc.,"386, rang de la Presqu'île, Saint-Damase (QC)  J0H 1J0",35
Les Serres J.C. Lauzon & Ass. S.E.N.C.,"911, chemin Fresnière, Saint-Eustache (QC)  J7R 0G3",2
Les Serres Jacques Barbe inc.,"424, rue Boileau, Saint-Eustache (QC)  J7R 4R7",30
Les Serres Lefort inc.,"644, rang 3, Sainte-Clotilde (QC)  J0L 1W0",124
Les Serres Maedler 89 Inc.,"987, 3e Concession, RR 225, Noyan (QC)  J0J 1B0",3
Les Serres Mario et Dominic Lacroix inc.,"777, rang Saint-Antoine, Laval (QC)  H7R 6E8",6
Les Serres Mirabel Inc.,"14777, rue Saint-Augustin, Mirabel (QC)  J7N 2A9",26
Les Serres Nouvelles Cultures Inc.,"2743, boulevard Sainte-Sophie, Sainte-Sophie (QC)  J5J 2V3",17
Les Serres Ovation inc,"201, Grande-Côte Ouest, Lanoraie (QC)  J0K 1E0",8
Les Serres PM Marcil Enr.,"1243, route 209, Sainte-Clotilde (QC)  J0L 1W0",2
Les Serres Primavera Inc.,"850, chemin de Touraine, RR 62, Boucherville (QC)  J4B 5E4",3
Les Serres Riel Inc.,"1851, rang Notre-Dame, Saint-Rémi (QC)  J0L 2L0",16
Les Serres Rosaire Pion & Fils inc.,"8185, Grand Rang, Saint-Hyacinthe (QC)  J2S 9A8",25
Les Serres S. Benoît inc.,"820, rang Saint-Régis, Saint-Isidore (QC)  J0L 2A0",2
Les Serres Sagami Charlevoix inc,"1102, route du Fleuve, Les Éboulements (QC)  G0A 2M0",31
Les Serres Sagami Inc.,"2743, boulevard Sainte-Sophie, Sainte-Sophie (QC)  J5J 2V3",9
Les Serres Stéphane Bertrand inc.,"11730, route Sir-Wilfrid-Laurier, Mirabel (QC)  J7N 1P5",41
Les Serres Sylvain Cléroux (Québec) inc.,"1570, rue Principale, Laval (QC)  H7X 4A8",34
Les Serres Thierry  Othon Inc.,"4360, rang Saint-Hyacinthe, Mirabel (QC)  J7N 2Z9",2
Les Serres Vaudreuil Inc.,"2845, route Harwood, Vaudreuil-Dorion (QC)  J7V 8P2",3
Les Serres Y.G. Pinsonneault inc.,"471, rang Saint-Paul, Saint-Rémi (QC)  J0L 2L0",9
Les Services Conseils Systématix Inc.,"2600, boulevard Laurier, tour de la Cité, bureau 990, Québec (QC)  G1V 4W2",1
Les Services De Personnel S.M. Inc.,"433, rue Chabanel Ouest, 12e étage, Montréal (QC)  H2N 2J8",1
Les Solutions Victrix Inc.,"630, rue Sherbrooke Ouest, bureau 1100, Montréal (QC)  H3A 1E4",2
Les Systèmes Nomos Inc.,"1480, rue Provinciale, Québec (QC)  G1N 4A2",1
Les Terrassements Multi-Paysages Inc,"1355, rue Lépine, Joliette (QC)  J6E 4B7",40
Les Terres Maraicheres Barbeau Inc,"2700, rue Principale, Saint-Michel (QC)  J0L 2J0",44
Les Terres Maraîchères Norvie Inc.,"1861, chemin Principal, Saint-Étienne-des-Grès (QC)  G0X 2P0",5
Les traiteurs Satay Bros (The Satay Bros Carterers),"623, rue Saint-Philippe, Montréal (QC)  H4C 2V5",1
Les Tricots Cameo,"2024, rue Peel, bureau 400, Montréal (QC)  H3A 1W5",1
Les Tuches 2,"3400, rue Jean-Talon Ouest, bureau 340, Montréal (QC)  H3R 2E8",19
Les Vallons Maraîchers Inc.,"440, chemin de Hyatt's Mills, Compton (QC)  J0B 1L0",2
Les Vergers Cataphard et fils inc.,"1802, chemin Principal, Saint-Joseph-du-Lac (QC)  J0N 1M0",12
Les Vergers Denis Charbonneau,"575, rang de la Montagne, Mont-Saint-Grégoire (QC)  J0J 1K0",30
Les Vergers François Juneau,"1355, rue des Peupliers, Mont-Saint-Hilaire (QC)  J3G 4S6",2
Les Vergers Franklin senc,"2340, route 202, Franklin (QC)  J0S 1E0",12
Les Vergers Frier senc,"2365, route 202, Hinchinbrooke (QC)  J0S 1A0",6
Les Vergers Jobin et Fils inc.,"35, chemin Garagona, Frelighsburg (QC)  J0J 1C0",3
Les Vergers Jude Dumoulin et fils Senc,"1944, chemin Principal, Saint-Joseph-du-Lac (QC)  J0N 1M0",4
Les Vergers Missisquoi Inc,"14, chemin des Bouleaux, Frelighsburg (QC)  J0J 1C0",22
Les Vergers Petit et Fils Inc.,"1020, chemin de la Montagne, Mont-Saint-Hilaire (QC)  J3G 4S3",4
Les Vergers Pommix Senc,"1288, chemin Principal, Saint-Joseph-du-Lac (QC)  J0N 1M0",9
Les Vergers St-Denis et fils senc.,"926, montée du Village, Saint-Joseph-du-Lac (QC)  J0N 1M0",9
Les Vergers Tougas Inc.,"4679, chemin Godbout, Dunham (QC)  J0E 1M0",25
Les Viandes Bernard Centrale inc.,"2001 32e Avenue, Lachine (QC)  H8T 3J1",1
Les Viandes Biologiques de Charlevoix inc.,"125, rue Saint-Édouard, Saint-Urbain (QC)  G0A 4K0",3
Les Viandes Lacroix Inc.,"4120, boulevard Casavant Ouest, Saint-Hyacinthe (QC)  J2S 8E3",20
L'Estaminet,"1340, rue Fleury Est, Montréal (QC)  H2C 1R3",1
"Letko, Brosseau & Associates Inc.","1800, avenue McGill College, bureau 2510, Montréal (QC)  H3A 3J6",1
Levert Paysage Inc. (9019-0786 Québec Inc.),"1517, route 117, Saint-Faustin-Lac-Carré (QC)  J0T 1J1",5
Lexalytics Canada ULC,"6750, rue de l'Esplanade, bureau 103, Montréal (QC)  H2V 4M1",1
Lightspeed POS inc.,"700, rue Saint-Antoine Est, bureau 300, Montréal (QC)  H2Y 1A6",1
L'industrielle Alliance,"1080, Grande-Allée Ouest, Québec (QC)  G1K 7M3",11
Linkbynet,"416, boulevard De Maisonneuve Ouest, bureau 310, Montréal (QC)  H3A 1L2",1
L-IPSE Services Conseil Inc.,"76, rue Saint-Paul, bureau 302, Québec (QC)  G1K 3V9",2
Listuguj Mi'gmaq Government,"17, chemin Riverside Ouest, CP 298, Listuguj (QC)  G0C 2R0",1
LMG Communications Graphique (LMG GRAPHISME),"905, rue des Prairies, bureau 106, Québec (QC)  G1K 3M5",1
Location & Entretien R&R Inc.,"9600, avenue Ryan, Dorval (QC)  H9P 3A1",1
Locweld Inc.,"50, avenue Iberville, Candiac (QC)  J5R 1J5",2
Logiciels OneDesk Inc.,"1500, rue du Collège, bureau 210, Saint-Laurent (QC)  H4L 5G6",1
L'oreal Canada Inc.,"3500, rue Douglas-B.-Floreani, Saint-Laurent (QC)  H4S 2B9",1
Lortie Aviation,"130, rue Tibo, Sainte-Catherine-de-la-Jacques-Cartier (QC)  G3N 2Y7",1
Ludia inc,"410, rue Saint-Nicolas, bureau 400, Montréal (QC)  H2Y 2P5",14
Lulu Software,"7075, place Robert-Joncas, bureau 142, Ville Saint-Laurent (QC)  H4M 2Z2",4
LumaPix Inc.,"2220, boulevard Lapinière, bureau 203, Brossard (QC)  J4W 1M2",1
