Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Requested LMIAs,Requested Positions,Postal Code,Latitude,Longitude
Ontario ,High Wage ,Montrela Inc.,"Scarborough, ON M1P 0A9",21233-Web designers,Unknown,1,1,M1P 0A9,43.772997,-79.2551582
Ontario ,High Wage ,Motor Medics Ltd,"Ottawa, ON K1T 1M6","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,K1T 1M6,45.3557238,-75.6412965
Ontario ,High Wage ,Mr. Singh Quick Services Inc.,"WINDSOR, ON N8X 3A2",73200-Residential and commercial installers and servicers,Unknown,1,1,N8X 3A2,42.2888719,-83.0055026
Ontario ,High Wage ,MTS MOVING AND STORAGE INC.,"Mississauga, ON L5T 2M8",73300-Transport truck drivers,Unknown,1,1,L5T 2M8,43.6507925,-79.6942335
Ontario ,High Wage ,MUNDAIR CONSULTING LTD.,"Guelph, ON N1L 0N4",13110-Administrative assistants,Unknown,1,1,N1L 0N4,43.5013714,-80.18088050000001
Ontario ,High Wage ,NANAK REALTY SERVICES INC.,"Etobicoke, ON M9W 5X1",13110-Administrative assistants,Unknown,1,1,M9W 5X1,43.73718,-79.618978
Ontario ,High Wage ,Nanna Computers Inc,"MISSISSAUGA, ON L4W 4J4",21222-Information systems specialists,Unknown,1,1,L4W 4J4,43.643121,-79.6458246
Ontario ,High Wage ,Nasiruddin Engineering Limited,"Mississauga, ON L5T 1H8",22300-Civil engineering technologists and technicians,Unknown,1,1,L5T 1H8,43.6491947,-79.65547340000001
Ontario ,High Wage ,NATT TRANSPORTATION SYSTEMS INC.,"Kleinburg, ON L0J 1C0",13110-Administrative assistants,Unknown,1,1,L0J 1C0,43.866467,-79.6838874
Ontario ,High Wage ,NATT TRANSPORTATION SYSTEMS INC.,"Kleinburg, ON L0J 1C0",73300-Transport truck drivers,Unknown,1,1,L0J 1C0,43.866467,-79.6838874
Ontario ,High Wage ,Nehajewels Ltd.,"Brampton, ON L6R 0X1","00012-Senior managers - financial, communications and other business services",Unknown,1,1,L6R 0X1,43.7574683,-79.7673235
Ontario ,High Wage ,NetDynamic Consulting Inc,"Mississauga, ON L5B 3C2",10029-Other business services managers,Unknown,1,1,L5B 3C2,43.5929815,-79.6357361
Ontario ,High Wage ,NETOPTIM NETWORK SERVICES INC,"BRAMPTON, ON L7A 0N4",13110-Administrative assistants,Unknown,1,1,L7A 0N4,43.72626330000001,-79.83054969999999
Ontario ,High Wage ,New Star Renovation Inc.,"Brampton, ON L7A 3X7",72310-Carpenters,Unknown,1,1,L7A 3X7,43.6949625,-79.8386029
Ontario ,High Wage ,NEXA IMMIGRATION Inc.,"BRAMPTON, ON L6T 5A2",13100-Administrative officers,Unknown,1,1,L6T 5A2,43.7123351,-79.67792469999999
Ontario ,High Wage ,Nextval Communications Group Limited,"Toronto, ON M6K 3P6","51120-Producers, directors, choreographers and related occupations",Unknown,1,1,M6K 3P6,43.6381376,-79.41816679999999
Ontario ,High Wage ,Niche Bakers Corp.,"Etobicoke, ON M9W 6C2",13201-Production and transportation logistics coordinators,Unknown,1,1,M9W 6C2,43.7343743,-79.6077457
Ontario ,High Wage ,Nikita Food & Spices Ltd,"Mississauga, ON L4Z 2H9",70012-Facility operation and maintenance managers,Unknown,1,1,L4Z 2H9,43.62986009999999,-79.6582801
Ontario ,High Wage ,Nitro Espresso Bar Corp.,"East York, ON M4B 1Z5",73201-General building maintenance workers and building superintendents,Unknown,1,2,M4B 1Z5,43.7164037,-79.31240219999999
Ontario ,High Wage ,Noble Accounting Solutions Ltd,"Brampton, ON L7A 4H6",13100-Administrative officers,Unknown,1,1,L7A 4H6,43.69298970000001,-79.84472989999999
Ontario ,High Wage ,NOBLE OPTICAL INC.,"Markham, ON L3R 0Y5","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,L3R 0Y5,43.826047,-79.30500649999999
Ontario ,High Wage ,Nostrac Production Ltd,"Woodbridge, ON L4H 0S3",72200-Electricians (except industrial and power system),Unknown,1,1,L4H 0S3,43.7889297,-79.6312617
Ontario ,High Wage ,NPM Construction Inc.,"Vaughan, ON L4K 4H2",73100-Concrete finishers,Unknown,1,2,L4K 4H2,43.80918339999999,-79.534526
Ontario ,High Wage ,Nylene Canada ULC,"Arnprior, ON K7S 2C7",21301-Mechanical engineers,Unknown,1,1,K7S 2C7,45.4355935,-76.33673139999999
Ontario ,High Wage ,O&B Management Inc,"Toronto, ON M4P 2C9",12200-Accounting technicians and bookkeepers,Unknown,1,1,M4P 2C9,43.7082415,-79.3982022
Ontario ,High Wage ,OMEGA TECHSOURCE INC.,"AJAX, ON L1Z 1W7","00012-Senior managers - financial, communications and other business services",Unknown,1,1,L1Z 1W7,43.8501373,-78.9952754
Ontario ,High Wage ,One Stop Granite Inc,"Brampton, ON L6T 1A7","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,1,L6T 1A7,43.7087501,-79.6873947
Ontario ,High Wage ,OPC.TV INC,"Toronto, ON M6J 1C3","51120-Producers, directors, choreographers and related occupations",Unknown,1,1,M6J 1C3,43.6463331,-79.4050628
Ontario ,High Wage ,Ottawa Home Contractors Ltd.,"Manotick, ON K4M 0L8","00015-Senior managers - construction, transportation, production and utilities",Unknown,1,2,K4M 0L8,45.2543964,-75.69487749999999
Ontario ,High Wage ,Outliers Consulting North America,"Toronto, ON M4B 1C9",63200-Cooks,Unknown,1,3,M4B 1C9,43.7021866,-79.2943521
Ontario ,High Wage ,Oxford County Renovations Ltd,"Norwich, ON N0J 1P0",72320-Bricklayers,Unknown,1,2,N0J 1P0,42.97372070000001,-80.621591
Ontario ,High Wage ,PADDA HOLDINGS INC.,"SCARBOROUGH, ON M1N 3K2","00014-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1,M1N 3K2,43.6993726,-79.26537669999999
Ontario ,High Wage ,Pak Homes Builder Inc,"Brampton, ON L6Y 0A9",75110-Construction trades helpers and labourers,Unknown,1,2,L6Y 0A9,43.643837,-79.7583877
Ontario ,High Wage ,PALM & PINE INDIAN RESTAURANT INC,"WINDSOR, ON N8Y 4W4",62200-Chefs,Unknown,1,1,N8Y 4W4,42.3161855,-82.9817822
Ontario ,High Wage ,Paopao Corporation,"Richmond Hill, ON L4B 1M3",13110-Administrative assistants,Unknown,1,1,L4B 1M3,43.8461631,-79.3822802
Ontario ,High Wage ,Paul's Forklift Repairs Inc,"Brampton, ON L6T 0G4","72423-Motorcycle, all-terrain vehicle and other related mechanics",Unknown,1,1,L6T 0G4,43.764269,-79.6561751
Ontario ,High Wage ,Payment Solution Providers,"Vaughan, ON L4K 0C3",11201-Professional occupations in business management consulting,Unknown,1,1,L4K 0C3,43.8041152,-79.5404982
Ontario ,High Wage ,Pegah Construction Ltd.,"Toronto, ON M3H 5T5",70010-Construction managers,Unknown,1,1,M3H 5T5,43.7824587,-79.47109159999999
Ontario ,High Wage ,Perfect Care Nursing Agency Inc.,"NIAGARA FALLS, ON L2E 6N9",12200-Accounting technicians and bookkeepers,Unknown,1,2,L2E 6N9,43.1037603,-79.11074889999999
Ontario ,High Wage ,Perfect Care Nursing Agency Inc.,"NIAGARA FALLS, ON L2E 6N9",13100-Administrative officers,Unknown,1,1,L2E 6N9,43.1037603,-79.11074889999999
Ontario ,High Wage ,PERFORMANCE TRUCK REPAIR INC.,"MISSISSAUGA, ON L5S 1L6",75119-Other trades helpers and labourers,Unknown,1,1,L5S 1L6,43.68686140000001,-79.6700323
Ontario ,High Wage ,PH CANADA SYSTEM INC.,"MISSISSAUGA, ON L4Z 1S2",13110-Administrative assistants,Unknown,1,1,L4Z 1S2,43.6025845,-79.64249110000002
Ontario ,High Wage ,PH Midland Inc.,"Midland, ON L4R 2E7","00014-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1,L4R 2E7,44.7403219,-79.899745
Ontario ,High Wage ,PhotonEdge Canada Inc.,"Toronto, ON M2J 4R4",21110-Biologists and related scientists,Unknown,1,1,M2J 4R4,43.7727549,-79.33088889999999
Ontario ,High Wage ,PK Paradise Inc.,"Hamilton, ON L9B 2N1",62020-Food service supervisors,Unknown,1,2,L9B 2N1,43.2178042,-79.9190953
Ontario ,High Wage ,Platinum Transport Group Inc.,"Scarborough, ON M1R 1L7",13100-Administrative officers,Unknown,1,1,M1R 1L7,43.7420521,-79.3002518
Ontario ,High Wage ,Platinum Transport Group Inc.,"Scarborough, ON M1R 1L7",14404-Dispatchers,Unknown,1,1,M1R 1L7,43.7420521,-79.3002518
Ontario ,High Wage ,Platinum Transport Group Inc.,"Scarborough, ON M1R 1L7",70020-Managers in transportation,Unknown,1,1,M1R 1L7,43.7420521,-79.3002518
Ontario ,High Wage ,POPULAR TIRES SALES & SERVICE INC.,"MISSISSAUGA, ON L5S 1M5","00015-Senior managers - construction, transportation, production and utilities",Unknown,1,1,L5S 1M5,43.6701457,-79.68353669999999
Ontario ,High Wage ,Prahit Inc.,"Windsor, ON N8T 3G9",72100-Machinists and machining and tooling inspectors,Unknown,1,1,N8T 3G9,42.2978177,-82.9427615
Ontario ,High Wage ,Preet97800 Transport Inc.,"WINCHESTER, ON K0C 2K0",62010-Retail sales supervisors,Unknown,1,2,K0C 2K0,45.1299843,-75.3590755
Ontario ,High Wage ,Premform Limited,"Brampton, ON L6S 5X2",75110-Construction trades helpers and labourers,Unknown,1,1,L6S 5X2,43.7533661,-79.6958116
Ontario ,High Wage ,Prime Glass And Railings Inc.,"Maple, ON L6A 3H4",13110-Administrative assistants,Unknown,1,1,L6A 3H4,43.856164,-79.5487531
Ontario ,High Wage ,Prime Max Group Ltd.,"Mississauga, ON L4V 1K1",12101-Human resources and recruitment officers,Unknown,1,1,L4V 1K1,43.7011572,-79.6203819
Ontario ,High Wage ,Priory Construction,"Mississauga, ON L5N 7S2",72320-Bricklayers,Unknown,1,1,L5N 7S2,43.6191514,-79.7431421
Ontario ,High Wage ,PRO HEALTH CARE SERVICES INC.,"Brampton, ON L6S 5H1","33102-Nurse aides, orderlies and patient service associates",Unknown,1,2,L6S 5H1,43.719867,-79.73727099999999
Ontario ,High Wage ,Propeller Shipping Corp,"Brampton, ON L6S 2V7",73300-Transport truck drivers,Unknown,1,1,L6S 2V7,43.7396541,-79.7422658
Ontario ,High Wage ,Prostar drywall innovations Inc.,"Etobicoke, ON M9V 2T3","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,1,M9V 2T3,43.7305819,-79.5599928
Ontario ,High Wage ,Quad Tech Solutions Inc.,"brampton, ON L6X 0Z3",20012-Computer and information systems managers,Unknown,1,1,L6X 0Z3,43.6679279,-79.78694419999999
Ontario ,High Wage ,Radioaktivefilm(Canada) Inc.,"Toronto, ON M6K 1Y6","51120-Producers, directors, choreographers and related occupations",Unknown,1,1,M6K 1Y6,43.6363217,-79.42414649999999
Ontario ,High Wage ,Rastogi Consulting Inc,"Brampton, ON L6R 0E9","00012-Senior managers - financial, communications and other business services",Unknown,1,1,L6R 0E9,43.7653296,-79.7592638
Ontario ,High Wage ,Rastogi Consulting Inc,"Brampton, ON L6R 0E9",21234-Web developers and programmers,Unknown,1,1,L6R 0E9,43.7653296,-79.7592638
Ontario ,High Wage ,RAY ASSOCIATES INC.,"Burlington, ON L7M 5B4","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,L7M 5B4,43.4070602,-79.81076349999999
Ontario ,High Wage ,RDC Construction Ltd.,"Toronto, ON M6N 2A8",72310-Carpenters,Unknown,1,2,M6N 2A8,43.6715756,-79.4978941
Ontario ,High Wage ,Real Blue Roofing Services Inc.,"Brampton, ON L6Y 0E1",75110-Construction trades helpers and labourers,Unknown,1,1,L6Y 0E1,43.6298504,-79.80586009999999
Ontario ,High Wage ,REALTORS4YOU REAL ESTATE INC.,"Mississauga, ON L4T 0A5",13110-Administrative assistants,Unknown,1,1,L4T 0A5,43.7080556,-79.65371909999999
Ontario ,High Wage ,REHMAT CONSTRUCTION INC.,"BRAMPTON, ON L6S 3M6",73100-Concrete finishers,Unknown,1,1,L6S 3M6,43.7207637,-79.7398122
Ontario ,High Wage ,REHMAT CONSTRUCTION INC.,"BRAMPTON, ON L6S 3M6",73200-Residential and commercial installers and servicers,Unknown,1,1,L6S 3M6,43.7207637,-79.7398122
Ontario ,High Wage ,Rehoboth Electrical Services Inc,"Brampton, ON L6V 4E5",72201-Industrial electricians,Unknown,1,1,L6V 4E5,43.7132558,-79.774857
Ontario ,High Wage ,Request Office Services Inc,"Richmond Hill, ON L4B 3N4","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,L4B 3N4,43.86011320000001,-79.3877344
Ontario ,High Wage ,RETOUCH DECOR INC.,"Brampton, ON L6X 4N9",72310-Carpenters,Unknown,1,1,L6X 4N9,43.6800977,-79.7936002
Ontario ,High Wage ,Right Lane Carrier Inc,"Mississauga, ON L5T 1H8",72106-Welders and related machine operators,Unknown,1,1,L5T 1H8,43.6491947,-79.65547340000001
Ontario ,High Wage ,RILEY STERLING INC.,"Thorndale, ON N0M 2P0",13110-Administrative assistants,Unknown,1,1,N0M 2P0,43.0828192,-81.1416691
Ontario ,High Wage ,RITO RENOVATION LTD.,"Caledon, ON L7C 1X1",73200-Residential and commercial installers and servicers,Unknown,1,1,L7C 1X1,43.7023445,-79.8730837
Ontario ,High Wage ,Rivid LTD,"Newmarket, ON L3Y 8A8",62020-Food service supervisors,Unknown,1,1,L3Y 8A8,44.0541109,-79.48146199999999
Ontario ,High Wage ,ROAD STAR TRUCK LINE LTD.,"BRAMPTON, ON L6Y 3K9",73300-Transport truck drivers,Unknown,1,3,L6Y 3K9,43.6638135,-79.74296679999999
Ontario ,High Wage ,Roaming Pizzeria Ltd.,"Brampton, ON L6X 2P5",63200-Cooks,Unknown,1,1,L6X 2P5,43.6906764,-79.77766
Ontario ,High Wage ,ROCKY ROADS TRANSPORT INC.,"BRAMPTON, ON L6R 3L4",14404-Dispatchers,Unknown,1,1,L6R 3L4,43.7707512,-79.75207949999999
Ontario ,High Wage ,Royal Laser Mfg Inc,"Etobioke, ON M9W 5Z7",22302-Industrial engineering and manufacturing technologists and technicians,Unknown,1,1,M9W 5Z7,43.73736539999999,-79.6242427
Ontario ,High Wage ,Royal Laser Mfg Inc,"Etobioke, ON M9W 5Z7",52121-Interior designers and interior decorators,Unknown,1,1,M9W 5Z7,43.73736539999999,-79.6242427
Ontario ,High Wage ,Royal LePage Peaceland August Jian Realty,"Richmond Hill, ON L4B 1B4",62023-Customer and information services supervisors,Unknown,1,1,L4B 1B4,43.8460011,-79.3884382
Ontario ,High Wage ,Royal Roofs LTD,"MISSISSAUGA, ON L5M 3Z5",73110-Roofers and shinglers,Unknown,1,1,L5M 3Z5,43.5863173,-79.70370179999999
Ontario ,High Wage ,RPH FOOD SERVICE LTD.,"Brampton, ON L6Z 0B5",22100-Chemical technologists and technicians,Unknown,1,1,L6Z 0B5,43.7522279,-79.79465119999999
Ontario ,High Wage ,RS Bookkeeping and accounting,"Mississuaga, ON L5T 2K7",12200-Accounting technicians and bookkeepers,Unknown,1,1,L5T 2K7,43.66768709999999,-79.6679276
Ontario ,High Wage ,RTY LOGISTICS LTD,"St Catherines, ON L2R 7J9","00012-Senior managers - financial, communications and other business services",Unknown,1,1,L2R 7J9,43.1570677,-79.24584179999999
Ontario ,High Wage ,Rubinza Inc.,"Richmond Hill, ON L4C 3B5",20012-Computer and information systems managers,Unknown,1,1,L4C 3B5,43.8778856,-79.4381271
Ontario ,High Wage ,Rubinza Inc.,"Richmond Hill, ON L4C 3B5",21234-Web developers and programmers,Unknown,1,2,L4C 3B5,43.8778856,-79.4381271
Ontario ,High Wage ,RV REMODELING LTD.,"Timmins, ON P4N 1C3",73112-Painters and decorators (except interior decorators),Unknown,1,1,P4N 1C3,48.4751252,-81.3331943
Ontario ,High Wage ,RV REMODELING LTD.,"Timmins, ON P4N 1C3",73200-Residential and commercial installers and servicers,Unknown,1,2,P4N 1C3,48.4751252,-81.3331943
Ontario ,High Wage ,S&S HOME SERVICES INC.,"vaughan, ON L4K 1Z8",72421-Appliance servicers and repairers,Unknown,1,1,L4K 1Z8,43.7861192,-79.4978062
Ontario ,High Wage ,s.m.a.r.t. Express Ltd.,"TORONTO, ON M3N 2S5",73200-Residential and commercial installers and servicers,Unknown,1,1,M3N 2S5,43.7451434,-79.52679669999999
Ontario ,High Wage ,SAB 13JI Immigration Services Inc.,"Stoney Creek, ON L8E 2H2","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,L8E 2H2,43.2288626,-79.71842819999999
Ontario ,High Wage ,Saini Photo Studio Ltd,"Brampton, ON L6Y 4E6",62010-Retail sales supervisors,Unknown,1,1,L6Y 4E6,43.6511132,-79.73543069999999
Ontario ,High Wage ,SalesGamma Sales Inc.,"North York, ON M3B 3P6","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,M3B 3P6,43.7566429,-79.352276
Ontario ,High Wage ,"Samp Sac, Inc.","Kingston, ON K7L 1H1","00014-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1,,,
Ontario ,High Wage ,SBS EXPEDITED SERVICES LTD,"HORNBY, ON L0P 1E0",73300-Transport truck drivers,Unknown,1,8,L0P 1E0,43.587262,-79.82127000000001
Ontario ,High Wage ,Schindler Visa Services Corp.,"Richmond Hill, ON L4C 3B5",12200-Accounting technicians and bookkeepers,Unknown,1,1,L4C 3B5,43.8778856,-79.4381271
Ontario ,High Wage ,Schindler Visa Services Corp.,"Richmond Hill, ON L4C 3B5",21234-Web developers and programmers,Unknown,1,1,L4C 3B5,43.8778856,-79.4381271
Ontario ,High Wage ,Scorpius Immigration Services INC.,"CAMBRIDGE, ON N3C 4N6",21233-Web designers,Unknown,1,1,N3C 4N6,43.4224111,-80.28578949999999
Ontario ,High Wage ,Sealion Cargo Inc.,"Toronto, ON M4W 3E2","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1,M4W 3E2,43.6704719,-79.3872946
Ontario ,High Wage ,Seed NanoTech International Inc.,"Brampton, ON L6T 5E3","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1,L6T 5E3,43.6887556,-79.6973897
Ontario ,High Wage ,Seed NanoTech International Inc.,"Brampton, ON L6T 5E3",22221-User support technicians,Unknown,1,2,L6T 5E3,43.6887556,-79.6973897
Ontario ,High Wage ,Sehmbi Renovation Inc.,"Brampton, ON L6P 0J9",72311-Cabinetmakers,Unknown,1,2,L6P 0J9,43.8066024,-79.7312242
Ontario ,High Wage ,SES Packaging Systems Inc.,"Scarborough, ON M1B 2G6","92024-Supervisors, other products manufacturing and assembly",Unknown,1,1,M1B 2G6,43.8086764,-79.237009
Ontario ,High Wage ,Shalimar Transport Inc,"Brampton, ON L6P 1M7",13110-Administrative assistants,Unknown,1,1,L6P 1M7,43.7732645,-79.7291209
Ontario ,High Wage ,Shalimar Transport Inc,"Brampton, ON L6P 1M7",73300-Transport truck drivers,Unknown,1,1,L6P 1M7,43.7732645,-79.7291209
Ontario ,High Wage ,SHIVJIN INC.,"Brockville, ON K6V 0B4",63200-Cooks,Unknown,1,1,K6V 0B4,44.6097544,-75.68878429999999
Ontario ,High Wage ,Shukrana Restaurants Inc.,"Brampton, ON L6S 0C2",62020-Food service supervisors,Unknown,1,1,L6S 0C2,43.7463947,-79.6940582
Ontario ,High Wage ,Sibalz Software Consultancy Inc,"Brampton, ON L6Y 0W6",13100-Administrative officers,Unknown,1,1,L6Y 0W6,43.6584072,-79.77678399999999
Ontario ,High Wage ,sigilquest solutions inc,"brampton, ON L6X 5N3",21223-Database analysts and data administrators,Unknown,1,1,L6X 5N3,43.6743531,-79.79570199999999
Ontario ,High Wage ,sigma communications INC,"Mississauga, ON L5A 2G4",10010-Financial managers,Unknown,1,1,L5A 2G4,43.5772817,-79.61108039999999
Ontario ,High Wage ,sigma communications INC,"Mississauga, ON L5A 2G4","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,L5A 2G4,43.5772817,-79.61108039999999
Ontario ,High Wage ,Silverstone Renovation Ltd,"Brampton, ON L6X 4X6",13100-Administrative officers,Unknown,1,1,L6X 4X6,43.6967709,-79.7943009
Ontario ,High Wage ,Simply Biscotti,"Ottawa, ON K2E 7M3",63202-Bakers,Unknown,1,2,K2E 7M3,45.34746,-75.70324529999999
Ontario ,High Wage ,Simply MRI Inc.,"North York, ON M6B 4H6",90010-Manufacturing managers,Unknown,1,1,M6B 4H6,43.7138966,-79.42863109999999
Ontario ,High Wage ,Simply Suzette,"North York, ON M4N 3H8","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1,M4N 3H8,43.7193328,-79.38298399999999
Ontario ,High Wage ,Singam Auto Service Ltd.,"Pickering, ON L1V 1C4",21301-Mechanical engineers,Unknown,1,1,L1V 1C4,43.8463909,-79.07703939999999
Ontario ,High Wage ,SK Painting and Renovation Ltd.,"Brampton, ON L6X 0E4",72310-Carpenters,Unknown,1,1,L6X 0E4,43.6711789,-79.81321509999999
Ontario ,High Wage ,Skin and Bones Film Company,"Toronto, ON M6J 1H6","51120-Producers, directors, choreographers and related occupations",Corporation,2,2,M6J 1H6,43.6442846,-79.4196618
Ontario ,High Wage ,SKYFLEET CONSTRUCTION INC.,"Brampton, ON L6P 3E5",72310-Carpenters,Unknown,1,1,L6P 3E5,43.7774816,-79.68423820000001
Ontario ,High Wage ,Skyline Concrete Limited,"Brampton, ON L7A 3W6",73100-Concrete finishers,Unknown,1,1,L7A 3W6,43.70764579999999,-79.82459679999999
Ontario ,High Wage ,SKYTECH MECHANICAL INC.,"MISSISSAUGA, ON L5N 5J5",13100-Administrative officers,Unknown,1,1,L5N 5J5,43.5775732,-79.7713531
Ontario ,High Wage ,Skyway Haulage Inc.,"CALEDON EAST, ON L7C 2T7",13100-Administrative officers,Unknown,1,1,L7C 2T7,43.8179331,-79.8142658
Ontario ,High Wage ,SMART EDGE IMMIGRATION INC,"BRAMPTON, ON L6T 5S3",13110-Administrative assistants,Unknown,1,1,L6T 5S3,43.7008249,-79.7143962
Ontario ,High Wage ,SNV Foods Inc.,"Barrie, ON L4M 1A3","00014-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,2,2,L4M 1A3,44.389344,-79.68998119999999
Ontario ,High Wage ,SOFT CITIZEN INC,"Toronto, ON M5A 2N","51120-Producers, directors, choreographers and related occupations",Corporation,3,3,,,
Ontario ,High Wage ,Sonik infotech Inc.,"Kitchener, ON N2P 0E6",21234-Web developers and programmers,Unknown,1,1,N2P 0E6,43.3710749,-80.4359553
Ontario ,High Wage ,Soul Restaurants Canada Inc,"Toronto, ON M2N 6K1",60030-Restaurant and food service managers,Unknown,1,1,M2N 6K1,43.7647604,-79.41289019999999
Ontario ,High Wage ,Specialty Innovations and Mfg Ltd,"Waterloo, ON N2J 3Z1",13201-Production and transportation logistics coordinators,Unknown,1,1,N2J 3Z1,43.4840117,-80.5171029
Ontario ,High Wage ,Speed Carrier Inc.,"Brampton, ON L6T 0G3",12200-Accounting technicians and bookkeepers,Unknown,1,1,L6T 0G3,43.7373244,-79.70019510000002
Ontario ,High Wage ,Speed Carrier Inc.,"Brampton, ON L6T 0G3",13100-Administrative officers,Unknown,1,1,L6T 0G3,43.7373244,-79.70019510000002
Ontario ,High Wage ,Speedy Transport,"Brampton, ON L6W 1V9","12010-Supervisors, general office and administrative support workers",Unknown,1,1,L6W 1V9,43.6860186,-79.7277186
Ontario ,High Wage ,Speedy Transport,"Brampton, ON L6W 1V9",12101-Human resources and recruitment officers,Unknown,1,1,L6W 1V9,43.6860186,-79.7277186
Ontario ,High Wage ,Speedy Transport,"Brampton, ON L6W 1V9",22221-User support technicians,Unknown,1,1,L6W 1V9,43.6860186,-79.7277186
Ontario ,High Wage ,Spy Films,"Woodbridge, ON L4L 4H2","51120-Producers, directors, choreographers and related occupations",Partnership,1,1,L4L 4H2,43.78550509999999,-79.5858035
Ontario ,High Wage ,SQ Constructions,"Mississauga, ON L5M 0A9","72014-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1,1,L5M 0A9,43.5549433,-79.729822
Ontario ,High Wage ,Square BPM Inc.,"Toronto, ON M1H 1C6",21220-Cybersecurity specialists,Unknown,1,2,M1H 1C6,43.7560237,-79.22749250000001
Ontario ,High Wage ,SRS TECHNOLOGIES INC,"brampton, ON L6T 4X6",21231-Software engineers and designers,Corporation,1,1,L6T 4X6,43.7007508,-79.71685049999999
Ontario ,High Wage ,SRV SERVICES INC.,"Scarborough, ON M1S 1V2",11201-Professional occupations in business management consulting,Unknown,1,1,M1S 1V2,43.7899322,-79.26379109999999
Ontario ,High Wage ,ST International Supply Canada Inc.,"RICHMOND HILL, ON L4B 1L5",12200-Accounting technicians and bookkeepers,Unknown,1,1,L4B 1L5,43.858866,-79.3870307
Ontario ,High Wage ,Stacked Nickels Inc.,"Hamilton, ON L8T 3R5",62020-Food service supervisors,Unknown,1,1,L8T 3R5,43.2295194,-79.8287989
Ontario ,High Wage ,standard appliances ltd,"Brampton, ON L6W 3N3",22221-User support technicians,Unknown,1,1,L6W 3N3,43.6889209,-79.7270175
Ontario ,High Wage ,STAR IMMIGRATION CONSULTANCY INC.,"Brampton, ON L6Y 0P8","12010-Supervisors, general office and administrative support workers",Unknown,1,1,L6Y 0P8,43.6574926,-79.74033799999999
Ontario ,High Wage ,Starapples Foods Inc,"Bowmanville, ON L1C 5Z8",62200-Chefs,Unknown,1,1,L1C 5Z8,43.888853,-78.67603869999999
Ontario ,High Wage ,Start Electric Inc,"Oakville, ON L6M 4J4",22312-Industrial instrument technicians and mechanics,Unknown,1,1,L6M 4J4,43.4305053,-79.78624350000001
Ontario ,High Wage ,Staunch Immigration Inc.,"BRAMPTON, ON L6W 1C2",13110-Administrative assistants,Unknown,1,1,L6W 1C2,43.6743068,-79.73104889999999
Ontario ,High Wage ,Steam Films Inc.,"Toronto, ON M6J 1C3","51120-Producers, directors, choreographers and related occupations",Unknown,1,1,M6J 1C3,43.6463331,-79.4050628
Ontario ,High Wage ,Steer Technologies Inc.,"Richmond Hill, ON L4B 1G8",21231-Software engineers and designers,Unknown,1,1,L4B 1G8,43.8588635,-79.38069659999999
Ontario ,High Wage ,Stella's Place,"Toronto, ON M5T 1A5",42201-Social and community service workers,Unknown,1,1,M5T 1A5,43.6483934,-79.40330370000001
Ontario ,High Wage ,STONEFORGED TECHNOLOGY INC.,"Markham, ON L3R 6G2",22221-User support technicians,Unknown,1,1,L3R 6G2,43.8143323,-79.35166
Ontario ,High Wage ,Straw Hat Restoration Inc.,"Meaford, ON N4L 1H6",72310-Carpenters,Unknown,1,1,N4L 1H6,44.6130867,-80.59907100000001
Ontario ,High Wage ,SUGRIM IMPORT & EXPORT INC,"Mississauga, ON L4T 1G5",12102-Procurement and purchasing agents and officers,Unknown,1,1,L4T 1G5,43.71475960000001,-79.65898179999999
Ontario ,High Wage ,SULYMON GLOBAL INC.,"North York, ON M3N 2S5",21223-Database analysts and data administrators,Unknown,1,1,M3N 2S5,43.7451434,-79.52679669999999
Ontario ,High Wage ,Suneeva Ltd,"Toronto, ON M5B 2E7","51120-Producers, directors, choreographers and related occupations",Corporation,3,3,M5B 2E7,43.6598801,-79.38184029999999
Ontario ,High Wage ,Sunset Country Ford Ltd.,"Fort Frances, ON P9A 2X7","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Unknown,1,2,P9A 2X7,48.6066091,-93.428952
Ontario ,High Wage ,SVEN CONNECT INC,"Mississauga, ON L4Z 1X1",73300-Transport truck drivers,Unknown,1,1,L4Z 1X1,43.6231819,-79.6631917
Ontario ,High Wage ,Swansea Products Corporation,"Pickering, ON L1W 3G7",60020-Retail and wholesale trade managers,Unknown,1,1,L1W 3G7,43.83296259999999,-79.0648587
