"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2024",b,c,d,e,f,g,h
Quebec,Low Wage,Derco Horticulture Inc.,"Drummondville, QC J2C 3K1",1521-Shippers and receivers,Unknown,1,2
Quebec,Low Wage,DESOSSAGE EXPRESS INC.,"Montréal Nord, QC H1H 5M6",7333-Electrical mechanics,Corporation,1,1
Quebec,Low Wage,DESOSSAGE EXPRESS INC.,"Montréal Nord, QC H1H 5M6","9462-Industrial butchers and meat cutters, poultry preparers and related workers",Corporation,1,1
Quebec,Low Wage,Després Mécanique Mobile Inc.,"Sorel-Tracy, QC J3R 0E1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
Quebec,Low Wage,Devinci,"Chicoutimi, QC G7K  1G",7237-Welders and related machine operators,Corporation,1,3
Quebec,Low Wage,Diffusion Resto Ltée,"Saguenay, QC G7H 2A2",6311-Food service supervisors,Unknown,1,1
Quebec,Low Wage,Diffusion Resto Ltée,"Saguenay, QC G7H 2A2",6322-Cooks,Unknown,1,1
Quebec,Low Wage,Diligence inspection Inc,"Laval, QC H7T 1N9",2251-Architectural technologists and technicians,Corporation,1,1
Quebec,Low Wage,DIMENSIONS PORTES ET FENÊTRES INC.,"Boisbriand, QC J7H 1P7","9537-Other products assemblers, finishers and inspectors",Unknown,1,1
Quebec,Low Wage,DISTILLERIE DE MONTRÉAL INC.,"Montreal, QC H2S 2C2",6513-Food and beverage servers,Unknown,1,1
Quebec,Low Wage,Distribution alimentaires mansion,"Candiac, QC J5R 3X8",7452-Material handlers,Unknown,1,2
Quebec,Low Wage,Distribution Baraka,"Laval, QC H7T 1V4",1523-Production logistics co-ordinators,Unknown,1,1
Quebec,Low Wage,Distribution Baraka,"Laval, QC H7T 1V4",7514-Delivery and courier service drivers,Unknown,1,1
Quebec,Low Wage,DISTRIBUTION DE BONBONS JJ INC,"Québec, QC G1M 3B1",7452-Material handlers,Unknown,1,4
Quebec,Low Wage,Distribution Mansour inc.,"Montréal, QC H1Z 4H6",6211-Retail sales supervisors,Unknown,1,1
Quebec,Low Wage,Distribution Rousso International Lée,"St-Lambert, QC J4Y 1A3",7332-Appliance servicers and repairers,Unknown,1,1
Quebec,Low Wage,District 22 Groupe Alimentaire Inc.,"Laval, QC H7L 4Y2","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Quebec,Low Wage,DiVetro,"Delson, QC J5B 1V8",1241-Administrative assistants,Corporation,1,1
Quebec,Low Wage,DIVISION 3J INC,"mascouche, QC J5K 2L5",6322-Cooks,Unknown,1,1
Quebec,Low Wage,DIVISION 3J INC,"mascouche, QC J5K 2L5",6513-Food and beverage servers,Unknown,1,1
Quebec,Low Wage,DM Inox Inc.,"St-Hyacinthe, QC J2S 0A2",7233-Sheet metal workers,Unknown,1,1
Quebec,Low Wage,DMV Génétique Services inc.,"St Germain de Grantham, QC J0C 1K0",2221-Biological technologists and technicians,Corporation,1,1
Quebec,Low Wage,Dollarama L.P./S.E.C.,"Mont-Royal, QC H4P 0A1",6211-Retail sales supervisors,Unknown,3,3
Quebec,Low Wage,Domaine du Diésel Inc.,"Ste-Marie, QC G6E 3S9","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Quebec,Low Wage,Domaine Laforest S.E.N.C.,"Montréal, QC H2Y 2J7",6732-Specialized cleaners,Unknown,2,3
Quebec,Low Wage,Domaine Saint-Dominique S.E.C.,"Québec, QC G1S 1V3","3413-Nurse aides, orderlies and patient service associates",Unknown,1,1
Quebec,Low Wage,Domaine Saint-Dominique S.E.C.,"Québec, QC G1S 1V3",6731-Light duty cleaners,Unknown,1,1
Quebec,Low Wage,Domicile Adoré Inc,"Val-d'Or, QC J9P 0B8",1241-Administrative assistants,Unknown,1,1
Quebec,Low Wage,Domicile Adoré Inc,"Val-d'Or, QC J9P 0B8","3413-Nurse aides, orderlies and patient service associates",Unknown,1,1
Quebec,Low Wage,Domicile Adoré Inc,"Val-d'Or, QC J9P 0B8",6322-Cooks,Unknown,1,1
Quebec,Low Wage,Domicile Adoré Inc,"Val-d'Or, QC J9P 0B8",7441-Residential and commercial installers and servicers,Unknown,1,1
Quebec,Low Wage,Domino's Pizza,"Saint-Eustache, QC J7P  2V","6711-Food counter attendants, kitchen helpers and related support occupations",Corporation,1,1
Quebec,Low Wage,Donaluci Inc,"Beaconsfield, QC H9W 0A1","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Quebec,Low Wage,Doric Lenses Inc.,"Québec, QC G1P 4N7","9523-Electronics assemblers, fabricators, inspectors and testers",Sole Proprietorship,1,2
Quebec,Low Wage,DQC L.P.,"Québec, QC G1R 5A8",6322-Cooks,Unknown,1,1
Quebec,Low Wage,dR  jUAN  CARLOS  rODRIGUEZ  inc,"GRANBY, QC J2G 5G3","3223-Dental technologists, technicians and laboratory assistants",Unknown,1,1
Quebec,Low Wage,Drainexc Inc,"Québec, QC G2N 1E3",7452-Material handlers,Corporation,1,1
Quebec,Low Wage,DRB Distribution Alimentaire,"Ste-Claire, QC G0R 2V0",7452-Material handlers,Unknown,1,3
Quebec,Low Wage,DROLET RESSORTS INC.,"Québec, QC G1N 1X8","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,2
Quebec,Low Wage,Drouin et Fils entretien paysager inc,"Boischatel, QC G0A 1H0",8612-Landscaping and grounds maintenance labourers,Unknown,1,3
Quebec,Low Wage,DSA Dumais Service Auxiliaire,"Chicoutimi, QC G7J 0K5",9611-Labourers in mineral and metal processing,Unknown,1,1
Quebec,Low Wage,DULCE GENESIS,"SHERBROOKE, QC J1H 4C7","6622-Store shelf stockers, clerks and order fillers",Unknown,1,1
Quebec,Low Wage,Durabac Inc.,"Granby, QC J2J 0P2",7237-Welders and related machine operators,Unknown,1,1
Quebec,Low Wage,Duvaltex (Canada) inc.,"St-Georges, QC G6A 1K1",7311-Construction millwrights and industrial mechanics,Unknown,1,1
Quebec,Low Wage,EBENISTERIE BPM INC.,"Québec, QC G1N 4B2",9532-Furniture and fixture assemblers and inspectors,Unknown,1,2
Quebec,Low Wage,Ébénisterie Hi-Teck inc.,"SAINT-CHRISTOPHE-D'ARTHABASKA, QC G6R 0B2",7272-Cabinetmakers,Unknown,1,1
Quebec,Low Wage,Ébénisterie Louiseville Inc.,"Louiseville, QC J5V 2Z6",7272-Cabinetmakers,Unknown,1,1
Quebec,Low Wage,Ébénisterie M. Lemire 1994 inc.,"Nicolet, QC J3T 1J5",7272-Cabinetmakers,Unknown,1,1
Quebec,Low Wage,Ébénisterie Richard & Levesque,"Saint-Augustin de Desmaures, QC G3A 1T3",7272-Cabinetmakers,Unknown,1,3
Quebec,Low Wage,Ébénisterie RN,"St-Marc-de-Figuery, QC J0Y 1J0",7272-Cabinetmakers,Unknown,1,2
Quebec,Low Wage,EBI Environnement Inc.,"Berthierville, QC J0K 1A0",7452-Material handlers,Unknown,1,2
Quebec,Low Wage,Échafaudage Plus (Québec) inc.,"Saint-Augustin-de-Desmaures, QC G3A 2K1",7452-Material handlers,Unknown,1,1
Quebec,Low Wage,Echelles CE Thibault,"PIERREVILLE, QC J0G 1J0",7311-Construction millwrights and industrial mechanics,Unknown,1,1
Quebec,Low Wage,Echelles CE Thibault,"PIERREVILLE, QC J0G 1J0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
Quebec,Low Wage,Echelles CE Thibault,"PIERREVILLE, QC J0G 1J0",9526-Mechanical assemblers and inspectors,Unknown,1,1
Quebec,Low Wage,ecole de conduite cdn,"montreal, QC H3T 1Y8",1241-Administrative assistants,Unknown,1,1
Quebec,Low Wage,École de tennis JMG inc,"Québec, QC G1K  0A","5254-Program leaders and instructors in recreation, sport and fitness",Corporation,1,1
Quebec,Low Wage,EconetPlus,"Châteauguay, QC J6K 4Z4",6315-Cleaning supervisors,Unknown,1,1
Quebec,Low Wage,EconetPlus,"Châteauguay, QC J6K 4Z4",6731-Light duty cleaners,Unknown,1,2
Quebec,Low Wage,Économie d'énergie électrique (EEE) inc.,"Montréal, QC H9C 1T5",7514-Delivery and courier service drivers,Unknown,1,1
Quebec,Low Wage,EERL Services comptables,"Terrebonne, QC J7M 2C4",1311-Accounting technicians and bookkeepers,Unknown,1,1
Quebec,Low Wage,EGGSPECTATION DE LA MONTAGNE,"Montréal, QC H3G  2R","6711-Food counter attendants, kitchen helpers and related support occupations",Corporation,2,2
Quebec,Low Wage,ELECTRO MIG INC,"Saint Augustin de Desmaures, QC G3A 0P3",7237-Welders and related machine operators,Unknown,1,1
Quebec,Low Wage,ELECTRO-RENO INC,"Laval, QC H7L 5T5",7241-Electricians (except industrial and power system),Unknown,1,1
Quebec,Low Wage,Elio Pizzeria Inc.,"Montreal, QC H2S 1X1",6322-Cooks,Unknown,1,1
Quebec,Low Wage,ÉLITE COMPOSITE INC.,"Ste-Clotilde-de-Beauce, QC G0N 1C0","9535-Plastic products assemblers, finishers and inspectors",Corporation,3,17
Quebec,Low Wage,ELITE TEXTILES INC,"montreal, QC H1J 1Z4",7452-Material handlers,Unknown,1,1
Quebec,Low Wage,Eloi Montplaisir Lemay,"Saint-Jean-de-Matha, QC J0K 2S0",8612-Landscaping and grounds maintenance labourers,Unknown,1,2
Quebec,Low Wage,Elphège Joyal 1989 inc,"St Marcel de Richelieu, QC J0H 1T0",7511-Transport truck drivers,Unknown,1,1
Quebec,Low Wage,Embag,"Montréal, QC H2B  2X","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Corporation,1,1
Quebec,Low Wage,Emballage St-Ambroise Inc.,"St-Ambroise, QC G7P 2V4","9617-Labourers in food, beverage and associated products processing",Unknown,1,1
Quebec,Low Wage,Emballage St-Jean Ltée,"St-Jean-sur-Richelieu, QC J2W 2M4",9615-Labourers in rubber and plastic products manufacturing,Unknown,1,1
Quebec,Low Wage,Emballage St-Jean Ltée,"St-Jean-sur-Richelieu, QC J2W 2M4","9619-Other labourers in processing, manufacturing and utilities",Unknown,1,1
Quebec,Low Wage,Embellissement Charlevoix Inc.,"La Malbaie, QC G5A 2N5",8612-Landscaping and grounds maintenance labourers,Unknown,1,3
Quebec,Low Wage,Emblème Canneberge inc.,"SAINTE-EULALIE, QC G0Z 1E0",7452-Material handlers,Unknown,1,1
Quebec,Low Wage,Emblème Canneberge inc.,"SAINTE-EULALIE, QC G0Z 1E0","9617-Labourers in food, beverage and associated products processing",Unknown,2,6
Quebec,Low Wage,EMPIRE 37 SECURITE INC,"Montréal, QC H1Z 2K4",1221-Administrative officers,Unknown,1,1
Quebec,Low Wage,Energy Logistics Inc.,"LaSalle, QC H8N 3A9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
Quebec,Low Wage,Engrenage Provincial inc,"Québec, QC G1L 1M8",1225-Purchasing agents and officers,Unknown,1,1
Quebec,Low Wage,ENGRENAGES SHERBROOKE INC.,"Sherbrooke, QC J1G 1Y5",7231-Machinists and machining and tooling inspectors,Unknown,1,1
Quebec,Low Wage,Entosystem inc.,"Sherbrooke, QC J1L 1R7","9461-Process control and machine operators, food, beverage and associated products processing",Corporation,3,5
Quebec,Low Wage,Entourage sur-le-Lac,"Lac-Beauport, QC G3B  2R",6322-Cooks,Corporation,1,2
Quebec,Low Wage,Entourage sur-le-Lac,"Lac-Beauport, QC G3B  2R","6711-Food counter attendants, kitchen helpers and related support occupations",Corporation,1,1
Quebec,Low Wage,Entourage sur-le-Lac,"Lac-Beauport, QC G3B  2R",6731-Light duty cleaners,Corporation,1,1
Quebec,Low Wage,Entourage sur-le-Lac,"Lac-Beauport, QC G3B  2R","6733-Janitors, caretakers and building superintendents",Corporation,1,1
Quebec,Low Wage,Entreposage Herger inc.,"Saint-Hyacinthe, QC J2S 1H3","6733-Janitors, caretakers and building superintendents",Unknown,1,1
Quebec,Low Wage,Entreposage Herger inc.,"Saint-Hyacinthe, QC J2S 1H3",7452-Material handlers,Unknown,1,1
Quebec,Low Wage,Entrepot Frigorifique Intl Inc,"Saint-Laurent, QC H4S 1S4","9617-Labourers in food, beverage and associated products processing",Corporation,1,4
Quebec,Low Wage,Entrepreneur Paysagistes Strathmore Landscape (1997) LTEE,"Montreal, QC H8N 2Z2",8612-Landscaping and grounds maintenance labourers,Unknown,2,14
Quebec,Low Wage,Entreprise Cyr Inc.,"Quebec, QC G3K 1L7","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Quebec,Low Wage,Entreprise H. Lechasseur Inc.,"Saint-Basile-le-Grand, QC J3N 1T1",8612-Landscaping and grounds maintenance labourers,Unknown,1,2
Quebec,Low Wage,ENTREPRISES CLEANMATIK PLUS INC.,"Laval, QC H7L 3N2",1221-Administrative officers,Unknown,1,1
Quebec,Low Wage,ENTREPRISES DAVID ET FILS INC,"Québec, QC G3K 0V5",6731-Light duty cleaners,Corporation,1,3
Quebec,Low Wage,Entreprises JCAS inc,"Saint-Jean-sur-Richelieu, QC J2W 1B2",0631-Restaurant and food service managers,Unknown,1,1
Quebec,Low Wage,Entreprises SMG,"Saint-Édouard-de-Fabre, QC J0Z  1Z",7511-Transport truck drivers,Corporation,1,1
Quebec,Low Wage,ENTRETIEN BT PRO,"Québec, QC G1X 2Z5",6731-Light duty cleaners,Corporation,1,1
Quebec,Low Wage,Entretiens Qualibec Inc.,"Laval, QC H7L 4K5",6732-Specialized cleaners,Unknown,2,3
Quebec,Low Wage,Enveloppe Concept,"La Salle, QC H8R 2C8",7311-Construction millwrights and industrial mechanics,Corporation,1,1
Quebec,Low Wage,Epicerie 4 Bourgeois,"Québec, QC G1W 2K3",6211-Retail sales supervisors,Corporation,1,1
Quebec,Low Wage,Epicerie 4 Bourgeois,"Québec, QC G1W 2K3",6332-Bakers,Corporation,1,1
Quebec,Low Wage,Epicerie 4 Bourgeois,"Québec, QC G1W 2K3","6711-Food counter attendants, kitchen helpers and related support occupations",Corporation,1,1
Quebec,Low Wage,Epiderma,"Québec, QC G1V 4M6","6562-Estheticians, electrologists and related occupations",Unknown,1,1
Quebec,Low Wage,Équipement Ferbo inc.,"Warwick, QC J0A 1M0",7237-Welders and related machine operators,Corporation,1,1
Quebec,Low Wage,Equipements Element inc,"Val-d'Or, QC J9P 6X8",7237-Welders and related machine operators,Corporation,1,2
Quebec,Low Wage,Équipements Lafontaine inc.,"Lévis, QC G6V 7M5",7611-Construction trades helpers and labourers,Unknown,2,2
Quebec,Low Wage,Équipements Saguenay 1982 Ltée,"Chicoutimi, QC G7H 1G3","6342-Tailors, dressmakers, furriers and milliners",Unknown,1,1
Quebec,Low Wage,Équipements Y. Perreault Inc.,"Drummondville, QC J2E 0B1",7235-Structural metal and platework fabricators and fitters,Unknown,1,3
Quebec,Low Wage,Esca Santé Inc.,"Montréal, QC H4E 2L7",1223-Human resources and recruitment officers,Unknown,1,1
Quebec,Low Wage,ESIDEM,"St Laurent, QC H4L 3M3",1241-Administrative assistants,Corporation,1,1
Quebec,Low Wage,Eskimo Express inc.,"Saint-Arsène, QC G0L 2K0",7452-Material handlers,Unknown,1,1
Quebec,Low Wage,Espoir Au Quotidien Inc,"Laval, QC H7K 3M6","3413-Nurse aides, orderlies and patient service associates",Unknown,1,2
Quebec,Low Wage,ES-STATI AMINA,"MONTREAL, QC H1E 5Y3",6731-Light duty cleaners,Unknown,1,1
Quebec,Low Wage,ESTAMPRO INC,"ST-EVARISTE, QC G0M 1S0",1522-Storekeepers and partspersons,Unknown,1,1
Quebec,Low Wage,ESTAMPRO INC,"ST-EVARISTE, QC G0M 1S0",7231-Machinists and machining and tooling inspectors,Unknown,1,1
Quebec,Low Wage,ESTAMPRO INC,"ST-EVARISTE, QC G0M 1S0",7237-Welders and related machine operators,Unknown,3,4
Quebec,Low Wage,ESTAMPRO INC,"ST-EVARISTE, QC G0M 1S0",9416-Metalworking and forging machine operators,Unknown,1,1
Quebec,Low Wage,Esthetique Automobile BrilleXperts Inc.,"Vaudreuil Dorion, QC J7V 0M7",7322-Motor vehicle body repairers,Unknown,1,1
Quebec,Low Wage,Esthétique d'auto St-Joseph Inc.,"St-Jean-sur-Richelieu, QC J3B 1W7",6732-Specialized cleaners,Unknown,1,1
Quebec,Low Wage,Établissements F.C.C. Inc,"Montreal, QC H3A 1M7",0631-Restaurant and food service managers,Unknown,1,1
Quebec,Low Wage,EUDONET CANADA INC.,"Montréal, QC H2R 0C2",6221-Technical sales specialists - wholesale trade,Unknown,1,1
Quebec,Low Wage,Excavation CM Gravel,"Québec, QC G2L 1K8",8612-Landscaping and grounds maintenance labourers,Unknown,1,3
Quebec,Low Wage,Excavation D.M.O. (2017) Inc.,"Mont Blanc, QC J0T 2G0",7312-Heavy-duty equipment mechanics,Unknown,1,2
Quebec,Low Wage,Excavation Desparois inc,"Salaberry-de-Valleyfield, QC J6T  5B",8612-Landscaping and grounds maintenance labourers,Corporation,1,13
Quebec,Low Wage,Excavation Gaetan Girard,"Dolbeau-Mistassini, QC G8L 1V3",7237-Welders and related machine operators,Corporation,1,1
Quebec,Low Wage,Excavation Gaetan Girard,"Dolbeau-Mistassini, QC G8L 1V3",7312-Heavy-duty equipment mechanics,Corporation,1,1
Quebec,Low Wage,Excavation National Inc.,"Laval, QC H7L 3P2",8612-Landscaping and grounds maintenance labourers,Corporation,1,7
Quebec,Low Wage,Excavation R.B. Gauthier inc.,"Mont-Blanc, QC J0T 1J2",7237-Welders and related machine operators,Unknown,1,1
Quebec,Low Wage,Excavation R.B. Gauthier inc.,"Mont-Blanc, QC J0T 1J2",7312-Heavy-duty equipment mechanics,Unknown,1,2
Quebec,Low Wage,Excavation R.B. Gauthier inc.,"Mont-Blanc, QC J0T 1J2",7452-Material handlers,Unknown,1,4
Quebec,Low Wage,Exceldor coopérative,"Lévis, QC G6V 0P6","9462-Industrial butchers and meat cutters, poultry preparers and related workers",Unknown,1,1
Quebec,Low Wage,Exceldor coopérative,"Lévis, QC G6V 0P6","9617-Labourers in food, beverage and associated products processing",Unknown,5,15
Quebec,Low Wage,EXCELLENCE D.L.T INC.,"Montréal, QC H1S 2X7",7511-Transport truck drivers,Corporation,1,1
Quebec,Low Wage,Excellence RSR Inc,"Montréal, QC H3B 0E6",6311-Food service supervisors,Unknown,1,1
Quebec,Low Wage,Excelsoins Cowansville,"Cowansville, QC J2K 1J4","3413-Nurse aides, orderlies and patient service associates",Corporation,1,3
Quebec,Low Wage,Exprex Inc.,"Longueuil, QC J4L 1G1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Quebec,Low Wage,F.A. inc.,"Québec, QC G2E 3S4",6731-Light duty cleaners,Unknown,1,2
Quebec,Low Wage,FABE - Custom Downstream Systems,"Lachine, QC H8T 2Y3","9523-Electronics assemblers, fabricators, inspectors and testers",Unknown,1,1
Quebec,Low Wage,Fabelta aluminium inc.,"Terrebonne, QC J6X 4J3",7237-Welders and related machine operators,Unknown,1,3
Quebec,Low Wage,FABRICANT FENETRES ECO VERTE,"Longueil, QC J3Y 7N1",7292-Glaziers,Unknown,1,2
Quebec,Low Wage,Fabrication Beauce Atlas inc.,"Sainte-Marie, QC G6E 1B5",7237-Welders and related machine operators,Unknown,2,2
Quebec,Low Wage,Fabrication Beauce Atlas inc.,"Sainte-Marie, QC G6E 1B5",9612-Labourers in metal fabrication,Unknown,3,3
Quebec,Low Wage,Fabrication Rampes et Escaliers Prestige Inc,"Montréal, QC H1E 5C7",7235-Structural metal and platework fabricators and fitters,Corporation,1,1
Quebec,Low Wage,Fabrications Proco inc,"St-Nazaire, QC G0W 2V0",7237-Welders and related machine operators,Unknown,2,10
Quebec,Low Wage,Familiprix inc.,"québec, QC G2C 2C5",1521-Shippers and receivers,Unknown,1,6
Quebec,Low Wage,Familiprix inc.,"québec, QC G2C 2C5",3219-Other medical technologists and technicians (except dental health),Unknown,1,1
Quebec,Low Wage,FAMILLE CREGHEUR (LACHENAIE) INC.,"Terrebonne, QC J6V 0E1","6331-Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,1
Quebec,Low Wage,FarWEB TI,"Sherbrooke, QC J1M 1E3",1241-Administrative assistants,Corporation,1,1
Quebec,Low Wage,FAYS TERROIR CHOCOLATÉ INC,"Oka, QC J0N 1E0",6332-Bakers,Unknown,1,1
Quebec,Low Wage,Fempro Consumer Products ULC,"Drummondville, QC J2C 2Z5",9615-Labourers in rubber and plastic products manufacturing,Unknown,1,5
Quebec,Low Wage,Fenêtres Form-Tech inc,"St-Rosaire, QC G0Z 1K0",9533-Other wood products assemblers and inspectors,Unknown,1,1
Quebec,Low Wage,Ferblanterie Daoust in.c,"Salaberry-de-Valleyfield, QC J6T 1S9",7452-Material handlers,Unknown,1,1
Quebec,Low Wage,Ferme Avicole Lisamex Inc.,"Wickham, QC J0C 1S0",7311-Construction millwrights and industrial mechanics,Unknown,1,1
Quebec,Low Wage,Ferme Champ Gauche inc.,"Saint-Jacques-De-Leeds, QC G0N 1J0","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Quebec,Low Wage,Ferme La Ronchonnerie inc,"LYSTER, QC G0S 1V0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Quebec,Low Wage,Ferme La Ronchonnerie inc,"LYSTER, QC G0S 1V0",7511-Transport truck drivers,Unknown,1,1
Quebec,Low Wage,Ferme Porcine Alco inc,"JOLY, QC G0S 1M0",7312-Heavy-duty equipment mechanics,Corporation,1,1
Quebec,Low Wage,Fermes Belles Amours inc,"LOURDES-DE-BLANC-SABLON, QC G0G 1W0",9618-Labourers in fish and seafood processing,Unknown,1,4
Quebec,Low Wage,FHR LCF Operations Corporation,"Quebec, QC G1R 4P5","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Quebec,Low Wage,Fillion Paysagiste inc,"Québec, QC G2N 1P8",8612-Landscaping and grounds maintenance labourers,Unknown,1,6
Quebec,Low Wage,Fix Auto St-Raymond,"Saint-Raymond, QC G3L 4B3","9536-Industrial painters, coaters and metal finishing process operators",Partnership,1,1
Quebec,Low Wage,FIZI GOURMET INC.,"MONTREAL, QC H1E 3B3",6322-Cooks,Unknown,1,1
Quebec,Low Wage,FLB solutions alimentaires,"QUÉBEC, QC G1C 7V5",1521-Shippers and receivers,Corporation,1,5
Quebec,Low Wage,FLB solutions alimentaires,"QUÉBEC, QC G1C 7V5",7511-Transport truck drivers,Corporation,1,3
Quebec,Low Wage,Flex-Pression Ltée,"LASALLE, QC H8R 2T9",1524-Purchasing and inventory control workers,Corporation,1,1
Quebec,Low Wage,FNX-INNOV INC.,"Montréal, QC H2N 2J8","9415-Inspectors and testers, mineral and metal processing",Corporation,1,1
Quebec,Low Wage,Fondation la Collecte,"Montréal, QC H1G 6M7",7514-Delivery and courier service drivers,Unknown,1,3
Quebec,Low Wage,Fontshi Notaire Inc,"Montréal, QC H3N 1W7",1241-Administrative assistants,Unknown,1,1
Quebec,Low Wage,FORESPECT INC.,"Namur, QC J0V 1N0","9614-Labourers in wood, pulp and paper processing",Corporation,1,1
Quebec,Low Wage,Forets Star Inc.,"Caplan, QC G0C 1H0",7312-Heavy-duty equipment mechanics,Unknown,1,1
Quebec,Low Wage,Formule Raw Inc.,"Saint-laurent, QC H4N 2W6",6211-Retail sales supervisors,Unknown,1,1
Quebec,Low Wage,Fourgons Leclair inc,"Terrebonne, QC J6Y 0J8",7237-Welders and related machine operators,Unknown,1,2
Quebec,Low Wage,Freneco ltée,"Portneuf, QC G0A 2Y0","9614-Labourers in wood, pulp and paper processing",Unknown,1,2
Quebec,Low Wage,fromagerie atwater du centre sud inc.,"Montreal, QC H2L 1R7","6622-Store shelf stockers, clerks and order fillers",Unknown,1,1
Quebec,Low Wage,Fromagerie Ferme des Chutes,"Saint-Félicien, QC G8K 2N9","9617-Labourers in food, beverage and associated products processing",Unknown,1,1
Quebec,Low Wage,Fromagerie Fritz Kaiser Inc,"Noyan, QC J0J 1B0","9617-Labourers in food, beverage and associated products processing",Unknown,1,2
Quebec,Low Wage,Fromagerie Nouvelle France,"Racine, QC J0E  1Y","9617-Labourers in food, beverage and associated products processing",Corporation,1,1
Quebec,Low Wage,Fromagerie Ruban Bleu,"Mercier, QC J6R 0J5",0631-Restaurant and food service managers,Unknown,1,1
Quebec,Low Wage,fromagerie St-Fidèle Inc.,"La Malbaie, QC G5A 2J2",2221-Biological technologists and technicians,Unknown,1,1
Quebec,Low Wage,Fromageries Bel Canada Inc,"Montréal, QC H2Y  2W","9461-Process control and machine operators, food, beverage and associated products processing",Corporation,1,1
Quebec,Low Wage,Fromages la Chaudière Inc,"Lac-Mégantic, QC G6B 1A4","9461-Process control and machine operators, food, beverage and associated products processing",Unknown,1,1
Quebec,Low Wage,Fruit d'Or,"Villeroy, QC G0S 3K0",7452-Material handlers,Unknown,2,4
Quebec,Low Wage,Fruit d'Or,"Villeroy, QC G0S 3K0","9617-Labourers in food, beverage and associated products processing",Unknown,1,12
Quebec,Low Wage,fruiterie milano inc,"Montréal, QC H2S 3C7","6331-Butchers, meat cutters and fishmongers - retail and wholesale",Partnership,2,3
Quebec,Low Wage,FSM Canada Company Ltd,"Sherbrooke, QC J1L 1Y5",7231-Machinists and machining and tooling inspectors,Unknown,1,1
Quebec,Low Wage,G&F Morneau Logistique INC.,"QUEBEC, QC G2E 5H5",1241-Administrative assistants,Unknown,1,1
Quebec,Low Wage,G. DUMAIS AUTOMOBILE LTÉE,"LA TUQUE, QC G9X 4R9",7322-Motor vehicle body repairers,Unknown,1,1
Quebec,Low Wage,G.B. Primeau et fils inc.,"Saint-Louis de Gonzague, QC J0S 1T0","6331-Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,2
Quebec,Low Wage,G.I.T. PORTES ET FENÊTRES LTEE,"St-Léonard, QC H1P 2C6",7441-Residential and commercial installers and servicers,Unknown,1,1
Quebec,Low Wage,"Gabriel Moto B Montréal, S.E.C.","Montreal, QC H4B 1V3","7334-Motorcycle, all-terrain vehicle and other related mechanics",Unknown,1,1
Quebec,Low Wage,Gaetan Riendeau Inc.,"Saint-Hyacinthe, QC J2T 1K7","6622-Store shelf stockers, clerks and order fillers",Corporation,1,2
Quebec,Low Wage,Gagné Belval Métal Inc.,"Montréal-Est, QC H1B 2N8",7237-Welders and related machine operators,Unknown,1,1
Quebec,Low Wage,Gagnon Frères,"Chicoutimi, QC G7H 4C2",7514-Delivery and courier service drivers,Unknown,1,1
Quebec,Low Wage,Gagnon Levesque Inc,"Laval, QC H7L 4S8",1241-Administrative assistants,Unknown,1,1
Quebec,Low Wage,GALERIE AU CHOCOLAT,"Saint-Laurent, QC H4T  1Z",7452-Material handlers,Corporation,1,1
Quebec,Low Wage,Galerie Oasis Inc.,"Laval, QC H7T 1K2",2281-Computer network technicians,Unknown,1,1
Quebec,Low Wage,Gamex inc.,"St-Paul-de-l'ile-aux-Noix, QC J0J 1G0",7535-Other automotive mechanical installers and servicers,Unknown,1,2
Quebec,Low Wage,Garage Althot inc,"Quebec, QC G1C 4W1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Quebec,Low Wage,GARAGE CHAREST & FRÈRES INC.,"TROIS-RIVIERES, QC G9A 4L5","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
Quebec,Low Wage,Garage D&C Messier Inc.,"Stanbridge East, QC J0J 2H0",7312-Heavy-duty equipment mechanics,Unknown,1,1
Quebec,Low Wage,GARAGE G. LAGRANGE INC,"LAC-ETCHEMIN, QC G0R 1S0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
