"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (October-December)",b,c,d,e,f
Quebec,  Primary Agriculture,Union Libre cidre et vin Inc.,"Dunham, QC J0E 1M0",8431-General farm workers,1
Quebec,  Primary Agriculture,Val-Lait SENC,"Stoke, QC J0B 3G0",8431-General farm workers,1
Quebec,  Primary Agriculture,Verger Caron Inc.,"FRELIGHSBURG, QC J0J 1C0",8431-General farm workers,6
Quebec,  Primary Agriculture,Verger Champêtre,"Granby, QC J2J 0H4",8431-General farm workers,4
Quebec,  Primary Agriculture,Verger des Bois-Francs inc.,"PRINCEVILLE, QC G6L 4K6",8431-General farm workers,2
Quebec,  Primary Agriculture,Verger Gibb S.E.N.C.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,3
Quebec,  Primary Agriculture,Verger Jodoin et frères inc.,"SAINT-JEAN-BAPTISTE, QC J0L 2B0",8431-General farm workers,28
Quebec,  Primary Agriculture,Verger Maïa Inc.,"SAINT-JOSEPH-DU-LAC, QC J0N 1M0",8431-General farm workers,11
Quebec,  Primary Agriculture,Verger MJM Inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,2
Quebec,  Primary Agriculture,Verger RC Guertin (2011) inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,10
Quebec,  Primary Agriculture,Verger Roger Côté inc.,"Rougemont, QC J0L 1M0",8431-General farm workers,3
Quebec,  Primary Agriculture,Vergers DM Boileau inc,"Havelock, QC J0S 2C0",8431-General farm workers,17
Quebec,  Primary Agriculture,Vergers et serres St-Paul senc,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,14
Quebec,  Primary Agriculture,Vergers Paul Jodoin Inc.,"St-Jean-Baptiste, QC J0L 2B0",8431-General farm workers,16
Quebec,  Primary Agriculture,Vergers Pierre Tremblay et Fils Inc.,"MONT-SAINT-GRÉGOIRE, QC J0J  1K",8431-General farm workers,9
Quebec,  Primary Agriculture,Vergers Rochon Inc.,"Mirabel, QC J7N 2R9",8431-General farm workers,7
Quebec,  Primary Agriculture,Vignoble de l'Orpailleur Inc.,"Dunham, QC J0E 1M0",8431-General farm workers,9
Quebec,  Primary Agriculture,Vignoble d'Ovila (2959-4983 Québec Inc.),"LES CÈDRES, QC J7T 1N8",8431-General farm workers,2
Quebec,  Primary Agriculture,Vignoble du Ruisseau,"Dunham, QC J0E 1M0",8431-General farm workers,19
Quebec,  Primary Agriculture,Vignoble Gagliano Inc,"Dunham, QC J0E 1M0",8431-General farm workers,3
Quebec,  Primary Agriculture,Vignoble le Cep d'Argent,"Magog, QC J1X 3W5",8431-General farm workers,4
Quebec,  Primary Agriculture,Vignoble Les petits Cailloux,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,3
Quebec,  Primary Agriculture,Visonnière Labonté et Fils Inc.,"THETFORD MINES, QC G6H 4J5",8431-General farm workers,1
Quebec,  Primary Agriculture,Vivaces Laval Inc. 2842-5882 Québec Inc.,"Laval, QC H7R 6E8",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Vivaces Marie Michel Inc.,"SAINT- CONSTANT, QC J5A  2E",8432-Nursery and greenhouse workers,22
Quebec,  Primary Agriculture,Vivaces St-Bonaventure Inc.,"L'ANCIENNE-LORETTE, QC G2E 6B8",8432-Nursery and greenhouse workers,4
Quebec,  Primary Agriculture,Willy Haeck & Fils inc.,"SAINT-RÉMI, QC J0L 2L0",8432-Nursery and greenhouse workers,40
Quebec, Global Talent Stream,10036099 Canada Inc.,"MONTRÉAL, QC H3B 2E3",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,10684651 Canada Inc.,"QUÉBEC, QC G2J 0B9",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,9208-3401 Québec inc.,"Québec, QC G2J 0C4",2174-Computer programmers and interactive media developers,4
Quebec, Global Talent Stream,9208-3401 Québec inc.,"Québec, QC G2J 0C4",2175-Web designers and developers,1
Quebec, Global Talent Stream,9228-7416 QUÉBEC INC.,"Laval, QC H7L 5A7",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,9245-1855 Québec inc.,"Montréal, QC H3B 1A7",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,9253-1524 Québec Inc,"Montreal, QC H2T 2T3",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,9267-7723 Québec Inc.,"MONTRÉAL, QC H3B 3V8",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,9370-3437 Québec Inc,"Montréal, QC H3B  2E",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,9378-8867 Québec Inc.,"L'Assomption, QC J5W 2N2",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,9384-1914 Québec Inc.,"MONTRÉAL, QC H3A 1R9",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, QC G1X 4A5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, QC G1X 4A5",2173-Software engineers and designers,3
Quebec, Global Talent Stream,Airy3D Inc,"Montréal, QC H2T 3B2",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Alithya Canada Inc.,"Montréal, QC H3B 3A5",2171-Information systems analysts and consultants,7
Quebec, Global Talent Stream,Alithya Canada Inc.,"Montréal, QC H3B 3A5",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Amaris Conseil Inc,"Montréal, QC H2Y 2W8",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Anyon Systems Inc.,"Dorval, QC H9P 1G9",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Astucemedia Inc.,"Montreal, QC H3C 5X5",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Atomic Fiction Canada Inc.,"Montréal, QC H3A 2J5",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Autobus Lion Inc,"St-Jérome, QC J7Y 5G2",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Avionique Waas Inc.,"Québec, QC G2G 2T6",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Ballistiq Digital Inc.,"Montreal, QC H3C 2M7",2175-Web designers and developers,2
Quebec, Global Talent Stream,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Behavox Software (Canada) Inc.,"Montreal, QC H3A 3G4",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Blockstream Corporation Inc.,"Montreal, QC H4M 2X6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Canac-Marquis Grenier Ltée,"Québec, QC G1N 3E5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,CGI Information Systems & Management Consultants Inc.,"Montreal, QC H3G 1T4",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,Chrome Inc.,"Montréal, QC H3B 0E5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,CMC Microsystems,"Montreal, QC H3C 6M8",2173-Software engineers and designers,1
Quebec, Global Talent Stream,COFOMO DÉVELOPPEMENT INC.,"Montréal, QC H3B 4W5",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,COFOMO DÉVELOPPEMENT INC.,"Montréal, QC H3B 4W5",2173-Software engineers and designers,1
Quebec, Global Talent Stream,COFOMO DÉVELOPPEMENT INC.,"Montréal, QC H3B 4W5",2174-Computer programmers and interactive media developers,11
Quebec, Global Talent Stream,Collabora (Canada) Inc.,"Montréal, QC H2Y 1T7",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Communications SOFTEL Inc.,"Montréal, QC H2N 1Y8",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, QC H3G 1T4",0213-Computer and information systems managers,3
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, QC H3G 1T4",2171-Information systems analysts and consultants,23
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, QC H3G 1T4",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, QC H3G 1T4",2174-Computer programmers and interactive media developers,22
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montreal, QC H3G 1T4",2175-Web designers and developers,2
Quebec, Global Talent Stream,Converium Capital Inc.,"Montréal, QC H3B 4K4",1112-Financial and investment analysts,1
Quebec, Global Talent Stream,Corporation Interactive Eidos,"Montréal, QC H3A 1L4",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Corporation Interactive Eidos,"Montréal, QC H3A 1L4",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,Coveo Solutions Inc.,"QUÉBEC, QC G1W 2K7",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Deeplite Inc.,"Montreal, QC H4C 2K1",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Développement de Logiciels Jumio Canada Ltée,"Montreal, QC H3A 1S5",2173-Software engineers and designers,4
Quebec, Global Talent Stream,Digital Domain Productions Québec Ltd.,"MONTRÉAL, QC H2T 1A8",5241-Graphic designers and illustrators,6
Quebec, Global Talent Stream,District M Inc,"Montréal, QC H2T  3B",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Edgenda Technologies Inc.,"Québec, QC G1M 0A2",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Egyde Conseils Inc.,"QUÉBEC, QC G1N 4H9",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Élément AI Inc,"MONTRÉAL, QC H2S 3G9",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Élément AI Inc,"MONTRÉAL, QC H2S 3G9",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Entreprise Planned Inc.,"Montréal, QC H3C 2B1",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,ESET Canada Recherche Inc.,"Montréal, QC H3B 1B1",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,GDG Info Inc.,"QUÉBEC, QC G1K 9C5",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Geotic inc,"Val-d'Or, QC J9P 6P6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Giro Inc.,"MONTRÉAL, QC H3L 3T1",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Groupe Conseil Era Inc.,"VERDUN, QC H3E 1J4",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Groupe Conseil FXInnovation Inc.,"Montreal, QC H3A 1L4",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Groupe Leyton Finder Expert inc.,"Montréal, QC H3B 3B9",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Groupe Technologies Desjardins inc.,"Montréal, QC H5B 1B2",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,IBS Logiciel Canada Inc.,"Montréal, QC H3X 2H9","0013-Senior managers - financial, communications and other business services",1
Quebec, Global Talent Stream,Impararia Solutions Inc,"Montréal, QC H4P 1P7",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,"Industrielle Alliance, assurances et services financiers  Inc","Québec, QC G1S 1C7",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,INNOVA SERVICES-CONSEILS INTERNATIONAL INC.,"Montréal, QC H3B 1P5",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Isaac Instruments Inc.,"Saint-Bruno-de-Montarville, QC J3V 0B7",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,K2 Geospatial Inc.,"Montréal, QC H3G 1R8",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,Klanik Canada Inc.,"MONTRÉAL, QC H3B 2E3",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Klanik Canada Inc.,"MONTRÉAL, QC H3B 2E3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Kruger Inc.,"Montréal, QC H3A 1G5","0016-Senior managers - construction, transportation, production and utilities",1
Quebec, Global Talent Stream,L'Agence Cominity Inc.,"Montréal, QC H2H 1X9",2175-Web designers and developers,1
Quebec, Global Talent Stream,Larochelle Groupe Conseil Inc.,"Montréal, QC H3B 2N2",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,Le Groupe Authentique Inc.,"Montréal, QC H3G 2E3",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,LES LABORATOIRES INTERDATA INC,"MONTREAL, QC H2S 1R4",2173-Software engineers and designers,2
Quebec, Global Talent Stream,Les services conseils ABNA inc,"Québec, QC G1V 2M2",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Levio Conseils Inc.,"QUÉBEC, QC G1W 0C4",2171-Information systems analysts and consultants,3
Quebec, Global Talent Stream,Levio Conseils Inc.,"QUÉBEC, QC G1W 0C4",2174-Computer programmers and interactive media developers,5
Quebec, Global Talent Stream,Logiciels Etiya Canada Inc.,"MONTRÉAL, QC H3B 2E3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,LS Canada Inc.,"Montréal, QC H2Y 1V3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Ludia inc,"Montreal, QC H2Y 2P5",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Lumina FX inc.,"Brossard, QC J4Z 1A6",2175-Web designers and developers,1
Quebec, Global Talent Stream,M32 Média Inc.,"Montréal, QC H3C 2G9",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Maltem Canada inc.,"Montreal, QC H3B 2E3",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Maltem Canada inc.,"Montreal, QC H3B 2E3",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Maltem Canada inc.,"Montreal, QC H3B 2E3",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,Marche Goodfood Corp,"St-Laurent, QC H4T 1K2",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Microsystèmes NxtSens Inc.,"MONTRÉAL, QC H2Y 3V4",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Mingus Software Inc,"Montréal, QC H4C 2E1",2175-Web designers and developers,1
Quebec, Global Talent Stream,Mirego Inc.,"Québec, QC G1N 4C2",2175-Web designers and developers,1
Quebec, Global Talent Stream,Ova inc.,"Quebec, QC G1V 4M6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,PayFacto Payments Inc,"Verdun, QC H3E 1A2",2283-Information systems testing technicians,1
Quebec, Global Talent Stream,Pixomondo Inc,"Montreal, QC H3Z 2Y4","5131-Producers, directors, choreographers and related occupations",1
Quebec, Global Talent Stream,PreVu3D Inc,"Montreal, QC H4C 1L8",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Productions Double Negative Montreal Ltee,"Montreal, QC H3B 2V6","5131-Producers, directors, choreographers and related occupations",1
Quebec, Global Talent Stream,Productions Double Negative Montreal Ltee,"Montreal, QC H3B 2V6",5241-Graphic designers and illustrators,10
Quebec, Global Talent Stream,Raymond Chabot Grant Thornton Administration S.E.N.C.,"MONTRÉAL, QC H3B 4L8",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Samasource Development Inc.,"Montréal, QC H2T 3B3",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Saputo Inc.,"Montréal, QC H1P  1X",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Savoir-Faire Linux Inc.,"MONTRÉAL, QC H2R 2Y5",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,Scanline VFX Montreal Inc.,"MONTRÉAL, QC H3B 2S2",5241-Graphic designers and illustrators,3
Quebec, Global Talent Stream,SERTI placement TI Inc.,"Montréal, QC H1J 3B6",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,Shake Labs Inc.,"Montreal, QC H2Y 2W2",2175-Web designers and developers,1
Quebec, Global Talent Stream,SIMCO Technologies inc.,"Québec, QC G1P 4S6",2131-Civil engineers,1
Quebec, Global Talent Stream,Société Conseil Groupe LGS,"Québec, QC G1V 4K5",2147-Computer engineers (except software engineers and designers),3
Quebec, Global Talent Stream,Société Conseil Groupe LGS,"Québec, QC G1V 4K5",2171-Information systems analysts and consultants,2
Quebec, Global Talent Stream,Société Conseil Groupe LGS,"Québec, QC G1V 4K5",2174-Computer programmers and interactive media developers,5
Quebec, Global Talent Stream,Solution Petal Inc.,"Québec, QC G1K 3H5",2175-Web designers and developers,1
Quebec, Global Talent Stream,Stack8 Technologies Inc.,"Montreal, QC H3A 1X6",2175-Web designers and developers,1
Quebec, Global Talent Stream,Studio Gimmick Inc,"Montreal, QC H2T 3B2",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,Studios 2K Montréal Inc.,"Montréal, QC H3B 4M7",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,STUDIOS BUDGE INC.,"Montréal, QC H2T 3B3",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,Studios Creatifs Reel FX Inc,"Montreal, QC H3K 1G6",2174-Computer programmers and interactive media developers,3
Quebec, Global Talent Stream,Studios Creatifs Reel FX Inc,"Montreal, QC H3K 1G6",5241-Graphic designers and illustrators,4
Quebec, Global Talent Stream,Studios DONTNOD Inc.,"Montréal, QC H3A 3J6","5131-Producers, directors, choreographers and related occupations",1
Quebec, Global Talent Stream,Studios DONTNOD Inc.,"Montréal, QC H3A 3J6",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,TandemLaunch Inc.,"Montreal, QC H4C 2K1",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,Tarkett Inc.,"Farnham, QC J2N 1J7",0213-Computer and information systems managers,1
Quebec, Global Talent Stream,Technologies de transfert de chaleur Maya Ltée,"Montréal, QC H3Z 1T3",2173-Software engineers and designers,2
Quebec, Global Talent Stream,Technologies des données de vol Inc.,"Dorval, QC H9P 2S9",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Technologies Newtrax Inc.,"Montréal, QC H2Y  1P",2173-Software engineers and designers,1
Quebec, Global Talent Stream,Technologies Plotly Inc.,"Montréal, QC H2T 2A3",0213-Computer and information systems managers,2
Quebec, Global Talent Stream,Technology Evaluation Centers Inc.,"LONGUEUIL, QC J4K 5B1",2174-Computer programmers and interactive media developers,2
Quebec, Global Talent Stream,Transformateurs Delta Star Inc.,"Saint-Jean-sur-Richelieu, QC J2X 6V6",2133-Electrical and electronics engineers,1
Quebec, Global Talent Stream,Transition Services Conseils Inc.,"Québec, QC G2K 2E4",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Tuque Games Inc.,"MONTRÉAL, QC H4C 1L8",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,Turbulent Média inc.,"Montréal, QC H2W 1Y5",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Ubisoft Entertainment Inc.,"Montréal, QC H2T 1S6",2172-Database analysts and data administrators,2
Quebec, Global Talent Stream,Ubisoft Entertainment Inc.,"Montréal, QC H2T 1S6",2174-Computer programmers and interactive media developers,18
Quebec, Global Talent Stream,Ubisoft Entertainment Inc.,"Montréal, QC H2T 1S6",5241-Graphic designers and illustrators,1
Quebec, Global Talent Stream,Unity Technologies Canada Company,"MONTREAL, QC H4Z 1E9",2172-Database analysts and data administrators,1
Quebec, Global Talent Stream,Unity Technologies Canada Company,"MONTREAL, QC H4Z 1E9",2174-Computer programmers and interactive media developers,4
Quebec, Global Talent Stream,VieDeDingue Inc.,"Montréal, QC H3B 1A6",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,YoppWorks Inc.,"Montreal, QC H3A 3L4",2174-Computer programmers and interactive media developers,1
Quebec, Global Talent Stream,Zenika Conseil Inc,"Montréal, QC H2J 2L1",2171-Information systems analysts and consultants,1
Quebec, Global Talent Stream,ZOOP Mobility Network Inc.,"Montréal, QC H2V 4G9",2174-Computer programmers and interactive media developers,1
Ontario,    High Wage,      SERVE CONSTRUCTION LTD.,"Etobicoke, ON M8Z 2C9",7312-Heavy-duty equipment mechanics,1
Ontario,    High Wage, Abrocc Sewer And Watermain Ltd.,"Schomberg, ON L0G 1T0",2234-Construction estimators,1
Ontario,    High Wage,10134341 Canada Inc.,"Mississauga, ON L5R 4B8",1221-Administrative officers,1
Ontario,    High Wage,10138401 Canada Inc.,"Oshawa, ON L1K 0K9",4163-Business development officers and marketing researchers and consultants,1
Ontario,    High Wage,10174556 CANADA INC,"MARKHAM, ON L3R 0B3",6231-Insurance agents and brokers,1
Ontario,    High Wage,10221163 Canada Inc.,"MISSISSAUGA, ON L4T 0A6",2171-Information systems analysts and consultants,1
Ontario,    High Wage,10221163 Canada Inc.,"MISSISSAUGA, ON L4T 0A6",2174-Computer programmers and interactive media developers,1
Ontario,    High Wage,108 Group Inc.,"Etobicoke, ON M9C 5C8",7271-Carpenters,2
Ontario,    High Wage,10825158 Canada Inc.,"Brampton, ON L6Y 1M1",6321-Chefs,3
Ontario,    High Wage,10975737 Canada Inc.,"Oshawa, ON L1J 2K5",6322-Cooks,1
Ontario,    High Wage,11049542 Canada Inc.,"Mississauga, ON L5T 2M8",1221-Administrative officers,1
Ontario,    High Wage,11062212 Canada Inc,"Mississauga, ON L5B 7M1",0213-Computer and information systems managers,1
Ontario,    High Wage,1112728 Ontario Corporation,"Concord, ON L4K 2K3","7302-Contractors and supervisors, heavy equipment operator crews",1
Ontario,    High Wage,1137254 Ontario Ltd.,"Mississauga, ON L5S 1C5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,11501330 Canada Corporation,"Windsor, ON N8S 2C7",2147-Computer engineers (except software engineers and designers),1
Ontario,    High Wage,11629867 CANADA INC.,"Brampton, ON L7A 2V6",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,11716611 CANADA INC.,"Cambridge, ON N3H 0B5","0014-Senior managers - health, education, social and community services and membership organizations",1
Ontario,    High Wage,11821156 Canada Inc,"Ottawa, ON K1S 4M6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,11864262 CANADA INC.,"London`, ON N6C 4V3",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,11882805 Canada Inc.,"Markham, ON L3R 6W7","1211-Supervisors, general office and administrative support workers",1
Ontario,    High Wage,11882805 Canada Inc.,"Markham, ON L3R 6W7",7271-Carpenters,2
Ontario,    High Wage,11974122 Canada Inc,"Toronto, ON M2L 2J1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,12071371 Canada Inc.,"East York, ON M4B 1Y6",0911-Manufacturing managers,1
Ontario,    High Wage,12097575 Canada Inc.,"Thorold, ON L2V 0G5",0631-Restaurant and food service managers,1
Ontario,    High Wage,1214174 Ont Inc.,"Etobicoke, ON M9W 5S3","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,12282704 Canada Inc.,"Toronto, ON M4M 3B4","5243-Theatre, fashion, exhibit and other creative designers",1
Ontario,    High Wage,1291670 ONTARIO INC.,"Toronto, ON M4E 1E3",6211-Retail sales supervisors,2
Ontario,    High Wage,1326318 Ontario Inc.,"Toronto, ON M5T 1P9",4021-College and other vocational instructors,1
Ontario,    High Wage,1344574 Ontario Ltd.,"Toronto, ON M9W 4X3",1221-Administrative officers,1
Ontario,    High Wage,1349092 Ontario Inc.,"Hamilton, ON L8L 3B4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
Ontario,    High Wage,1354943 Ontario Inc.,"Halton Hills, ON L7A 3C2","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",2
Ontario,    High Wage,1359238 Ontario INC,"Woodbridge, ON L4L 8A3",0621-Retail and wholesale trade managers,1
Ontario,    High Wage,1373282 Ontario Inc,"Hamilton, ON L8E 4P2",1221-Administrative officers,1
Ontario,    High Wage,1392288 Ontario Inc,"Concord, ON L4K 4C6","6733-Janitors, caretakers and building superintendents",1
Ontario,    High Wage,1397777 ontario inc.,"Toronto, ON M8W 3Z7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
Ontario,    High Wage,1418921 ONTARIO INC,"TORONTO, ON M6P 1Z3",0631-Restaurant and food service managers,1
Ontario,    High Wage,1425301 ONTARIO LTD.,"ESSEX, ON N8M 2X6",7511-Transport truck drivers,3
Ontario,    High Wage,1441998 Ontario Inc.,"WOODBRIDGE, ON L4H 2G4",7511-Transport truck drivers,5
Ontario,    High Wage,1471004 Ontario Inc,"Mississauga, ON L5S 1N9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
Ontario,    High Wage,1471004 Ontario Inc,"Mississauga, ON L5S 1N9",7511-Transport truck drivers,5
Ontario,    High Wage,15 Charles St Inc.,"Toronto, ON M4Y 1S1",6332-Bakers,1
Ontario,    High Wage,1545638 Ontario Inc.,"Mississauga, ON L4W 1C8",0631-Restaurant and food service managers,1
Ontario,    High Wage,1555112 Ontario Inc.,"Mississauga, ON L5T 1W1",7312-Heavy-duty equipment mechanics,1
Ontario,    High Wage,1560153 Ontari Corporation,"Toronto, ON M4L 2N3",5225-Audio and video recording technicians,1
Ontario,    High Wage,1568796 Ontario Inc.,"Toronto, ON M6M 5G3",7271-Carpenters,1
Ontario,    High Wage,1578342 Ontario Inc O/A Printwell Printers,"Mississauga, ON L4W 1S4","0016-Senior managers - construction, transportation, production and utilities",1
Ontario,    High Wage,1616352 Ontario Ltd.,"Milton, ON L9T 5A6",0601-Corporate sales managers,1
Ontario,    High Wage,1631344 ONTARIO INC ALLBRITE GLASS & TINT,"Kitchener, ON N2C 1K9",7322-Motor vehicle body repairers,1
Ontario,    High Wage,1659656 Ontario Inc.,"Mississauga, ON L4X 1B1",7281-Bricklayers,2
Ontario,    High Wage,1663706 Ontario Inc.,"Toronto, ON M2H 1T1",6332-Bakers,1
Ontario,    High Wage,1680920 Ontario Inc,"Mississauga, ON L5L 1J3","1211-Supervisors, general office and administrative support workers",1
Ontario,    High Wage,1680920 Ontario Inc,"Mississauga, ON L5L 1J3",6315-Cleaning supervisors,2
Ontario,    High Wage,1691634 ONTARIO LIMITED,"Kleinburg, ON L0J 1C0",6321-Chefs,1
Ontario,    High Wage,1785634 Ontario Inc.,"Markham, ON L3R 1H5",7511-Transport truck drivers,5
Ontario,    High Wage,1791213 Ontario Inc.,"Vaughan, ON L4K 2K1",7237-Welders and related machine operators,1
Ontario,    High Wage,1800044 ontario limited,"toronto, ON M8Y 1L2","5136-Painters, sculptors and other visual artists",3
Ontario,    High Wage,1808056 Ontario Inc.,"Mississauga, ON L5N 2V7","7284-Plasterers, drywall installers and finishers and lathers",2
Ontario,    High Wage,1811377 ontario inc,"Etobicoke, ON M8V 3J2",7291-Roofers and shinglers,1
Ontario,    High Wage,1863462 ONTARIO INC.,"St. Catharines, ON L2R 3J2",6321-Chefs,1
Ontario,    High Wage,1898879 Ontario Inc.,"Mississauga, ON L5E 1E1",7237-Welders and related machine operators,4
Ontario,    High Wage,1909935 Ontario Inc,"Etobicoke, ON M8V 1Y7",6311-Food service supervisors,1
Ontario,    High Wage,1946266 ONTARIO INC.,"Scarborough, ON M1X 0A6",6311-Food service supervisors,1
Ontario,    High Wage,1948711 Ontario Inc.,"Mississauga, ON L4Z 1T2",2283-Information systems testing technicians,1
