"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, October to December 2021",b,c,d,e,f,g,h
Quebec,  Primary Agriculture,R. Giard et Frères Inc.,"St-Hyacinthe, QC J2T 5J9",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,R. Paré et fils inc.,"COMPTON, QC J0B 1L0",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,R. Pinsonneault & fils Ltée,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,Corporation,4,22
Quebec,  Primary Agriculture,R. Robitaille et Fils Inc.,"Farnham, QC J2N 2N4",8431-General farm workers,Corporation,3,7
Quebec,  Primary Agriculture,R.Robitaille et fils inc.,"Farnham, QC J2N 2N4",8431-General farm workers,Unknown,4,21
Quebec,  Primary Agriculture,Reboisement Mauricie inc.,"SAINT-ÉTIENNE-DES-GRÈS, QC G0X 2P0",8432-Nursery and greenhouse workers,Corporation,2,12
Quebec,  Primary Agriculture,René Brunelle et fils inc.,"St-Thomas, QC J0K 3L0",8431-General farm workers,Corporation,2,26
Quebec,  Primary Agriculture,Réséco Inc.,"St-Wenceslas, QC G0Z 1J0",8431-General farm workers,Corporation,5,7
Quebec,  Primary Agriculture,Romarc Holsteins Inc.,"Plessiville, QC G6L  2Y",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,Rose Drummond 2017 inc.,"Drummondville, QC J2B 8A9",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,Royaume Bleuets & Fraises,"CHAMPLAIN, QC G0X 1C0",8431-General farm workers,Corporation,1,2
Quebec,  Primary Agriculture,Sapinière et pépinière Downey inc.,"Cookshire-Eaton, QC J0B  1M",8432-Nursery and greenhouse workers,Corporation,3,33
Quebec,  Primary Agriculture,Serre Gauthier inc,"St-Lin-Laurentides,, QC J5M  1Y",8432-Nursery and greenhouse workers,Corporation,1,2
Quebec,  Primary Agriculture,Serres Belle de jour,"SAINT-NAZAIRE, QC G0W 2V0",8431-General farm workers,Co-operative,1,5
Quebec,  Primary Agriculture,Serres Belle de jour,"SAINT-NAZAIRE, QC G0W 2V0",8432-Nursery and greenhouse workers,Co-operative,1,5
Quebec,  Primary Agriculture,Serres Caron inc.,"L'Islet-sur-Mer, QC G0R 2B0",8432-Nursery and greenhouse workers,Corporation,1,4
Quebec,  Primary Agriculture,Serres Dauphinais Ste-Julie inc.,"Sainte-Julie, QC J3E  1Y",8432-Nursery and greenhouse workers,Corporation,1,2
Quebec,  Primary Agriculture,Serres de la Vallée Inc.,"RIVIÈRE-ROUGE, QC J0T 1T0",8432-Nursery and greenhouse workers,Sole Proprietorship,1,2
Quebec,  Primary Agriculture,Serres et Jardins Girouard Inc.,"SAINTE-MADELEINE, QC J0H  1S",8431-General farm workers,Corporation,3,11
Quebec,  Primary Agriculture,Serres et Jardins RGCA 2015 inc.,"SAINTE-ANNE-DES-PLAINES, QC J0N 1H0",8431-General farm workers,Corporation,2,6
Quebec,  Primary Agriculture,Serres et Jardins RGCA 2015 inc.,"SAINTE-ANNE-DES-PLAINES, QC J0N 1H0",8432-Nursery and greenhouse workers,Corporation,1,1
Quebec,  Primary Agriculture,Serres et Jardins Villiard inc.,"Saint-Aimé, QC J0G 1K0",8432-Nursery and greenhouse workers,Sole Proprietorship,1,2
Quebec,  Primary Agriculture,Serres et pépinières St-Élie inc.,"Sherbrooke, QC J1L 2W5",8432-Nursery and greenhouse workers,Unknown,1,3
Quebec,  Primary Agriculture,Serres Hollandaises Inc.,"NAPIERVILLE, QC J0J 1L0",8432-Nursery and greenhouse workers,Sole Proprietorship,2,2
Quebec,  Primary Agriculture,Serres Sabrevois inc.,"Sabrevois, QC J0J 2G0",8432-Nursery and greenhouse workers,Corporation,1,4
Quebec,  Primary Agriculture,Serres Sainte-Anne inc.,"SAINT-ALEXANDRE, QC J0J 1S0",8431-General farm workers,Corporation,1,2
Quebec,  Primary Agriculture,Serres Sainte-Anne inc.,"SAINT-ALEXANDRE, QC J0J 1S0",8432-Nursery and greenhouse workers,Corporation,1,1
Quebec,  Primary Agriculture,Serres YG Pinsonneault Inc,"ST-RÉMI, QC J0L 2L0",8432-Nursery and greenhouse workers,Corporation,3,11
Quebec,  Primary Agriculture,Service Avicole JGL (9091-8558 Québec Inc.),"VICTORIAVILLE, QC G6T  2B",8431-General farm workers,Corporation,10,38
Quebec,  Primary Agriculture,SMB Ranch,"Maricourt, QC J0E 2L2",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,Sollio Groupe Coopératif,"Montréal, QC H4N 3H7",8431-General farm workers,Co-operative,2,2
Quebec,  Primary Agriculture,Spéciveau inc.,"La Présentation, QC J0H 1B0",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,Sucrerie Pignon Bleu SNC,"Issoudun, QC G0S 1L0",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,Suisse Normande inc. (La),"Saint-Roch-Ouest, QC J0K 3H0",8431-General farm workers,Corporation,2,3
Quebec,  Primary Agriculture,Sylva Croissance Investissement Inc.,"Lavaltrie, QC J5T 1R4",8431-General farm workers,Sole Proprietorship,1,3
Quebec,  Primary Agriculture,Tembris Inc,"NOTRE-DAME-DU-NORD, QC J0Z 3B0",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,Terrassement Goupil Inc.,"PINTENDRE, QC G6C 1P9",8432-Nursery and greenhouse workers,Corporation,2,5
Quebec,  Primary Agriculture,Terre fruitière S.E.N.C.,"Dunham, QC J0E  1M",8431-General farm workers,Corporation,1,2
Quebec,  Primary Agriculture,Terre Maraichère Boisvert Inc.,"Saint-Lin-Laurentides, QC J5M 1Y5",8431-General farm workers,Corporation,1,8
Quebec,  Primary Agriculture,Thermo-Pat Inc.,"SAINT-RÉMI, QC J0L  2L",8431-General farm workers,Corporation,1,6
Quebec,  Primary Agriculture,Thermo-Pat Inc.,"SAINT-RÉMI, QC J0L  2L",8432-Nursery and greenhouse workers,Corporation,1,11
Quebec,  Primary Agriculture,Tomaté! Inc.,"Saint-Damase, QC J0H  1J",8431-General farm workers,Corporation,1,4
Quebec,  Primary Agriculture,Tourbière Lambert Inc,"Rivière-Ouelle, QC G0L 2C0",8431-General farm workers,Unknown,1,10
Quebec,  Primary Agriculture,Trans Porcité Inc.,"SAINT-ELZÉAR, QC G0S 2J1",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,Transvol ltée,"St-Charles-De-Bellechasse, QC G0R 2T0",8431-General farm workers,Unknown,1,10
Quebec,  Primary Agriculture,Ty-D Holsteins Inc,"CAP-SANTÉ, QC G0A 1L0",8431-General farm workers,Corporation,1,2
Quebec,  Primary Agriculture,Une touche D'ail Saucier-Taillefer inc.,"Saint-Anicet, QC J0S  1M",8431-General farm workers,Corporation,2,3
Quebec,  Primary Agriculture,Union Libre cidre et vin Inc.,"DUNHAM, QC J0E 1M0",8431-General farm workers,Corporation,2,4
Quebec,  Primary Agriculture,Val-Lait SENC,"Stoke, QC J0B 3G0",8431-General farm workers,Partnership,1,1
Quebec,  Primary Agriculture,Vallée des Prairies Inc.,"Saint-François-de-la-Rivière-du-Sud, QC G0R 3A",8431-General farm workers,Sole Proprietorship,1,2
Quebec,  Primary Agriculture,Végétolab inc.,"Alma, QC G8E 1X7",8432-Nursery and greenhouse workers,Corporation,2,3
Quebec,  Primary Agriculture,Verger Caron Inc.,"Frelighsburg, QC J0J 1C0",8431-General farm workers,Corporation,7,92
Quebec,  Primary Agriculture,Verger Champêtre,"Granby, QC J2J 0H4",8431-General farm workers,Partnership,1,4
Quebec,  Primary Agriculture,Verger des Bois-Francs inc.,"PRINCEVILLE, QC G6L 4K6",8611-Harvesting labourers,Corporation,2,21
Quebec,  Primary Agriculture,Verger du père de la fraise,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,Corporation,2,17
Quebec,  Primary Agriculture,Verger Gibb S.E.N.C.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,Partnership,2,6
Quebec,  Primary Agriculture,Verger Gibouleau Inc.,"Laval, QC H7J 1A3",8431-General farm workers,Sole Proprietorship,1,3
Quebec,  Primary Agriculture,Verger Hamel Distribution inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8611-Harvesting labourers,Corporation,2,31
Quebec,  Primary Agriculture,Verger Jodoin et frères inc.,"Saint-Jean-Baptiste, QC J0L 2B0",8431-General farm workers,Corporation,4,145
Quebec,  Primary Agriculture,Verger Lacroix Inc.,"SAINT-JOSEPH-DU-LAC, QC J0N 1M0",8431-General farm workers,Corporation,1,9
Quebec,  Primary Agriculture,Verger Maïa Inc.,"SAINT-JOSEPH-DU-LAC, QC J0N 1M0",8431-General farm workers,Corporation,4,12
Quebec,  Primary Agriculture,Verger MJM Inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,Corporation,1,2
Quebec,  Primary Agriculture,Verger Nicolet Inc.,"Grand St-Esprit, QC J0G  1B",8431-General farm workers,Partnership,2,6
Quebec,  Primary Agriculture,Verger R et J Bouchard inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,Corporation,2,12
Quebec,  Primary Agriculture,Verger RC Guertin (2011) inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,Partnership,2,11
Quebec,  Primary Agriculture,Verger Roger Côté inc.,"ROUGEMONT, QC J0L 1M0",8431-General farm workers,Corporation,1,3
Quebec,  Primary Agriculture,Verger Thomson Inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,Corporation,1,1
Quebec,  Primary Agriculture,Vergers DM Boileau inc,"Havelock, QC J0S 2C0",8431-General farm workers,Partnership,1,15
Quebec,  Primary Agriculture,Vergers du Lac SENC,"SAINT-JOSEPH-DU-LAC, QC J0N 1M0",8431-General farm workers,Partnership,1,1
Quebec,  Primary Agriculture,Vergers et serres St-Paul senc,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,Partnership,2,17
Quebec,  Primary Agriculture,Vergers Paul Jodoin Inc.,"St-Jean-Baptiste, QC J0L 2B0",8431-General farm workers,Corporation,2,23
Quebec,  Primary Agriculture,Vergers Rochon Inc.,"Mirabel, QC J7N 2R9",8431-General farm workers,Corporation,1,3
Quebec,  Primary Agriculture,Vergers Stevenson inc.,"FRANKLIN, QC J0S 1E0",8431-General farm workers,Corporation,2,30
Quebec,  Primary Agriculture,Vert Nature inc,"SHERRINGTON, QC J0L 2N0",8431-General farm workers,Corporation,5,186
Quebec,  Primary Agriculture,vieux saule holstein inc.,"SAINT-ESPRIT, QC J0K 2L0",8431-General farm workers,Unknown,1,1
Quebec,  Primary Agriculture,Vignoble Camy Inc.,"Saint-Bernard-de-Lacolle, QC J0J 1V0",8431-General farm workers,Sole Proprietorship,1,3
Quebec,  Primary Agriculture,Vignoble Côte des Limousins senc,"Roxton Pond, QC J0E  1Z",8431-General farm workers,Corporation,1,2
Quebec,  Primary Agriculture,Vignoble de l'Orpailleur Inc.,"DUNHAM, QC J0E 1M0",8431-General farm workers,Corporation,2,10
Quebec,  Primary Agriculture,Vignoble d'Ovila (2959-4983 Québec Inc.),"LES CÈDRES, QC J7T 1N8",8431-General farm workers,Corporation,1,3
Quebec,  Primary Agriculture,Vignoble du Ruisseau,"DUNHAM, QC J0E 1M0",8431-General farm workers,Partnership,2,10
Quebec,  Primary Agriculture,Vignoble le Cep d'Argent,"Magog, QC J1X 3W5",8431-General farm workers,Corporation,1,4
Quebec,  Primary Agriculture,Vignoble Les petits Cailloux,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,Partnership,1,6
Quebec,  Primary Agriculture,Visonnière Labonté et Fils Inc.,"THETFORD MINES, QC G6H 4J5",8431-General farm workers,Corporation,1,2
Quebec,  Primary Agriculture,Viticulture A & M inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,Corporation,2,3
Quebec,  Primary Agriculture,Vivaces Laval Inc. 2842-5882 Québec Inc.,"Laval, QC H7R 6E8",8432-Nursery and greenhouse workers,Corporation,1,1
Quebec,  Primary Agriculture,Vivaces Marie Michel Inc.,"SAINT- CONSTANT, QC J5A  2E",8431-General farm workers,Corporation,2,11
Quebec,  Primary Agriculture,Vivaces Marie Michel Inc.,"SAINT- CONSTANT, QC J5A  2E",8432-Nursery and greenhouse workers,Corporation,2,6
Quebec,  Primary Agriculture,Vivaco Groupe Coopératif,"Victoriaville, QC G6P 4R8",8431-General farm workers,Corporation,3,3
Quebec,  Primary Agriculture,Volailles Labbé-Lavallée et Filles Inc.,"Saint-Hyacinthe, QC J2R 1Z3",8431-General farm workers,Corporation,2,2
Quebec,  Primary Agriculture,Willy Haeck & Fils inc.,"SAINT-RÉMI, QC J0L 2L0",8432-Nursery and greenhouse workers,Partnership,1,48
Quebec, Global Talent Stream,10036099 Canada Inc.,"Montreal, QC H2L 1K2",2171-Information systems analysts and consultants,Unknown,1,1
Quebec, Global Talent Stream,10036099 Canada Inc.,"Montreal, QC H2L 1K2",2173-Software engineers and designers,Unknown,1,1
Quebec, Global Talent Stream,10148636 Canada Inc,"Boucherville, QC J4B 7T9",0213-Computer and information systems managers,Co-operative,1,1
Quebec, Global Talent Stream,10148636 Canada Inc,"Boucherville, QC J4B 7T9",2174-Computer programmers and interactive media developers,Co-operative,2,3
Quebec, Global Talent Stream,11146726 Canada Inc.,"Montréal, QC H2Z 1B1",2174-Computer programmers and interactive media developers,Corporation,2,2
Quebec, Global Talent Stream,4355768 Canada Inc. (Crak Media),"QUÉBEC, QC G1K 8G3",2175-Web designers and developers,Sole Proprietorship,1,1
Quebec, Global Talent Stream,6362222 Canada Inc,"Montréal, QC H3E 3B3",2171-Information systems analysts and consultants,Unknown,5,5
Quebec, Global Talent Stream,6362222 Canada Inc,"Montréal, QC H3E 3B3",2173-Software engineers and designers,Unknown,2,2
Quebec, Global Talent Stream,9205-2232 Québec Inc.,"Montréal, QC H3A 1E4",2174-Computer programmers and interactive media developers,Corporation,1,1
Quebec, Global Talent Stream,9208-3401 Québec inc.,"Québec, QC G2J 0C4",2174-Computer programmers and interactive media developers,Unknown,12,12
Quebec, Global Talent Stream,9208-3401 Québec inc.,"Québec, QC G2J 0C4",2175-Web designers and developers,Unknown,1,1
Quebec, Global Talent Stream,9359-5940 Québec inc.,"Brossard, QC J4Z  0M",2171-Information systems analysts and consultants,Corporation,1,1
Quebec, Global Talent Stream,9370-3437 Québec Inc,"Montréal, QC H3B  2E",2173-Software engineers and designers,Corporation,2,2
Quebec, Global Talent Stream,9412-4237 Québec Inc.,"Sherbrooke, QC J1K 0A5",2133-Electrical and electronics engineers,Corporation,1,1
Quebec, Global Talent Stream,Adnia Conseils Inc,"Québec, QC G1N 4G2",2171-Information systems analysts and consultants,Corporation,1,1
Quebec, Global Talent Stream,Adnia Conseils Inc,"Québec, QC G1N 4G2",2172-Database analysts and data administrators,Corporation,1,1
Quebec, Global Talent Stream,Agence du revenu du Québec,"Québec, QC G1X 4A5",2171-Information systems analysts and consultants,Non-Profit Organization,8,8
Quebec, Global Talent Stream,agileDSS,"Montréal, QC H2Y 2G3",2171-Information systems analysts and consultants,Corporation,1,1
Quebec, Global Talent Stream,AITera Inc.,"Québec, QC G1W 4Z7",2175-Web designers and developers,Corporation,1,1
Quebec, Global Talent Stream,Alaya Care Inc.,"MONTRÉAL, QC H2W 2R2",2174-Computer programmers and interactive media developers,Corporation,4,4
Quebec, Global Talent Stream,Alithya Canada Inc.,"Montréal, QC H3B 3A5",2171-Information systems analysts and consultants,Unknown,39,39
Quebec, Global Talent Stream,Alithya Canada Inc.,"Montréal, QC H3B 3A5",2174-Computer programmers and interactive media developers,Unknown,3,3
Quebec, Global Talent Stream,Alithya Services Conseils Inc.,"Montréal, QC H3B 3A5",2171-Information systems analysts and consultants,Corporation,1,1
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",2171-Information systems analysts and consultants,Unknown,1,1
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",2174-Computer programmers and interactive media developers,Unknown,12,12
Quebec, Global Talent Stream,ALTEN Canada Inc.,"Montréal, QC H3B 4N4",2281-Computer network technicians,Unknown,1,1
Quebec, Global Talent Stream,Animation Squeeze Studio inc.,"Québec, QC G1K 3J3","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Quebec, Global Talent Stream,AppDirect Canada Inc.,"MONTRÉAL, QC H3A 2J5",2174-Computer programmers and interactive media developers,Corporation,2,2
Quebec, Global Talent Stream,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2171-Information systems analysts and consultants,Unknown,4,4
Quebec, Global Talent Stream,ASTEK Canada Inc.,"Montréal, QC H2Y 1M6",2174-Computer programmers and interactive media developers,Unknown,2,2
Quebec, Global Talent Stream,Atomic Fiction Canada Inc.,"MONTRÉAL, QC H3A 2J5",5241-Graphic designers and illustrators,Unknown,3,3
Quebec, Global Talent Stream,Autobus Lion Inc,"St-Jérome, QC J7Y 5G2","0016-Senior managers - construction, transportation, production and utilities",Corporation,1,1
Quebec, Global Talent Stream,Avenue Code S.A.,"Montréal, QC H2T 3B3",2173-Software engineers and designers,Corporation,1,1
Quebec, Global Talent Stream,Babezar Inc.,"Verdun, QC H3E 1L3",2175-Web designers and developers,Corporation,1,1
Quebec, Global Talent Stream,BBA Inc.,"Mont-Saint-Hilaire, QC J3H 6C3",2172-Database analysts and data administrators,Corporation,1,1
Quebec, Global Talent Stream,Beenox inc.,"Quebec, QC G1K 3H3",2174-Computer programmers and interactive media developers,Unknown,1,1
Quebec, Global Talent Stream,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1","0013-Senior managers - financial, communications and other business services",Corporation,1,1
Quebec, Global Talent Stream,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1",2172-Database analysts and data administrators,Corporation,1,1
Quebec, Global Talent Stream,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1",2174-Computer programmers and interactive media developers,Corporation,6,6
Quebec, Global Talent Stream,Behaviour Interactive Inc.,"MONTRÉAL, QC H2S 3H1","5131-Producers, directors, choreographers and related occupations",Corporation,2,2
Quebec, Global Talent Stream,Behavox Software (Canada) Inc.,"Montreal, QC H3A 0A8",2173-Software engineers and designers,Unknown,2,2
Quebec, Global Talent Stream,Ben Crudo Consulting Inc./Consultations Ben Crudo Inc.,"Montreal, QC H3A 2G4",2174-Computer programmers and interactive media developers,Co-operative,3,3
Quebec, Global Talent Stream,Berger-Levrault Canada,"Laval, QC H7L 5X9",2174-Computer programmers and interactive media developers,Corporation,1,1
Quebec, Global Talent Stream,Berger-Levrault Canada,"Laval, QC H7L 5X9",2175-Web designers and developers,Corporation,2,2
Quebec, Global Talent Stream,Bibliomondo inc / In Media Technologies inc,"Montréal, QC H2E 2H1",2175-Web designers and developers,Unknown,1,1
Quebec, Global Talent Stream,Blache & Yong inc.,"Montréal, QC H2W 1Y5",2175-Web designers and developers,Unknown,1,2
Quebec, Global Talent Stream,Boa-Franc s.e.n.c.,"Saint-Georges, QC G5Y 8J5",2171-Information systems analysts and consultants,Unknown,1,1
Quebec, Global Talent Stream,Canadel inc.,"Louiseville, QC J5V 2L6",2175-Web designers and developers,Unknown,1,1
Quebec, Global Talent Stream,Centre en imagerie numérique et médias interactifs (CIMMI),"Quebec, QC G1V  1T",2171-Information systems analysts and consultants,Non-Profit Organization,1,1
Quebec, Global Talent Stream,Césium Télécom Inc.,"Montréal, QC H4P 1M7",2174-Computer programmers and interactive media developers,Corporation,1,1
Quebec, Global Talent Stream,CGI Information Systems & Management Consultants Inc.,"Montreal, QC H3G 1T4",0213-Computer and information systems managers,Unknown,2,2
Quebec, Global Talent Stream,CGI Information Systems & Management Consultants Inc.,"Montreal, QC H3G 1T4",2171-Information systems analysts and consultants,Unknown,3,3
Quebec, Global Talent Stream,CGI Information Systems & Management Consultants Inc.,"Montreal, QC H3G 1T4",2173-Software engineers and designers,Unknown,1,1
Quebec, Global Talent Stream,CGI Information Systems & Management Consultants Inc.,"Montreal, QC H3G 1T4",2174-Computer programmers and interactive media developers,Unknown,15,15
Quebec, Global Talent Stream,Chrome Inc.,"Montréal, QC H3B 0E5",2171-Information systems analysts and consultants,Unknown,3,3
Quebec, Global Talent Stream,CHU de Québec-Université Laval,"QUÉBEC, QC G1R  2J",2174-Computer programmers and interactive media developers,Non-Profit Organization,1,1
Quebec, Global Talent Stream,Ciao Technologies Inc,"QUÉBEC, QC G1W 2R2",2171-Information systems analysts and consultants,Corporation,2,2
Quebec, Global Talent Stream,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3",2173-Software engineers and designers,Corporation,2,2
Quebec, Global Talent Stream,Cinesite Inc.,"MONTRÉAL, QC H2Y 0A3",5241-Graphic designers and illustrators,Corporation,6,6
Quebec, Global Talent Stream,ClearEstate Technologies Inc.,"Montreal, QC H2Z  1G",2174-Computer programmers and interactive media developers,Corporation,1,3
Quebec, Global Talent Stream,COFOMO DÉVELOPPEMENT INC.,"Montréal, QC H3B 4W5",2171-Information systems analysts and consultants,Unknown,11,11
Quebec, Global Talent Stream,COFOMO DÉVELOPPEMENT INC.,"Montréal, QC H3B 4W5",2174-Computer programmers and interactive media developers,Unknown,15,15
Quebec, Global Talent Stream,"ComPsych Canada, Ltd.","Montreal, QC H2Y 2E1",2173-Software engineers and designers,Corporation,1,1
Quebec, Global Talent Stream,Conformit Technology inc,"Saguenay, QC G7H 2V3",2174-Computer programmers and interactive media developers,Unknown,1,1
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montréal, QC H3G 1T4",0213-Computer and information systems managers,Unknown,7,7
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montréal, QC H3G 1T4",2171-Information systems analysts and consultants,Unknown,29,29
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montréal, QC H3G 1T4",2172-Database analysts and data administrators,Unknown,3,3
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montréal, QC H3G 1T4",2173-Software engineers and designers,Unknown,2,2
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montréal, QC H3G 1T4",2174-Computer programmers and interactive media developers,Unknown,37,36
Quebec, Global Talent Stream,Conseillers en gestion et informatique CGI Inc.,"Montréal, QC H3G 1T4",2175-Web designers and developers,Unknown,1,1
Quebec, Global Talent Stream,Copper Scroll Conseil Inc.,"Montréal, QC H2V 2X9",2171-Information systems analysts and consultants,Corporation,1,1
Quebec, Global Talent Stream,Corporation Interactive Eidos,"Montréal, QC H3A 1L4",2174-Computer programmers and interactive media developers,Unknown,1,1
Quebec, Global Talent Stream,Corporation Interactive Eidos,"Montréal, QC H3A 1L4",5241-Graphic designers and illustrators,Unknown,1,1
Quebec, Global Talent Stream,Coveo Solutions Inc.,"QUÉBEC, QC G1W 2K7",6221-Technical sales specialists - wholesale trade,Corporation,1,1
Quebec, Global Talent Stream,Cri Communication inc.,"Montréal, QC H2Y 3V4",2175-Web designers and developers,Unknown,1,1
Quebec, Global Talent Stream,Cyber Solutions Inc,"Quebec, QC G1E 0H1",2171-Information systems analysts and consultants,Unknown,1,1
Quebec, Global Talent Stream,Cybersécurité S.QUA.D. Inc.,"Montréal, QC H3B 1S6",2171-Information systems analysts and consultants,Corporation,1,1
Quebec, Global Talent Stream,Deeplite Inc.,"Montreal, QC H4C 2K1",2173-Software engineers and designers,Corporation,2,2
Quebec, Global Talent Stream,Desjardins Sécurité Financière,"Montréal, QC H5B 1B2",0213-Computer and information systems managers,Corporation,1,1
Quebec, Global Talent Stream,Diabsolut Inc.,"Pointe-Claire, QC H9R 5P4",2173-Software engineers and designers,Corporation,1,1
Quebec, Global Talent Stream,Digital Agency Signifly Inc.,"Montréal, QC H3B  2E",2174-Computer programmers and interactive media developers,Corporation,1,1
Quebec, Global Talent Stream,Digital Dimension Entertainment Group,"Montréal, QC H2T 1Y1",5241-Graphic designers and illustrators,Corporation,1,1
Quebec, Global Talent Stream,Digital Domain Productions Québec Ltd.,"MONTRÉAL, QC H2T 1A8",5241-Graphic designers and illustrators,Corporation,1,1
Quebec, Global Talent Stream,Double Negative Toronto Productions Ltd.,"Montreal, QC H3B 2V6",5241-Graphic designers and illustrators,Sole Proprietorship,2,2
Quebec, Global Talent Stream,EBC Inc.,"L'Ancienne-Lorette, QC G2E 4M7",2171-Information systems analysts and consultants,Unknown,1,1
Quebec, Global Talent Stream,En Toute Confiance Inc.,"MONTRÉAL, QC H2Z 2B9",2171-Information systems analysts and consultants,Corporation,5,5
Quebec, Global Talent Stream,ESET Canada Recherche Inc.,"Montréal, QC H3B 1B1",2171-Information systems analysts and consultants,Corporation,1,1
Quebec, Global Talent Stream,ESI Conseil Inc.,"Montréal, QC H3A  1X",0213-Computer and information systems managers,Corporation,1,1
Quebec, Global Talent Stream,ESI Conseil Inc.,"Montréal, QC H3A  1X",2171-Information systems analysts and consultants,Corporation,4,4
Quebec, Global Talent Stream,ESI Conseil Inc.,"Montréal, QC H3A  1X",2172-Database analysts and data administrators,Corporation,1,1
Quebec, Global Talent Stream,E-Smart Control Inc.,"Montreal, QC H4R  1C",2173-Software engineers and designers,Corporation,1,1
Quebec, Global Talent Stream,Estateably inc.,"Montreal, QC H4C 2Z6",2173-Software engineers and designers,Unknown,1,1
Quebec, Global Talent Stream,Eurovia Canada Inc.,"Boucherville, QC J4B  7L",0114-Other administrative services managers,Corporation,1,1
Quebec, Global Talent Stream,Exfo Inc.,"QUÉBEC, QC G1M  2K",2171-Information systems analysts and consultants,Corporation,1,1
Quebec, Global Talent Stream,Exfo Inc.,"QUÉBEC, QC G1M  2K",2173-Software engineers and designers,Corporation,1,1
Quebec, Global Talent Stream,Explorance inc.,"Montreal, QC H3A 1T1",0213-Computer and information systems managers,Corporation,1,1
Quebec, Global Talent Stream,Fédération des caisses Desjardins du Québec,"Lévis, QC G6V  7N",2171-Information systems analysts and consultants,Co-operative,1,1
Quebec, Global Talent Stream,Flogen Technologies Inc.,"MONT-ROYAL, QC H3P 2T1","2161-Mathematicians, statisticians and actuaries",Corporation,1,1
Quebec, Global Talent Stream,GDG Info Inc.,"QUÉBEC, QC G1K 9C5",2174-Computer programmers and interactive media developers,Corporation,2,2
Quebec, Global Talent Stream,Gestion B.S.P. Inc.,"Québec, QC G1V 4T2",2174-Computer programmers and interactive media developers,Corporation,1,1
Quebec, Global Talent Stream,GFT Technologies Canada Inc.,"Québec, QC G1W 0E8",2171-Information systems analysts and consultants,Unknown,9,9
Quebec, Global Talent Stream,GFT Technologies Canada Inc.,"Québec, QC G1W 0E8",2173-Software engineers and designers,Unknown,1,1
Quebec, Global Talent Stream,GFT Technologies Canada Inc.,"Québec, QC G1W 0E8",2174-Computer programmers and interactive media developers,Unknown,2,2
Quebec, Global Talent Stream,GoTo Technologies Canada Ltd.,"QUÉBEC, QC G1K 8G3",2173-Software engineers and designers,Corporation,1,1
Quebec, Global Talent Stream,Groupe Conseil Era Inc.,"VERDUN, QC H3E 1J4",2171-Information systems analysts and consultants,Corporation,3,3
Quebec, Global Talent Stream,Groupe conseil FX Innovation Inc.,"Montréal, QC H3A 1L4",2171-Information systems analysts and consultants,Corporation,1,1
Quebec, Global Talent Stream,Groupe conseil FX Innovation Inc.,"Montréal, QC H3A 1L4",2174-Computer programmers and interactive media developers,Corporation,1,1
