"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2021 and Business Location, October to December 2024",b,c,d,e,f,g,h
Quebec                                                                     ,High Wage,Behaviour Interactive Inc.,"Montréal, QC H2S  3H",52120-Graphic designers and illustrators,Corporation,2,2
Quebec                                                                     ,High Wage,BELKIS CLEANING,"Montréal, QC H1P  1Z",14403-Purchasing and inventory control workers,Corporation,1,1
Quebec                                                                     ,High Wage,Belva Maintenance Inc.,"Laval, QC H7X 3X7",62024-Cleaning supervisors,Unknown,1,1
Quebec                                                                     ,High Wage,Beneva,"Québec, QC G1R  2G",63100-Insurance agents and brokers,Corporation,1,1
Quebec                                                                     ,High Wage,Beta Aero Canada ULC,"Dorval, QC H9P 1A2",21390-Aerospace engineers,Unknown,1,1
Quebec                                                                     ,High Wage,Bétons Préfabriqués Trans-Canada,"Saint-Eugene-de-Grantham, QC J0C 1J0",22233-Construction inspectors,Unknown,1,1
Quebec                                                                     ,High Wage,Billy Marketing inc,"Montréal, QC H3G 0B7","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Quebec                                                                     ,High Wage,Biscuits Leclerc Ltd,"St-Augustin-de-Desmaure, QC G3A 1T1",22100-Chemical technologists and technicians,Corporation,1,1
Quebec                                                                     ,High Wage,Biscuits Leclerc Ltée,"Saint-Augustin-De-Desmaures, QC G3A 1T1","94140-Process control and machine operators, food and beverage processing",Unknown,3,3
Quebec                                                                     ,High Wage,Biscuits Leclerc Ltée,"Saint-Augustin-De-Desmaures, QC G3A 1T1",95106-Labourers in food and beverage processing,Unknown,1,1
Quebec                                                                     ,High Wage,Blais Industries,"Rouyn-Noranda, QC J9X 6P2",72302-Gas fitters,Unknown,1,1
Quebec                                                                     ,High Wage,BMG METAUX OUVRES INC,"Chambly, QC J3L 4V2",72100-Machinists and machining and tooling inspectors,Unknown,1,1
Quebec                                                                     ,High Wage,BMG METAUX OUVRES INC,"Chambly, QC J3L 4V2",72106-Welders and related machine operators,Unknown,1,2
Quebec                                                                     ,High Wage,BNP Paribas,"Montréal, QC H3A 2A6",11100-Financial auditors and accountants,Unknown,1,1
Quebec                                                                     ,High Wage,BNP Paribas,"Montréal, QC H3A 2A6",11101-Financial and investment analysts,Unknown,2,2
Quebec                                                                     ,High Wage,Bois Weedon Inc.,"Weedon, QC J0B 3J0","92014-Supervisors, forest products processing",Unknown,1,1
Quebec                                                                     ,High Wage,Bombardier Aviation,"MONTRÉAL, QC H3B 1Y8",12102-Procurement and purchasing agents and officers,Corporation,1,1
Quebec                                                                     ,High Wage,Bombardier Aviation,"MONTRÉAL, QC H3B 1Y8",20010-Engineering managers,Corporation,1,1
Quebec                                                                     ,High Wage,Bombardier Aviation,"MONTRÉAL, QC H3B 1Y8",93200-Aircraft assemblers and aircraft assembly inspectors,Corporation,2,2
Quebec                                                                     ,High Wage,Bombardier Aviation,"MONTRÉAL, QC H3B 1Y8","94213-Industrial painters, coaters and metal finishing process operators",Corporation,2,3
Quebec                                                                     ,High Wage,BON PAS CHER AUTO INC.,"Montréal, QC H1H 4R1",72422-Electrical mechanics,Unknown,1,1
Quebec                                                                     ,High Wage,boulangerie Ange,"Boucherville, QC J4B 6G4",63202-Bakers,Corporation,1,1
Quebec                                                                     ,High Wage,BPA,"Montréal, QC H2P 2R8",22310-Electrical and electronics engineering technologists and technicians,Corporation,1,1
Quebec                                                                     ,High Wage,Broue Alliance inc,"Laval, QC H7E 1A1",90010-Manufacturing managers,Unknown,1,1
Quebec                                                                     ,High Wage,BRP,"Valcourt, QC J0E 2L0",11201-Professional occupations in business management consulting,Corporation,1,1
Quebec                                                                     ,High Wage,BRP,"Valcourt, QC J0E 2L0",21310-Electrical and electronics engineers,Corporation,1,1
Quebec                                                                     ,High Wage,BRP,"Valcourt, QC J0E 2L0",22212-Drafting technologists and technicians,Corporation,1,1
Quebec                                                                     ,High Wage,Bruneau Électrique Inc.,"Joliette, QC J6E 4M5",22300-Civil engineering technologists and technicians,Unknown,1,1
Quebec                                                                     ,High Wage,Bruneau Électrique Inc.,"Joliette, QC J6E 4M5",22310-Electrical and electronics engineering technologists and technicians,Unknown,1,1
Quebec                                                                     ,High Wage,C.F.R Dorchester inc.,"Sainte-Claire, QC G0R 2V0",72100-Machinists and machining and tooling inspectors,Unknown,1,1
Quebec                                                                     ,High Wage,CÂBLE & SON TÉLÉCOM LTÉE,"Laval, QC H7L 4S8",72205-Telecommunications equipment installation and cable television service technicians,Unknown,1,1
Quebec                                                                     ,High Wage,CAD Railway Industries Inc.,"Lachine, QC H8S 1B4",90010-Manufacturing managers,Unknown,1,1
Quebec                                                                     ,High Wage,CAFE GO,"Terrebonne, QC J6W  6K",22311-Electronic service technicians (household and business equipment),Corporation,1,1
Quebec                                                                     ,High Wage,Caisse Desjardins du Centre-Nord de Montréal,"Montréal, QC H2R 1X2",63102-Financial sales representatives,Unknown,1,1
Quebec                                                                     ,High Wage,Caisse Desjardins du Plateau-Mont-Royal,"Montréal, QC H2J 1W2",11102-Financial advisors,Unknown,1,1
Quebec                                                                     ,High Wage,Camions International Elite Ltée,"Québec, QC G1M 4A6","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,2
Quebec                                                                     ,High Wage,Can-Explore Inc,"Québec, QC G1N 2C9",12200-Accounting technicians and bookkeepers,Unknown,1,1
Quebec                                                                     ,High Wage,Can-Inspec Inc.,"Mascouche, QC J7K 0L3",22300-Civil engineering technologists and technicians,Unknown,1,1
Quebec                                                                     ,High Wage,Can-Inspec Inc.,"Mascouche, QC J7K 0L3",74205-Public works maintenance equipment operators and related workers,Unknown,1,1
Quebec                                                                     ,High Wage,"Cannara Biotech (Québec) inc,","Ville Saint-Laurent, QC H4N 3M9","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Quebec                                                                     ,High Wage,CARGOMAX INTERNATIONAL INC.,"LA PRAIRIE, QC J5R 6A9",13201-Production and transportation logistics coordinators,Unknown,1,1
Quebec                                                                     ,High Wage,CARROSSERIE IDEALE TERREBONNE INC.,"TERREBONNE, QC J6W 3A3","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Unknown,1,1
Quebec                                                                     ,High Wage,Carrosserie Micart Ltée,"Mascouche, QC J7K 1X9","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Unknown,1,1
Quebec                                                                     ,High Wage,Carrosserie The Car Healers inc.,"Laval, QC H7C 2K5",13110-Administrative assistants,Corporation,1,1
Quebec                                                                     ,High Wage,Carstar St-Jean-sur-Richelieu,"Sainte-Sabine, QC J0J 2B0","72411-Auto body collision, refinishing and glass technicians and damage repair estimators",Corporation,1,1
Quebec                                                                     ,High Wage,Cascades Canada ULC,"Kingsey-Falls, QC J0A 1B0",73401-Printing press operators,Unknown,1,1
Quebec                                                                     ,High Wage,Cascades Recovery,"Kingsey Falls, QC J0A 1B0",72400-Construction millwrights and industrial mechanics,Corporation,1,1
Quebec                                                                     ,High Wage,CB Tech Hydraulique,"boucherville, QC J4B 7K1",72100-Machinists and machining and tooling inspectors,Corporation,1,1
Quebec                                                                     ,High Wage,CCL Label Montréal,"St-Bruno-de-Montarville, QC J3V 0B7",94122-Paper converting machine operators,Corporation,1,1
Quebec                                                                     ,High Wage,CENTRAIDE MONTRÉAL,"Montréal, QC H3A 1B6",12100-Executive assistants,Unknown,1,1
Quebec                                                                     ,High Wage,Centrale POS Inc,"Montreal, QC H2Y 2H1",64101-Sales and account representatives - wholesale trade (non-technical),Unknown,1,1
Quebec                                                                     ,High Wage,CENTRE D'AUTO LA MONTAGNE INC.,"MONTREAL, QC H1H 5A6",12200-Accounting technicians and bookkeepers,Unknown,1,1
Quebec                                                                     ,High Wage,Centre de La petite enfance La Chenille,"Saint-Donat, QC J0T 2C0",42202-Early childhood educators and assistants,Unknown,1,1
Quebec                                                                     ,High Wage,Centre de Service Scolaire des Hauts Bois de l'Outaouais,"Maniwaki, QC J9E 1H4",41221-Elementary school and kindergarten teachers,Unknown,1,1
Quebec                                                                     ,High Wage,Centre de services scolaire de la Pointe-de-l’île,"Montreal, QC H1A 2T7",41221-Elementary school and kindergarten teachers,Unknown,2,2
Quebec                                                                     ,High Wage,Centre de services scolaire de l'Estuaire,"Baie-Comeau, QC G5C 0B8",42203-Instructors of persons with disabilities,Unknown,1,1
Quebec                                                                     ,High Wage,Centre de services scolaire des Chênes,"Drummondville, QC J2B 6X1",41220-Secondary school teachers,Unknown,1,1
Quebec                                                                     ,High Wage,Centre de services scolaire des Portages-de-l'Outaouais,"GATINEAU, QC J8X 2T3",41221-Elementary school and kindergarten teachers,Non-Profit Organization,2,2
Quebec                                                                     ,High Wage,Centre de Services scolaire des Samares,"Saint-Félix-de-Valois, QC J0K 2M0",41220-Secondary school teachers,Unknown,1,1
Quebec                                                                     ,High Wage,Centre de services scolaire du Pays-des-Bleuets,"Roberval, QC G8H 2L5",41220-Secondary school teachers,Unknown,2,2
Quebec                                                                     ,High Wage,Centre de services scolaires des Monts-et-Marées,"Amqui, QC G5J 2L8",41220-Secondary school teachers,Unknown,1,1
Quebec                                                                     ,High Wage,Centre hospitalier de l'Université de Montréal,"Montréal, QC H2X 0A9",31301-Registered nurses and registered psychiatric nurses,Sole Proprietorship,8,8
Quebec                                                                     ,High Wage,Centre intégré de santé et de service sociaux de la Montérégie-Ouest,"Chateauguay, QC J6K 4W8",31301-Registered nurses and registered psychiatric nurses,Unknown,9,9
Quebec                                                                     ,High Wage,Centre intégré de santé et de service sociaux de la Montérégie-Ouest,"Chateauguay, QC J6K 4W8","33102-Nurse aides, orderlies and patient service associates",Unknown,6,6
Quebec                                                                     ,High Wage,Centre intégré de santé et de services sociaux de la Côte-Nord,"Baie-Comeau, QC G5C 1P5","33102-Nurse aides, orderlies and patient service associates",Unknown,1,5
Quebec                                                                     ,High Wage,Centre intégré de santé et de services sociaux de la Gaspésie (CISSS Gaspésie),"Gaspé, QC G4X 2W2",31301-Registered nurses and registered psychiatric nurses,Unknown,5,5
Quebec                                                                     ,High Wage,Centre intégré de santé et de services sociaux de la Gaspésie (CISSS Gaspésie),"Gaspé, QC G4X 2W2","33102-Nurse aides, orderlies and patient service associates",Unknown,3,16
Quebec                                                                     ,High Wage,Centre intégré de santé et de services sociaux du Bas-Saint-Laurent,"Rimouski, QC G5L 3N2",31301-Registered nurses and registered psychiatric nurses,Unknown,3,10
Quebec                                                                     ,High Wage,Centre intégré de santé et de services sociaux du Bas-Saint-Laurent,"Rimouski, QC G5L 3N2","33102-Nurse aides, orderlies and patient service associates",Unknown,1,12
Quebec                                                                     ,High Wage,Centre intégré de santé et services sociaux de l'Abitibi-Témiscamingue,"Rouyn-Noranda, QC J9X 2A9",31301-Registered nurses and registered psychiatric nurses,Unknown,8,8
Quebec                                                                     ,High Wage,Centre intégré de santé et services sociaux de l'Abitibi-Témiscamingue,"Rouyn-Noranda, QC J9X 2A9","33102-Nurse aides, orderlies and patient service associates",Unknown,1,1
Quebec                                                                     ,High Wage,Centre intégré de santé et services sociaux des Laurentides,"Saint-Jérôme, QC J7Z 5T3",31301-Registered nurses and registered psychiatric nurses,Unknown,4,10
Quebec                                                                     ,High Wage,Centre intégré de santé et services sociaux des Laurentides,"Saint-Jérôme, QC J7Z 5T3","33102-Nurse aides, orderlies and patient service associates",Unknown,3,3
Quebec                                                                     ,High Wage,Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,"Trois-Rivières, QC G9A 5C5",31301-Registered nurses and registered psychiatric nurses,Unknown,2,2
Quebec                                                                     ,High Wage,Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,"Trois-Rivières, QC G9A 5C5","33102-Nurse aides, orderlies and patient service associates",Unknown,7,7
Quebec                                                                     ,High Wage,Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,"Trois-Rivières, QC G9A 5C5",41300-Social workers,Unknown,1,1
Quebec                                                                     ,High Wage,Centre Intégré universitaire de santé et service sociaux de la Capitale-Nationale,"Québec, QC G1C 3S2",31300-Nursing coordinators and supervisors,Unknown,1,1
Quebec                                                                     ,High Wage,Centre Intégré universitaire de santé et service sociaux de la Capitale-Nationale,"Québec, QC G1C 3S2",31301-Registered nurses and registered psychiatric nurses,Unknown,4,4
Quebec                                                                     ,High Wage,Centre Intégré universitaire de santé et service sociaux de la Capitale-Nationale,"Québec, QC G1C 3S2",32101-Licensed practical nurses,Unknown,1,1
Quebec                                                                     ,High Wage,Centre Intégré universitaire de santé et service sociaux de la Capitale-Nationale,"Québec, QC G1C 3S2","33102-Nurse aides, orderlies and patient service associates",Unknown,14,16
Quebec                                                                     ,High Wage,Centre Intégré universitaire de santé et service sociaux de la Capitale-Nationale,"Québec, QC G1C 3S2",41300-Social workers,Unknown,1,1
Quebec                                                                     ,High Wage,Centre Intégré universitaire de santé et service sociaux de la Capitale-Nationale,"Québec, QC G1C 3S2",42201-Social and community service workers,Unknown,1,1
Quebec                                                                     ,High Wage,Centre intégré universitaire de santé et services sociaux de l'Estrie - Centre hospitalier universit,"Sherbrooke, QC J1G 1B1",31301-Registered nurses and registered psychiatric nurses,Unknown,9,9
Quebec                                                                     ,High Wage,CG Air Systèmes inc.,"Ste-Marguerite, QC G0S 2X0",22310-Electrical and electronics engineering technologists and technicians,Unknown,1,1
Quebec                                                                     ,High Wage,CGI Information Systems & Management Consultants Inc.,"Montreal, QC H3G 1T4",21222-Information systems specialists,Unknown,1,1
Quebec                                                                     ,High Wage,CGI Information Systems & Management Consultants Inc.,"Montreal, QC H3G 1T4",21232-Software developers and programmers,Unknown,1,1
Quebec                                                                     ,High Wage,Chariot Elevateur C.Roy Inc.,"Saint Georges de Beauce, QC G5Y 8E7","72423-Motorcycle, all-terrain vehicle and other related mechanics",Unknown,1,1
Quebec                                                                     ,High Wage,Charl-Pol inc.,"La Baie, QC G7B 0J4",72106-Welders and related machine operators,Corporation,5,10
Quebec                                                                     ,High Wage,Château M.T. Inc.,"Mont-Tremblant, QC J8E 1E1",12101-Human resources and recruitment officers,Unknown,1,1
Quebec                                                                     ,High Wage,Chemical Computing Group ULC,"Montreal, QC H3A 2R7",21110-Biologists and related scientists,Unknown,1,1
Quebec                                                                     ,High Wage,CHU de Québec - Université Laval,"Québec, QC G1R 2J6",31301-Registered nurses and registered psychiatric nurses,Non-Profit Organization,3,3
Quebec                                                                     ,High Wage,CHU Sainte-Justine,"Montréal, QC H3T 1C5",31301-Registered nurses and registered psychiatric nurses,Non-Profit Organization,3,3
Quebec                                                                     ,High Wage,Cimaise inc.,"Sherbrooke, QC J1H 5B7",13110-Administrative assistants,Unknown,1,1
Quebec                                                                     ,High Wage,CISSS de Chaudière-Appalaches,"Sainte-Marie, QC G6E 3E2",31301-Registered nurses and registered psychiatric nurses,Unknown,1,1
Quebec                                                                     ,High Wage,CISSS de Chaudière-Appalaches,"Sainte-Marie, QC G6E 3E2","33102-Nurse aides, orderlies and patient service associates",Unknown,3,16
Quebec                                                                     ,High Wage,CISSS de la Montérégie-Centre,"Greenfield Park, QC J4V 2H1",31301-Registered nurses and registered psychiatric nurses,Unknown,2,2
Quebec                                                                     ,High Wage,CISSS de la Montérégie-Centre,"Greenfield Park, QC J4V 2H1",32121-Medical radiation technologists,Unknown,1,1
Quebec                                                                     ,High Wage,CISSS de la Montérégie-Centre,"Greenfield Park, QC J4V 2H1","33102-Nurse aides, orderlies and patient service associates",Unknown,2,2
Quebec                                                                     ,High Wage,CISSS de la Montérégie-Est,"Saint-Hyacinthe, QC J2S 8T2",31112-Audiologists and speech-language pathologists,Unknown,1,1
Quebec                                                                     ,High Wage,CISSS de la Montérégie-Est,"Saint-Hyacinthe, QC J2S 8T2",31301-Registered nurses and registered psychiatric nurses,Unknown,8,8
Quebec                                                                     ,High Wage,CISSS de Lanaudière,"St-Charles-Borromée, QC J6E 6J2",31301-Registered nurses and registered psychiatric nurses,Non-Profit Organization,4,4
Quebec                                                                     ,High Wage,CISSS de Laval,"LAVAL, QC H7M 3L9",31301-Registered nurses and registered psychiatric nurses,Non-Profit Organization,1,1
Quebec                                                                     ,High Wage,"Citadelle, Coopérative de producteurs de sirop d'érable","Plessisville, QC G6L 2R3",72422-Electrical mechanics,Unknown,1,1
Quebec                                                                     ,High Wage,CIUSSS Centre-Sud de l'Île de Montréal,"MONTRÉAL, QC H1T 1C2",31301-Registered nurses and registered psychiatric nurses,Partnership,1,1
Quebec                                                                     ,High Wage,CIUSSS de l'Est-de-l'Île-de-Montréal,"Montréal, QC H1T 2M4",31301-Registered nurses and registered psychiatric nurses,Non-Profit Organization,1,1
Quebec                                                                     ,High Wage,CIUSSS de l'Est-de-l'Île-de-Montréal,"Montréal, QC H1T 2M4","33102-Nurse aides, orderlies and patient service associates",Non-Profit Organization,2,7
Quebec                                                                     ,High Wage,CIUSSS de l'Est-de-l'Île-de-Montréal,"Montréal, QC H1T 2M4",41300-Social workers,Non-Profit Organization,1,1
Quebec                                                                     ,High Wage,CIUSSS du Nord de l'Île de Montréal,"Montréal, QC H2E 1Y1",31204-Kinesiologists and other professional occupations in therapy and assessment,Non-Profit Organization,1,1
Quebec                                                                     ,High Wage,CIUSSS du Nord de l'Île de Montréal,"Montréal, QC H2E 1Y1",31300-Nursing coordinators and supervisors,Non-Profit Organization,1,1
Quebec                                                                     ,High Wage,CIUSSS du Nord de l'Île de Montréal,"Montréal, QC H2E 1Y1",31301-Registered nurses and registered psychiatric nurses,Non-Profit Organization,13,13
Quebec                                                                     ,High Wage,CIUSSS du Nord de l'Île de Montréal,"Montréal, QC H2E 1Y1",41300-Social workers,Non-Profit Organization,1,1
Quebec                                                                     ,High Wage,CIUSSS du Saguenay-Lac-Saint-Jean,"Chicoutimi, QC G7H 5H6",31301-Registered nurses and registered psychiatric nurses,Unknown,2,2
Quebec                                                                     ,High Wage,CIUSSS du Saguenay-Lac-Saint-Jean,"Chicoutimi, QC G7H 5H6","33102-Nurse aides, orderlies and patient service associates",Unknown,2,8
Quebec                                                                     ,High Wage,CLAYNOSAURZ INC.,"Montréal, QC H3M 2W5","51120-Producers, directors, choreographers and related occupations",Unknown,1,1
Quebec                                                                     ,High Wage,Climatisation Nouvel-air inc,"laval, QC H7L 3N8","72402-Heating, refrigeration and air conditioning mechanics",Unknown,1,1
Quebec                                                                     ,High Wage,"Clinique dentaire Milette S.A,","Shawinigan, QC G9N 4T9",31110-Dentists,Unknown,1,1
Quebec                                                                     ,High Wage,Clinique vétérinaire Centre-du-Québec,"Bon-Conseil, QC J0C 1A0",31103-Veterinarians,Corporation,1,1
Quebec                                                                     ,High Wage,CLUB DE SOCCER DE LA VALLÉE-DE-L'OR,"Val-d'Or, QC J9P 3P3","50012-Recreation, sports and fitness program and service directors",Unknown,1,1
Quebec                                                                     ,High Wage,Collabora (Canada) Inc.,"Montréal, QC H2Y 1T9",21232-Software developers and programmers,Unknown,1,1
Quebec                                                                     ,High Wage,"Compagnie de Fabrication Cylindrix Inc.,","Montréal, QC H1Z 2Z3",94106-Machining tool operators,Unknown,1,1
Quebec                                                                     ,High Wage,Compagnie WestRock du Canada Corp.,"Montréal, QC H1A 3S2","94121-Pulp mill, papermaking and finishing machine operators",Unknown,2,6
Quebec                                                                     ,High Wage,Comptabilite et Services Fiscaux Accountax Inc.,"Saint-Laurent, QC H4L 3M1",12200-Accounting technicians and bookkeepers,Corporation,1,1
Quebec                                                                     ,High Wage,CONCEPTION ET FABRICATION NICOLAS POTVIN INC.,"La Tuque, QC G9X 2Z4",72100-Machinists and machining and tooling inspectors,Corporation,1,1
Quebec                                                                     ,High Wage,Confections Carcajou ltée,"Gatineau, QC J9J 3N7","64200-Tailors, dressmakers, furriers and milliners",Unknown,1,1
Quebec                                                                     ,High Wage,Conformit Technology inc,"Saguenay, QC G7H 2V3",21232-Software developers and programmers,Unknown,1,1
Quebec                                                                     ,High Wage,Construction demathieu et bard (cdb) inc.,"Saint-Jérôme, QC J7Y 4P7",13201-Production and transportation logistics coordinators,Unknown,1,1
Quebec                                                                     ,High Wage,Construction demathieu et bard (cdb) inc.,"Saint-Jérôme, QC J7Y 4P7",72401-Heavy-duty equipment mechanics,Unknown,1,1
Quebec                                                                     ,High Wage,Construction Thermicanique inc.,"Jonquière, QC G7Z 0A2",72106-Welders and related machine operators,Unknown,1,1
Quebec                                                                     ,High Wage,Continuite Affaire BCMA Inc,"Longueuil, QC J4N 0E6",21230-Computer systems developers and programmers,Unknown,1,1
Quebec                                                                     ,High Wage,Convoyeur continental & Usinage ltée,"Thetford Mines, QC G6G 3V8",72106-Welders and related machine operators,Corporation,2,2
Quebec                                                                     ,High Wage,Corporation BNP Paribas Canada,"Montréal, QC H3A 2A6",41101-Lawyers and Quebec notaries,Corporation,1,1
Quebec                                                                     ,High Wage,Corporation de l'École Polytechnique de Montréal,"Montréal, QC H3T 1J4",13100-Administrative officers,Unknown,1,1
Quebec                                                                     ,High Wage,Corporation de l'École Polytechnique de Montréal,"Montréal, QC H3T 1J4",22101-Geological and mineral technologists and technicians,Unknown,1,1
Quebec                                                                     ,High Wage,Corporation de l'École Polytechnique de Montréal,"Montréal, QC H3T 1J4",41200-University professors and lecturers,Unknown,1,1
Quebec                                                                     ,High Wage,Couvoir Scott (2020) Inc.,"Scott, QC G0S 3G0",72422-Electrical mechanics,Sole Proprietorship,1,1
Quebec                                                                     ,High Wage,"Coveo Solutions, Inc","Québec, QC G1W 2K7",42200-Paralegal and related occupations,Corporation,1,1
Quebec                                                                     ,High Wage,CPE La ptite chute,"Québec, QC G1C 0B9",42202-Early childhood educators and assistants,Non-Profit Organization,1,1
Quebec                                                                     ,High Wage,Creations Zamco,"Laval, QC H7A  0G",75110-Construction trades helpers and labourers,Corporation,1,2
Quebec                                                                     ,High Wage,Crowe BGK LLP,"Montréal, QC H3Z 2Y5",12200-Accounting technicians and bookkeepers,Unknown,1,1
Quebec                                                                     ,High Wage,Danaco Inc,"Laval, QC H7C 0K9",72422-Electrical mechanics,Unknown,1,1
Quebec                                                                     ,High Wage,DCP DERMOSCIENCE INC,"boucherville, QC J4B 7K1",22100-Chemical technologists and technicians,Unknown,1,1
Quebec                                                                     ,High Wage,Decathlon Canada Inc,"Brossard, QC J4W 2T5","12013-Supervisors, supply chain, tracking and scheduling coordination occupations",Unknown,1,1
Quebec                                                                     ,High Wage,Decathlon Canada Inc,"Brossard, QC J4W 2T5",62010-Retail sales supervisors,Unknown,1,1
Quebec                                                                     ,High Wage,Design Dekos Plus inc.,"dorval, QC H9P 1A3",72311-Cabinetmakers,Unknown,1,1
Quebec                                                                     ,High Wage,Desjardins Assurances Générales inc.,"Lévis, QC G6V 6P9",63100-Insurance agents and brokers,Unknown,1,1
Quebec                                                                     ,High Wage,Desjardins Assurances Générales inc.,"Lévis, QC G6V 6P9",63102-Financial sales representatives,Unknown,3,3
Quebec                                                                     ,High Wage,Desjardins Sécurité financière,"Montréal, QC H5B 1B2",11201-Professional occupations in business management consulting,Corporation,1,1
Quebec                                                                     ,High Wage,Devicom inc,"Chicoutimi, QC G7H 1P5",20012-Computer and information systems managers,Unknown,1,1
Quebec                                                                     ,High Wage,Dimonoff Inc.,"QUÉBEC, QC G1W 0C4",13110-Administrative assistants,Unknown,1,1
Quebec                                                                     ,High Wage,Documents XMA Inc.,"montreal, QC H4E 1A8",60010-Corporate sales managers,Unknown,2,2
Quebec                                                                     ,High Wage,DONTNOD,"Montréal, QC H2R 2Y8",52113-Audio and video recording technicians,Corporation,1,1
Quebec                                                                     ,High Wage,DRYTEC TRANS-CANADA,"Terrebonne, QC J6Y 1T3","94213-Industrial painters, coaters and metal finishing process operators",Partnership,1,1
Quebec                                                                     ,High Wage,Dynamitage Castonguay Ltée.,"Sherbrooke, QC J1N 1H1",72401-Heavy-duty equipment mechanics,Unknown,1,1
Quebec                                                                     ,High Wage,EB CONSEIL FISCAL INC.,"Montreal,, QC H3V 1G6",11100-Financial auditors and accountants,Partnership,1,1
Quebec                                                                     ,High Wage,Échafaudage CF MARTIN Inc.,"rue Rivard, QC G1M 3G8",72310-Carpenters,Unknown,1,1
Quebec                                                                     ,High Wage,École de Cirque des Îles,"Étang-du-Nord, QC G4T 3G1","54100-Program leaders and instructors in recreation, sport and fitness",Unknown,1,1
Quebec                                                                     ,High Wage,École Imagine,"Val-David, QC J0T 2N0",43100-Elementary and secondary school teacher assistants,Unknown,1,1
Quebec                                                                     ,High Wage,Ecolomondo Corporation,"Saint-Laurent, QC H4S 1H7",62100-Technical sales specialists - wholesale trade,Corporation,1,1
Quebec                                                                     ,High Wage,EDF Renewable Services Inc.,"Montreal, QC H3B 2N2",72400-Construction millwrights and industrial mechanics,Unknown,1,1
Quebec                                                                     ,High Wage,Éducation internationale coopérative de services de développement et d'échanges en éducation,"Québec, QC G1J 3G6",12200-Accounting technicians and bookkeepers,Unknown,1,1
Quebec                                                                     ,High Wage,ELASTO PROXY INC.,"Boisbriand, QC J7H 1N1",62100-Technical sales specialists - wholesale trade,Unknown,1,1
Quebec                                                                     ,High Wage,Emballage St-Jean Ltée,"St-Jean-sur-Richelieu, QC J2W 2M4",94110-Chemical plant machine operators,Unknown,1,1
Quebec                                                                     ,High Wage,Emballages Mitchel Lincoln Ltée,"Montréal, QC H4R 1V1",94122-Paper converting machine operators,Unknown,1,1
Quebec                                                                     ,High Wage,Encan Transcan,"Laval, QC H7S  2K",62101-Retail and wholesale buyers,Corporation,1,1
Quebec                                                                     ,High Wage,ÉNERGIE VALERO INC.,"Montréal, QC H3A 2N4",10010-Financial managers,Unknown,1,1
Quebec                                                                     ,High Wage,Entretien Jardin Fleuri Inc,"Boucherville, QC J4B 8T2",22114-Landscape and horticulture technicians and specialists,Unknown,1,1
Quebec                                                                     ,High Wage,Entretiens J.R.Villeneuve Inc,"Bois-des-Filion, QC J6Z 4W4",72401-Heavy-duty equipment mechanics,Unknown,1,1
Quebec                                                                     ,High Wage,Enveloppe Concept,"La Salle, QC H8R 2C8",72400-Construction millwrights and industrial mechanics,Corporation,1,1
Quebec                                                                     ,High Wage,Enviro Confort inc.,"Levis, QC G6W 7Y1","72402-Heating, refrigeration and air conditioning mechanics",Unknown,1,1
Quebec                                                                     ,High Wage,Environnement Sanivac,"Alma, QC G8C 1M6","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Quebec                                                                     ,High Wage,EPC Canada Explosives Ltd,"Trois-Rivieres, QC G9A 5C9",22101-Geological and mineral technologists and technicians,Unknown,1,1
Quebec                                                                     ,High Wage,EPC Canada Explosives Ltd,"Trois-Rivieres, QC G9A 5C9","73402-Drillers and blasters - surface mining, quarrying and construction",Unknown,1,1
Quebec                                                                     ,High Wage,Équipements Lafontaine inc.,"Lévis, QC G6V 7M5","72410-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1
Quebec                                                                     ,High Wage,Éric Ouellet inc,"Beauceville, QC G5X 1B9",72400-Construction millwrights and industrial mechanics,Unknown,1,2
Quebec                                                                     ,High Wage,Escale Santé du Jardin Botanique inc.,"Montréal, QC H1Y 3N1",62029-Other services supervisors,Unknown,1,1
Quebec                                                                     ,High Wage,EspaceProprio,"Lévis, QC G6X 1K7",21234-Web developers and programmers,Corporation,1,1
Quebec                                                                     ,High Wage,Eurovia Québec CSP Inc,"Boucherville, QC J4B 7L4",11200-Human resources professionals,Corporation,1,1
Quebec                                                                     ,High Wage,Expertbatiment Services Conseils INC.,"Saint-Jérôme, QC J7Z 5E5",22233-Construction inspectors,Unknown,1,3
Quebec                                                                     ,High Wage,Exxel Polymers Inc,"Bromont, QC J2L 1S8",72422-Electrical mechanics,Unknown,1,1
