"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2021",b,c,d,e,f
Quebec,  Primary Agriculture,Le Maraîcher André Côté enr.,"Saint-Paul d'Abbotsford, QC J0E 1A0",8431-General farm workers,12
Quebec,  Primary Agriculture,Le Porc du Moine inc.,"PLESSISVILLE, QC G6L 2Y2",8431-General farm workers,1
Quebec,  Primary Agriculture,Le Potager D'Émylou inc.,"Canton Hatley, QC J0B 2C0",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Le Potager Eardley Inc.,"Gatineau, QC J9J 2Y9",8431-General farm workers,5
Quebec,  Primary Agriculture,Le Potager Riendeau Inc.,"SAINT-RÉMI, QC J0L 2L0",8431-General farm workers,109
Quebec,  Primary Agriculture,Le Terroir de Dunham inc.,"DUNHAM, QC J0E 1M0",8431-General farm workers,13
Quebec,  Primary Agriculture,Le Verger Méli-Mélo Senc,"SAINT-EUSTACHE, QC J7R 2M4",8431-General farm workers,22
Quebec,  Primary Agriculture,Le Vignoble de Sainte-Pétronille,"SAINTE-PÉTRONILLE, QC G0A 4C0",8431-General farm workers,3
Quebec,  Primary Agriculture,Leclerc Agriculture inc.,"St-Augustin-de-Desmaure, QC G3A 1T1",8431-General farm workers,4
Quebec,  Primary Agriculture,Leclerc Agriculture inc.,"St-Augustin-de-Desmaure, QC G3A 1T1",8611-Harvesting labourers,1
Quebec,  Primary Agriculture,Légumier Marcoux inc.,"Lévis, QC G7A 4H6",8431-General farm workers,15
Quebec,  Primary Agriculture,L'Équipoule Inc,"MARIEVILLE, QC J3M 1J5",8431-General farm workers,59
Quebec,  Primary Agriculture,L'Érablière de l'Avenir inc,"St-Édouard-de-Lotbinière, QC G0S 1Y0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Aliments Livabec Foods inc.,"SHERRINGTON, QC J0L 2N0",8431-General farm workers,10
Quebec,  Primary Agriculture,Les Arpents Vert Angélique Inc.,"Saint-Angèle-de-Prémont, QC J0K 1R0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Atocas de l'Érable inc.,"PLESSISVILLE, QC G6L 1R6",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Atocas du Québec Ltée.,"Drummondville, QC J2B 8S8",8431-General farm workers,6
Quebec,  Primary Agriculture,Les Bleuetières 2000 Inc.,"SAINT-BRUNO, QC G0W 2L0",8431-General farm workers,60
Quebec,  Primary Agriculture,Les bleuetières Senco Inc.,"Saint-Félicien, QC G8K 1B3",8431-General farm workers,6
Quebec,  Primary Agriculture,Les Bontés de la vallée,"Brossard, QC J4Y 1H5",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Canneberges des Deux Rivières SENC,"SAINTE-SOPHIE, QC G0P 1L0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Canneberges Dion inc.,"Saint-Cyrille-de-Wendover, QC J1Z 1K3",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Cèdres de Beauce Inc,"SAINT-ISIDORE, QC G0S 2S0",8432-Nursery and greenhouse workers,9
Quebec,  Primary Agriculture,Les Cultures de Chez Nous inc.,"SAINTE-BRIGITTE-DES-SAULTS, QC J0C 1E0",8431-General farm workers,32
Quebec,  Primary Agriculture,Les cultures Dion inc.,"Saint-Liboire, QC J0H 1R0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Cultures Duhaime inc.,"St-Germain-de-Grantham, QC J0C 1K0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Cultures Ferland Inc.,"SAINT-RÉMI, QC J0L 2L0",8431-General farm workers,9
Quebec,  Primary Agriculture,Les Cultures Fortin Inc.,"SAINT-PATRICE-DE-BEAURIVAGE, QC G0S 1B0",8431-General farm workers,12
Quebec,  Primary Agriculture,Les Élevages au Pluriel Inc.,"Leclercville, QC G0S 2K0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Élevages Baillargeon inc.,"Ange-Gardien, QC J0E 1E0",8431-General farm workers,3
Quebec,  Primary Agriculture,Les Élevages Charbonneau Inc.,"SAINT-LOUIS, QC J0G 1K0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Élevages EMD (Ferme François Cormier 2009 inc.),"SAINT-GUILLAUME, QC J0C 1L0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Élevages L.D. Ltée,"SAINT-HONORÉ-DE-SHENLEY, QC G0M 1V0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Élevages Lemay Inc.,"Saint-Édouard-de-Lotbinière, QC G0S 1Y0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Élevages Madystar SENC,"St-Elphège, QC J0G 1J0",8431-General farm workers,7
Quebec,  Primary Agriculture,Les Élevages Viens inc.,"AYER'S CLIFF, QC J0B 1C0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Entreprises Agricoles Desgroseillers Inc.,"St-Isidore, QC J0L 2A0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les entreprises agricoles Lacombe inc.,"SAINTE-MARIE-MADELEINE, QC J0H 1S0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Entreprises Côteloise inc.,"STE-BRIGITTE-DES-SAULTS, QC J0C 1E0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Entreprises Downey-Roberge Inc,"COOKSHIRE-EATON, QC J0B 1M0",8432-Nursery and greenhouse workers,4
Quebec,  Primary Agriculture,Les entreprises Fortin Tremblay et fils Inc.,"L'Ascension, QC G0W 1Y0",8431-General farm workers,6
Quebec,  Primary Agriculture,Les entreprises Francis Labonté inc.,"SAINT-CHRISTOPHE-D'ARTHABASKA, QC G6R 0P3",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Entreprises G.M. Benoit Inc,"STE-BRIGITTE-DES-SAULTS, QC J0C 1E0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Entreprises Greentone inc.,"Montréal, QC H3B 1A5",8431-General farm workers,6
Quebec,  Primary Agriculture,Les Entreprises J.M. Faille Inc,"St-Michel, QC J0L 2J0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Entreprises Jacques Beloin Inc,"East Hereford, QC J0B 1S0",8432-Nursery and greenhouse workers,4
Quebec,  Primary Agriculture,Les Entreprises Lavallée,"SAINT-JOSEPH DU LAC, QC J0N 1M0",8431-General farm workers,15
Quebec,  Primary Agriculture,Les Entreprises Lirane inc.,"Inverness, QC G0S 1K0",8431-General farm workers,1
Quebec,  Primary Agriculture,LES ENTREPRISES MJT INC.,"Henryville, QC J0J 1E0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Entreprises Pitre Inc.,"Mont-Laurier, QC J9L 3G5",8431-General farm workers,171
Quebec,  Primary Agriculture,Les Entreprises Ponton Inc,"SHERBROOKE, QC J1C 0E3",8431-General farm workers,2
Quebec,  Primary Agriculture,Les entreprises R.N. Perron Inc.,"Dolbeau-Mistassni, QC G8L 5P8",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Entreprises Robert Charette Inc.,"Saint-Gabriel-de-Brandon, QC J0K 2N0",8431-General farm workers,36
Quebec,  Primary Agriculture,Les Entreprises Sébastien Grégoire inc,"St-Amboise-de-Kildare, QC J0K 1C0",8431-General farm workers,6
Quebec,  Primary Agriculture,Les entreprises Yanick Lacharité inc.,"NICOLET, QC J3T 1M1",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Fermes Alcaro inc.,"SAINT-RÉMI, QC J0L 2L0",8431-General farm workers,36
Quebec,  Primary Agriculture,Les Fermes Belvache inc.,"Sainte-Anne-des-Plaines, QC J0N 1H0",8431-General farm workers,10
Quebec,  Primary Agriculture,Les Fermes Benallan Farms Senc.,"LACHUTE, QC J8H 2C5",8431-General farm workers,3
Quebec,  Primary Agriculture,Les Fermes Boisvert 2007 Inc,"L'Avenir, QC J0C 1B0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Fermes Cotopierre inc.,"Rimouski, QC G5N 1W9",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Fermes David et Richard Blais Inc.,"saint-Laurent-de-l'île-d'Orléans, QC G0A 3Z0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes du Ruisseau Mirabel inc.,"MIRABEL, QC J7N 2R8",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes Élio Notaro et fils inc,"SHERRINGTON, QC J0L 2N0",8431-General farm workers,60
Quebec,  Primary Agriculture,Les Fermes G.Nadon Inc.,"LAVAL, QC H7J 1G6",8431-General farm workers,12
Quebec,  Primary Agriculture,Les Fermes Jan-Nik Inc.,"SAINTE-MARIE-MADELEINE, QC J0H 1S0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes L.C.E. Inc.,"Saint-Gédéon-de-Beauce, QC G0M 1T0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Fermes Leclair & frères Ltée,"SHERRINGTON, QC J0L 2N0",8431-General farm workers,76
Quebec,  Primary Agriculture,Les Fermes Lefort inc.,"ST-RÉMI, QC J0L 2L0",8431-General farm workers,38
Quebec,  Primary Agriculture,Les Fermes Michel Beaulieu Inc.,"SAINT-ÉDOUARD, QC J0L 1Y0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Fermes Parent-Beauregard inc.,"Saint-Joachim-de-Shefford, QC J0E 2G0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes Petite Nation Inc.,"Saint-Hyacinthe, QC J7R 1L1",8431-General farm workers,3
Quebec,  Primary Agriculture,Les Fermes R.R. & fils Inc,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,22
Quebec,  Primary Agriculture,Les Fermes Richard Laporte et Fils Inc,"Notre-Dame-de-Lourdes, QC J0K 1K0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes Roland Pigeon & fils inc.,"SAINT-RÉMI, QC J0L 2L0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Fermes Serbi Inc.,"Saint-Eustache, QC J7R 4K3",8431-General farm workers,12
Quebec,  Primary Agriculture,Les Fermes V. Forino & fils inc.,"SHERRINGTON, QC J0L 2N0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Les Fermes V. Forino & fils inc.,"SHERRINGTON, QC J0L 2N0",8431-General farm workers,102
Quebec,  Primary Agriculture,Les Fermes Waller inc.,"FRANKLIN, QC J0S 1E0",8431-General farm workers,6
Quebec,  Primary Agriculture,Les Fines Herbes de Chez-Nous inc.,"SAINT-MATHIEU-DE-BELOEIL, QC J3G 0E3",8431-General farm workers,18
Quebec,  Primary Agriculture,Les Fraises de l'Île d'Orléans Inc.,"saint-Laurent-de-l'île-d'Orléans, QC G0A 3Z0",8431-General farm workers,171
Quebec,  Primary Agriculture,Les Fruits Bleus Inc.,"SAINT-BRUNO, QC G0W 2L0",8431-General farm workers,24
Quebec,  Primary Agriculture,Les Gazons Ste-Julie Ltée,"Les Coteaux, QC J7X 1G4",8431-General farm workers,57
Quebec,  Primary Agriculture,Les Gazons Tholano Inc.,"SAINT-THOMAS-DE-JOLIETTE, QC J0K 3L0",8431-General farm workers,12
Quebec,  Primary Agriculture,Les Gourmets d'Amérique inc.,"ROUGEMONT, QC J0L 1M0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Les Gourmets d'Amérique inc.,"ROUGEMONT, QC J0L 1M0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Jardiniers Idéal Ltée,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,32
Quebec,  Primary Agriculture,Les Jardins A. Guérin & Fils Inc.,"SHERRINGTON, QC J0L 2N0",8431-General farm workers,53
Quebec,  Primary Agriculture,Les Jardins Baielactée Inc.,"La Baie, QC G7B 3N9",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Jardins Cérès (9142-8854 Qc inc),"YAMACHICHE, QC G0X 3L0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Les jardins Claude et Louisa inc.,"Saint-Damase, QC J0H 1J0",8431-General farm workers,9
Quebec,  Primary Agriculture,Les Jardins d'Ambroise Inc.,"SAINT-AMBROISE-DE-KILDARE, QC J0K 1C0",8431-General farm workers,8
Quebec,  Primary Agriculture,Les jardins d'Arlington,"STANBRIDGE EAST, QC J0J 2H0",8431-General farm workers,6
Quebec,  Primary Agriculture,Les Jardins des Deux D Inc.,"HEMMINGFORD, QC J0L 1H0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Jardins d'Oka Inc.,"Oka, QC J0N 1E0",8431-General farm workers,30
Quebec,  Primary Agriculture,Les Jardins du lac SENC,"Béthanie, QC J0E 2L1",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Jardins du Petit-Pré 2.0 Inc.,"Château-Richer, QC G0A 1N0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Jardins du Suroit 2000 inc.,"Côteau-du-lac, QC J0P 1B0",8431-General farm workers,16
Quebec,  Primary Agriculture,Les Jardins Hamelin inc.,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,5
Quebec,  Primary Agriculture,Les Jardins I.E.C. Dubuc Inc.,"ST-ÉDOUARD, QC J0L 1Y0",8431-General farm workers,9
Quebec,  Primary Agriculture,Les Jardins J & M Hamelin Inc.,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,3
Quebec,  Primary Agriculture,Les Jardins Lefort inc,"Sainte-Clotilde, QC J0L 1W0",8431-General farm workers,6
Quebec,  Primary Agriculture,Les Jardins Martin Riendeau inc,"SAINT-RÉMI, QC J0L 2L0",8431-General farm workers,14
Quebec,  Primary Agriculture,Les Jardins Michel Corbeil Inc.,"Saint-Eustache, QC J7R 4K3",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Les Jardins Paul Cousineau & Fils Inc.,"St-Constant, QC J5A 0R2",8431-General farm workers,35
Quebec,  Primary Agriculture,Les jardins Raymond Inc.,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Jardins Sorel inc.,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Jardins Vegibec inc.,"Oka, QC J0N 1E0",8431-General farm workers,229
Quebec,  Primary Agriculture,Les Légumes R & M Inc,"SHERRINGTON, QC J0L 2N0",8431-General farm workers,14
Quebec,  Primary Agriculture,Les Maraichères F & L Dubuc enr.,"SAINT-ISIDORE, QC J0L 2A0",8431-General farm workers,7
Quebec,  Primary Agriculture,Les Maraichers Bombardier Inc.,"ST-EDOUARD, QC J0L  1Y",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Maraichers P.A. Cousineau & Fils Inc,"Ste-Clotilde, QC J0L 1W0",8431-General farm workers,7
Quebec,  Primary Agriculture,Les Maraîchers P.Y. Cousineau Senc.,"Saint-Eustache, QC J7R 4K3",8431-General farm workers,10
Quebec,  Primary Agriculture,Les Maraîchers Potvin Inc.,"Métabetchouan, QC G8G 2E5",8431-General farm workers,5
Quebec,  Primary Agriculture,Les Maraîchers Saint-Sulpice Inc.,"SAINT-SULPICE, QC J5W 3X3",8431-General farm workers,5
Quebec,  Primary Agriculture,Les Oeufs D'Orléans Inc.,"Saint-Laurent-de-l'Île d'Orélans, QC G0A 3Z0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Plantations Robert Inc.,"LAC-DROLET, QC G0Y  1C",8432-Nursery and greenhouse workers,19
Quebec,  Primary Agriculture,Les Pommes Enderle Inc.,"HEMMINGFORD, QC J0L 1H0",8431-General farm workers,10
Quebec,  Primary Agriculture,Les Potagers des nues mains,"Sutton, QC J0E 2K0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Prés Verts M.B. Ltée,"St-Marcel, QC J0H 1T0",8431-General farm workers,3
Quebec,  Primary Agriculture,Les Productions Horticoles Demers inc,"Lévis, QC G7A 0R7",8431-General farm workers,113
Quebec,  Primary Agriculture,Les Productions Horticoles Demers inc,"Lévis, QC G7A 0R7",8432-Nursery and greenhouse workers,28
Quebec,  Primary Agriculture,Les Productions Maraichères Bourget & frères inc.,"Mercier, QC J6R 2L1",8431-General farm workers,35
Quebec,  Primary Agriculture,Les Produits Forino inc.,"St-Clotilde de Châteauguay, QC J0L 1W0",8431-General farm workers,23
Quebec,  Primary Agriculture,Les Ruchers Chaudières-Appalaches inc.,"SAINT-SYLVESTRE, QC G0S 3C0",8431-General farm workers,9
Quebec,  Primary Agriculture,Les Ruchers de Gallix,"Sept-Îles (Secteur Galix), QC G0G 1L0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Sapins Downey Inc.,"SHERBROOKE, QC J1M 1Z3",8432-Nursery and greenhouse workers,21
Quebec,  Primary Agriculture,Les Serres A. Giguère (1990) Inc.,"Neuville, QC G0A 2R0",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Les Serres Biologico Inc.,"SAINTE-SOPHIE, QC J5J 2V3",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Les Serres Bleues Inc.,"Chapais, QC G0W 1H0",8431-General farm workers,12
Quebec,  Primary Agriculture,Les Serres coopératives de Guyenne,"Guyennes, QC J0Y 1L0",8432-Nursery and greenhouse workers,6
Quebec,  Primary Agriculture,Les Serres de la Presqu'île inc.,"Saint-Damase, QC J0H 1J0",8431-General farm workers,27
Quebec,  Primary Agriculture,Les Serres Demers Inc.,"Lévis, QC G7A 0R7",8431-General farm workers,24
Quebec,  Primary Agriculture,Les Serres Demers Inc.,"Lévis, QC G7A 0R7",8432-Nursery and greenhouse workers,31
Quebec,  Primary Agriculture,Les Serres Fournier inc.,"Saint-Narcisse, QC G0S 1W0",8432-Nursery and greenhouse workers,3
Quebec,  Primary Agriculture,Les serres J.C. Lauzon et associés senc.,"Saint-Eustache, QC J7R 0G3",8431-General farm workers,2
Quebec,  Primary Agriculture,Les serres J.C. Lauzon et associés senc.,"Saint-Eustache, QC J7R 0G3",8432-Nursery and greenhouse workers,2
Quebec,  Primary Agriculture,Les Serres Lefort Inc,"Ste-Clotilde, QC J0L 1W0",8431-General farm workers,5
Quebec,  Primary Agriculture,Les Serres Lefort Inc,"Ste-Clotilde, QC J0L 1W0",8432-Nursery and greenhouse workers,12
Quebec,  Primary Agriculture,Les Serres Michel Vandewalle inc.,"Saint-Zotique, QC J0P 1Z0",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Les Serres Mirabel Inc.,"MIRABEL, QC J7N 2A9",8432-Nursery and greenhouse workers,1
Quebec,  Primary Agriculture,Les Serres Roch Hébert S.E.N.C.,"Ste-Famille-de-l'Ile-d'Orléans, QC G0A 3P0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les serres Royales inc.,"SAINT-JÉRÔME, QC J7Z 7M2",8432-Nursery and greenhouse workers,25
Quebec,  Primary Agriculture,Les Serres S. Benoit inc.,"SAINT-ISIDORE, QC J0L 2A0",8431-General farm workers,1
Quebec,  Primary Agriculture,Les Serres Sagami Charlevoix Inc.,"Ste-Sophie, QC J7Y 0G3",8432-Nursery and greenhouse workers,3
Quebec,  Primary Agriculture,Les Serres Sagami St-Janvier Inc.,"Ste-Sophie, QC J5J 2V3",8432-Nursery and greenhouse workers,18
Quebec,  Primary Agriculture,Les Serres Savoura Mirabel Inc.,"SAINTE-SOPHIE, QC J5J 2V3",8431-General farm workers,8
Quebec,  Primary Agriculture,Les Serres Savoura Mirabel Inc.,"Ste-Sophie, QC J5J 2V3",,20
Quebec,  Primary Agriculture,Les Serres Savoura Saint-Étienne inc.,"SAINTE-SOPHIE, QC J5J 2V3",8432-Nursery and greenhouse workers,5
Quebec,  Primary Agriculture,Les Serres Savoura Ste-Marthe Inc.,"SAINTE-SOPHIE, QC J5J 2V3",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Serres Savoura St-Etienne Inc.,"Ste-Sophie, QC J5J 2V3",8432-Nursery and greenhouse workers,5
Quebec,  Primary Agriculture,Les Serres Vert Cannabis Inc.,"Mirabel, QC J7N 1P5",8432-Nursery and greenhouse workers,78
Quebec,  Primary Agriculture,Les Terres Maraîchères Barbeau Inc.,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,74
Quebec,  Primary Agriculture,Les Terres Maraîchères Norvie Inc.,"SAINT-ÉTIENNE-DES-GRÈS, QC G0X 2P0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Trottier Fruits et Légumes inc,"St-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,4
Quebec,  Primary Agriculture,Les Vallons Maraîchers,"COMPTON, QC J0B 1L0",8431-General farm workers,12
Quebec,  Primary Agriculture,Les Vergers BBM Inc.,"SAINT-CHRYSOSTOME, QC J0S 1R0",8431-General farm workers,19
Quebec,  Primary Agriculture,Les Vergers Cataphard et fils inc.,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,35
Quebec,  Primary Agriculture,Les Vergers François Juneau Inc.,"Saint-Hilaire, QC J3G 4S6",8431-General farm workers,1
Quebec,  Primary Agriculture,LES VERGERS FRIER SENC,"Hinchinbrooke, QC J0S 1A0",8431-General farm workers,12
Quebec,  Primary Agriculture,Les Vergers Hillspring SENC,"FRANKLIN, QC J0S 1E0",8431-General farm workers,5
Quebec,  Primary Agriculture,Les Vergers J.M. Denis Inc,"MIRABEL, QC J7N 2R8",8431-General farm workers,10
Quebec,  Primary Agriculture,Les Vergers K et D Lavallée Senc.,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,14
Quebec,  Primary Agriculture,Les Vergers La Tête dans les Pommes Inc.,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,10
Quebec,  Primary Agriculture,Les Vergers Lafrance Inc,"ST-JOSEPH DU LAC, QC J0N 1M0",8431-General farm workers,6
Quebec,  Primary Agriculture,Les Vergers McKenzie inc,"SAINT-ANTOINE ABBÉ, QC J0S 1N0",8431-General farm workers,10
Quebec,  Primary Agriculture,Les Vergers Missisquoi inc.,"FRELIGHSBURG, QC J0J 1C0",8431-General farm workers,16
Quebec,  Primary Agriculture,Les Vergers Multi-Pommes Inc.,"St-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,8
Quebec,  Primary Agriculture,Les Vergers Papineau associés inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Vergers Pomibec Inc.,"FRANKLIN, QC J0S 1E0",8431-General farm workers,2
Quebec,  Primary Agriculture,Les Vergers Pommix senc.,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,12
Quebec,  Primary Agriculture,Les Vergers St-Denis et Fils SENC.,"Saint-Joseph-du-Lac, QC J0N 1M0",8431-General farm workers,13
Quebec,  Primary Agriculture,Les Vergers Tougas inc.,"DUNHAM, QC J0E 1M0",8431-General farm workers,14
Quebec,  Primary Agriculture,Les vignes des Bacchantes Inc,"Montreal, QC H3E 1S2",8431-General farm workers,4
Quebec,  Primary Agriculture,LL Signature Inc.,"Fortierville, QC G0S 1J0",8431-General farm workers,1
Quebec,  Primary Agriculture,Luma Génétique Inc.,"SAINT-BERNARD, QC G0S 2G0",8431-General farm workers,6
Quebec,  Primary Agriculture,Lyne Portelance et Christian Charlebois senc.,"BROWSNBURG-CHATHAM, QC J8G 1R5",8431-General farm workers,5
Quebec,  Primary Agriculture,Maison Agricole Joy Hill Inc,"FRELIGHSBURG, QC J0J 1C0",8431-General farm workers,3
Quebec,  Primary Agriculture,Maraîchers Brunelle inc. (Les),"SAINT-THOMAS, QC J0K 3L0",8431-General farm workers,4
Quebec,  Primary Agriculture,Maraichers Dubuc & frère inc.,"SAINT-ISIDORE, QC J0L 2A0",8431-General farm workers,13
Quebec,  Primary Agriculture,Maraîchers H.C.D. Enr.,"St-Lin-Laurentides, QC J5M 1Y5",8431-General farm workers,12
Quebec,  Primary Agriculture,Mario Côté inc,"Stoke, QC J0B 3G0",8431-General farm workers,5
Quebec,  Primary Agriculture,Mas & Fils Jardiniers Ltée,"SAINT-MICHEL, QC J0L 2J0",8431-General farm workers,31
Quebec,  Primary Agriculture,Massicotte Holstein Inc.,"Champlain, QC G0X  1C",8431-General farm workers,10
Quebec,  Primary Agriculture,Maxi-Sol inc.,"Saint-Paul, QC J0K 3E0",8431-General farm workers,4
Quebec,  Primary Agriculture,Méloporc inc.,"Saint-Paul, QC J0K 3E0",8431-General farm workers,3
Quebec,  Primary Agriculture,Miel Fontaine inc.,"Sainte-Cécille-de-Milton, QC J0E 2C0",8431-General farm workers,1
Quebec,  Primary Agriculture,Miel Gaudreau inc.,"Saint-Roch-de-l'Achigan, QC J0K 3H0",8431-General farm workers,1
Quebec,  Primary Agriculture,Miel Morand Inc.,"SAINT-THOMAS, QC J0K 3L0",8431-General farm workers,2
Quebec,  Primary Agriculture,Miel Pur Délice,"COATICOOK, QC J1A 2S5",8431-General farm workers,1
Quebec,  Primary Agriculture,Mont Atoca Inc.,"Sainte-Mélanie, QC J0K 3A0",8431-General farm workers,45
Quebec,  Primary Agriculture,Multiporc inc.,"SAINT-WENCESLAS, QC G0Z 1J0",8431-General farm workers,3
Quebec,  Primary Agriculture,Napierveau Ltée,"Saint-Hyacinthe, QC J2R 1L1",8431-General farm workers,6
Quebec,  Primary Agriculture,Nation de l'érable Brien inc,"St-Anne-de-la-Rochelle, QC J0E 2B0",8431-General farm workers,6
Quebec,  Primary Agriculture,Nature Canneberge Inc.,"PLESSIVILLE, QC G6L 5S2",8431-General farm workers,12
Quebec,  Primary Agriculture,Noël Wilson Inc,"ST-RÉMI, QC J0L 2L0",8432-Nursery and greenhouse workers,15
Quebec,  Primary Agriculture,Novafruit inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8431-General farm workers,20
Quebec,  Primary Agriculture,Nutrableu inc.,"Normandin, QC G8M 4S6",8431-General farm workers,48
Quebec,  Primary Agriculture,Nutrimix ltée,"WICKHAM, QC J0C 1S0",8431-General farm workers,16
Quebec,  Primary Agriculture,O Saine Terre,"L'Assomption, QC J5W 4Y1",8431-General farm workers,9
Quebec,  Primary Agriculture,Palmex Inc.,"Marieville, QC J3M 1E8",8431-General farm workers,3
Quebec,  Primary Agriculture,Paradis des fraises J. Auclair & Fils inc.,"LAVALTRIE, QC J5T 3P4",8431-General farm workers,46
Quebec,  Primary Agriculture,Patates Dolbec Inc.,"Saint-Ubalde, QC G0A 4L0",8431-General farm workers,4
Quebec,  Primary Agriculture,Paysages Rossignol Inc.,"St-André-Avellin, QC J0V 1W0","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",4
Quebec,  Primary Agriculture,PELOUSES RICHER-BOULET INC,"Québec, QC G1M 3R7",8431-General farm workers,7
Quebec,  Primary Agriculture,Pépinière A. Massé Inc.,"Saint-Césaire, QC J0L 1T0",8431-General farm workers,10
Quebec,  Primary Agriculture,Pépinière A. Massé Inc.,"Saint-Césaire, QC J0L 1T0",8432-Nursery and greenhouse workers,27
Quebec,  Primary Agriculture,Pépinière Abbotsford inc.,"SAINT-PAUL-D'ABBOTSFORD, QC J0E 1A0",8432-Nursery and greenhouse workers,84
Quebec,  Primary Agriculture,Pépinière Auclair et Frères (1991) inc.,"Mont-Saint-Hilaire, QC J3H 4A9",8432-Nursery and greenhouse workers,8
Quebec,  Primary Agriculture,Pépinière aux arbres fruitiers inc.,"Rawdon, QC J0K 1S0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
Quebec,  Primary Agriculture,Pépinière aux arbres fruitiers inc.,"Rawdon, QC J0K 1S0",8431-General farm workers,1
Quebec,  Primary Agriculture,Pépinière Boucher Division Plants Forestier Inc.,"Saint-Ambroise, QC G7P 2B4",8432-Nursery and greenhouse workers,42
